============================================================
====== CONTENTS OF: backtest_2025-08-13_15-15-55.txt ======
============================================================

===== BACKTEST REPORT FOR: signals_2025-08-13_20-45-55.json =====
Signal Generation Time (UTC): 2025-08-13 15:15:55

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later
     BTCUSDT    Buy   60              False         Fail            5.0   121932.000000     120262.800000              Yes
     SOLUSDT    Buy   67              False      Success           63.0      200.750000        195.100000               No
     XRPUSDT    Buy   60              False Inconclusive            NaN        3.279200          3.225200               No
FARTCOINUSDT    Buy   67              False      Success          177.0        1.101800          1.056600               No
    LINKUSDT    Buy   60              False      Success           56.0       23.861000         23.392000               No
     ENAUSDT    Buy   67              False      Success           75.0        0.791600          0.766600               No
     SUIUSDT    Buy   75              False      Success          132.0        4.006700          3.909400               No
     ADAUSDT    Buy   60              False Inconclusive            NaN        0.878100          0.862300               No
     LTCUSDT    Buy   67              False Inconclusive            NaN      131.200000        129.330000               No
    PUMPUSDT    Buy   67              False         Fail            0.0        0.003950          0.003794              Yes
   CYBERUSDT    Buy   75              False      Success           64.0        2.901000          2.831000               No
     WIFUSDT    Buy   60              False Inconclusive            NaN        1.045900          1.025200               No
   PENGUUSDT    Buy   67              False      Success           64.0        0.037488          0.036250               No
    AVAXUSDT    Buy   60              False      Success           65.0       25.330000         24.810000               No
     ARBUSDT    Buy   60              False      Success           26.0        0.560600          0.524400               No
1000BONKUSDT    Buy   67              False      Success          134.0        0.027096          0.025804               No
     SKLUSDT    Buy   75              False      Success           50.0        0.030250          0.027790               No
    AAVEUSDT    Buy   67              False      Success           50.0      329.980000        320.400000               No
     BCHUSDT    Buy   60              False         Fail           93.0      624.330000        611.740000               No
    HYPEUSDT    Buy   67              False      Success           62.0       47.497000         45.007000               No
   PROVEUSDT    Buy   75              False      Success            6.0        1.495000          1.443700               No
   TRUMPUSDT    Buy   60              False      Success           25.0        9.745000          9.390000               No
     LDOUSDT    Buy   60              False      Success           50.0        1.529500          1.486900               No
     MYXUSDT    Buy   75              False         Fail          108.0        1.831800          1.754000              Yes
    SOONUSDT    Buy   89              False         Fail           15.0        0.426870          0.402930               No
     CRVUSDT    Buy   75              False      Success           64.0        1.047000          1.016000               No
    ZORAUSDT    Buy   60              False      Success            0.0        0.122890          0.115900               No
      OPUSDT    Buy   60              False      Success           26.0        0.864200          0.823600               No
     ETCUSDT    Buy   60              False      Success           54.0       24.252000         23.663000               No
     XLMUSDT    Buy   60              False      Success          159.0        0.452660          0.445800               No
    ONDOUSDT    Buy   60              False      Success           62.0        1.073800          1.050800               No
     SEIUSDT    Buy   60              False      Success           61.0        0.356400          0.346300               No
     TONUSDT    Buy   60              False      Success           61.0        3.507200          3.431100               No
   TOWNSUSDT    Buy   67              False      Success           27.0        0.034240          0.033050               No
    NEARUSDT    Buy   60              False      Success           71.0        2.950000          2.883000               No
1000SHIBUSDT    Buy   60              False      Success           27.0        0.013910          0.013631               No
    HBARUSDT    Buy   60              False      Success           64.0        0.265140          0.260050               No
      INUSDT    Buy   80              False      Success            1.0        0.113800          0.103110               No
     SPKUSDT    Buy   60              False      Success           46.0        0.094970          0.089100               No
