Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,__source_file,CONFL_FLAG__RSI__30___CVD_falling,WOULD__missing_points,WOULD__top1,WOULD__top2,WOULD__top3
ETHUSDT,Buy,44,4721.85,4755.84732,4580.1945,Bullish,2025-09-13T08:36:28.816405+00:00,2025-09-13T14:06:28.816405+05:30,Inconclusive,600,,,5.04%,57.50572190714329,0.6265433311455126,-0.7375021089148031,1.3640454400603157,4723.949173619527,4714.888,4705.826826380473,0.8841665711490871,144.37142148303533,10.0,3.0,0.0,4717.14405744012,4.736215384896602,4716.933906249999,1.582812499999818,0.03355596095808276,,2.8719594426875354,,rising,15338.932,8.0,10.912078083662209,15.0,5.0,0.0,5.0,0.8841665711490871,57.50572190714329,144.37142148303533,1.3640454400603157,4.736215384896602,4716.933906249999,,2.8719594426875354,,3.0,0.0,rising,15338.932,1.582812499999818,0.03355596095808276,5.040000000000059,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.09}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,21,base_score:32.0,confluence_bonus:30.0,momentum_score:9.09
BTCUSDT,Buy,60,115888.8,116723.19936,112412.136,Bullish,2025-09-13T08:36:29.775503+00:00,2025-09-13T14:06:29.775503+05:30,Inconclusive,600,,,5.04%,69.47446222143536,31.322588030045154,16.05952481970793,15.263063210337222,115871.3506360393,115762.55500000001,115653.75936396072,1.0801933082794288,220.87278115141953,10.0,3.0,0.0,115753.67272419846,35.73494385229686,115747.175,19.72343749999709,0.01704010270660782,,16.920559176757006,,rising,422.76300000000003,8.0,19.25084910059397,15.0,5.0,0.0,5.0,1.0801933082794288,69.47446222143536,220.87278115141953,15.263063210337222,35.73494385229686,115747.175,,16.920559176757006,,3.0,0.0,rising,422.76300000000003,19.72343749999709,0.01704010270660782,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,52.0,60.0,19.72343749999709,0.01704010270660782,False,0.8542374250494976,0.01704010270660782,False,conditions_not_met,,,,signals_2025-09-13_14-07-34_STRONG.csv,,5,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
DOGEUSDT,Buy,44,0.28424,0.28628653,0.2757128,Bullish,2025-09-13T08:36:32.609245+00:00,2025-09-13T14:06:32.609245+05:30,Success,8,8.0,,5.04%,59.50631161495427,0.0002636797933013302,0.00018160432260795083,8.207547069337935e-05,0.2844496411849151,0.28328349999999997,0.2821173588150848,0.9101132917579035,138.10470510271668,10.0,3.0,0.0,0.28267437834658904,0.0008387394319951564,0.28330703124999995,7.32812500000013e-05,0.02586637178635195,,8.545734914724976,,falling,-36220898.0,8.0,6.348537843219561,15.0,10.0,0.0,5.0,0.9101132917579035,59.50631161495427,138.10470510271668,8.207547069337935e-05,0.0008387394319951564,0.28330703124999995,,8.545734914724976,,3.0,0.0,falling,-36220898.0,7.32812500000013e-05,0.02586637178635195,5.0399999999999805,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.65}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,21,base_score:32.0,confluence_bonus:30.0,momentum_score:13.65
XRPUSDT,Buy,49,3.1315,3.1540468,3.037555,Bullish,2025-09-13T08:36:35.518006+00:00,2025-09-13T14:06:35.518006+05:30,Success,28,28.0,,5.04%,70.32321868022811,0.0037595512113468565,0.0023877001560696845,0.001371851055277172,3.1275036775023213,3.117175,3.106846322497679,1.1934576085263842,305.62693181394985,10.0,3.0,0.0,3.112845416346697,0.004644253472908861,3.1168093750000003,0.0016703125000003816,0.05359046059723756,,20.92867794099136,,rising,5912993.799999999,8.0,16.089282598098677,15.0,5.0,0.0,5.0,1.1934576085263842,70.32321868022811,305.62693181394985,0.001371851055277172,0.004644253472908861,3.1168093750000003,,20.92867794099136,,3.0,0.0,rising,5912993.799999999,0.0016703125000003816,0.05359046059723756,5.0400000000000444,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,16,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
1000PEPEUSDT,Buy,40,0.0122462,0.01233437,0.01187881,Bullish,2025-09-13T08:36:36.471903+00:00,2025-09-13T14:06:36.471903+05:30,Success,21,21.0,,5.04%,59.336590324159175,3.6629120814387836e-05,2.8921446555631577e-05,7.70767425875626e-06,0.012269381074761622,0.012175314999999999,0.012081248925238377,0.8767830228891479,172.79074305008075,10.0,3.0,0.0,0.012118587687925567,5.3388318345276834e-05,0.0122265546875,1.8501562500000332e-05,0.15132278039794547,,16.591849083973766,,rising,640008147.0,8.0,7.464881231392362,15.0,5.0,0.0,5.0,0.8767830228891479,59.336590324159175,172.79074305008075,7.70767425875626e-06,5.3388318345276834e-05,0.0122265546875,,16.591849083973766,,3.0,0.0,rising,640008147.0,1.8501562500000332e-05,0.15132278039794547,5.040000000000006,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.54}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,25,base_score:32.0,confluence_bonus:30.0,momentum_score:12.54
AVAXUSDT,Buy,42,31.075,31.29874,30.14275,Bullish,2025-09-13T08:36:38.378225+00:00,2025-09-13T14:06:38.378225+05:30,Fail,117,,117.0,5.04%,63.76309382044431,0.07364709026026617,0.05586941364423752,0.01777767661602865,31.126199454826313,30.908500000000004,30.690800545173694,0.8824079397278162,132.20737441226743,10.0,3.0,0.0,30.729670543193375,0.09462133029124155,31.0433125,0.04537499999999994,0.14616674686375672,,19.29479851411142,,rising,386769.0,8.0,8.509176075536331,15.0,5.0,0.0,5.0,0.8824079397278162,63.76309382044431,132.20737441226743,0.01777767661602865,0.09462133029124155,31.0433125,,19.29479851411142,,3.0,0.0,rising,386769.0,0.04537499999999994,0.14616674686375672,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.49}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,23,base_score:32.0,confluence_bonus:30.0,momentum_score:11.49
ENAUSDT,Buy,42,0.7654,0.77091088,0.742438,Bullish,2025-09-13T08:36:39.331488+00:00,2025-09-13T14:06:39.331488+05:30,Success,58,58.0,,5.04%,60.34055467120887,0.00046047673192095573,-0.0003719762777077308,0.0008324530096286866,0.765951399567648,0.76125,0.756548600432352,0.9413579339817849,159.88753514526687,10.0,0.0,3.0,0.7639186199213857,0.0019797345183096,0.7643328125,0.0005640624999999622,0.07379802237653668,,6.233963161834171,,rising,9514777.0,8.0,14.091692621568004,15.0,0.0,0.0,5.0,0.9413579339817849,60.34055467120887,159.88753514526687,0.0008324530096286866,0.0019797345183096,0.7643328125,,6.233963161834171,,0.0,3.0,rising,9514777.0,0.0005640624999999622,0.07379802237653668,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,23,base_score:32.0,confluence_bonus:30.0,volume_score:10.0
BAKEUSDT,Sell,40,0.1264,0.12548992,0.130192,Bullish,2025-09-13T08:36:40.311647+00:00,2025-09-13T14:06:40.311647+05:30,Success,8,8.0,,5.04%,40.10733171869522,-0.0007033132737386816,0.0002009804795284072,-0.0009042937532670888,0.14188588281039094,0.132585,0.12328411718960908,0.1675046806798746,-120.14134275618382,10.0,0.0,3.0,0.12953493897165902,0.003474484231475221,0.12994375,0.0002015625000000021,0.15511519407436072,,-5.26102166831558,,falling,-74453346.0,8.0,15.24640914522018,7.0,5.0,0.0,5.0,0.1675046806798746,40.10733171869522,-120.14134275618382,-0.0009042937532670888,0.003474484231475221,0.12994375,,-5.26102166831558,,0.0,3.0,falling,-74453346.0,0.0002015625000000021,0.15511519407436072,5.040000000000041,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,,,,signals_2025-09-13_14-07-34_STRONG.csv,,25,base_score:32.0,confluence_bonus:30.0,trend_score:8.0
SUIUSDT,Strong Buy,68,3.7721,3.79925912,3.658937,Bullish,2025-09-13T08:36:42.238073+00:00,2025-09-13T14:06:42.238073+05:30,Success,30,30.0,,5.04%,72.71071046869613,0.012179694525410234,0.007847741558781103,0.004331952966629131,3.776973075534734,3.73857,3.7001669244652664,0.9365535771955756,144.3349358135101,10.0,3.0,0.0,3.73318039172199,0.008531369197449767,3.7649953125000004,0.007495312500000573,0.19907893311621677,,39.70485659909068,,rising,7252996.3,8.0,20.0,15.0,5.0,0.0,5.0,0.9365535771955756,72.71071046869613,144.3349358135101,0.004331952966629131,0.008531369197449767,3.7649953125000004,,39.70485659909068,,3.0,0.0,rising,7252996.3,0.007495312500000573,0.19907893311621677,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.007495312500000573,0.19907893311621677,True,1.0155352245039533,0.19907893311621677,False,,61.0,68.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),signals_2025-09-13_14-07-34_STRONG.csv,,0,,,
LINKUSDT,Strong Buy,68,25.442,25.6251824,24.67874,Bullish,2025-09-13T08:36:43.192148+00:00,2025-09-13T14:06:43.192148+05:30,Success,49,49.0,,5.04%,75.50839764978281,0.07168836246399124,0.04687337663765095,0.024814985826340293,25.444757283214848,25.2389,25.033042716785154,0.9933029252796215,153.14310436904717,10.0,3.0,0.0,25.192819954546913,0.05011297001469707,25.349875,0.043796875000001734,0.17276958959364389,,38.20401467994605,,rising,1025731.31,8.0,20.0,15.0,5.0,0.0,5.0,0.9933029252796215,75.50839764978281,153.14310436904717,0.024814985826340293,0.05011297001469707,25.349875,,38.20401467994605,,3.0,0.0,rising,1025731.31,0.043796875000001734,0.17276958959364389,5.039999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.043796875000001734,0.17276958959364389,True,0.9903618092905923,0.17276958959364389,False,,61.0,68.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),signals_2025-09-13_14-07-34_STRONG.csv,,0,,,
