FileTimestampUTC,Coin,Signal,Outcome,Duration(min),Confidence,POP,Buy_Score,Sell_Score,Num_Conf,Confluence_OK,Vol_Profile_OK,Min_Profit_OK,Profit_Ceiling_OK,Regime,RegimeScore,ADX15m,MACD_Hist,RSI,CCI,PercentB,Overshoot_OK,Aligned,Initial_Signal,Vetoes_Passed,MaxProfitPrice,MaxDrawdownPrice,Did_TP_Hit_Later,DeservedStrongBuy,DeservedStrongSell
2025-08-21 23:32:51,ETHUSDT,Sell,Fail,135,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-2.665229421787247,41.90950376169263,-139.45265970396983,0.0137,False,,Sell,,4207.52,4313.51,No,0,0
2025-08-21 23:32:51,SOLUSDT,Sell,Fail,133,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.12095075172745855,42.18239449762799,-126.88347992091005,0.0822,False,,Sell,,179.75,183.46,No,0,0
2025-08-21 23:32:51,XRPUSDT,Sell,Fail,166,52,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0021439401940245096,34.75116750758511,-109.39139996334745,0.1429,False,,Sell,,2.8367,2.8838,No,0,0
2025-08-21 23:32:51,LINKUSDT,Sell,Fail,37,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.017130357492720856,38.50374658374381,-105.41702221800709,0.1253,False,,Sell,,24.628,25.216,No,0,0
2025-08-21 23:32:51,DOGEUSDT,Sell,Fail,52,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0002013812645328785,37.43931239044358,-143.56284686223356,0.0213,False,,Sell,,0.21385,0.21908,No,0,0
2025-08-21 23:32:51,API3USDT,Sell,Fail,30,41,88,-5,35,1,False,True,True,False,Bearish,-4.0,15.167531807835163,-0.0025385569483124173,44.55882188049491,-106.15746621410597,0.1791,False,,Sell,,1.5241,1.6046,Yes,0,0
2025-08-21 23:32:51,ADAUSDT,Sell,Fail,34,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0010478364276759334,39.00526830198718,-106.71646013692951,0.1544,False,,Sell,,0.8424,0.8594,Yes,0,0
2025-08-21 23:32:51,SUIUSDT,Sell,Fail,162,41,88,-5,35,1,False,False,True,True,Bearish,-4.0,15.167531807835163,-0.002149605473411248,43.50445357517775,-112.27571138524937,0.1094,False,,Sell,,3.3928,3.4618,No,0,0
2025-08-21 23:32:51,ENAUSDT,Sell,Fail,52,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.00048573730480259124,44.03418111892863,-118.69369369368333,0.0584,False,,Sell,,0.6261,0.646,No,0,0
2025-08-21 23:32:51,AVAXUSDT,Sell,Fail,151,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.021163190035483982,36.92093905897299,-139.5298215063134,0.0388,False,,Sell,,22.66,23.216,No,0,0
2025-08-21 23:32:51,ARBUSDT,Sell,Success,76,42,83,5,25,1,False,False,True,True,Bearish,-4.0,15.167531807835163,-0.0008259772010797664,45.64906476064558,-106.06889010388026,0.1068,False,,Sell,,0.4896,0.5015,Yes,0,0
2025-08-21 23:32:51,PENGUUSDT,Sell,Fail,29,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-3.77928655348501e-05,41.460398656721566,-120.43448331713708,0.1193,False,,Sell,,0.030231,0.031907,No,0,0
