Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI<=30_and_CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,__source_file,WOULD__missing_points,WOULD__top1,WOULD__top2,WOULD__top3
TAUSDT,Buy,61,0.12604,0.12694749,0.1222588,Bullish,2025-09-07T20:25:02.312691+00:00,2025-09-08T01:55:02.312691+05:30,Success,5,5.0,,5.04%,59.49519972797442,0.0001409641663957,-0.0004743935371354,0.0006153577035311,0.1278144937033203,0.121743,0.1156715062966796,0.8538667920918761,113.03092119648068,5.0,3.0,0.0,0.1222485534430081,0.0025897526021024,0.12482484375,0.00104015625,,1.02899548578036,,falling,-2026334.0,8.0,14.702701050578543,15.0,10.0,0.0,5.0,0.8538667920918761,59.49519972797442,113.03092119648068,0.0006153577035311,0.0025897526021024,0.12482484375,,1.02899548578036,,3.0,0.0,falling,-2026334.0,5.040000000000065,,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.3}]}",True,,0.00104015625,Buy,61,,53.0,61.0,signals_2025-09-08_01-55-46.csv,4,base_score:32.0,confluence_bonus:30.0,momentum_score:5.3
SOLUSDT,Buy,60,204.25,205.7206,198.1225,Bullish,2025-09-07T20:57:34.660626+00:00,2025-09-08T02:27:34.660626+05:30,Success,107,107.0,,5.04%,72.98061375830254,0.3563705653831732,0.2006194603528494,0.1557511050303238,203.9925324670759,202.8375,201.6824675329241,1.1114546734672774,238.095238095242,10.0,3.0,0.0,202.8199668483525,0.372738547209103,203.24296875,0.1270312499999875,,24.97038121656359,,rising,379777.59,8.0,19.02854829133294,15.0,5.0,0.0,5.0,1.1114546734672774,72.98061375830254,238.095238095242,0.1557511050303238,0.372738547209103,203.24296875,,24.97038121656359,,3.0,0.0,rising,379777.59,5.039999999999967,,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.1270312499999875,Buy,60,,52.0,60.0,signals_2025-09-08_02-28-55.csv,5,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
WIFUSDT,Buy,61,0.8253,0.83124216,0.800541,Bullish,2025-09-07T20:58:17.463090+00:00,2025-09-08T02:28:17.463090+05:30,Success,107,107.0,,5.04%,62.749200059829136,0.0003305299323076,-0.0001957831807753,0.000526313113083,0.825200498727438,0.8213800000000001,0.8175595012725623,1.0130220266594376,143.60655737705235,10.0,3.0,0.0,0.8224485718594102,0.0020713817515634,0.8200546875000001,0.000596875,,4.381498412899473,,falling,-43987.700000000186,8.0,15.098110454269897,15.0,10.0,0.0,5.0,1.0130220266594376,62.749200059829136,143.60655737705235,0.000526313113083,0.0020713817515634,0.8200546875000001,,4.381498412899473,,3.0,0.0,falling,-43987.700000000186,5.040000000000025,,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 4.9}]}",True,,0.000596875,Buy,61,,53.0,61.0,signals_2025-09-08_02-28-55.csv,4,base_score:32.0,confluence_bonus:30.0,momentum_score:4.9
1000BONKUSDT,Buy,59,0.020539,0.02068688,0.01992283,Bullish,2025-09-07T20:58:28.479638+00:00,2025-09-08T02:28:28.479638+05:30,Success,91,91.0,,5.04%,73.06014738371357,3.703525308848543e-05,1.928260178114424e-05,1.775265130734119e-05,0.0204931288444067,0.02037085,0.0202485711555932,1.1875678324232493,246.98052748337145,10.0,3.0,0.0,0.0203701960352254,4.97592863195605e-05,0.0204029999999999,1.837500000000103e-05,,21.73932072422137,,rising,117002405.0,8.0,17.562494820362843,15.0,5.0,0.0,5.0,1.1875678324232493,73.06014738371357,246.98052748337145,1.775265130734119e-05,4.97592863195605e-05,0.0204029999999999,,21.73932072422137,,3.0,0.0,rising,117002405.0,5.039999999999993,,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,1.837500000000103e-05,Buy,59,,51.0,59.0,signals_2025-09-08_02-28-55.csv,6,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
NEARUSDT,Buy,58,2.463,2.4807336,2.38911,Bullish,2025-09-07T20:58:55.687407+00:00,2025-09-08T02:28:55.687407+05:30,Inconclusive,300,,,5.04%,59.12825552783125,0.0005480747906383,-5.9236262110250686e-05,0.0006073110527485,2.463288666505112,2.4567,2.4501113334948883,0.9780937079689894,125.74139976274034,10.0,3.0,0.0,2.456957309673601,0.0047426759910204,2.454015625,0.0002812499999995,,2.8776436407781008,,falling,-64976.0,8.0,12.073257648965026,15.0,10.0,0.0,5.0,0.9780937079689894,59.12825552783125,125.74139976274034,0.0006073110527485,0.0047426759910204,2.454015625,,2.8776436407781008,,3.0,0.0,falling,-64976.0,5.040000000000036,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.93}]}",True,,0.0002812499999995,Buy,58,,50.0,58.0,signals_2025-09-08_02-28-55.csv,7,base_score:32.0,confluence_bonus:30.0,momentum_score:7.93
HEMIUSDT,Sell,64,0.038797,0.03851766,0.03996091,Bullish,2025-09-07T21:21:48.306591+00:00,2025-09-08T02:51:48.306591+05:30,Success,9,9.0,,5.04%,27.201232929298115,-0.000470699530305,-0.0003054665693135,-0.0001652329609915,0.0415724262270525,0.0400709,0.0385693737729474,0.0757982854216757,-142.1273050189658,10.0,0.0,3.0,0.0401709129808018,0.0004142696115517,0.0390534374999999,-0.000181421875,,-32.78405994225275,,falling,-112054923.0,8.0,18.57248843076361,7.0,5.0,12.0,5.0,0.0757982854216757,27.201232929298115,-142.1273050189658,-0.0001652329609915,0.0004142696115517,0.0390534374999999,,-32.78405994225275,,0.0,3.0,falling,-112054923.0,5.040000000000043,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 1, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",True,,-0.000181421875,Sell,64,,56.0,64.0,signals_2025-09-08_02-52-49.csv,1,base_score:32.0,confluence_bonus:18.0,trend_score:8.0
WIFUSDT,Buy,58,0.8265,0.8324508,0.801705,Bullish,2025-09-07T21:22:07.285623+00:00,2025-09-08T02:52:07.285623+05:30,Success,86,86.0,,5.04%,60.840463006818574,0.0014447787117053,0.0007516121990395,0.0006931665126658,0.8284741525786127,0.82269,0.8169058474213874,0.8293481584569321,107.19322990126771,10.0,3.0,0.0,0.8232324515321894,0.0021109022305378,0.8265546874999999,0.0012515625000001,,17.809140426345863,,falling,-2745542.6,8.0,11.88098854760337,15.0,10.0,0.0,5.0,0.8293481584569321,60.840463006818574,107.19322990126771,0.0006931665126658,0.0021109022305378,0.8265546874999999,,17.809140426345863,,3.0,0.0,falling,-2745542.6,5.0400000000000285,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.12}]}",True,,0.0012515625000001,Buy,58,,50.0,58.0,signals_2025-09-08_02-52-49.csv,7,base_score:32.0,confluence_bonus:30.0,momentum_score:8.12
TRXUSDT,Buy,58,0.33004,0.33241629,0.3201388,Bullish,2025-09-07T22:23:17.703122+00:00,2025-09-08T03:53:17.703122+05:30,Inconclusive,300,,,5.04%,72.06965932421213,0.0003159537082113,0.0002344196573114,8.153405089983217e-05,0.33028659699564,0.329335,0.32838340300436,0.8704299210853409,144.2672741078192,10.0,3.0,0.0,0.3290916607526339,0.0002467627660573,0.329696875,9.453125000002947e-05,,32.643886923908106,,rising,17136922.0,8.0,16.9299533428848,15.0,5.0,0.0,5.0,0.8704299210853409,72.06965932421213,144.2672741078192,8.153405089983217e-05,0.0002467627660573,0.329696875,,32.643886923908106,,3.0,0.0,rising,17136922.0,5.040000000000009,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,9.453125000002947e-05,Buy,58,,50.0,58.0,signals_2025-09-08_03-54-05.csv,7,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
LINEAUSDT,Buy,63,0.03013,0.03034694,0.0292261,Bullish,2025-09-07T22:23:49.600660+00:00,2025-09-08T03:53:49.600660+05:30,Success,84,84.0,,5.04%,66.3787162348957,-4.102850065156039e-05,-0.0001616766673767,0.0001206481667251,0.0297833357163349,0.0292139999999999,0.028644664283665,1.3044462816215123,319.93775793248045,10.0,3.0,0.0,0.0295473251869428,0.0002513202874528,0.02931640625,0.00011875,,-5.071358006970715,,falling,-34935498.0,8.0,16.521377882983327,15.0,10.0,0.0,5.0,1.3044462816215123,66.3787162348957,319.93775793248045,0.0001206481667251,0.0002513202874528,0.02931640625,,-5.071358006970715,,3.0,0.0,falling,-34935498.0,5.0400000000000205,,,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 3.48}]}",True,,0.00011875,Buy,63,,55.0,63.0,signals_2025-09-08_03-54-05.csv,2,base_score:32.0,confluence_bonus:30.0,momentum_score:3.48
BNBUSDT,Buy,59,876.74,883.052528,850.4378,Bullish,2025-09-07T22:57:44.865569+00:00,2025-09-08T04:27:44.865569+05:30,Success,22,22.0,,5.04%,68.04568331216282,0.3669005792244206,0.1468401758323677,0.2200604033920528,876.5585581655534,875.1119999999999,873.6654418344463,1.0627150151190503,199.89602287498252,10.0,3.0,0.0,875.0738705811744,0.6134785501163852,875.7979687500001,0.3067187500000727,,16.260941049650405,,rising,8176.44,8.0,17.60902093546271,15.0,5.0,0.0,5.0,1.0627150151190503,68.04568331216282,199.89602287498252,0.2200604033920528,0.6134785501163852,875.7979687500001,,16.260941049650405,,3.0,0.0,rising,8176.44,5.040000000000035,,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.3067187500000727,Buy,59,,51.0,59.0,signals_2025-09-08_04-28-35.csv,6,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
