Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,note,IND__rsi5m,IND__macd5m_histogram,IND__boll5m_upper,IND__boll5m_middle,IND__boll5m_lower,IND__boll5m_percent_b,IND__cci5m,IND__marketTrend,IND__volProfile_bullish_score,IND__volProfile_bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m_trend,IND__cvd5m_value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct,CONFLUENCE_FLAGS,WBS_missing_points,WBS_top_missing_1,WBS_top_missing_2,WBS_top_missing_3
BTCUSDT,Buy,47,110810.7,111608.53704,109924.2144,Bullish,2025-09-06T12:19:06.527585+00:00,2025-09-06T17:49:06.527585+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.69}]}",Fail,242,,242.0,5.04%,,64.44357294293968,19.51627414932001,110826.96129543883,110706.66,110586.35870456118,0.9324142962072235,161.5525209147715,10.0,3.0,0.0,110727.85972467947,45.43532050675488,110754.015625,,11.900937106353068,,rising,92.59999999999127,8.0,14.30895291063358,15.0,5.0,0.0,5.0,0.9324142962072235,64.44357294293968,161.5525209147715,19.51627414932001,45.43532050675488,110754.015625,,11.900937106353068,,3.0,0.0,,5.039999999999991,,18,base_score,confluence_bonus,momentum_score
MUSDT,Buy,41,1.6409,1.6671544,1.608082,Bullish,2025-09-06T12:19:14.198987+00:00,2025-09-06T17:49:14.198987+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,5,5.0,,11.20%,,50.71890731805232,-0.010798063613290998,1.763610315121301,1.666845,1.5700796848786989,0.36593853403217724,-50.263615788165666,10.0,3.0,0.0,1.6168071414882332,0.03846157461374922,1.5858437499999998,,-0.7665266251207953,,falling,-0.045299999999999896,6.0,5.0,15.0,10.0,0.0,5.0,0.36593853403217724,50.71890731805232,-50.263615788165666,-0.010798063613290998,0.03846157461374922,1.5858437499999998,,-0.7665266251207953,,3.0,0.0,,11.200000000000005,,24,base_score,confluence_bonus,momentum_score
LINKUSDT,Buy,40,22.297,22.4575384,22.118624,Bullish,2025-09-06T12:19:18.604248+00:00,2025-09-06T17:49:18.604248+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Fail,79,,79.0,5.04%,,66.12662418004805,0.012353649663031804,22.32012453173957,22.2242,22.12827546826043,0.879464974599246,131.1134235171705,10.0,0.0,3.0,22.20637735980036,0.03782226026174664,22.24978125,,22.695288986035468,,rising,0.05700000000000216,8.0,11.838970750582833,15.0,0.0,0.0,5.0,0.879464974599246,66.12662418004805,131.1134235171705,0.012353649663031804,0.03782226026174664,22.24978125,,22.695288986035468,,0.0,3.0,,5.040000000000002,,25,base_score,confluence_bonus,volume_score
SUIUSDT,Buy,43,3.3564,3.38056608,3.3295488,Bullish,2025-09-06T12:19:19.723078+00:00,2025-09-06T17:49:19.723078+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Fail,242,,242.0,5.04%,,59.819210249132894,0.0020303097930046477,3.35898781593751,3.34844,3.33789218406249,0.8773292995990101,147.78325123152874,10.0,0.0,3.0,3.3542598881892847,0.004530449385656295,3.3479078125,,2.3639696922960733,,rising,0.005799999999999805,8.0,14.755541202244938,15.0,0.0,0.0,5.0,0.8773292995990101,59.819210249132894,147.78325123152874,0.0020303097930046477,0.004530449385656295,3.3479078125,,2.3639696922960733,,0.0,3.0,,5.040000000000019,,22,base_score,confluence_bonus,volume_score
1000PEPEUSDT,Buy,44,0.0096653,0.00973489,0.00958798,Bullish,2025-09-06T12:19:20.812155+00:00,2025-09-06T17:49:20.812155+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Fail,225,,225.0,5.04%,,69.24896399381643,8.355903228680895e-06,0.009662272745677011,0.009617645000000001,0.009573017254322991,1.0339167291229372,205.28748705834693,10.0,0.0,3.0,0.009627942050333545,1.5247598973575833e-05,0.0096246265625,,16.226736132601733,,rising,5.739999999999912e-05,8.0,16.0,15.0,0.0,0.0,5.0,1.0339167291229372,69.24896399381643,205.28748705834693,8.355903228680895e-06,1.5247598973575833e-05,0.0096246265625,,16.226736132601733,,0.0,3.0,,5.040000000000049,,21,base_score,confluence_bonus,volume_score
ADAUSDT,Buy,40,0.8237,0.82963064,0.8171104,Bullish,2025-09-06T12:19:21.907294+00:00,2025-09-06T17:49:21.907294+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Inconclusive,300,,,5.04%,,62.87192127179489,0.000335063201724199,0.8239909519804209,0.8219200000000001,0.8198490480195793,0.9297540495454112,163.33622936575912,10.0,0.0,3.0,0.8223736937878118,0.0010149136017586918,0.822915625,,14.477781388646022,,rising,0.0020999999999999908,8.0,11.923351137915626,15.0,0.0,0.0,5.0,0.9297540495454112,62.87192127179489,163.33622936575912,0.000335063201724199,0.0010149136017586918,0.822915625,,14.477781388646022,,0.0,3.0,,5.0399999999999885,,25,base_score,confluence_bonus,volume_score
PUMPUSDT,Buy,41,0.004796,0.00485534,0.00473666,Bullish,2025-09-06T12:19:24.060711+00:00,2025-09-06T17:49:24.060711+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",Fail,43,,43.0,8.66%,,38.27082134383141,-7.782181028265028e-06,0.0049074843566301,0.0048507,0.004793915643369901,0.01835326447103002,-213.75214303208406,10.0,3.0,0.0,0.004854964384970331,3.2967038241599724e-05,0.004840703125,,-12.414600368292977,,falling,-8.99999999999998e-05,18.0,0.0,8.0,10.0,0.0,5.0,0.01835326447103002,38.27082134383141,-213.75214303208406,-7.782181028265028e-06,3.2967038241599724e-05,0.004840703125,,-12.414600368292977,,3.0,0.0,,8.661065092663826,,24,confluence_bonus,base_score,momentum_score
BNBUSDT,Buy,45,865.0,871.228,858.08,Bullish,2025-09-06T12:19:27.423012+00:00,2025-09-06T17:49:27.423012+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.27}]}",Fail,242,,242.0,5.04%,,72.14698312759738,0.405695834379203,864.8416817900954,861.4424999999999,858.0433182099043,1.0232876938747242,201.15224989078803,10.0,3.0,0.0,860.3763585663238,1.260214642593042,862.9609375,,29.83155889793729,,rising,5.970000000000027,8.0,11.726223530514174,15.0,5.0,0.0,5.0,1.0232876938747242,72.14698312759738,201.15224989078803,0.405695834379203,1.260214642593042,862.9609375,,29.83155889793729,,3.0,0.0,,5.039999999999961,,20,base_score,confluence_bonus,momentum_score
LTCUSDT,Buy,45,111.66,112.463952,110.76672,Bullish,2025-09-06T12:19:34.029189+00:00,2025-09-06T17:49:34.029189+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.79}]}",Inconclusive,300,,,5.04%,,60.60414568724061,0.03623701778843086,111.73530973547912,111.48799999999999,111.24069026452085,0.8477420726417836,132.07089099296516,10.0,3.0,0.0,111.50662892335102,0.1059774816747417,111.58484374999999,,11.558143698245422,,rising,0.28000000000000114,8.0,12.206351134022267,15.0,5.0,0.0,5.0,0.8477420726417836,60.60414568724061,132.07089099296516,0.03623701778843086,0.1059774816747417,111.58484374999999,,11.558143698245422,,3.0,0.0,,5.039999999999971,,20,base_score,confluence_bonus,momentum_score
PENGUUSDT,Buy,44,0.028844,0.02905168,0.02861325,Bullish,2025-09-06T12:19:38.404045+00:00,2025-09-06T17:49:38.404045+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.18}]}",Success,121,121.0,,5.04%,,62.32085313111926,1.5389794466247527e-05,0.02887198988218032,0.028758099999999998,0.028644210117819677,0.8771186621476992,136.24532921015432,10.0,3.0,0.0,0.02876073486509129,5.419525108320687e-05,0.028749890625,,12.270167224728121,,rising,5.9000000000000025e-05,8.0,10.815266279011489,15.0,5.0,0.0,5.0,0.8771186621476992,62.32085313111926,136.24532921015432,1.5389794466247527e-05,5.419525108320687e-05,0.028749890625,,12.270167224728121,,3.0,0.0,,5.040000000000015,,21,base_score,confluence_bonus,momentum_score
