Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct
NMRUSDT,Sell,49,18.237,17.945208,18.60174,Bearish,2025-09-06T21:52:52.105406+00:00,2025-09-07T03:22:52.105406+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,80,80.0,,11.20%,29.809496955118888,0.0196121312814469,18.79032869538013,18.4879,18.18547130461987,0.08519147846628834,-118.49464710467225,-5.0,0.0,3.0,18.931617442026276,0.22169959260262065,18.27696875,,-35.64704656685037,,falling,-0.43400000000000105,0.08519147846628834,29.809496955118888,-118.49464710467225,0.0196121312814469,0.22169959260262065,18.27696875,,-35.64704656685037,,0.0,3.0,falling,11.200000000000037
PYTHUSDT,Sell,45,0.16914,0.16643376,0.17195686,Bearish,2025-09-06T21:53:04.318266+00:00,2025-09-07T03:23:04.318266+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.14}]}",Fail,13,,13.0,11.20%,43.045017420453824,-0.0005123235162538682,0.17590450135529817,0.171725,0.1675454986447018,0.19075258263487843,-101.684579617348,-5.0,0.0,3.0,0.1696854070209361,0.0015649230075420527,0.16852375,,-4.015444222199304,,falling,-0.0017599999999999838,0.19075258263487843,43.045017420453824,-101.684579617348,-0.0005123235162538682,0.0015649230075420527,0.16852375,,-4.015444222199304,,0.0,3.0,falling,11.199999999999994
TRXUSDT,Strong Sell,65,0.31386,0.31120673,0.31651327,Bearish,2025-09-06T21:53:17.886149+00:00,2025-09-07T03:23:17.886149+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",Success,3,3.0,,5.92%,5.988772756608,-0.0007709725264760602,0.32949857299337326,0.32202849999999994,0.3145584270066266,-0.04674833882120145,-185.63623926861328,-5.0,0.0,3.0,0.323673422716508,0.001474039126932178,0.317105,,-76.77823787735733,,falling,-0.011850000000000027,-0.04674833882120145,5.988772756608,-185.63623926861328,-0.0007709725264760602,0.001474039126932178,0.317105,,-76.77823787735733,,0.0,3.0,falling,5.917572484338667
WLDUSDT,Buy,44,0.9586,0.96557917,0.9509312,Bearish,2025-09-06T21:53:23.275421+00:00,2025-09-07T03:23:23.275421+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",Fail,11,,11.0,5.10%,81.47011058821873,0.0016585276007638388,0.9613333703342063,0.9411900000000001,0.9210466296657939,0.9321521103753763,153.80080761635259,-5.0,3.0,0.0,0.9337727311828589,0.003877319351893121,0.9530218749999999,,46.742230749810815,,rising,0.03469999999999995,0.9321521103753763,81.47011058821873,153.80080761635259,0.0016585276007638388,0.003877319351893121,0.9530218749999999,,46.742230749810815,,3.0,0.0,rising,5.096413919659209
LTCUSDT,Sell,43,111.79,110.985112,112.68432,Bearish,2025-09-06T21:53:24.627721+00:00,2025-09-07T03:23:24.627721+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Fail,233,,233.0,5.04%,37.392329260345264,-0.03311894972482149,112.31457617335302,112.01700000000001,111.719423826647,0.11858505430352623,-126.03062426382805,-5.0,3.0,0.0,112.0168962908089,0.13776952237436463,111.83828125,,-12.813846331540468,,falling,-0.3499999999999943,0.11858505430352623,37.392329260345264,-126.03062426382805,-0.03311894972482149,0.13776952237436463,111.83828125,,-12.813846331540468,,3.0,0.0,falling,5.040000000000033
XPLUSDT,Sell,49,0.6581,0.65109976,0.66510024,Bearish,2025-09-06T21:53:38.017963+00:00,2025-09-07T03:23:38.017963+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 15.58}]}",Fail,8,,8.0,7.45%,24.631843283212433,-6.769166537711965e-05,0.677108493381897,0.6657649999999999,0.6544215066181028,0.16214111729318023,-107.21674577096132,-5.0,0.0,3.0,0.6762814305527676,0.0038890225570791083,0.6577000000000001,,-46.45969741757026,,falling,-0.015100000000000002,0.16214111729318023,24.631843283212433,-107.21674577096132,-6.769166537711965e-05,0.0038890225570791083,0.6577000000000001,,-46.45969741757026,,0.0,3.0,falling,7.445932870262395
ARIAUSDT,Sell,41,0.1206,0.11889169,0.12230831,Bearish,2025-09-06T21:53:48.299473+00:00,2025-09-07T03:23:48.299473+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,11,11.0,,9.92%,62.62189911746107,8.825917001440895e-05,0.12114435427862853,0.11947649999999999,0.11780864572137144,0.8368100002488981,136.83312641989158,-5.0,0.0,3.0,0.11859563426139651,0.0009490608455706268,0.1204746875,,25.879354373751053,,rising,0.0027399999999999924,0.8368100002488981,62.62189911746107,136.83312641989158,8.825917001440895e-05,0.0009490608455706268,0.1204746875,,25.879354373751053,,0.0,3.0,rising,9.91556107312599
JELLYJELLYUSDT,Sell,40,0.03804,0.03757364,0.03850636,Bearish,2025-09-06T21:53:49.184024+00:00,2025-09-07T03:23:49.184024+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.01}]}",Success,21,21.0,,8.58%,34.07745014083471,-3.226748393987295e-05,0.03911745586738113,0.0385355,0.03795354413261887,0.07428043278452233,-142.1077730090583,-5.0,0.0,3.0,0.03892960293251223,0.0002590898432965101,0.03813171875,,-25.849642472977543,,falling,-0.0008000000000000021,0.07428043278452233,34.07745014083471,-142.1077730090583,-3.226748393987295e-05,0.0002590898432965101,0.03813171875,,-25.849642472977543,,0.0,3.0,falling,8.581840235373358
USELESSUSDT,Buy,40,0.2124,0.2155885,0.2092115,Bearish,2025-09-06T21:53:57.004749+00:00,2025-09-07T03:23:57.004749+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",Fail,77,,77.0,10.51%,66.71712667944712,0.0004488816102756327,0.21111724015754593,0.2083,0.2054827598424541,1.2276624942708962,276.9847232657136,-5.0,3.0,0.0,0.2080472701740042,0.0017713896044276797,0.2086046875,,11.756748761234524,,rising,0.0039000000000000146,1.2276624942708962,66.71712667944712,276.9847232657136,0.0004488816102756327,0.0017713896044276797,0.2086046875,,11.756748761234524,,3.0,0.0,rising,10.508243416096409
LPTUSDT,Sell,41,7.005,6.954564,7.06104,Bearish,2025-09-06T21:53:59.690097+00:00,2025-09-07T03:23:59.690097+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,64,64.0,,5.04%,51.72091891286151,0.0039421765094110415,7.00613872197378,6.9932,6.980261278026219,0.9559955776123812,142.5990861757214,-5.0,0.0,3.0,7.019273250587882,0.015393496671149942,6.992718750000001,,-10.763015661944744,,rising,0.024999999999999467,0.9559955776123812,51.72091891286151,142.5990861757214,0.0039421765094110415,0.015393496671149942,6.992718750000001,,-10.763015661944744,,0.0,3.0,rising,5.0400000000000365
