Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
ETHUSDT,Buy,43,4309.39,4340.417608,4180.1083,Bullish,2025-09-08T03:31:35.911818+00:00,2025-09-08T09:01:35.911818+05:30,Inconclusive,300,,,5.04%,62.961989974675674,3.533194755011209,2.0848953000700976,1.4482994549411115,4317.526078827423,4297.755999999999,4277.985921172576,0.794232514234169,86.11576027293228,10.0,3.0,0.0,4298.829520423982,7.125509251460321,4313.16625,0.32374999999956344,,15.97011454779148,,rising,21556.515999999992,4.0,13.878133715349964,15.0,5.0,0.0,5.0,0.794232514234169,62.961989974675674,86.11576027293228,1.4482994549411115,7.125509251460321,4313.16625,,15.97011454779148,,3.0,0.0,rising,21556.515999999992,5.040000000000052,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.12}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
SOMIUSDT,Buy,40,1.52,1.530944,1.4744,Bullish,2025-09-08T03:31:40.367574+00:00,2025-09-08T09:01:40.367574+05:30,Success,6,6.0,,5.04%,39.2580231625648,-0.04447167329418478,-0.033957872594773904,-0.010513800699410873,1.7262105699106463,1.57651,1.426809430089354,0.31125656357310477,-73.80098993002225,10.0,3.0,0.0,1.5958550090607242,0.039755016292186154,1.460596875,-0.022431250000000125,,-39.454023667098674,,falling,-42192772.0,12.0,5.0,8.0,10.0,0.0,5.0,0.31125656357310477,39.2580231625648,-73.80098993002225,-0.010513800699410873,0.039755016292186154,1.460596875,,-39.454023667098674,,3.0,0.0,falling,-42192772.0,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
XRPUSDT,Buy,40,2.8891,2.90990152,2.802427,Bullish,2025-09-08T03:31:42.135688+00:00,2025-09-08T09:01:42.135688+05:30,Success,274,274.0,,5.04%,57.94318694364557,0.0033590285526967634,0.00272795839849498,0.0006310701542017834,2.8971763734187257,2.880935,2.8646936265812744,0.7513642100792428,77.39992915338424,10.0,3.0,0.0,2.8788667815916096,0.0062766693057256275,2.8932109374999997,0.0003484375000000206,,13.78914318317369,,rising,483808.50000000023,4.0,11.413012851740778,15.0,5.0,0.0,5.0,0.7513642100792428,57.94318694364557,77.39992915338424,0.0006310701542017834,0.0062766693057256275,2.8932109374999997,,13.78914318317369,,3.0,0.0,rising,483808.50000000023,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.59}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
ENAUSDT,Buy,44,0.7537,0.75912664,0.731089,Bullish,2025-09-08T03:31:44.806891+00:00,2025-09-08T09:01:44.806891+05:30,Success,2,2.0,,5.04%,70.92662870754758,0.0025528085097850095,0.0014769395672610734,0.001075868942523936,0.7538951346302949,0.74398,0.734064865369705,0.9901597589154948,153.40795807342832,10.0,3.0,0.0,0.7436049961787002,0.003483558291804843,0.750475,0.0008812499999999446,,22.89427002402332,,rising,27675756.0,8.0,11.412206846464624,15.0,5.0,0.0,5.0,0.9901597589154948,70.92662870754758,153.40795807342832,0.001075868942523936,0.003483558291804843,0.750475,,22.89427002402332,,3.0,0.0,rising,27675756.0,5.040000000000035,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.59}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
TAUSDT,Buy,44,0.22323,0.22483726,0.2165331,Bullish,2025-09-08T03:31:49.233675+00:00,2025-09-08T09:01:49.233675+05:30,Success,2,2.0,,5.04%,76.78589513248725,0.013008881310107162,0.010369808100657539,0.002639073209449623,0.22072498325187037,0.19280199999999997,0.16487901674812958,1.0448558222725333,204.0904923877679,10.0,3.0,0.0,0.1748098505294167,0.0094407108416862,0.20667531249999999,0.006200468750000021,,41.986158065411786,,rising,105018884.0,8.0,10.709002964810459,15.0,5.0,0.0,5.0,1.0448558222725333,76.78589513248725,204.0904923877679,0.002639073209449623,0.0094407108416862,0.20667531249999999,,41.986158065411786,,3.0,0.0,rising,105018884.0,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.29}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
1000PEPEUSDT,Buy,45,0.0100536,0.01012599,0.00975199,Bullish,2025-09-08T03:31:51.003937+00:00,2025-09-08T09:01:51.003937+05:30,Success,297,297.0,,5.04%,69.62008120127793,4.7973450270005075e-05,3.810502845521213e-05,9.868421814792941e-06,0.010117236271394898,0.009943535,0.009769833728605102,0.8168226666279668,92.15783561621164,10.0,3.0,0.0,0.009916114200259408,3.5245404294012716e-05,0.0100900453125,1.1893749999998537e-05,,37.70657616126656,,rising,1598558864.0,4.0,15.719801582621198,15.0,5.0,0.0,5.0,0.8168226666279668,69.62008120127793,92.15783561621164,9.868421814792941e-06,3.5245404294012716e-05,0.0100900453125,,37.70657616126656,,3.0,0.0,rising,1598558864.0,5.0399999999999485,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
SUIUSDT,Buy,46,3.4158,3.44039376,3.313326,Bullish,2025-09-08T03:31:51.909082+00:00,2025-09-08T09:01:51.909082+05:30,Inconclusive,300,,,5.04%,72.85103369283296,0.009179078380351147,0.006472679749085629,0.0027063986312655178,3.4297746069808523,3.392285,3.354795393019148,0.8136202523009917,91.86480376937213,10.0,3.0,0.0,3.3908946462594916,0.007885246983255278,3.4227828125,0.0017453125000002068,,36.03743280301991,,rising,2415641.3,4.0,17.237353539883358,15.0,5.0,0.0,5.0,0.8136202523009917,72.85103369283296,91.86480376937213,0.0027063986312655178,0.007885246983255278,3.4227828125,,36.03743280301991,,3.0,0.0,rising,2415641.3,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,
LINKUSDT,Buy,45,22.615,22.777828,21.93655,Bullish,2025-09-08T03:31:53.674943+00:00,2025-09-08T09:01:53.674943+05:30,Success,10,10.0,,5.04%,72.20500702489872,0.06892241274840316,0.05146601886113615,0.01745639388726701,22.71738997110011,22.443849999999998,22.170310028899884,0.8128427617208477,89.27073072853949,10.0,3.0,0.0,22.41665508720365,0.0619555057924817,22.664140624999998,0.008140624999995794,,34.628787739851674,,rising,717950.75,4.0,15.762166621602308,15.0,5.0,0.0,5.0,0.8128427617208477,72.20500702489872,89.27073072853949,0.01745639388726701,0.0619555057924817,22.664140624999998,,34.628787739851674,,3.0,0.0,rising,717950.75,5.040000000000034,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
ADAUSDT,Buy,43,0.8428,0.84886816,0.817516,Bullish,2025-09-08T03:31:54.578660+00:00,2025-09-08T09:01:54.578660+05:30,Inconclusive,300,,,5.04%,68.10262418282448,0.0024284765931547048,0.0019560423379554113,0.00047243425519929343,0.8467544792217622,0.837275,0.8277955207782378,0.7914189625162203,84.08970654076262,10.0,3.0,0.0,0.8358579726578681,0.0022394284765384002,0.8453281249999999,0.00036562500000003606,,31.871733971500387,,rising,9570786.0,4.0,14.063087409832988,15.0,5.0,0.0,5.0,0.7914189625162203,68.10262418282448,84.08970654076262,0.00047243425519929343,0.0022394284765384002,0.8453281249999999,,31.871733971500387,,3.0,0.0,rising,9570786.0,5.039999999999991,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.94}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
AVAXUSDT,Buy,43,24.918,25.0974096,24.17046,Bullish,2025-09-08T03:31:56.340316+00:00,2025-09-08T09:01:56.340316+05:30,Inconclusive,300,,,5.04%,64.62177589834974,0.07278827900486107,0.059775163839619,0.013013115165242069,25.072853291265584,24.763799999999996,24.454746708734408,0.7494715383365544,71.19638014962864,10.0,3.0,0.0,24.723743580651167,0.06562473959497726,25.009624999999996,0.0034999999999989484,,28.325226708645403,,rising,306806.0,4.0,13.759101002051265,15.0,5.0,0.0,5.0,0.7494715383365544,64.62177589834974,71.19638014962864,0.013013115165242069,0.06562473959497726,25.009624999999996,,28.325226708645403,,3.0,0.0,rising,306806.0,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.24}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
