Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI<=30_and_CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence
WLFIUSDT,Buy,54,0.2123,0.21382856,0.205931,Bullish,2025-09-08T04:32:43.824665+00:00,2025-09-08T10:02:43.824665+05:30,Success,19,19.0,,5.04%,23.114815221636903,-0.004404916666986752,-0.003255717703845153,-0.0011491989631415992,0.23441845087801558,0.22149000000000002,0.20856154912198446,0.1445823213194339,-115.32314900290811,10.0,0.0,3.0,0.22406099281748285,0.0025173000585532084,0.2114890625,-0.0017046874999999961,,-52.71642251122467,,falling,-525025694.0,24.0,0.0,8.0,5.0,12.0,5.0,0.1445823213194339,23.114815221636903,-115.32314900290811,-0.0011491989631415992,0.0025173000585532084,0.2114890625,,-52.71642251122467,,0.0,3.0,falling,-525025694.0,5.04000000000004,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.0017046874999999961,Buy,54,
TAUSDT,Buy,59,0.13936,0.14036339,0.1351792,Bullish,2025-09-08T04:32:51.032843+00:00,2025-09-08T10:02:51.032843+05:30,Fail,1,,1.0,5.04%,29.683952498103167,-0.01097669794225617,-0.0030498328749104004,-0.00792686506734577,0.24667840769249572,0.184785,0.12289159230750428,0.13303846327476043,-118.54514796158355,10.0,3.0,0.0,0.1720396746789858,0.013043471180280698,0.13822671874999998,-0.012863593750000013,,-22.288842269945775,,falling,-252556869.0,24.0,0.0,8.0,10.0,12.0,5.0,0.13303846327476043,29.683952498103167,-118.54514796158355,-0.00792686506734577,0.013043471180280698,0.13822671874999998,,-22.288842269945775,,3.0,0.0,falling,-252556869.0,5.039999999999958,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.012863593750000013,Buy,59,
REDUSDT,Buy,54,0.6857,0.69063704,0.665129,Bullish,2025-09-08T04:32:57.221993+00:00,2025-09-08T10:02:57.221993+05:30,Success,12,12.0,,5.04%,20.86721723815802,-0.01121990451829713,-0.008386517836601584,-0.0028333866816955457,0.7401607517167559,0.71074,0.6813192482832442,0.07445003035494901,-146.2812730470299,10.0,0.0,3.0,0.7183875972985776,0.007000990441735849,0.6911234375000002,-0.003937500000000038,,-44.20910553241533,,falling,-11886462.0,24.0,0.0,8.0,5.0,12.0,5.0,0.07445003035494901,20.86721723815802,-146.2812730470299,-0.0028333866816955457,0.007000990441735849,0.6911234375000002,,-44.20910553241533,,0.0,3.0,falling,-11886462.0,5.039999999999948,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.003937500000000038,Buy,54,
DOTUSDT,Buy,46,4.032,4.0610304,3.91104,Bullish,2025-09-08T04:33:04.444605+00:00,2025-09-08T10:03:04.444605+05:30,Inconclusive,300,,,5.04%,47.086569925469135,0.0027070799020405545,0.0063774409555964265,-0.003670361053555872,4.0672163838853725,4.046950000000001,4.026683616114629,0.13116261676086388,-125.81344902386964,10.0,3.0,0.0,4.027545169115007,0.012795180246500785,4.03425,-0.004312500000000163,,6.165247638605834,,falling,-358820.89999999997,12.0,4.0,15.0,10.0,0.0,5.0,0.13116261676086388,47.086569925469135,-125.81344902386964,-0.003670361053555872,0.012795180246500785,4.03425,,6.165247638605834,,3.0,0.0,falling,-358820.89999999997,5.039999999999982,,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,,Buy,46,46.0
FARTCOINUSDT,Buy,45,0.7639,0.76940008,0.740983,Bullish,2025-09-08T04:33:09.568300+00:00,2025-09-08T10:03:09.568300+05:30,Success,161,161.0,,5.04%,51.28499144260931,0.000329533861042286,0.0012446952231901212,-0.0009151613621478352,0.7754031515653147,0.7663,0.7571968484346853,0.3681775216648837,-38.87832151708749,10.0,3.0,0.0,0.7609337199947305,0.004040904909725397,0.7593125000000001,-0.0015374999999998584,,2.553500854444431,,falling,-3665586.9000000004,6.0,9.0,15.0,10.0,0.0,5.0,0.3681775216648837,51.28499144260931,-38.87832151708749,-0.0009151613621478352,0.004040904909725397,0.7593125000000001,,2.553500854444431,,3.0,0.0,falling,-3665586.9000000004,5.040000000000017,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,,Buy,45,45.0
PENGUUSDT,Buy,40,0.030756,0.03097744,0.02983332,Bullish,2025-09-08T04:33:11.668559+00:00,2025-09-08T10:03:11.668559+05:30,Success,161,161.0,,5.04%,53.99420072335246,5.3611960822475685e-05,8.220120845232714e-05,-2.858924762985146e-05,0.031049113562006625,0.030817499999999998,0.03058588643799337,0.36723575366834665,-29.833580604721945,10.0,3.0,0.0,0.03052771567537475,0.00016374483063318388,0.030613328125000002,-2.493749999999892e-05,,10.260189287473901,,falling,-142505274.0,6.0,4.0,15.0,10.0,0.0,5.0,0.36723575366834665,53.99420072335246,-29.833580604721945,-2.858924762985146e-05,0.00016374483063318388,0.030613328125000002,,10.260189287473901,,3.0,0.0,falling,-142505274.0,5.0400000000000205,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,,Buy,40,40.0
IPUSDT,Buy,41,8.6548,8.71711456,8.395156,Bullish,2025-09-08T04:33:12.710882+00:00,2025-09-08T10:03:12.710882+05:30,Success,7,7.0,,5.04%,36.20963657420129,-0.016326333593578823,0.0059796522062177514,-0.022305985799796577,8.921091371903858,8.771564999999999,8.62203862809614,0.10955048091758754,-120.05388613366969,10.0,3.0,0.0,8.712386966754194,0.0488811593035054,8.678460937499999,-0.028948437500000423,,-10.046820732654432,,falling,-538982.7000000001,18.0,0.0,8.0,10.0,0.0,5.0,0.10955048091758754,36.20963657420129,-120.05388613366969,-0.022305985799796577,0.0488811593035054,8.678460937499999,,-10.046820732654432,,3.0,0.0,falling,-538982.7000000001,5.040000000000064,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,,Buy,41,41.0
PYTHUSDT,Buy,41,0.16414,0.16532181,0.1592158,Bullish,2025-09-08T04:33:14.789481+00:00,2025-09-08T10:03:14.789481+05:30,Success,118,118.0,,5.04%,31.537435495112234,-0.00041698776959045447,-0.00018992906440395496,-0.0002270587051864995,0.1674692743055165,0.16574850000000002,0.16402772569448354,0.032623193278903076,-137.63216408766937,10.0,3.0,0.0,0.16561512606782913,0.000773887939538855,0.164771875,-0.0004415624999999923,,-19.31564068624332,,falling,-3698286.0,18.0,0.0,8.0,10.0,0.0,5.0,0.032623193278903076,31.537435495112234,-137.63216408766937,-0.0002270587051864995,0.000773887939538855,0.164771875,,-19.31564068624332,,3.0,0.0,falling,-3698286.0,5.040000000000027,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,,Buy,41,41.0
QUSDT,Strong Buy,67,0.010319,0.0103933,0.01000943,Bullish,2025-09-08T04:33:18.894636+00:00,2025-09-08T10:03:18.894636+05:30,Success,7,7.0,,5.04%,29.507284767858607,-0.00012866628303732225,-2.5435065104143098e-05,-0.00010323121793317915,0.011533317266577124,0.01092655,0.010319782733422876,-0.0006450030069117769,-171.54736867551495,10.0,3.0,0.0,0.010774065911121533,0.00017776288362207607,0.010637125,-0.00014146874999999837,,-20.03930118029473,,falling,-188330781.0,32.0,0.0,8.0,10.0,12.0,5.0,-0.0006450030069117769,29.507284767858607,-171.54736867551495,-0.00010323121793317915,0.00017776288362207607,0.010637125,,-20.03930118029473,,3.0,0.0,falling,-188330781.0,5.040000000000001,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,not_in_gap_or_already_strong,,Buy,67,67.0
ARBUSDT,Buy,46,0.4972,0.50077984,0.482284,Bullish,2025-09-08T04:33:29.184204+00:00,2025-09-08T10:03:29.184204+05:30,Success,282,282.0,,5.04%,46.22509063929817,0.00032098147147602285,0.0008954168324104334,-0.0005744353609344106,0.5027350789464434,0.49935999999999997,0.4959849210535565,0.18000748511732875,-100.79752808050608,10.0,3.0,0.0,0.49681646131331236,0.001587479660521665,0.49765625,-0.00089843749999996,,6.721379301896185,,falling,-2443258.5999999987,12.0,4.0,15.0,10.0,0.0,5.0,0.18000748511732875,46.22509063929817,-100.79752808050608,-0.0005744353609344106,0.001587479660521665,0.49765625,,6.721379301896185,,3.0,0.0,falling,-2443258.5999999987,5.040000000000002,,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,,Buy,46,46.0
