Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
ETHUSDT,Buy,48,4304.2,4335.19024,4175.074,Bullish,2025-09-08T07:26:56.697189+00:00,2025-09-08T12:56:56.697189+05:30,Success,202,202.0,,5.04%,61.64857949208343,0.6084653120242365,-0.6431838417420482,1.2516491537662846,4303.622835119068,4295.0035,4286.384164880931,1.0334808238082374,187.47362646634363,10.0,3.0,0.0,4297.087027818906,5.390196967351347,4294.1509375000005,0.24671875000058208,,2.918646307030306,,rising,8445.150999999998,8.0,14.573002224657436,15.0,5.0,0.0,5.0,1.0334808238082374,61.64857949208343,187.47362646634363,1.2516491537662846,5.390196967351347,4294.1509375000005,,2.918646307030306,,3.0,0.0,rising,8445.150999999998,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.43}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
BTCUSDT,Buy,60,111450.0,112252.44,108106.5,Bullish,2025-09-08T07:26:57.692197+00:00,2025-09-08T12:56:57.692197+05:30,Inconclusive,300,,,5.04%,75.13155877676282,93.06271768597071,54.80964426160737,38.25307342436334,111401.10319426267,111095.88,110790.65680573734,1.0801000819342195,220.54589985448328,10.0,3.0,0.0,111063.44245771508,88.99231084179485,111239.2,29.63749999999709,,28.566145674823957,,rising,1988.933,8.0,19.31632680959163,15.0,5.0,0.0,5.0,1.0801000819342195,75.13155877676282,220.54589985448328,38.25307342436334,88.99231084179485,111239.2,,28.566145674823957,,3.0,0.0,rising,1988.933,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,52.0,60.0,29.63749999999709,
SOLUSDT,Buy,59,208.34,209.840048,202.0898,Bullish,2025-09-08T07:26:58.753434+00:00,2025-09-08T12:56:58.753434+05:30,Success,140,140.0,,5.04%,65.92204259697846,0.2023513729538422,0.04976900996364234,0.15258236299019987,208.31853813030125,207.33849999999998,206.35846186969871,1.0109495074911814,207.8708375378505,10.0,3.0,0.0,207.3401174288236,0.4214758072067162,207.69796874999997,0.14453125,,13.091307166994664,,rising,303463.86,8.0,17.68846241978665,15.0,5.0,0.0,5.0,1.0109495074911814,65.92204259697846,207.8708375378505,0.15258236299019987,0.4214758072067162,207.69796874999997,,13.091307166994664,,3.0,0.0,rising,303463.86,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,59,51.0,59.0,0.14453125,
MYXUSDT,Buy,42,3.8966,3.92465552,3.779702,Bullish,2025-09-08T07:27:00.810676+00:00,2025-09-08T12:57:00.810676+05:30,Success,1,1.0,,5.04%,70.23209951885686,0.045711624620066615,0.03322155237261198,0.012490072247454638,3.8815084754432463,3.7582999999999998,3.635091524556753,1.061243857220298,242.55683049546923,10.0,3.0,0.0,3.7054711399289566,0.06282188550846701,3.7785890625,0.011084374999999813,,24.109943193014473,,rising,9627327.0,8.0,8.77161313310964,15.0,5.0,0.0,5.0,1.061243857220298,70.23209951885686,242.55683049546923,0.012490072247454638,0.06282188550846701,3.7785890625,,24.109943193014473,,3.0,0.0,rising,9627327.0,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.23}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
XRPUSDT,Buy,59,2.897,2.9178584,2.81009,Bullish,2025-09-08T07:27:04.832676+00:00,2025-09-08T12:57:04.832676+05:30,Success,73,73.0,,5.04%,66.45013647968813,0.0014266972393190969,-0.000456730390058489,0.0018834276293775859,2.8958474437907853,2.8828000000000005,2.8697525562092157,1.0441678932554028,160.97899592458174,10.0,3.0,0.0,2.8831426070383825,0.0051335573335935065,2.88104375,0.002787500000000165,,6.606161544863346,,rising,741967.2000000007,8.0,17.805251440217255,15.0,5.0,0.0,5.0,1.0441678932554028,66.45013647968813,160.97899592458174,0.0018834276293775859,0.0051335573335935065,2.88104375,,6.606161544863346,,3.0,0.0,rising,741967.2000000007,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,59,51.0,59.0,0.002787500000000165,
TAUSDT,Buy,45,0.17052,0.17174774,0.1654044,Bullish,2025-09-08T07:27:08.997640+00:00,2025-09-08T12:57:08.997640+05:30,Success,1,1.0,,5.04%,66.30973582504029,0.004396731501255358,0.0020457467893052997,0.002350984711950058,0.17472120144663641,0.1524865,0.13025179855336358,0.9055260207401626,141.66173062734455,10.0,3.0,0.0,0.15544663555020785,0.006904768628233531,0.1639171875,0.00025921875000001204,,17.536520280816106,,rising,192407781.0,8.0,12.17169062784895,15.0,5.0,0.0,5.0,0.9055260207401626,66.30973582504029,141.66173062734455,0.002350984711950058,0.006904768628233531,0.1639171875,,17.536520280816106,,3.0,0.0,rising,192407781.0,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.83}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
SUIUSDT,Buy,48,3.4139,3.43848008,3.311483,Bullish,2025-09-08T07:27:13.037212+00:00,2025-09-08T12:57:13.037212+05:30,Success,66,66.0,,5.04%,65.7873466469488,0.0037024242797580875,0.0019062255425816709,0.0017961987371764166,3.411267181300832,3.3976949999999997,3.384122818699167,1.0969932039961134,217.59578300871453,10.0,3.0,0.0,3.3957139799145977,0.007685681953779556,3.3998546874999995,0.0009718749999998444,,13.813079970808825,,rising,1430659.1999999997,8.0,14.60897132505393,15.0,5.0,0.0,5.0,1.0969932039961134,65.7873466469488,217.59578300871453,0.0017961987371764166,0.007685681953779556,3.3998546874999995,,13.813079970808825,,3.0,0.0,rising,1430659.1999999997,5.039999999999956,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.39}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
1000PEPEUSDT,Buy,45,0.0100672,0.01013968,0.00976518,Bullish,2025-09-08T07:27:14.056604+00:00,2025-09-08T12:57:14.056604+05:30,Success,61,61.0,,5.04%,61.35723199528043,7.911856348612883e-06,4.301660258795791e-06,3.6101960898170923e-06,0.010061767837940673,0.010020735,0.009979702162059326,1.0661928632280009,183.38318378198292,10.0,3.0,0.0,0.010002596266655244,2.978768680579107e-05,0.0100132453125,4.6875000000012185e-06,,6.685423777027879,,rising,139716147.0,8.0,11.908742351177315,15.0,5.0,0.0,5.0,1.0661928632280009,61.35723199528043,183.38318378198292,3.6101960898170923e-06,2.978768680579107e-05,0.0100132453125,,6.685423777027879,,3.0,0.0,rising,139716147.0,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.09}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
ADAUSDT,Buy,48,0.8448,0.85088256,0.819456,Bullish,2025-09-08T07:27:16.149475+00:00,2025-09-08T12:57:16.149475+05:30,Success,159,159.0,,5.04%,64.92907870240427,0.001462675076732367,0.0008744047125650194,0.0005882703641673476,0.8456005098742395,0.8396699999999999,0.8337394901257603,0.9325091862913255,134.9431818181804,10.0,3.0,0.0,0.8390883781296608,0.002211378085327839,0.8435046874999999,0.00033906249999993143,,16.972732574833028,,rising,8564573.0,8.0,15.384475288821207,15.0,5.0,0.0,5.0,0.9325091862913255,64.92907870240427,134.9431818181804,0.0005882703641673476,0.002211378085327839,0.8435046874999999,,16.972732574833028,,3.0,0.0,rising,8564573.0,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
LINKUSDT,Buy,47,22.482,22.6438704,21.80754,Bullish,2025-09-08T07:27:17.147405+00:00,2025-09-08T12:57:17.147405+05:30,Success,103,103.0,,5.04%,55.956081687460994,-0.002797452474332829,-0.011360382224786874,0.008562929750454045,22.509379870569656,22.426099999999998,22.34282012943034,0.8356153150673092,104.94347307072061,10.0,3.0,0.0,22.44657975642375,0.053099540913029035,22.430343750000002,-0.0024999999999977263,,-1.6451406517895253,,falling,-36734.600000000006,8.0,8.870284196006505,15.0,10.0,0.0,5.0,0.8356153150673092,55.956081687460994,104.94347307072061,0.008562929750454045,0.053099540913029035,22.430343750000002,,-1.6451406517895253,,3.0,0.0,falling,-36734.600000000006,5.040000000000048,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.13}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,
