Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
BTCUSDT,Buy,43,111606.3,112409.86536,108258.111,Bullish,2025-09-08T08:36:08.174808+00:00,2025-09-08T14:06:08.174808+05:30,Inconclusive,300,,,5.04%,65.6546347006542,116.89373653699295,85.17535021702231,31.718386319970634,111637.9073460323,111331.56000000001,111025.21265396773,0.9484125675615223,178.90782423218204,10.0,3.0,0.0,111196.86181765218,119.33694796434538,111349.5015625,57.20000000001164,,24.627505950611077,,rising,2684.0530000000003,8.0,10.378923582885104,15.0,5.0,0.0,5.0,0.9484125675615223,65.6546347006542,178.90782423218204,31.718386319970634,119.33694796434538,111349.5015625,,24.627505950611077,,3.0,0.0,rising,2684.0530000000003,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.62}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
SOLUSDT,Buy,41,208.7,210.20264,202.439,Bullish,2025-09-08T08:36:09.201252+00:00,2025-09-08T14:06:09.201252+05:30,Success,73,73.0,,5.04%,61.17287953091895,0.288669666812126,0.20077026637350984,0.08789940043861619,209.12124583141158,208.0595,206.99775416858844,0.8016258604700345,120.89431530615146,10.0,3.0,0.0,207.69964205358008,0.4912936893656206,207.90546874999995,0.11359374999994998,,17.675012025629552,,rising,892555.7799999999,8.0,8.293939971528589,15.0,5.0,0.0,5.0,0.8016258604700345,61.17287953091895,120.89431530615146,0.08789940043861619,0.4912936893656206,207.90546874999995,,17.675012025629552,,3.0,0.0,rising,892555.7799999999,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.71}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
MYXUSDT,Buy,45,4.3234,4.35452848,4.193698,Bullish,2025-09-08T08:36:11.217284+00:00,2025-09-08T14:06:11.217284+05:30,Success,20,20.0,,5.04%,77.36172519987694,0.12892628693503827,0.11611657658866446,0.012809710346373807,4.427606852088671,4.050835,3.6740631479113297,0.8617109379177482,113.27877445956217,10.0,3.0,0.0,3.90294972270323,0.10386998255200153,4.27095,-0.015446875000000304,,47.64075695494804,,rising,27214200.0,8.0,11.95978723361254,15.0,5.0,0.0,5.0,0.8617109379177482,77.36172519987694,113.27877445956217,0.012809710346373807,0.10386998255200153,4.27095,,47.64075695494804,,3.0,0.0,rising,27214200.0,5.03999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.04}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
DOGEUSDT,Buy,42,0.23351,0.23519127,0.2265047,Bullish,2025-09-08T08:36:15.371689+00:00,2025-09-08T14:06:15.371689+05:30,Success,248,248.0,,5.04%,59.11809813487474,0.0004912774638440032,0.0003551321307716866,0.00013614533307231659,0.23420836770267836,0.23258450000000003,0.2309606322973217,0.7849677958596906,116.80517082178842,10.0,3.0,0.0,0.23210352449961194,0.0007168094708667081,0.23370093749999998,0.00023031249999999615,,20.148687795671805,,rising,46758316.0,8.0,8.558377262768047,15.0,5.0,0.0,5.0,0.7849677958596906,59.11809813487474,116.80517082178842,0.00013614533307231659,0.0007168094708667081,0.23370093749999998,,20.148687795671805,,3.0,0.0,rising,46758316.0,5.040000000000035,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.44}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
TAUSDT,Buy,40,0.18255,0.18386436,0.1770735,Bullish,2025-09-08T08:36:17.435674+00:00,2025-09-08T14:06:17.435674+05:30,Success,1,1.0,,5.04%,64.71942363993563,0.00770683476368314,0.00694146925721955,0.0007653655064635903,0.1908409773560784,0.1721015,0.15336202264392157,0.7787831218945622,100.95416431860289,10.0,3.0,0.0,0.1648035292970343,0.0066649220740761655,0.185064375,0.0018579687499999942,,30.756893679766833,,rising,99970628.0,8.0,6.756037047540768,15.0,5.0,0.0,5.0,0.7787831218945622,64.71942363993563,100.95416431860289,0.0007653655064635903,0.0066649220740761655,0.185064375,,30.756893679766833,,3.0,0.0,rising,99970628.0,5.0399999999999485,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.24}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
NMRUSDT,Buy,48,18.808,18.9434176,18.24376,Bullish,2025-09-08T08:36:19.520117+00:00,2025-09-08T14:06:19.520117+05:30,Inconclusive,300,,,5.04%,29.735497326031734,-0.07907241085973027,-0.07314167708418867,-0.005930733775541597,19.211065323584492,18.9432,18.67533467641551,0.24763437426166934,-78.30184143468429,10.0,0.0,3.0,19.061291085795908,0.07960606281699485,18.747484375,0.001984374999999261,,-34.868754214068936,,falling,-249444.49999999994,18.0,0.0,8.0,5.0,12.0,5.0,0.24763437426166934,29.735497326031734,-78.30184143468429,-0.005930733775541597,0.07960606281699485,18.747484375,,-34.868754214068936,,0.0,3.0,falling,-249444.49999999994,5.04000000000001,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,1.0,,,
BNBUSDT,Buy,44,870.31,876.576232,844.2007,Bullish,2025-09-08T08:36:22.572890+00:00,2025-09-08T14:06:22.572890+05:30,Success,83,83.0,,5.04%,34.12755584155586,-0.4535945759853348,-0.41582175785339476,-0.037772818131940056,877.6628939721247,874.765,871.8671060278753,-0.26866166306520134,-179.1298436437937,10.0,0.0,3.0,875.8053160848032,1.5999218110712006,873.9084375000002,0.06250000000022737,,-10.360446828659873,,falling,-13382.849999999999,26.0,0.0,8.0,5.0,0.0,5.0,-0.26866166306520134,34.12755584155586,-179.1298436437937,-0.037772818131940056,1.5999218110712006,873.9084375000002,,-10.360446828659873,,0.0,3.0,falling,-13382.849999999999,5.0399999999999565,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
1000PEPEUSDT,Buy,45,0.0101434,0.01021643,0.0098391,Bullish,2025-09-08T08:36:23.603049+00:00,2025-09-08T14:06:23.603049+05:30,Success,46,46.0,,5.04%,65.41641602028842,2.9618130453093125e-05,1.529954980178643e-05,1.4318580651306693e-05,0.010151221787079005,0.010049230000000001,0.009947238212920997,0.9616548189662298,195.64982978264337,10.0,3.0,0.0,0.010029717342419552,4.349128033257365e-05,0.0100831484375,2.2989062500001003e-05,,22.61768765623685,,rising,2898282141.0,8.0,11.901490436784872,15.0,5.0,0.0,5.0,0.9616548189662298,65.41641602028842,195.64982978264337,1.4318580651306693e-05,4.349128033257365e-05,0.0100831484375,,22.61768765623685,,3.0,0.0,rising,2898282141.0,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.1}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
SUIUSDT,Buy,44,3.43,3.454696,3.3271,Bullish,2025-09-08T08:36:24.632904+00:00,2025-09-08T14:06:24.632904+05:30,Success,39,39.0,,5.04%,63.833806181912394,0.008157502143964823,0.005730778346806346,0.002426723797158477,3.434749063257423,3.4116600000000004,3.388570936742578,0.897157732115961,184.49501535354847,10.0,3.0,0.0,3.4047171995026524,0.008643293125996182,3.419475,0.0037312499999999638,,25.49577442683622,,rising,3016349.3000000003,8.0,10.73833112944331,15.0,5.0,0.0,5.0,0.897157732115961,63.833806181912394,184.49501535354847,0.002426723797158477,0.008643293125996182,3.419475,,25.49577442683622,,3.0,0.0,rising,3016349.3000000003,5.040000000000011,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.26}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
ADAUSDT,Buy,41,0.8465,0.8525948,0.821105,Bullish,2025-09-08T08:36:25.633498+00:00,2025-09-08T14:06:25.633498+05:30,Success,91,91.0,,5.04%,61.13937210437477,0.0016118801156639329,0.001219038683152783,0.00039284143251114984,0.8473453516540069,0.8431900000000001,0.8390346483459933,0.8982815746542459,195.5370958547143,10.0,3.0,0.0,0.8410678432798631,0.0023935003893435416,0.8434968749999999,0.0007359374999998947,,18.47370986368744,,rising,7598045.0,8.0,7.93908203326152,15.0,5.0,0.0,5.0,0.8982815746542459,61.13937210437477,195.5370958547143,0.00039284143251114984,0.0023935003893435416,0.8434968749999999,,18.47370986368744,,3.0,0.0,rising,7598045.0,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.06}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
LINKUSDT,Buy,42,22.478,22.6398416,21.80366,Bullish,2025-09-08T08:36:26.707000+00:00,2025-09-08T14:06:26.707000+05:30,Success,34,34.0,,5.04%,53.574862321322286,0.01176124559853875,-0.0019497686792064946,0.013711014277745244,22.532124611849202,22.42725,22.3223753881508,0.7419556034828236,126.36165577342133,10.0,3.0,0.0,22.439191387902635,0.06949261370511582,22.43140625,0.024546874999995083,,4.137567668263649,,rising,229760.99000000002,8.0,8.735241993663294,15.0,5.0,0.0,5.0,0.7419556034828236,53.574862321322286,126.36165577342133,0.013711014277745244,0.06949261370511582,22.43140625,,4.137567668263649,,3.0,0.0,rising,229760.99000000002,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.26}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
PUMPUSDT,Buy,43,0.004889,0.0049242,0.00474233,Bullish,2025-09-08T08:36:29.806695+00:00,2025-09-08T14:06:29.806695+05:30,Success,9,9.0,,5.04%,71.5837191952372,3.512311062097307e-05,2.7679454730629454e-05,7.443655890343617e-06,0.00491170943525029,0.0048229,0.0047340905647497095,0.8721451432142978,127.18894009216598,10.0,3.0,0.0,0.004801914278470636,2.8237999057795057e-05,0.0048819843750000005,1.3453125000000878e-05,,33.143468238245056,,rising,3032796794.0,8.0,10.326501428185697,15.0,5.0,0.0,5.0,0.8721451432142978,71.5837191952372,127.18894009216598,7.443655890343617e-06,2.8237999057795057e-05,0.0048819843750000005,,33.143468238245056,,3.0,0.0,rising,3032796794.0,5.040000000000037,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.67}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
AVAXUSDT,Buy,42,25.086,25.2666192,24.33342,Bullish,2025-09-08T08:36:30.828911+00:00,2025-09-08T14:06:30.828911+05:30,Success,47,47.0,,5.04%,67.12509101224919,0.054317444928670966,0.04067019356524994,0.013647251363421029,25.08734164585447,24.950799999999997,24.814258354145526,0.995087045252478,185.24306109215485,10.0,3.0,0.0,24.863895532186202,0.06512705284368897,24.922140625,0.03510937500000111,,22.856009834370674,,rising,418059.0,8.0,9.029154835367986,15.0,5.0,0.0,5.0,0.995087045252478,67.12509101224919,185.24306109215485,0.013647251363421029,0.06512705284368897,24.922140625,,22.856009834370674,,3.0,0.0,rising,418059.0,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.97}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
PENGUUSDT,Buy,47,0.032292,0.0325245,0.03132324,Bullish,2025-09-08T08:36:38.070612+00:00,2025-09-08T14:06:38.070612+05:30,Success,9,9.0,,5.04%,77.91468039010412,0.0003572272639636234,0.0002489155656269401,0.00010831169833668333,0.03231562223100033,0.03138025,0.030444877768999665,0.9873728178914034,186.08237139914777,10.0,3.0,0.0,0.03106577949119957,0.0002588744476967887,0.03174584375,0.0001660937499999987,,44.21570133710543,,rising,933999844.0,8.0,14.041472934884204,15.0,5.0,0.0,5.0,0.9873728178914034,77.91468039010412,186.08237139914777,0.00010831169833668333,0.0002588744476967887,0.03174584375,,44.21570133710543,,3.0,0.0,rising,933999844.0,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.96}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,
FARTCOINUSDT,Buy,43,0.7777,0.78329944,0.754369,Bullish,2025-09-08T08:36:40.107979+00:00,2025-09-08T14:06:40.107979+05:30,Success,43,43.0,,5.04%,69.06323072077873,0.0031045205012363297,0.002196933944526952,0.0009075865567093775,0.7784551359301451,0.76999,0.7615248640698548,0.9553972944807604,173.39126836333625,10.0,3.0,0.0,0.7667321874606428,0.003709616443934729,0.7727328124999999,0.0018609375000000483,,26.798377472751884,,rising,9785232.299999999,8.0,9.871786932753935,15.0,5.0,0.0,5.0,0.9553972944807604,69.06323072077873,173.39126836333625,0.0009075865567093775,0.003709616443934729,0.7727328124999999,,26.798377472751884,,3.0,0.0,rising,9785232.299999999,5.040000000000011,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.13}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
TRXUSDT,Buy,41,0.33141,0.33379615,0.3214677,Bullish,2025-09-08T08:36:42.200013+00:00,2025-09-08T14:06:42.200013+05:30,Success,130,130.0,,5.04%,56.639941118030855,-7.567610115277734e-06,-8.900971666853492e-05,8.144210655325718e-05,0.331984744715608,0.33107000000000003,0.33015525528439205,0.6858442001351003,66.05985381326913,10.0,3.0,0.0,0.33106047974992164,0.000298688183194624,0.33077437499999995,0.00021921874999997204,,-1.1571302396840197,,falling,-5678850.0,4.0,6.5439835495753655,15.0,10.0,0.0,5.0,0.6858442001351003,56.639941118030855,66.05985381326913,8.144210655325718e-05,0.000298688183194624,0.33077437499999995,,-1.1571302396840197,,3.0,0.0,falling,-5678850.0,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.46}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
1000BONKUSDT,Buy,45,0.021887,0.02204459,0.02123039,Bullish,2025-09-08T08:36:43.234188+00:00,2025-09-08T14:06:43.234188+05:30,Success,14,14.0,,5.04%,67.66154096540123,0.00010959056670197323,7.264385505850045e-05,3.694671164347278e-05,0.021967913833088458,0.02162165,0.02127538616691154,0.8831615875577352,145.5036191878288,10.0,3.0,0.0,0.021546793831665436,0.00011536117663598845,0.021847921875,4.8046875000002515e-05,,28.765683488328868,,rising,245959891.0,8.0,11.686477420747131,15.0,5.0,0.0,5.0,0.8831615875577352,67.66154096540123,145.5036191878288,3.694671164347278e-05,0.00011536117663598845,0.021847921875,,28.765683488328868,,3.0,0.0,rising,245959891.0,5.039999999999988,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.31}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
IPUSDT,Buy,46,8.5942,8.65607824,8.336374,Bullish,2025-09-08T08:36:44.253803+00:00,2025-09-08T14:06:44.253803+05:30,Inconclusive,300,,,5.04%,57.81425532440276,0.005041674525664064,-0.008388634403337833,0.013430308929001896,8.610276009121593,8.536475,8.462673990878406,0.8910854383094837,130.75994392992342,10.0,3.0,0.0,8.58143004312019,0.03743387233781784,8.57708125,0.010690625000000509,,3.8280519414644303,,rising,170236.8,8.0,12.610581651484981,15.0,5.0,0.0,5.0,0.8910854383094837,57.81425532440276,130.75994392992342,0.013430308929001896,0.03743387233781784,8.57708125,,3.8280519414644303,,3.0,0.0,rising,170236.8,5.040000000000034,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.39}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,
SPKUSDT,Sell,44,0.06848,0.06798694,0.0705344,Bullish,2025-09-08T08:36:45.309157+00:00,2025-09-08T14:06:45.309157+05:30,Success,1,1.0,,5.04%,37.52129213794552,-0.000557659591652257,1.884631095590633e-06,-0.0005595442227478477,0.07475752307247592,0.071307,0.06785647692752407,0.090351963945646,-145.9496768526077,10.0,0.0,3.0,0.06991450167895795,0.001315526176536849,0.06923234375000001,-0.0005723437500000095,,-11.264027628602163,,falling,-34852767.0,8.0,19.208129329133257,7.0,5.0,0.0,5.0,0.090351963945646,37.52129213794552,-145.9496768526077,-0.0005595442227478477,0.001315526176536849,0.06923234375000001,,-11.264027628602163,,0.0,3.0,falling,-34852767.0,5.040000000000058,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,
