Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
MYXUSDT,Buy,44,4.3902,4.42180944,4.258494,Bullish,2025-09-08T08:58:32.913612+00:00,2025-09-08T14:28:32.913612+05:30,Success,1,1.0,,5.04%,80.16898315923876,0.1318562678411075,0.12306253662547972,0.008793731215627765,4.441604314956768,4.159425000000001,3.877245685043233,0.9089155153618478,128.92229135950572,10.0,3.0,0.0,3.963246061144551,0.09865983951150814,4.292993749999999,0.0173921874999996,,50.975772297109714,,rising,33039231.0,8.0,11.139163718692737,15.0,5.0,0.0,5.0,0.9089155153618478,80.16898315923876,128.92229135950572,0.008793731215627765,0.09865983951150814,4.292993749999999,,50.975772297109714,,3.0,0.0,rising,33039231.0,5.040000000000069,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.86}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
TAUSDT,Buy,49,0.20792,0.20941702,0.2016824,Bullish,2025-09-08T08:58:39.627190+00:00,2025-09-08T14:28:39.627190+05:30,Success,3,3.0,,5.04%,77.45296481440113,0.011410876465075437,0.009160967864736188,0.002249908600339249,0.20682180541445228,0.18128249999999999,0.1557431945855477,1.0215000871739892,165.87539299925487,10.0,3.0,0.0,0.1706286934588332,0.007984555908866781,0.19819859374999999,0.0033617187499999923,,42.959183251256725,,rising,218815130.0,8.0,15.762781427602988,15.0,5.0,0.0,5.0,1.0215000871739892,77.45296481440113,165.87539299925487,0.002249908600339249,0.007984555908866781,0.19819859374999999,,42.959183251256725,,3.0,0.0,rising,218815130.0,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,
ENAUSDT,Buy,41,0.7632,0.76869504,0.740304,Bullish,2025-09-08T08:58:40.766490+00:00,2025-09-08T14:28:40.766490+05:30,Success,18,18.0,,5.04%,53.31429852087962,0.0005560355670313211,0.00011094126207463025,0.0004450943049566908,0.766174486616674,0.761505,0.756835513383326,0.6814974684740961,71.62790697674218,10.0,3.0,0.0,0.760793057661374,0.003529525722008628,0.7630921875000001,0.0010843750000000263,,4.462383158456956,,falling,-3693904.0,4.0,7.026543552962515,15.0,10.0,0.0,5.0,0.6814974684740961,53.31429852087962,71.62790697674218,0.0004450943049566908,0.003529525722008628,0.7630921875000001,,4.462383158456956,,3.0,0.0,falling,-3693904.0,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.97}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
NMRUSDT,Buy,54,18.638,18.7721936,18.07886,Bullish,2025-09-08T08:58:41.906788+00:00,2025-09-08T14:28:41.906788+05:30,Success,192,192.0,,5.04%,21.360418421378156,-0.0963833208567948,-0.08233041679094763,-0.014052904065847166,19.073814101494502,18.8547,18.6355858985055,0.0055087771120979016,-169.55094245837017,10.0,0.0,3.0,19.00911559497551,0.0963624709982897,18.752140625000003,-0.010765625000001222,,-42.80083183197394,,falling,-171408.0,24.0,0.0,8.0,5.0,12.0,5.0,0.0055087771120979016,21.360418421378156,-169.55094245837017,-0.014052904065847166,0.0963624709982897,18.752140625000003,,-42.80083183197394,,0.0,3.0,falling,-171408.0,5.039999999999988,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.010765625000001222,,
HYPEUSDT,Buy,42,51.04,51.407488,49.5088,Bullish,2025-09-08T08:58:55.344987+00:00,2025-09-08T14:28:55.344987+05:30,Success,247,247.0,,5.04%,73.33813742645803,0.34227251608187714,0.2999034953461377,0.04236902073573945,51.140106165799324,50.3894,49.63869383420068,0.9333253339589027,135.67578008393377,10.0,3.0,0.0,49.858922942292686,0.2179474552695334,50.91178125,0.07295312500000506,,38.97185794850054,,rising,339874.39,8.0,8.665603901638633,15.0,5.0,0.0,5.0,0.9333253339589027,73.33813742645803,135.67578008393377,0.04236902073573945,0.2179474552695334,50.91178125,,38.97185794850054,,3.0,0.0,rising,339874.39,5.040000000000021,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.33}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
PENGUUSDT,Buy,44,0.032431,0.0326645,0.03145807,Bullish,2025-09-08T08:58:58.688657+00:00,2025-09-08T14:28:58.688657+05:30,Success,3,3.0,,5.04%,78.53704428476308,0.0004204546479821547,0.00034420520441966266,7.624944356249204e-05,0.03276756190474285,0.03168685,0.030606138095257154,0.8442869448990973,112.06134226938505,10.0,3.0,0.0,0.03126634111893887,0.0002605213233555382,0.03254270312500001,0.0001919687500000003,,51.56561658586283,,rising,920087015.0,8.0,11.024325770840619,15.0,5.0,0.0,5.0,0.8442869448990973,78.53704428476308,112.06134226938505,7.624944356249204e-05,0.0002605213233555382,0.03254270312500001,,51.56561658586283,,3.0,0.0,rising,920087015.0,5.039999999999972,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.98}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
GPSUSDT,Buy,44,0.01703,0.01715262,0.0165191,Bullish,2025-09-08T08:58:59.811553+00:00,2025-09-08T14:28:59.811553+05:30,Success,4,4.0,,5.04%,72.97928876981214,0.0004032671776709948,0.00030039927781486364,0.00010286789985613115,0.01704905751937212,0.0160035,0.01495794248062788,0.9908864318705461,159.62967409719724,10.0,3.0,0.0,0.015718004478095727,0.0003657121411314701,0.016679375,0.000165312500000004,,34.52010468734735,,rising,798476116.0,8.0,10.750745515062423,15.0,5.0,0.0,5.0,0.9908864318705461,72.97928876981214,159.62967409719724,0.00010286789985613115,0.0003657121411314701,0.016679375,,34.52010468734735,,3.0,0.0,rising,798476116.0,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.25}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
PTBUSDT,Buy,43,0.05271,0.05308951,0.0511287,Bullish,2025-09-08T08:59:00.955739+00:00,2025-09-08T14:29:00.955739+05:30,Success,1,1.0,,5.04%,59.09675716458156,0.00040652123109832794,0.00024119364773229638,0.00016532758336603156,0.053137190404524096,0.0515945,0.05005180959547591,0.8615437020703192,184.01672692066063,10.0,3.0,0.0,0.051622989344907985,0.000684129373708579,0.052435625,0.00012515625000000113,,16.570183308878686,,rising,27473346.0,8.0,9.799870833312534,15.0,5.0,0.0,5.0,0.8615437020703192,59.09675716458156,184.01672692066063,0.00016532758336603156,0.000684129373708579,0.052435625,,16.570183308878686,,3.0,0.0,rising,27473346.0,5.0399999999999805,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.2}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
BIOUSDT,Buy,42,0.16562,0.16681246,0.1606514,Bullish,2025-09-08T08:59:03.212177+00:00,2025-09-08T14:29:03.212177+05:30,Success,68,68.0,,5.04%,35.21478301057,-0.0011491267385903003,-0.0012016939493945619,5.2567210804261525e-05,0.1682734505534996,0.166702,0.16513054944650038,0.15573208855016366,-125.30160304081988,10.0,3.0,0.0,0.16858739192287592,0.00108184281998055,0.16623515625000002,-0.0002887500000000043,,-28.140388447968572,,falling,-18616919.0,18.0,1.166170386308945,8.0,10.0,0.0,5.0,0.15573208855016366,35.21478301057,-125.30160304081988,5.2567210804261525e-05,0.00108184281998055,0.16623515625000002,,-28.140388447968572,,3.0,0.0,falling,-18616919.0,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 18.83}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
1000BONKUSDT,Buy,42,0.021999,0.02215739,0.02133903,Bullish,2025-09-08T08:59:06.976255+00:00,2025-09-08T14:29:06.976255+05:30,Success,8,8.0,,5.04%,71.10863231502975,0.00013184564750411826,0.00010556811600970795,2.627753149441031e-05,0.02211540171630258,0.0217307,0.021345998283697418,0.8487117273334122,100.18967443552489,10.0,3.0,0.0,0.021611261137985012,0.0001177440322295098,0.022030390625,4.80312500000038e-05,,35.47959344636986,,rising,205207085.0,8.0,9.356201447531088,15.0,5.0,0.0,5.0,0.8487117273334122,71.10863231502975,100.18967443552489,2.627753149441031e-05,0.0001177440322295098,0.022030390625,,35.47959344636986,,3.0,0.0,rising,205207085.0,5.040000000000016,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.64}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
