Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
SUIUSDT,Sell,43,3.4672,3.44223616,3.571216,Bearish,2025-09-09T01:50:16.354554+00:00,2025-09-09T07:20:16.354554+05:30,Success,57,57.0,,5.04%,39.858387444606635,-0.0053504668430952584,-0.0031350009447415083,-0.00221546589835375,3.501744217508052,3.481435,3.4611257824919477,0.14954336634693288,-114.71232331276042,-10.0,0.0,3.0,3.4807954747436494,0.009218296155416684,3.4693781249999995,-0.0035343750000000895,,-15.208509276649943,,falling,-6598842.7,8.0,9.768005351970228,15.0,5.0,0.0,5.0,0.14954336634693288,39.858387444606635,-114.71232331276042,-0.00221546589835375,0.009218296155416684,3.4693781249999995,,-15.208509276649943,,0.0,3.0,falling,-6598842.7,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.23}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,
1000PEPEUSDT,Sell,41,0.0102275,0.01015386,0.01053433,Bearish,2025-09-09T01:50:17.308712+00:00,2025-09-09T07:20:17.308712+05:30,Fail,266,,266.0,5.04%,41.24091419170061,-1.750412119801495e-05,-1.052997372469979e-05,-6.9741474733151585e-06,0.01035222081581756,0.01027951,0.010206799184182441,0.14235032013325574,-115.44553726009902,-10.0,0.0,3.0,0.010279783044342546,3.9048993438949644e-05,0.010248057812500001,-1.1106249999998444e-05,,-11.448087918283225,,falling,-2609404513.0,8.0,8.286398306815512,15.0,5.0,0.0,5.0,0.14235032013325574,41.24091419170061,-115.44553726009902,-6.9741474733151585e-06,3.9048993438949644e-05,0.010248057812500001,,-11.448087918283225,,0.0,3.0,falling,-2609404513.0,5.0400000000000595,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.71}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
BNBUSDT,Sell,41,873.08,866.793824,899.2724,Bearish,2025-09-09T01:50:23.038494+00:00,2025-09-09T07:20:23.038494+05:30,Inconclusive,300,,,5.04%,32.41100925823021,-1.521114507082416,-1.320179103015706,-0.20093540406670996,879.6557415478578,875.6870000000001,871.7182584521424,0.17155835564458305,-100.87976539589563,-10.0,0.0,3.0,877.2603533265448,1.080007330411158,872.7920312500002,-0.463906249999809,,-37.53446748228857,,falling,-21487.92,8.0,8.465200894298686,15.0,5.0,0.0,5.0,0.17155835564458305,32.41100925823021,-100.87976539589563,-0.20093540406670996,1.080007330411158,872.7920312500002,,-37.53446748228857,,0.0,3.0,falling,-21487.92,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.53}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
MUSDT,Sell,60,1.9448,1.93079744,2.003144,Bearish,2025-09-09T01:50:25.904528+00:00,2025-09-09T07:20:25.904528+05:30,Success,19,19.0,,5.04%,21.62560085706248,-0.03850085756004029,-0.029253981413421875,-0.009246876146618416,2.1421922836666694,2.024505,1.9068177163333306,0.16136953153854866,-109.97711925888677,-10.0,3.0,0.0,2.036402649352935,0.027856834757760844,1.9343859374999997,-0.009317187500000212,,-46.85251502009834,,falling,-4917425.0,8.0,11.966627560118411,15.0,0.0,12.0,5.0,0.16136953153854866,21.62560085706248,-109.97711925888677,-0.009246876146618416,0.027856834757760844,1.9343859374999997,,-46.85251502009834,,3.0,0.0,falling,-4917425.0,5.039999999999998,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",True,,,Sell,60,1.0,52.0,60.0,-0.009317187500000212
1000BONKUSDT,Sell,40,0.022848,0.02268349,0.02353344,Bearish,2025-09-09T01:50:29.708550+00:00,2025-09-09T07:20:29.708550+05:30,Success,58,58.0,,5.04%,39.516532747717314,-7.215766568665488e-05,-5.4702937993993505e-05,-1.7454727692661377e-05,0.023203838500609145,0.022994800000000003,0.02278576149939086,0.14886851089099812,-128.57755251279562,-10.0,0.0,3.0,0.023043639834526987,0.00013032268076726582,0.0229268125,-3.8984374999998656e-05,,-16.592717176938727,,falling,-270014549.0,8.0,7.214432531295004,15.0,5.0,0.0,5.0,0.14886851089099812,39.516532747717314,-128.57755251279562,-1.7454727692661377e-05,0.00013032268076726582,0.0229268125,,-16.592717176938727,,0.0,3.0,falling,-270014549.0,5.0399999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.79}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
QUSDT,Sell,40,0.017045,0.01692228,0.01755635,Bearish,2025-09-09T01:50:34.465484+00:00,2025-09-09T07:20:34.465484+05:30,Fail,7,,7.0,5.04%,41.37838714582177,-4.2351965001019565e-05,0.00020093310472595418,-0.00024328506972697375,0.019671321758366705,0.0182323,0.016793278241633295,0.087462804819717,-141.01292995396733,-10.0,3.0,0.0,0.01725138747353645,0.000772931219304459,0.017377906250000002,-0.00017399999999999707,,-1.2549210822779462,,falling,-363127085.0,8.0,11.554154273522027,15.0,0.0,0.0,5.0,0.087462804819717,41.37838714582177,-141.01292995396733,-0.00024328506972697375,0.000772931219304459,0.017377906250000002,,-1.2549210822779462,,3.0,0.0,falling,-363127085.0,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
ARBUSDT,Sell,45,0.5094,0.50573232,0.524682,Bearish,2025-09-09T01:50:35.409256+00:00,2025-09-09T07:20:35.409256+05:30,Success,57,57.0,,5.04%,41.713131221972205,-0.0009362083211807981,-0.0002265862851895706,-0.0007096220359912275,0.5188131438651716,0.5130649999999999,0.5073168561348281,0.18120143771919925,-109.79310344827563,-10.0,0.0,3.0,0.5117284358978208,0.0022599857226919167,0.5101656250000001,-0.001231249999999906,,-10.524745291306846,,falling,-5357212.799999999,8.0,11.535856838734167,15.0,5.0,0.0,5.0,0.18120143771919925,41.713131221972205,-109.79310344827563,-0.0007096220359912275,0.0022599857226919167,0.5101656250000001,,-10.524745291306846,,0.0,3.0,falling,-5357212.799999999,5.039999999999933,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.46}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,
BIOUSDT,Sell,42,0.15799,0.15685247,0.1627297,Bearish,2025-09-09T01:50:37.325741+00:00,2025-09-09T07:20:37.325741+05:30,Success,16,16.0,,5.04%,40.9928322169494,-0.0001382626024947209,-2.6869222496293474e-06,-0.00013557568024509154,0.15995414809996295,0.15889699999999998,0.15783985190003702,0.07101564102902502,-153.11284860141035,-10.0,0.0,3.0,0.15877867583513225,0.0006420087415226169,0.15824015625,-0.00021234375000001027,,-6.76802265527974,,falling,-51360.0,8.0,9.068180720040196,15.0,5.0,0.0,5.0,0.07101564102902502,40.9928322169494,-153.11284860141035,-0.00013557568024509154,0.0006420087415226169,0.15824015625,,-6.76802265527974,,0.0,3.0,falling,-51360.0,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.93}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
SPKUSDT,Sell,45,0.06647,0.06599142,0.0684641,Bearish,2025-09-09T01:50:38.273757+00:00,2025-09-09T07:20:38.273757+05:30,Success,10,10.0,,5.04%,43.39591814039681,-1.8990802385834837e-05,9.616692198569538e-05,-0.00011515772437153022,0.06765705719463434,0.06694800000000001,0.06623894280536567,0.16293269173686806,-111.19875412090849,-10.0,0.0,3.0,0.06658116847814408,0.00034245365194718596,0.06661328125,-0.00019468749999999868,,-1.0754211113483074,,falling,-14755879.0,8.0,12.070538507041423,15.0,5.0,0.0,5.0,0.16293269173686806,43.39591814039681,-111.19875412090849,-0.00011515772437153022,0.00034245365194718596,0.06661328125,,-1.0754211113483074,,0.0,3.0,falling,-14755879.0,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.93}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,
GPSUSDT,Strong Sell,69,0.01469,0.01458423,0.0151307,Bearish,2025-09-09T01:50:39.243188+00:00,2025-09-09T07:20:39.243188+05:30,Fail,13,,13.0,5.04%,19.05846255386696,-0.0001719946191765711,-0.0001028121022137761,-6.918251696279499e-05,0.01579097863828545,0.0151815,0.014572021361714552,0.09678652447716557,-131.68777461876445,-10.0,0.0,3.0,0.015206390098960076,0.00013022728940676611,0.014708124999999999,-8.968750000000122e-05,,-45.518720022233,,falling,-89046756.0,8.0,16.0,15.0,5.0,12.0,5.0,0.09678652447716557,19.05846255386696,-131.68777461876445,-6.918251696279499e-05,0.00013022728940676611,0.014708124999999999,,-45.518720022233,,0.0,3.0,falling,-89046756.0,5.039999999999959,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,69,1.0,61.0,69.0,-8.968750000000122e-05
