Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
SOLUSDT,Sell,41,211.27,209.748856,217.6081,Bearish,2025-09-09T02:55:31.221930+00:00,2025-09-09T08:25:31.221930+05:30,Fail,200,,200.0,5.04%,35.066913597169886,-0.5002390017422726,-0.3998760130037371,-0.10036298873853555,213.61133850372923,212.426,211.24066149627075,0.012375580324506743,-166.06277890080418,-10.0,0.0,3.0,213.11528503279794,0.6025819106483511,211.73593749999998,-0.22515624999999773,,-22.49201378377556,,falling,-243896.32,8.0,7.997318351513718,15.0,5.0,0.0,5.0,0.012375580324506743,35.066913597169886,-166.06277890080418,-0.10036298873853555,0.6025819106483511,211.73593749999998,,-22.49201378377556,,0.0,3.0,falling,-243896.32,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
DOGEUSDT,Buy,54,0.23402,0.23570494,0.2269994,Bearish,2025-09-09T02:55:34.506716+00:00,2025-09-09T08:25:34.506716+05:30,Success,35,35.0,,5.04%,28.231027456434163,-0.0012411020930345185,-0.0010995733302780319,-0.00014152876275648658,0.2387315109480616,0.2363855,0.2340394890519384,-0.0041536574998689785,-189.26418013980145,-10.0,0.0,3.0,0.2380906244731959,0.001001492683977637,0.23510843750000002,-0.00039265624999998416,,-33.84175382676097,,falling,-320313012.0,32.0,0.0,0.0,5.0,12.0,5.0,-0.0041536574998689785,28.231027456434163,-189.26418013980145,-0.00014152876275648658,0.001001492683977637,0.23510843750000002,,-33.84175382676097,,0.0,3.0,falling,-320313012.0,5.039999999999981,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.00039265624999998416,,
XRPUSDT,Sell,42,2.9357,2.91456296,3.023771,Bearish,2025-09-09T02:55:35.617625+00:00,2025-09-09T08:25:35.617625+05:30,Fail,274,,274.0,5.04%,30.3182759861365,-0.005185161373733038,-0.004030408785006442,-0.0011547525887265963,2.9614963679786914,2.94897,2.9364436320213088,-0.02968266709765976,-190.41025641025988,-10.0,0.0,3.0,2.9557025739470086,0.00560860496473375,2.9421453124999997,-0.002640625000000174,,-25.270995763845534,,falling,-10473682.2,8.0,8.941346788319214,15.0,5.0,0.0,5.0,-0.02968266709765976,30.3182759861365,-190.41025641025988,-0.0011547525887265963,0.00560860496473375,2.9421453124999997,,-25.270995763845534,,0.0,3.0,falling,-10473682.2,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.06}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
WLFIUSDT,Strong Sell,66,0.204,0.2025312,0.21012,Bearish,2025-09-09T02:55:36.705764+00:00,2025-09-09T08:25:36.705764+05:30,Success,31,31.0,,5.04%,23.483965338652,-0.001962018063307064,-0.001362205701690229,-0.0005998123616168349,0.2152119445162794,0.208965,0.20271805548372063,0.10260572292091306,-121.89679218967925,-10.0,0.0,3.0,0.20976348470930745,0.001539105037096002,0.20448593750000002,-0.00047968749999999227,,-41.951197451006486,,falling,-296736659.0,8.0,13.353160656250983,15.0,5.0,12.0,5.0,0.10260572292091306,23.483965338652,-121.89679218967925,-0.0005998123616168349,0.001539105037096002,0.20448593750000002,,-41.951197451006486,,0.0,3.0,falling,-296736659.0,5.039999999999973,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,66,1.0,-0.00047968749999999227,58.0,66.0
SOMIUSDT,Sell,41,1.2883,1.27902424,1.326949,Bearish,2025-09-09T02:55:37.792072+00:00,2025-09-09T08:25:37.792072+05:30,Fail,2,,2.0,5.04%,32.144561184258194,-0.030634221969174646,-0.027172808310518288,-0.0034614136586563586,1.3963850006647867,1.3330449999999998,1.269704999335213,0.1467871840039679,-138.2731992725931,-10.0,0.0,3.0,1.380961873880466,0.021118804213556455,1.29159375,-0.00934999999999997,,-37.760107361998934,,falling,-24025830.0,8.0,7.933647330014372,15.0,5.0,0.0,5.0,0.1467871840039679,32.144561184258194,-138.2731992725931,-0.0034614136586563586,0.021118804213556455,1.29159375,,-37.760107361998934,,0.0,3.0,falling,-24025830.0,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.07}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
OPENUSDT,Sell,58,1.3343,1.32469304,1.374329,Bearish,2025-09-09T02:55:40.008332+00:00,2025-09-09T08:25:40.008332+05:30,Fail,2,,2.0,5.04%,33.219339930154064,-0.016550869777278487,-0.0008366821738324641,-0.015714187603446023,1.5520201935344118,1.447085,1.3421498064655881,-0.03740311615765907,-189.825510246721,-10.0,0.0,3.0,1.4470920578202344,0.04485969322333709,1.4241640625,-0.02590625000000002,,-10.632166134070946,,falling,-10062892.0,8.0,17.407112830778498,15.0,5.0,0.0,5.0,-0.03740311615765907,33.219339930154064,-189.825510246721,-0.015714187603446023,0.04485969322333709,1.4241640625,,-10.632166134070946,,0.0,3.0,falling,-10062892.0,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Sell,58,,-0.02590625000000002,50.0,58.0
ENAUSDT,Sell,48,0.7752,0.76961856,0.798456,Bearish,2025-09-09T02:55:41.120686+00:00,2025-09-09T08:25:41.120686+05:30,Fail,48,,48.0,5.04%,34.33526819311017,-0.0010909569594568236,0.0017727452346482384,-0.002863702194105062,0.8055461770002018,0.790485,0.7754238229997982,-0.007430461769195532,-190.00890213858403,-10.0,3.0,0.0,0.784500762667787,0.005706013482104252,0.7874578125,-0.004068750000000065,,-5.004751523684022,,falling,-12003680.0,8.0,20.0,15.0,0.0,0.0,5.0,-0.007430461769195532,34.33526819311017,-190.00890213858403,-0.002863702194105062,0.005706013482104252,0.7874578125,,-5.004751523684022,,3.0,0.0,falling,-12003680.0,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,
SUIUSDT,Sell,63,3.4345,3.4097716,3.537535,Bearish,2025-09-09T02:55:42.202416+00:00,2025-09-09T08:25:42.202416+05:30,Fail,201,,201.0,5.04%,28.97562620445042,-0.010895636136152742,-0.008568994325978796,-0.002326641810173946,3.4849938477802787,3.4595150000000006,3.4340361522197225,0.00910260511537843,-174.7680045545118,-10.0,0.0,3.0,3.469244150387861,0.009522660792453458,3.444734375,-0.0030562499999997605,,-30.718066584606795,,falling,-6302735.2,8.0,9.863844639769848,15.0,5.0,12.0,5.0,0.00910260511537843,28.97562620445042,-174.7680045545118,-0.002326641810173946,0.009522660792453458,3.444734375,,-30.718066584606795,,0.0,3.0,falling,-6302735.2,5.039999999999974,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.14}]}",True,,,Sell,63,1.0,-0.0030562499999997605,55.0,63.0
1000PEPEUSDT,Sell,40,0.0101733,0.01010005,0.0104785,Bearish,2025-09-09T02:55:43.320432+00:00,2025-09-09T08:25:43.320432+05:30,Fail,201,,201.0,5.04%,38.52399032824134,-2.2885633195758245e-05,-1.8742536809094576e-05,-4.143096386663669e-06,0.010287248063749753,0.010229760000000001,0.01017227193625025,0.008941540927744776,-162.6587601023375,-10.0,0.0,3.0,0.01025510689101536,3.9563189033977755e-05,0.010213232812499999,-4.609374999998972e-06,,-14.54616911749364,,falling,-591120376.0,8.0,6.513303798501472,15.0,5.0,0.0,5.0,0.008941540927744776,38.52399032824134,-162.6587601023375,-4.143096386663669e-06,3.9563189033977755e-05,0.010213232812499999,,-14.54616911749364,,0.0,3.0,falling,-591120376.0,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.49}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
LINKUSDT,Sell,41,22.88,22.715264,23.5664,Bearish,2025-09-09T02:55:44.409239+00:00,2025-09-09T08:25:44.409239+05:30,Fail,198,,198.0,5.04%,39.40402798116718,-0.04866973616952208,-0.03619958259749843,-0.012470153572023655,23.127927113671394,22.99635,22.864772886328605,0.057863838347382755,-153.21133835666095,-10.0,0.0,3.0,23.034914872982508,0.08047702320229415,22.924953125000002,-0.01864062499999619,,-14.589516555960344,,falling,-833932.39,8.0,7.718871223358521,15.0,5.0,0.0,5.0,0.057863838347382755,39.40402798116718,-153.21133835666095,-0.012470153572023655,0.08047702320229415,22.924953125000002,,-14.589516555960344,,0.0,3.0,falling,-833932.39,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.28}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
