Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
ETHUSDT,Buy,61,4352.99,4384.331528,4222.4003,Bullish,2025-09-09T06:34:53.694432+00:00,2025-09-09T12:04:53.694432+05:30,Inconclusive,300,,,5.04%,81.57535429758624,10.817021886977273,7.219424277302696,3.597597609674576,4350.456430781669,4319.2695,4288.082569218332,1.0406190855404716,163.10749325103,10.0,3.0,0.0,4312.32574584752,7.411496874288089,4339.6434375,6.313906249999491,,46.41350342998412,,rising,149472.57400000002,8.0,20.0,15.0,5.0,0.0,5.0,1.0406190855404716,81.57535429758624,163.10749325103,3.597597609674576,7.411496874288089,4339.6434375,,46.41350342998412,,3.0,0.0,rising,149472.57400000002,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,6.313906249999491,Buy,61,,
BTCUSDT,Buy,59,112791.3,113603.39736,109407.561,Bullish,2025-09-09T06:34:54.748249+00:00,2025-09-09T12:04:54.748249+05:30,Inconclusive,300,,,5.04%,81.22114645638422,242.44884886943328,187.284869068893,55.16397980054029,112826.28585918805,112173.25499999998,111520.2241408119,0.9732127060338726,131.04913340453834,10.0,3.0,0.0,111975.80063552462,144.3131817183326,112653.278125,119.86093750000873,,51.182334132641714,,rising,5981.865000000001,8.0,18.174044251875728,15.0,5.0,0.0,5.0,0.9732127060338726,81.22114645638422,131.04913340453834,55.16397980054029,144.3131817183326,112653.278125,,51.182334132641714,,3.0,0.0,rising,5981.865000000001,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,51.0,59.0,119.86093750000873,Buy,59,,
MYXUSDT,Buy,47,13.361,13.4571992,12.96017,Bullish,2025-09-09T06:34:55.844787+00:00,2025-09-09T12:04:55.844787+05:30,Success,9,9.0,,5.04%,60.035026183564916,0.09896826591882224,0.012909217063709386,0.08605904885511285,13.464670391234534,12.7948,12.124929608765466,0.9226190673665431,132.54607534129855,10.0,3.0,0.0,12.960858275449516,0.382783211559891,13.240582812500001,0.101943750000002,,7.934787847079401,,rising,1480488.0,8.0,14.395788295170696,15.0,5.0,0.0,5.0,0.9226190673665431,60.035026183564916,132.54607534129855,0.08605904885511285,0.382783211559891,13.240582812500001,,7.934787847079401,,3.0,0.0,rising,1480488.0,5.039999999999956,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.6}]}",False,,,,Buy,47,not_in_gap_or_already_strong,47.0
SOLUSDT,Buy,61,218.56,220.133632,212.0032,Bullish,2025-09-09T06:34:56.828649+00:00,2025-09-09T12:04:56.828649+05:30,Inconclusive,300,,,5.04%,83.18857192290433,1.0332954527464153,0.6680975160143261,0.3651979367320892,218.45071819115824,215.42800000000003,212.4052818088418,1.0180767444946437,168.03877745400337,10.0,3.0,0.0,214.79321594278932,0.671446043149865,217.179375,0.6564062500000318,,50.825712422043964,,rising,1559198.8800000001,8.0,20.0,15.0,5.0,0.0,5.0,1.0180767444946437,83.18857192290433,168.03877745400337,0.3651979367320892,0.671446043149865,217.179375,,50.825712422043964,,3.0,0.0,rising,1559198.8800000001,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,0.6564062500000318,Buy,61,,
WLDUSDT,Buy,45,1.8833,1.89685976,1.826801,Bullish,2025-09-09T06:34:58.880117+00:00,2025-09-09T12:04:58.880117+05:30,Success,7,7.0,,5.04%,66.61645051300528,0.012038776297894627,0.008759032821922693,0.0032797434759719336,1.8719647935133292,1.8365000000000002,1.8010352064866713,1.1598092835703464,181.0511034998982,10.0,3.0,0.0,1.8100368703206677,0.02621235807093012,1.846571875,0.008199999999999763,,15.406798373097521,,rising,25632243.0,8.0,12.0029287411048,15.0,5.0,0.0,5.0,1.1598092835703464,66.61645051300528,181.0511034998982,0.0032797434759719336,0.02621235807093012,1.846571875,,15.406798373097521,,3.0,0.0,rising,25632243.0,5.039999999999971,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.0}]}",False,,,,Buy,45,not_in_gap_or_already_strong,45.0
DOGEUSDT,Buy,61,0.24008,0.24180858,0.2328776,Bullish,2025-09-09T06:34:59.879659+00:00,2025-09-09T12:04:59.879659+05:30,Success,17,17.0,,5.04%,77.76446712843988,0.0008106688793647066,0.00046758546999822547,0.0003430834093664811,0.2398727339030415,0.23713900000000004,0.23440526609695858,1.0379089743752827,161.1475154068159,10.0,3.0,0.0,0.23719076425507618,0.0007539156234547079,0.23907687499999997,0.0005145312500000054,,33.44156842698938,,rising,247548789.0,8.0,19.921649013008164,15.0,5.0,0.0,5.0,1.0379089743752827,77.76446712843988,161.1475154068159,0.0003430834093664811,0.0007539156234547079,0.23907687499999997,,33.44156842698938,,3.0,0.0,rising,247548789.0,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,0.0005145312500000054,Buy,61,,
XRPUSDT,Buy,61,2.9939,3.01545608,2.904083,Bullish,2025-09-09T06:35:00.936601+00:00,2025-09-09T12:05:00.936601+05:30,Success,35,35.0,,5.04%,84.41937513335134,0.009689751487549803,0.006324944979386833,0.0033648065081629697,2.994144604977046,2.9662800000000002,2.9384153950229543,0.9956108299893781,159.65528631054454,10.0,3.0,0.0,2.9613064107355984,0.006237039867245785,2.9835375,0.006165624999999952,,50.678699810190174,,rising,29487149.0,8.0,20.0,15.0,5.0,0.0,5.0,0.9956108299893781,84.41937513335134,159.65528631054454,0.0033648065081629697,0.006237039867245785,2.9835375,,50.678699810190174,,3.0,0.0,rising,29487149.0,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,0.006165624999999952,Buy,61,,
SUIUSDT,Buy,49,3.5456,3.57112832,3.439232,Bullish,2025-09-09T06:35:07.127795+00:00,2025-09-09T12:05:07.127795+05:30,Success,4,4.0,,5.04%,79.36228331005668,0.02059734093062593,0.014032205074467702,0.006565135856158227,3.5572188630423835,3.4933,3.4293811369576166,0.9091124083771686,128.90707454495234,10.0,3.0,0.0,3.4838872955859324,0.011025419559104261,3.53935625,0.011481249999999665,,49.03428054930854,,rising,11056602.799999999,8.0,16.0,15.0,5.0,0.0,5.0,0.9091124083771686,79.36228331005668,128.90707454495234,0.006565135856158227,0.011025419559104261,3.53935625,,49.03428054930854,,3.0,0.0,rising,11056602.799999999,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,Buy,49,not_in_gap_or_already_strong,49.0
LINKUSDT,Buy,49,23.681,23.8515032,22.97057,Bullish,2025-09-09T06:35:08.175762+00:00,2025-09-09T12:05:08.175762+05:30,Inconclusive,300,,,5.04%,78.89646905933262,0.12979289879432443,0.08769628375741588,0.04209661503690855,23.72310810072405,23.317,22.91089189927595,0.9481565368322183,139.6635009522367,10.0,3.0,0.0,23.24336430665503,0.07905659143557091,23.619796875,0.0746249999999975,,43.459819155740966,,rising,1092883.8599999999,8.0,16.0,15.0,5.0,0.0,5.0,0.9481565368322183,78.89646905933262,139.6635009522367,0.04209661503690855,0.07905659143557091,23.619796875,,43.459819155740966,,3.0,0.0,rising,1092883.8599999999,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,Buy,49,not_in_gap_or_already_strong,49.0
1000PEPEUSDT,Buy,49,0.0105746,0.01065074,0.01025736,Bullish,2025-09-09T06:35:09.226196+00:00,2025-09-09T12:05:09.226196+05:30,Success,4,4.0,,5.04%,77.13984506706669,7.052498764603156e-05,4.604881710192057e-05,2.4476170544110986e-05,0.010608276027303704,0.01039144,0.010174603972696296,0.922346789593832,140.33244256968447,10.0,3.0,0.0,0.010352888324728922,4.2304424904503035e-05,0.0105295328125,4.262968749999853e-05,,45.610316666345554,,rising,3446616413.0,8.0,16.0,15.0,5.0,0.0,5.0,0.922346789593832,77.13984506706669,140.33244256968447,2.4476170544110986e-05,4.2304424904503035e-05,0.0105295328125,,45.610316666345554,,3.0,0.0,rising,3446616413.0,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,Buy,49,not_in_gap_or_already_strong,49.0
HYPEUSDT,Buy,41,54.574,54.9669328,52.93678,Bullish,2025-09-09T06:35:10.320883+00:00,2025-09-09T12:05:10.320883+05:30,Success,16,16.0,,5.04%,78.41617768257598,0.5649522623266634,0.5161992973980861,0.04875296492857728,54.754964877775365,53.673849999999995,52.592735122224624,0.9163063604546164,136.06986689731454,10.0,3.0,0.0,52.822699659860206,0.30082679888727504,54.4405,0.1876718750000066,,56.88315778854508,,rising,534840.5300000001,8.0,7.889517697937213,15.0,5.0,0.0,5.0,0.9163063604546164,78.41617768257598,136.06986689731454,0.04875296492857728,0.30082679888727504,54.4405,,56.88315778854508,,3.0,0.0,rising,534840.5300000001,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.11}]}",False,,,,Buy,41,not_in_gap_or_already_strong,41.0
ADAUSDT,Buy,49,0.8793,0.88563096,0.852921,Bullish,2025-09-09T06:35:11.302106+00:00,2025-09-09T12:05:11.302106+05:30,Success,36,36.0,,5.04%,81.42972432114708,0.003807741981508461,0.0025910824018067604,0.0012166595797017008,0.8816613974175169,0.8696549999999998,0.8576486025824828,0.9016608673109668,126.9676076492783,10.0,3.0,0.0,0.8677841071455656,0.002380413785614195,0.8786468749999999,0.002274999999999805,,47.37971411988776,,rising,39823068.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9016608673109668,81.42972432114708,126.9676076492783,0.0012166595797017008,0.002380413785614195,0.8786468749999999,,47.37971411988776,,3.0,0.0,rising,39823068.0,5.039999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,Buy,49,not_in_gap_or_already_strong,49.0
AVAXUSDT,Buy,61,25.755,25.940436,24.98235,Bullish,2025-09-09T06:35:14.349917+00:00,2025-09-09T12:05:14.349917+05:30,Success,11,11.0,,5.04%,86.83023533421161,0.13716442769305104,0.09473516325228995,0.04242926444076109,25.75019113505676,25.365000000000002,24.979808864943244,1.0062421801874164,160.97878649319074,10.0,3.0,0.0,25.28859797364242,0.07154127886999684,25.63146875,0.07275000000000276,,55.4887180573731,,rising,598953.0,8.0,20.0,15.0,5.0,0.0,5.0,1.0062421801874164,86.83023533421161,160.97878649319074,0.04242926444076109,0.07154127886999684,25.63146875,,55.4887180573731,,3.0,0.0,rising,598953.0,5.0399999999999805,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,0.07275000000000276,Buy,61,,
BNBUSDT,Buy,45,880.3,886.63816,853.891,Bullish,2025-09-09T06:35:17.538150+00:00,2025-09-09T12:05:17.538150+05:30,Inconclusive,300,,,5.04%,73.18335271855035,1.1644329035563032,0.8738790278521373,0.2905538757041659,881.089029371199,877.644,874.198970628801,0.8854829253713407,120.59076996225701,10.0,3.0,0.0,876.9705839195898,0.879591433017771,880.41734375,0.5323437499999955,,36.04566578442168,,rising,8911.45,8.0,11.927877370264355,15.0,5.0,0.0,5.0,0.8854829253713407,73.18335271855035,120.59076996225701,0.2905538757041659,0.879591433017771,880.41734375,,36.04566578442168,,3.0,0.0,rising,8911.45,5.040000000000013,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.07}]}",False,,,,Buy,45,not_in_gap_or_already_strong,45.0
FARTCOINUSDT,Buy,47,0.8467,0.85279624,0.821299,Bullish,2025-09-09T06:35:18.522745+00:00,2025-09-09T12:05:18.522745+05:30,Success,36,36.0,,5.04%,82.69761211413788,0.006120836756650205,0.0045192100602455855,0.0016016266964046198,0.849928398650317,0.8318999999999999,0.8138716013496827,0.9104635216655752,133.04093567251445,10.0,3.0,0.0,0.8277844513375101,0.0038357855048869,0.845315625,0.001974999999999949,,53.10017498484708,,rising,17687960.900000002,8.0,14.02116532969282,15.0,5.0,0.0,5.0,0.9104635216655752,82.69761211413788,133.04093567251445,0.0016016266964046198,0.0038357855048869,0.845315625,,53.10017498484708,,3.0,0.0,rising,17687960.900000002,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.98}]}",False,,,,Buy,47,not_in_gap_or_already_strong,47.0
