Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope
ETHUSDT,Buy,42,4351.23,4382.558856,4220.6931,Bullish,2025-09-09T10:26:44.088159+00:00,2025-09-09T15:56:44.088159+05:30,Inconclusive,300,,,5.04%,44.55956904140351,-0.17462858822727867,0.8449478742639026,-1.0195764624911812,4364.139264715914,4356.8935,4349.647735284087,0.10918548820926488,-156.3085611603129,5.0,3.0,0.0,4350.789832481213,5.722849150763491,4355.13421875,-1.0687499999994543,,-0.6760460641401045,,falling,-3897.369999999999,12.0,0.0,15.0,10.0,0.0,5.0,0.10918548820926488,44.55956904140351,-156.3085611603129,-1.0195764624911812,5.722849150763491,4355.13421875,,-0.6760460641401045,,3.0,0.0,falling,-3897.369999999999,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
SOLUSDT,Buy,46,218.52,220.093344,211.9644,Bullish,2025-09-09T10:26:47.726979+00:00,2025-09-09T15:56:47.726979+05:30,Inconclusive,300,,,5.04%,44.952802595863915,0.03583582918619754,0.11120991854235171,-0.07537408935615417,219.1835438083973,218.8225,218.46145619160268,0.0810757684188102,-166.43678160921914,5.0,3.0,0.0,218.2437099215171,0.37730029077531485,218.8825,-0.05703125000002274,,2.7684613503565982,,falling,-33738.490000000005,12.0,4.0,15.0,10.0,0.0,5.0,0.0810757684188102,44.952802595863915,-166.43678160921914,-0.07537408935615417,0.37730029077531485,218.8825,,2.7684613503565982,,3.0,0.0,falling,-33738.490000000005,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
WLDUSDT,Buy,44,2.0938,2.10887536,2.030986,Bullish,2025-09-09T10:26:48.927803+00:00,2025-09-09T15:56:48.927803+05:30,Success,1,1.0,,5.04%,79.26653732135567,0.03189977176219427,0.019768377292378573,0.0121313944698157,2.059954628038456,1.97665,1.893345371961544,1.203142206852659,229.82519840240508,5.0,3.0,0.0,1.940650227960288,0.042839688695830096,2.0017109375000004,0.018075000000000285,,34.16472244029947,,rising,113153644.0,8.0,10.796348809694244,15.0,5.0,0.0,5.0,1.203142206852659,79.26653732135567,229.82519840240508,0.0121313944698157,0.042839688695830096,2.0017109375000004,,34.16472244029947,,3.0,0.0,rising,113153644.0,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.2}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
OPENUSDT,Buy,44,1.2334,1.24228048,1.196398,Bullish,2025-09-09T10:26:52.511109+00:00,2025-09-09T15:56:52.511109+05:30,Success,1,1.0,,5.04%,38.110652990751056,-0.0033859430479956654,0.0048081948870886265,-0.008194137935084292,1.3302432180058512,1.282115,1.2339867819941486,-0.0060960286757052,-177.34266447410366,5.0,0.0,3.0,1.274432651414099,0.029732272081068784,1.2883390625000002,-0.010251562500000144,,-2.9571187192476214,,falling,-23526359.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.0060960286757052,38.110652990751056,-177.34266447410366,-0.008194137935084292,0.029732272081068784,1.2883390625000002,,-2.9571187192476214,,0.0,3.0,falling,-23526359.0,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
XRPUSDT,Buy,42,3.0063,3.02794536,2.916111,Bullish,2025-09-09T10:26:53.747136+00:00,2025-09-09T15:56:53.747136+05:30,Success,110,110.0,,5.04%,43.079350987669756,-0.0013392173035109423,-7.038314255645279e-05,-0.0012688341609544895,3.0221396543852235,3.012525,3.0029103456147768,0.17627541508058395,-114.95586589864024,5.0,3.0,0.0,3.0054813786902974,0.005203464326559523,3.0061109375,5.000000000032756e-05,,-6.3757738319875426,,falling,-8374250.399999999,12.0,0.0,15.0,10.0,0.0,5.0,0.17627541508058395,43.079350987669756,-114.95586589864024,-0.0012688341609544895,0.005203464326559523,3.0061109375,,-6.3757738319875426,,3.0,0.0,falling,-8374250.399999999,5.039999999999988,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
SOMIUSDT,Sell,40,1.2501,1.24109928,1.287603,Bullish,2025-09-09T10:26:56.142976+00:00,2025-09-09T15:56:56.142976+05:30,Success,8,8.0,,5.04%,35.66787596811497,-0.010111688545090258,-0.00637285193681362,-0.003738836608276638,1.3119243095391624,1.28012,1.2483156904608375,0.028051379907578396,-147.8251371629756,5.0,0.0,3.0,1.2864271705775319,0.015312207179825213,1.2582515625,-0.005082812499999978,,-17.200789517500176,,falling,-11910033.0,8.0,14.860166176230095,7.0,5.0,0.0,5.0,0.028051379907578396,35.66787596811497,-147.8251371629756,-0.003738836608276638,0.015312207179825213,1.2582515625,,-17.200789517500176,,0.0,3.0,falling,-11910033.0,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,
1000PEPEUSDT,Buy,40,0.0107106,0.01078772,0.01038928,Bullish,2025-09-09T10:27:00.969056+00:00,2025-09-09T15:57:00.969056+05:30,Success,116,116.0,,5.04%,52.90036272295501,1.8820813642038414e-05,2.8040125940073558e-05,-9.219312298035144e-06,0.01079348465430709,0.010735965,0.01067844534569291,0.2795101491345991,-82.06088262251215,5.0,3.0,0.0,0.010641959225414999,3.262905086151825e-05,0.010710590625,5.339062500000005e-06,,17.059283469839627,,falling,-1680539759.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2795101491345991,52.90036272295501,-82.06088262251215,-9.219312298035144e-06,3.262905086151825e-05,0.010710590625,,17.059283469839627,,3.0,0.0,falling,-1680539759.0,5.0400000000000515,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
ADAUSDT,Buy,41,0.8861,0.89247992,0.859517,Bullish,2025-09-09T10:27:02.204416+00:00,2025-09-09T15:57:02.204416+05:30,Success,116,116.0,,5.04%,43.4115548375271,0.00013162507533970302,0.0009198255213672938,-0.0007882004460275908,0.8937363933970169,0.889475,0.8852136066029831,0.10400276557867216,-161.67840375588096,5.0,3.0,0.0,0.8851173578404016,0.00206236062710637,0.886846875,-0.0005812499999999776,,1.85994534232501,,rising,536234.0,12.0,4.0,15.0,5.0,0.0,5.0,0.10400276557867216,43.4115548375271,-161.67840375588096,-0.0007882004460275908,0.00206236062710637,0.886846875,,1.85994534232501,,3.0,0.0,rising,536234.0,5.039999999999987,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
KAITOUSDT,Sell,42,1.3781,1.36817768,1.419443,Bullish,2025-09-09T10:27:09.384134+00:00,2025-09-09T15:57:09.384134+05:30,Success,55,55.0,,5.04%,36.594843149444586,-0.006582013222801608,0.0018084322224841375,-0.008390445445285746,1.5092708125056122,1.442015,1.3747591874943879,0.024836608027993638,-161.34858782264877,5.0,0.0,3.0,1.4168429641371683,0.02422999796808039,1.4010609375,-0.0017906250000001567,,-6.364098118069096,,falling,-20091183.9,8.0,17.310800972915285,7.0,5.0,0.0,5.0,0.024836608027993638,36.594843149444586,-161.34858782264877,-0.008390445445285746,0.02422999796808039,1.4010609375,,-6.364098118069096,,0.0,3.0,falling,-20091183.9,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,
XNYUSDT,Buy,62,0.011416,0.0114982,0.01107352,Bullish,2025-09-09T10:27:10.615918+00:00,2025-09-09T15:57:10.615918+05:30,Fail,35,,35.0,5.04%,23.7028171434727,-0.0001924961674855015,-0.00016445232973032875,-2.8043837755172744e-05,0.012245448706964493,0.0118407,0.011435951293035505,-0.02464651855855681,-218.09133747302482,5.0,0.0,3.0,0.012120415228656109,0.0001762268612083554,0.011746171875,-3.5734375000002344e-05,,-37.77052095022663,,falling,-521807402.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.02464651855855681,23.7028171434727,-218.09133747302482,-2.8043837755172744e-05,0.0001762268612083554,0.011746171875,,-37.77052095022663,,0.0,3.0,falling,-521807402.0,5.039999999999963,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,1.0,-3.5734375000002344e-05
MUSDT,Buy,43,1.9769,1.99113368,1.917593,Bullish,2025-09-09T10:27:13.010667+00:00,2025-09-09T15:57:13.010667+05:30,Success,1,1.0,,5.04%,59.83201338330116,0.006860509042719176,0.006165475375404449,0.0006950336673147272,1.9833857573537976,1.9612550000000002,1.9391242426462028,0.853467342980817,124.91623662376702,5.0,3.0,0.0,1.9514322626777965,0.01635942731096032,1.9760859375,0.0005703124999998366,,14.939144178680374,,falling,-651950.0,8.0,5.019644985028163,15.0,10.0,0.0,5.0,0.853467342980817,59.83201338330116,124.91623662376702,0.0006950336673147272,0.01635942731096032,1.9760859375,,14.939144178680374,,3.0,0.0,falling,-651950.0,5.040000000000009,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.98}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,
QUSDT,Buy,40,0.016591,0.01671046,0.01609327,Bullish,2025-09-09T10:27:19.042638+00:00,2025-09-09T15:57:19.042638+05:30,Success,1,1.0,,5.04%,48.98540890470342,5.5266574641714417e-05,0.00012509386846974084,-6.982729382802642e-05,0.017462149897045923,0.01685125,0.01624035010295408,0.2869945622364077,-48.85341143602947,5.0,3.0,0.0,0.016421019014928265,0.00042789453444857514,0.016352468749999995,-4.4625000000002996e-05,,3.520336325214145,,falling,-253020623.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2869945622364077,48.98540890470342,-48.85341143602947,-6.982729382802642e-05,0.00042789453444857514,0.016352468749999995,,3.520336325214145,,3.0,0.0,falling,-253020623.0,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
ATHUSDT,Buy,44,0.04114,0.04143621,0.0399058,Bullish,2025-09-09T10:27:23.849502+00:00,2025-09-09T15:57:23.849502+05:30,Success,22,22.0,,5.04%,32.65988178284499,-0.0001926642007105614,-0.00010418893707230881,-8.847526363825258e-05,0.04275558366846824,0.0420985,0.041441416331531755,-0.22935917143885023,-265.3103164817093,5.0,0.0,3.0,0.04225662248108296,0.00039303998057837986,0.042036875,-0.0001459374999999985,,-13.51149012768102,,falling,-38575053.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.22935917143885023,32.65988178284499,-265.3103164817093,-8.847526363825258e-05,0.00039303998057837986,0.042036875,,-13.51149012768102,,0.0,3.0,falling,-38575053.0,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
