Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
SOLUSDT,Buy,44,217.59,219.156648,211.0623,Bullish,2025-09-09T10:56:49.079448+00:00,2025-09-09T16:26:49.079448+05:30,Inconclusive,300,,,5.04%,34.77213737593412,-0.2109973985592717,-0.06856040295839054,-0.14243699560088113,219.5474002717753,218.5975,217.6475997282247,-0.030318829216164456,-184.53180502075182,5.0,0.0,3.0,218.18547063786934,0.42668444915734327,218.04390624999996,-0.16906250000002387,,-14.875895075650996,,falling,-401588.11,26.0,0.0,8.0,5.0,0.0,5.0,-0.030318829216164456,34.77213737593412,-184.53180502075182,-0.14243699560088113,0.42668444915734327,218.04390624999996,,-14.875895075650996,,0.0,3.0,falling,-401588.11,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
WLFIUSDT,Buy,41,0.2142,0.21574224,0.207774,Bullish,2025-09-09T10:56:55.160461+00:00,2025-09-09T16:26:55.160461+05:30,Success,34,34.0,,5.04%,35.85101952374396,-0.0009153792526669091,-0.0005664288664119993,-0.0003489503862549098,0.2206250976450704,0.21698000000000003,0.21333490235492966,0.1186659082014301,-113.31588893734495,5.0,3.0,0.0,0.21642312019578883,0.0014397905103464526,0.2144015625,-0.0004343750000000146,,-19.52424974344063,,falling,-34448828.0,18.0,0.0,8.0,10.0,0.0,5.0,0.1186659082014301,35.85101952374396,-113.31588893734495,-0.0003489503862549098,0.0014397905103464526,0.2144015625,,-19.52424974344063,,3.0,0.0,falling,-34448828.0,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
1000PEPEUSDT,Buy,54,0.0106633,0.01074008,0.0103434,Bullish,2025-09-09T10:56:58.628222+00:00,2025-09-09T16:26:58.628222+05:30,Success,78,78.0,,5.04%,41.793045242039526,4.1160027275232575e-06,1.5199208140644571e-05,-1.1083205413121314e-05,0.010763374340073116,0.010716655,0.010669935659926884,-0.07101619924959066,-224.34379502600137,5.0,3.0,0.0,0.010654402047174466,3.55620142838524e-05,0.010710920312499999,-6.504687500000564e-06,,3.8393656076492158,,falling,-1527594931.0,20.0,4.0,15.0,10.0,0.0,5.0,-0.07101619924959066,41.793045242039526,-224.34379502600137,-1.1083205413121314e-05,3.55620142838524e-05,0.010710920312499999,,3.8393656076492158,,3.0,0.0,falling,-1527594931.0,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,-6.504687500000564e-06,
ADAUSDT,Buy,41,0.8833,0.88965976,0.856801,Bullish,2025-09-09T10:56:59.513296+00:00,2025-09-09T16:26:59.513296+05:30,Success,74,74.0,,5.04%,39.72367481903382,-0.001063357739807591,-0.00032984009186562066,-0.0007335176479419704,0.8941608597069295,0.887655,0.8811491402930705,0.16530172827417391,-124.8095479939078,5.0,3.0,0.0,0.8848556835510714,0.002124061540069404,0.8834968750000001,-0.0005828124999998074,,-12.758387415294447,,falling,-12130756.0,18.0,0.0,8.0,10.0,0.0,5.0,0.16530172827417391,39.72367481903382,-124.8095479939078,-0.0007335176479419704,0.002124061540069404,0.8834968750000001,,-12.758387415294447,,3.0,0.0,falling,-12130756.0,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
LINKUSDT,Buy,40,23.634,23.8041648,22.92498,Bullish,2025-09-09T10:57:01.262918+00:00,2025-09-09T16:27:01.262918+05:30,Fail,275,,275.0,5.04%,46.76791648876193,0.0028346852955287716,0.010659190523592486,-0.007824505228063714,23.764415668378184,23.681350000000002,23.59828433162182,0.21498453618391522,-122.55857704805645,5.0,3.0,0.0,23.618405357346216,0.06970943941617365,23.666875,-0.009000000000000341,,1.1302307823584625,,falling,-459627.7899999999,6.0,4.0,15.0,10.0,0.0,5.0,0.21498453618391522,46.76791648876193,-122.55857704805645,-0.007824505228063714,0.06970943941617365,23.666875,,1.1302307823584625,,3.0,0.0,falling,-459627.7899999999,5.039999999999954,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
PENGUUSDT,Buy,62,0.034503,0.03475142,0.03346791,Bullish,2025-09-09T10:57:02.135572+00:00,2025-09-09T16:27:02.135572+05:30,Success,9,9.0,,5.04%,29.00217651972686,-0.00010087100723835812,-5.164982760885546e-05,-4.922117962950266e-05,0.035193109792962536,0.034869,0.03454489020703746,-0.06462348245414035,-200.00086621709792,5.0,0.0,3.0,0.03484558207676109,0.0001605300311778216,0.034738796875000005,-8.66875000000017e-05,,-21.269552753835576,,falling,-124719907.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.06462348245414035,29.00217651972686,-200.00086621709792,-4.922117962950266e-05,0.0001605300311778216,0.034738796875000005,,-21.269552753835576,,0.0,3.0,falling,-124719907.0,5.039999999999996,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,-8.66875000000017e-05,1.0
XNYUSDT,Buy,54,0.011244,0.01132496,0.01090668,Bullish,2025-09-09T10:57:05.564826+00:00,2025-09-09T16:27:05.564826+05:30,Success,18,18.0,,5.04%,28.347612833310393,-0.00024096917651965193,-0.00021258697983436156,-2.838219668529037e-05,0.012140970335707605,0.011630900000000001,0.011120829664292398,0.12073857964777816,-122.69981113978629,5.0,0.0,3.0,0.011946187213480222,0.00017163162293507825,0.011231390625,-8.42656249999997e-05,,-44.06684799726418,,falling,-351871040.0,24.0,0.0,8.0,5.0,12.0,5.0,0.12073857964777816,28.347612833310393,-122.69981113978629,-2.838219668529037e-05,0.00017163162293507825,0.011231390625,,-44.06684799726418,,0.0,3.0,falling,-351871040.0,5.040000000000021,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,-8.42656249999997e-05,1.0
BNBUSDT,Buy,41,883.34,889.700048,856.8398,Bullish,2025-09-09T10:57:06.454958+00:00,2025-09-09T16:27:06.454958+05:30,Inconclusive,300,,,5.04%,54.95056874057778,0.1646985231806184,0.08569883395506785,0.07899968922555055,883.9299375206382,882.591,881.2520624793618,0.7796993841964429,79.49677349385604,5.0,3.0,0.0,882.2049555637428,0.7340664363373014,883.3579687500002,0.04859375000012278,,5.263911196688471,,falling,-526.1400000000001,4.0,6.58286232357041,15.0,10.0,0.0,5.0,0.7796993841964429,54.95056874057778,79.49677349385604,0.07899968922555055,0.7340664363373014,883.3579687500002,,5.263911196688471,,3.0,0.0,falling,-526.1400000000001,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.42}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
MUSDT,Buy,47,2.0283,2.04290376,1.967451,Bullish,2025-09-09T10:57:07.332306+00:00,2025-09-09T16:27:07.332306+05:30,Success,1,1.0,,5.04%,72.58950502983447,0.01587498811164645,0.011450424503002538,0.004424563608643911,2.022615475330523,1.9792049999999999,1.935794524669477,1.0654741122528124,179.2182116567663,5.0,3.0,0.0,1.9638669324282396,0.021165527154396332,2.00491875,0.007759375000000013,,30.095473761721454,,rising,321753.0,8.0,14.017098125306887,15.0,5.0,0.0,5.0,1.0654741122528124,72.58950502983447,179.2182116567663,0.004424563608643911,0.021165527154396332,2.00491875,,30.095473761721454,,3.0,0.0,rising,321753.0,5.039999999999988,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.98}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,
FARTCOINUSDT,Buy,41,0.8486,0.85470992,0.823142,Bullish,2025-09-09T10:57:08.192860+00:00,2025-09-09T16:27:08.192860+05:30,Success,73,73.0,,5.04%,44.244665295122076,7.995346430700323e-05,0.0007943177257155069,-0.0007143642614085037,0.8566523970224168,0.85215,0.8476476029775831,0.1057655530681809,-160.42383121108205,5.0,3.0,0.0,0.8483859501856604,0.0037372661174240123,0.8512578125,-0.001142187500000058,,0.8852825905860738,,rising,1073958.7000000004,12.0,4.0,15.0,5.0,0.0,5.0,0.1057655530681809,44.244665295122076,-160.42383121108205,-0.0007143642614085037,0.0037372661174240123,0.8512578125,,0.8852825905860738,,3.0,0.0,rising,1073958.7000000004,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
