Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
BTCUSDT,Buy,47,112626.8,113437.71296,109247.996,Bullish,2025-09-10T12:25:14.618019+00:00,2025-09-10T17:55:14.618019+05:30,Success,5,5.0,,5.04%,72.37300015340396,71.36910070563317,29.045542312846695,42.32355839278648,112602.24893722706,112330.075,112057.90106277293,1.0451017886265426,223.69133630317108,10.0,3.0,0.0,112275.75756113816,100.50604399665824,112401.69218749998,66.56562499998836,0.05922119472093768,,21.77092501468369,,rising,429.90199999999976,8.0,14.106510623984455,15.0,5.0,0.0,5.0,1.0451017886265426,72.37300015340396,223.69133630317108,42.32355839278648,100.50604399665824,112401.69218749998,,21.77092501468369,,3.0,0.0,rising,429.90199999999976,66.56562499998836,0.05922119472093768,5.040000000000009,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.89}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,
ETHUSDT,Buy,44,4343.01,4374.279672,4212.7197,Bullish,2025-09-10T12:25:15.495019+00:00,2025-09-10T17:55:15.495019+05:30,Success,5,5.0,,5.04%,71.52294656393445,3.622542721006539,2.129598241191359,1.49294447981518,4340.43680132064,4329.803,4319.169198679359,1.1209914781069494,248.83622384276137,10.0,3.0,0.0,4326.49566287359,5.2777763816713295,4332.810468750001,2.495312500000182,0.05759108361645161,,23.31130777264375,,rising,54672.712,8.0,10.78897037775172,15.0,5.0,0.0,5.0,1.1209914781069494,71.52294656393445,248.83622384276137,1.49294447981518,5.2777763816713295,4332.810468750001,,23.31130777264375,,3.0,0.0,rising,54672.712,2.495312500000182,0.05759108361645161,5.040000000000057,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.21}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
SOLUSDT,Buy,42,220.5,222.0876,213.885,Bullish,2025-09-10T12:25:16.361138+00:00,2025-09-10T17:55:16.361138+05:30,Success,5,5.0,,5.04%,59.090420522280226,0.02097736742993561,-0.08533994048689725,0.10631730791683286,220.6537847901144,219.913,219.17221520988562,0.8962014392259231,146.45338927494927,10.0,3.0,0.0,220.04884781896666,0.48084238587052724,219.9771875,0.2182812500000182,0.0992290393748298,,1.0889297796818707,,rising,4888.079999999976,8.0,9.306552552318136,15.0,5.0,0.0,5.0,0.8962014392259231,59.090420522280226,146.45338927494927,0.10631730791683286,0.48084238587052724,219.9771875,,1.0889297796818707,,3.0,0.0,rising,4888.079999999976,0.2182812500000182,0.0992290393748298,5.0400000000000285,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.69}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
DOGEUSDT,Buy,43,0.24104,0.24277549,0.2338088,Bullish,2025-09-10T12:25:19.963836+00:00,2025-09-10T17:55:19.963836+05:30,Success,5,5.0,,5.04%,58.31440860692406,8.38303548774677e-05,-4.1341194681425016e-05,0.00012517154955889274,0.24127554232781417,0.2404045,0.2395334576721858,0.8647928348067501,127.64754779717735,10.0,3.0,0.0,0.24053934981286593,0.0005242263291035336,0.24043156249999997,0.0002179687499999916,0.09065729463035521,,4.621657037979052,,rising,2699391.0,8.0,9.730572889291333,15.0,5.0,0.0,5.0,0.8647928348067501,58.31440860692406,127.64754779717735,0.00012517154955889274,0.0005242263291035336,0.24043156249999997,,4.621657037979052,,3.0,0.0,rising,2699391.0,0.0002179687499999916,0.09065729463035521,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.27}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
BAKEUSDT,Buy,40,0.1667,0.16790024,0.161699,Bullish,2025-09-10T12:25:20.827091+00:00,2025-09-10T17:55:20.827091+05:30,Fail,1,,1.0,5.04%,50.063636798849245,0.004849650687265283,0.009315314162378364,-0.004465663475113081,0.20482576846456807,0.17834999999999998,0.1518742315354319,0.27998750035167214,-84.9977512146609,10.0,3.0,0.0,0.15052084470980703,0.01466710279633264,0.168684375,-0.004146874999999994,-2.4583634376331505,,9.53117001199235,,falling,-472231244.0,6.0,4.0,15.0,10.0,0.0,5.0,0.27998750035167214,50.063636798849245,-84.9977512146609,-0.004465663475113081,0.01466710279633264,0.168684375,,9.53117001199235,,3.0,0.0,falling,-472231244.0,-0.004146874999999994,-2.4583634376331505,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
XRPUSDT,Buy,42,2.9737,2.99511064,2.884489,Bullish,2025-09-10T12:25:21.688046+00:00,2025-09-10T17:55:21.688046+05:30,Success,5,5.0,,5.04%,63.41245188149471,0.0017394858452863815,0.0010783575473916418,0.0006611282978947397,2.976434813473653,2.9691549999999998,2.9618751865263464,0.8121645916100199,111.07889191747054,10.0,3.0,0.0,2.96809043946552,0.0033916993867909775,2.9726875,0.0011453125000002728,0.038527847276253316,,17.435867016029317,,rising,6910128.599999999,8.0,8.678209163013776,15.0,5.0,0.0,5.0,0.8121645916100199,63.41245188149471,111.07889191747054,0.0006611282978947397,0.0033916993867909775,2.9726875,,17.435867016029317,,3.0,0.0,rising,6910128.599999999,0.0011453125000002728,0.038527847276253316,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.32}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
OPENUSDT,Buy,54,1.1382,1.14639504,1.104054,Bullish,2025-09-10T12:25:24.279614+00:00,2025-09-10T17:55:24.279614+05:30,Success,5,5.0,,5.04%,29.268857551360767,-0.02071842298107507,-0.019129241592148818,-0.0015891813889262509,1.2215634113827218,1.1741499999999998,1.1267365886172778,0.12088785692079229,-111.63817444427357,10.0,0.0,3.0,1.2033694687286338,0.015119381494621395,1.1356328125,-0.003737499999999949,-0.32911165993629204,,-38.730684523423996,,falling,-18006336.0,24.0,0.0,8.0,5.0,12.0,5.0,0.12088785692079229,29.268857551360767,-111.63817444427357,-0.0015891813889262509,0.015119381494621395,1.1356328125,,-38.730684523423996,,0.0,3.0,falling,-18006336.0,-0.003737499999999949,-0.32911165993629204,5.039999999999957,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.003737499999999949,-0.32911165993629204,,,,,,,,,
AVAXUSDT,Strong Buy,68,27.281,27.4774232,26.46257,Bullish,2025-09-10T12:25:25.141011+00:00,2025-09-10T17:55:25.141011+05:30,Success,5,5.0,,5.04%,79.46940499974,0.1405402720698561,0.08903863429058223,0.05150163777927386,27.274622314170404,26.8868,26.498977685829598,1.0082224327953346,182.56507663723212,10.0,3.0,0.0,26.792095893584246,0.10269314815466238,27.104578125,0.08471874999999685,0.31256251106102334,,43.86767887803725,,rising,408376.0,8.0,20.0,15.0,5.0,0.0,5.0,1.0082224327953346,79.46940499974,182.56507663723212,0.05150163777927386,0.10269314815466238,27.104578125,,43.86767887803725,,3.0,0.0,rising,408376.0,0.08471874999999685,0.31256251106102334,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,,0.08471874999999685,0.31256251106102334,53.0,61.0,True,61.0,68.0,1.0030199425127981,0.31256251106102334,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
SUIUSDT,Buy,46,3.5316,3.55702752,3.425652,Bullish,2025-09-10T12:25:27.771473+00:00,2025-09-10T17:55:27.771473+05:30,Success,5,5.0,,5.04%,63.56699408852169,0.0008930388031340719,-0.0014846990988273859,0.0023777379019614578,3.5325673842305814,3.5194699999999997,3.506372615769418,0.9630695636032995,181.3080834648332,10.0,3.0,0.0,3.5235388215546117,0.006093798645509567,3.5191046874999996,0.003407812500000329,0.0968374857418995,,4.091165046299531,,rising,653745.5,8.0,13.364554519556679,15.0,5.0,0.0,5.0,0.9630695636032995,63.56699408852169,181.3080834648332,0.0023777379019614578,0.006093798645509567,3.5191046874999996,,4.091165046299531,,3.0,0.0,rising,653745.5,0.003407812500000329,0.0968374857418995,5.040000000000007,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.64}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
1000PEPEUSDT,Buy,45,0.0104255,0.01050056,0.01011274,Bullish,2025-09-10T12:25:29.507111+00:00,2025-09-10T17:55:29.507111+05:30,Success,5,5.0,,5.04%,62.172841164409036,7.294819635182345e-06,-1.1383539556577083e-06,8.433173590840054e-06,0.010435640001010195,0.01038354,0.010331439998989805,0.9026871323072527,154.89868250189556,10.0,3.0,0.0,0.010401461853065615,2.514186057920792e-05,0.010410104687499998,1.0142187499999344e-05,0.09742637374413385,,10.873037118076322,,rising,340831423.0,8.0,12.050166595368879,15.0,5.0,0.0,5.0,0.9026871323072527,62.172841164409036,154.89868250189556,8.433173590840054e-06,2.514186057920792e-05,0.010410104687499998,,10.873037118076322,,3.0,0.0,rising,340831423.0,1.0142187499999344e-05,0.09742637374413385,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.95}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,
