Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
BTCUSDT,Buy,46,113966.5,114787.0588,110547.505,Bullish,2025-09-10T13:44:11.042907+00:00,2025-09-10T19:14:11.042907+05:30,Inconclusive,600,,,5.04%,70.32950396260773,345.71833894054,306.7781704053221,38.94016853521788,114184.91644857879,113207.035,112229.15355142122,0.8883216115326511,116.06201299668899,10.0,3.0,0.0,112817.11500294035,243.11639901641922,113883.3546875,41.72968750000291,0.03664248178718538,,34.760917826384635,,rising,17176.253000000004,8.0,12.844101214999124,15.0,5.0,0.0,5.0,0.8883216115326511,70.32950396260773,116.06201299668899,38.94016853521788,243.11639901641922,113883.3546875,,34.760917826384635,,3.0,0.0,rising,17176.253000000004,41.72968750000291,0.03664248178718538,5.039999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.16}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,
SUIUSDT,Buy,48,3.6078,3.63377616,3.499566,Bullish,2025-09-10T13:44:23.194632+00:00,2025-09-10T19:14:23.194632+05:30,Inconclusive,600,,,5.04%,72.54501855173693,0.01790971845603062,0.01436043684666175,0.003549281609368871,3.6129568124592635,3.5621250000000004,3.5112931875407374,0.9492757368882325,141.49698577553772,10.0,3.0,0.0,3.547230391735482,0.01350454322915124,3.5975343750000004,0.0048796875000007844,0.13563977411614822,,35.22753173247556,,rising,8700588.300000003,8.0,15.30771120351374,15.0,5.0,0.0,5.0,0.9492757368882325,72.54501855173693,141.49698577553772,0.003549281609368871,0.01350454322915124,3.5975343750000004,,35.22753173247556,,3.0,0.0,rising,8700588.300000003,0.0048796875000007844,0.13563977411614822,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,
HYPEUSDT,Buy,47,55.268,55.6659296,53.60996,Bullish,2025-09-10T13:44:24.055763+00:00,2025-09-10T19:14:24.055763+05:30,Success,503,503.0,,5.04%,64.05919132291434,0.16289352442294103,0.10253671311547903,0.060356811307462,55.3247924130835,54.783950000000004,54.24310758691651,0.9474963393128601,138.25563273840513,10.0,3.0,0.0,54.70499428869584,0.2818036455414008,54.981796875,0.12756250000000335,0.23200860512073498,,17.041802059738025,,rising,420161.61999999994,8.0,14.140329070605562,15.0,5.0,0.0,5.0,0.9474963393128601,64.05919132291434,138.25563273840513,0.060356811307462,0.2818036455414008,54.981796875,,17.041802059738025,,3.0,0.0,rising,420161.61999999994,0.12756250000000335,0.23200860512073498,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.86}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,
1000PEPEUSDT,Buy,40,0.0105854,0.01066161,0.01026784,Bullish,2025-09-10T13:44:24.921264+00:00,2025-09-10T19:14:24.921264+05:30,Success,3,3.0,,5.04%,64.62347126545819,4.140192633855441e-05,3.848050741784131e-05,2.9214189207131023e-06,0.010628064161479493,0.010508945,0.010389825838520508,0.8209181421796791,97.09837126220158,10.0,3.0,0.0,0.010464672000798474,4.454386495887037e-05,0.010588698437499999,7.0203124999997785e-06,0.06630005133716207,,28.345159753751464,,rising,2342315279.0,4.0,10.574045138693158,15.0,5.0,0.0,5.0,0.8209181421796791,64.62347126545819,97.09837126220158,2.9214189207131023e-06,4.454386495887037e-05,0.010588698437499999,,28.345159753751464,,3.0,0.0,rising,2342315279.0,7.0203124999997785e-06,0.06630005133716207,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.43}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,
LINKUSDT,Buy,41,23.807,23.9784104,23.09279,Bullish,2025-09-10T13:44:25.782454+00:00,2025-09-10T19:14:25.782454+05:30,Inconclusive,600,,,5.04%,66.7206827922865,0.09361925597310972,0.08430912516392024,0.009310130809189479,23.90532546216828,23.613899999999997,23.322474537831717,0.8313025542848713,97.2810264001958,10.0,3.0,0.0,23.523082856776664,0.08741531465547979,23.8296875,0.01387499999999875,0.0582256901186755,,31.581699024176224,,rising,894643.1700000002,4.0,11.556109765218817,15.0,5.0,0.0,5.0,0.8313025542848713,66.7206827922865,97.2810264001958,0.009310130809189479,0.08741531465547979,23.8296875,,31.581699024176224,,3.0,0.0,rising,894643.1700000002,0.01387499999999875,0.0582256901186755,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.44}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,
BNBUSDT,Buy,41,902.57,909.068504,875.4929,Bullish,2025-09-10T13:44:26.664708+00:00,2025-09-10T19:14:26.664708+05:30,Inconclusive,600,,,5.04%,79.52871982321953,4.683531989725452,3.833059959044978,0.8504720306804741,908.0323677640172,893.7605,879.4886322359828,0.8086316432321119,91.57068537718818,10.0,3.0,0.0,890.1013690299822,2.6093063473723914,905.8853124999999,1.68781249999995,0.18631635558170614,,64.23986517227883,,rising,157503.72000000006,4.0,11.822511433694197,15.0,5.0,0.0,5.0,0.8086316432321119,79.52871982321953,91.57068537718818,0.8504720306804741,2.6093063473723914,905.8853124999999,,64.23986517227883,,3.0,0.0,rising,157503.72000000006,1.68781249999995,0.18631635558170614,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.18}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,
IPUSDT,Buy,58,10.296,10.3701312,9.98712,Bullish,2025-09-10T13:44:28.387317+00:00,2025-09-10T19:14:28.387317+05:30,Success,8,8.0,,5.04%,62.942465547048705,0.012492501538186929,0.007318675916844206,0.005173825621342723,10.280670514500878,10.23678,10.192889485499121,1.1746332399317674,258.0563469452333,10.0,3.0,0.0,10.23386282000654,0.04447512394347216,10.2530296875,0.007754687500000301,0.075633132219001,,9.434976905536296,,falling,-44695.00000000003,8.0,11.791938591785549,15.0,10.0,0.0,5.0,1.1746332399317674,62.942465547048705,258.0563469452333,0.005173825621342723,0.04447512394347216,10.2530296875,,9.434976905536296,,3.0,0.0,falling,-44695.00000000003,0.007754687500000301,0.075633132219001,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.21}]}",True,,,Buy,58,50.0,58.0,0.007754687500000301,0.075633132219001,False,0.2326615493154623,0.075633132219001,True,conditions_not_met,
ONDOUSDT,Buy,41,1.033,1.0404376,1.00201,Bullish,2025-09-10T13:44:31.824068+00:00,2025-09-10T19:14:31.824068+05:30,Fail,355,,355.0,5.04%,64.60423427444229,0.004574206589502472,0.003644313363979759,0.0009298932255227131,1.0379627480160085,1.023025,1.0080872519839916,0.833885669690969,112.21887317412514,10.0,3.0,0.0,1.019429431632536,0.005381111150191417,1.0321203125,0.0009468749999999027,0.09174075817831583,,22.92562253342148,,rising,9757761.4,8.0,8.147365997402087,15.0,5.0,0.0,5.0,0.833885669690969,64.60423427444229,112.21887317412514,0.0009298932255227131,0.005381111150191417,1.0321203125,,22.92562253342148,,3.0,0.0,rising,9757761.4,0.0009468749999999027,0.09174075817831583,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.85}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,
FARTCOINUSDT,Buy,46,0.8808,0.88714176,0.854376,Bullish,2025-09-10T13:44:32.685976+00:00,2025-09-10T19:14:32.685976+05:30,Success,1,1.0,,5.04%,75.5292394144727,0.008606032745726022,0.005836934877904061,0.002769097867821961,0.8839038892830681,0.8585799999999999,0.8332561107169317,0.9387161812237244,148.1040996222197,10.0,3.0,0.0,0.8536376679510745,0.007163125695113364,0.8741359375000001,0.004750000000000032,0.5433937441795237,,38.99982669234895,,rising,20276287.3,8.0,13.277842056166138,15.0,5.0,0.0,5.0,0.9387161812237244,75.5292394144727,148.1040996222197,0.002769097867821961,0.007163125695113364,0.8741359375000001,,38.99982669234895,,3.0,0.0,rising,20276287.3,0.004750000000000032,0.5433937441795237,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.72}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,
PENGUUSDT,Buy,47,0.035338,0.03559243,0.03427786,Bullish,2025-09-10T13:44:34.512538+00:00,2025-09-10T19:14:34.512538+05:30,Success,2,2.0,,5.04%,72.08000945071697,0.00034487707809258833,0.00028860670066839153,5.6270377424196797e-05,0.03553054255973379,0.03458460000000001,0.03363865744026622,0.8982271398233853,119.1702383574181,10.0,3.0,0.0,0.034276763298798744,0.0002641179753641344,0.035309203125,0.00010025000000000311,0.28392031291417913,,40.171556594334916,,rising,355311350.0,8.0,14.113203886705664,15.0,5.0,0.0,5.0,0.8982271398233853,72.08000945071697,119.1702383574181,5.6270377424196797e-05,0.0002641179753641344,0.035309203125,,40.171556594334916,,3.0,0.0,rising,355311350.0,0.00010025000000000311,0.28392031291417913,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.89}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,
