Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence
LINKUSDT,Buy,46,23.638,23.8081936,22.92886,Bullish,2025-09-10T14:53:25.220631+00:00,2025-09-10T20:23:25.220631+05:30,Inconclusive,600,,,5.04%,47.21388082353082,0.01883302346669069,0.0475350432404914,-0.028702019773800706,23.88154613834371,23.7358,23.59005386165629,0.16448510707927175,-109.65900555805969,10.0,3.0,0.0,23.60827924551836,0.08946849388506489,23.704624999999997,-0.028015625000001876,-0.11818632439872759,,5.754401113425939,,falling,-50181.59000000009,12.0,4.0,15.0,10.0,0.0,5.0,0.16448510707927175,47.21388082353082,-109.65900555805969,-0.028702019773800706,0.08946849388506489,23.704624999999997,,5.754401113425939,,3.0,0.0,falling,-50181.59000000009,-0.028015625000001876,-0.11818632439872759,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46,Buy,46
1000PEPEUSDT,Buy,40,0.0105519,0.01062787,0.01023534,Bullish,2025-09-10T14:53:27.051787+00:00,2025-09-10T20:23:27.051787+05:30,Inconclusive,600,,,5.04%,51.15160900780821,1.6490194594416183e-05,2.6480202591633337e-05,-9.990007997217154e-06,0.010624886462959279,0.010571785,0.010518683537040722,0.312764103926385,-69.66917849562753,10.0,3.0,0.0,0.010511618352347842,4.327276397491116e-05,0.0105630453125,-8.356249999999163e-06,-0.07910834189180861,,9.99689177328323,,falling,-599287097.0,6.0,4.0,15.0,10.0,0.0,5.0,0.312764103926385,51.15160900780821,-69.66917849562753,-9.990007997217154e-06,4.327276397491116e-05,0.0105630453125,,9.99689177328323,,3.0,0.0,falling,-599287097.0,-8.356249999999163e-06,-0.07910834189180861,5.040000000000051,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
IPUSDT,Buy,44,10.374,10.4486928,10.06278,Bullish,2025-09-10T14:53:30.566706+00:00,2025-09-10T20:23:30.566706+05:30,Success,379,379.0,,5.04%,66.30722295281328,0.02324158276624999,0.018168085347015094,0.0050734974192348965,10.354545797214543,10.286,10.217454202785456,1.1419066053354598,180.35940889926044,10.0,3.0,0.0,10.262717918144734,0.0513532738211965,10.307328125000002,0.006875000000000853,0.06670011778635263,,16.999864027290098,,rising,137329.9,8.0,11.371103709679721,15.0,5.0,0.0,5.0,1.1419066053354598,66.30722295281328,180.35940889926044,0.0050734974192348965,0.0513532738211965,10.307328125000002,,16.999864027290098,,3.0,0.0,rising,137329.9,0.006875000000000853,0.06670011778635263,5.039999999999955,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.63}]}",False,not_in_gap_or_already_strong,44,Buy,44
LINEAUSDT,Buy,40,0.02571,0.02589511,0.0249387,Bullish,2025-09-10T14:53:31.451068+00:00,2025-09-10T20:23:31.451068+05:30,Success,4,4.0,,5.04%,52.63150558158511,0.000222458405862231,0.00012383983475115716,9.861857111107385e-05,0.026715981073225977,0.025498,0.024280018926774023,0.5870292669813381,118.62990810359257,10.0,3.0,0.0,0.02544754748093565,0.0008998633953049117,0.0252671875,0.00019093750000000187,0.7556737369364986,,10.924558238528613,,rising,921286428.0,8.0,6.630227786811781,15.0,5.0,0.0,5.0,0.5870292669813381,52.63150558158511,118.62990810359257,9.861857111107385e-05,0.0008998633953049117,0.0252671875,,10.924558238528613,,3.0,0.0,rising,921286428.0,0.00019093750000000187,0.7556737369364986,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.37}]}",False,not_in_gap_or_already_strong,40,Buy,40
PENGUUSDT,Buy,40,0.035034,0.03528624,0.03398298,Bullish,2025-09-10T14:53:35.056684+00:00,2025-09-10T20:23:35.056684+05:30,Success,13,13.0,,5.04%,52.959947608374755,0.00015871430472712972,0.0002246182057950567,-6.590390106792697e-05,0.03543033418666294,0.0351632,0.034896065813337054,0.2581739693934912,-69.97438317379113,10.0,3.0,0.0,0.03465675985072232,0.00024262347752600756,0.03515546875,-4.360937500000328e-05,-0.12404720104892153,,16.677655649163363,,falling,-145772336.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2581739693934912,52.959947608374755,-69.97438317379113,-6.590390106792697e-05,0.00024262347752600756,0.03515546875,,16.677655649163363,,3.0,0.0,falling,-145772336.0,-4.360937500000328e-05,-0.12404720104892153,5.040000000000049,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
ARBUSDT,Buy,41,0.5155,0.5192116,0.500035,Bullish,2025-09-10T14:53:38.621730+00:00,2025-09-10T20:23:38.621730+05:30,Inconclusive,600,,,5.04%,47.32535973025754,0.0012502435782978383,0.002288241341042224,-0.0010379977627443856,0.5240647322030987,0.51881,0.5135552677969013,0.1850457956688882,-87.1031746031803,10.0,3.0,0.0,0.5137826127476727,0.0027724026024171966,0.5190203125,-0.0013703125000000815,-0.26401905031415923,,12.433051895130308,,rising,5071218.6,12.0,4.0,15.0,5.0,0.0,5.0,0.1850457956688882,47.32535973025754,-87.1031746031803,-0.0010379977627443856,0.0027724026024171966,0.5190203125,,12.433051895130308,,3.0,0.0,rising,5071218.6,-0.0013703125000000815,-0.26401905031415923,5.040000000000051,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41,Buy,41
WIFUSDT,Buy,46,0.8946,0.90104112,0.867762,Bullish,2025-09-10T14:53:39.517680+00:00,2025-09-10T20:23:39.517680+05:30,Inconclusive,600,,,5.04%,47.531420324867305,0.0013136502628682267,0.0026250143379130957,-0.001311364075044869,0.9046082981162498,0.8988400000000001,0.8930717018837504,0.13247391912219578,-115.35901093675498,10.0,3.0,0.0,0.8927334526606678,0.003947415115393155,0.8985078125,-0.0012156250000000535,-0.1352937596188184,,8.589384767359883,,falling,-651595.800000001,12.0,4.0,15.0,10.0,0.0,5.0,0.13247391912219578,47.531420324867305,-115.35901093675498,-0.001311364075044869,0.003947415115393155,0.8985078125,,8.589384767359883,,3.0,0.0,falling,-651595.800000001,-0.0012156250000000535,-0.1352937596188184,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46,Buy,46
LTCUSDT,Buy,41,114.14,114.961808,110.7158,Bullish,2025-09-10T14:53:40.504734+00:00,2025-09-10T20:23:40.504734+05:30,Success,88,88.0,,5.04%,46.46421450568058,0.13041858960090735,0.25779872271833537,-0.12738013311742802,115.15348031619901,114.599,114.044519683801,0.0860989230902953,-123.63067292645165,10.0,3.0,0.0,113.96530447434648,0.3033530575121106,114.4728125,-0.1306250000000091,-0.11411006434388872,,11.530170064970681,,rising,15874.559000000001,12.0,4.0,15.0,5.0,0.0,5.0,0.0860989230902953,46.46421450568058,-123.63067292645165,-0.12738013311742802,0.3033530575121106,114.4728125,,11.530170064970681,,3.0,0.0,rising,15874.559000000001,-0.1306250000000091,-0.11411006434388872,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41,Buy,41
BIDUSDT,Buy,44,0.11884,0.11969565,0.1152748,Bullish,2025-09-10T14:53:44.064164+00:00,2025-09-10T20:23:44.064164+05:30,Fail,6,,6.0,5.04%,37.52513580449427,-0.00018345934543262388,-9.381398261994012e-05,-8.964536281268376e-05,0.12332297749935603,0.121102,0.11888102250064397,-0.009235235533873455,-130.40650406504008,10.0,0.0,3.0,0.12154274771241981,0.0016647246613593985,0.1226865625,5.265624999999108e-05,0.04291932949053901,,-3.9021211941375693,,falling,-2516911.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.009235235533873455,37.52513580449427,-130.40650406504008,-8.964536281268376e-05,0.0016647246613593985,0.1226865625,,-3.9021211941375693,,0.0,3.0,falling,-2516911.0,5.265624999999108e-05,0.04291932949053901,5.040000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44,Buy,44
TIAUSDT,Buy,46,1.7965,1.8094348,1.742605,Bullish,2025-09-10T14:53:45.841088+00:00,2025-09-10T20:23:45.841088+05:30,Fail,260,,260.0,5.04%,46.7043396338467,-4.860686994256902e-05,0.002524432010713388,-0.002573038880655957,1.8229969384406197,1.8064399999999998,1.78988306155938,0.19982373143293264,-107.87744145145028,10.0,3.0,0.0,1.796459760965451,0.00960220224212704,1.7972640625,-0.0023109374999998877,-0.12858085510180214,,0.16700794290846946,,falling,-332333.0,12.0,4.0,15.0,10.0,0.0,5.0,0.19982373143293264,46.7043396338467,-107.87744145145028,-0.002573038880655957,0.00960220224212704,1.7972640625,,0.16700794290846946,,3.0,0.0,falling,-332333.0,-0.0023109374999998877,-0.12858085510180214,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46,Buy,46
