Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
BTCUSDT,Buy,61,114000.1,114820.90072,110580.097,Bullish,2025-09-10T17:17:36.996787+00:00,2025-09-10T22:47:36.996787+05:30,Inconclusive,600,,,5.04%,63.193668625412876,33.40592950733844,0.8834600910670822,32.52246941627136,113998.51701406091,113748.76500000001,113499.01298593912,1.0031691154624849,164.53302756419603,10.0,3.0,0.0,113631.08009082495,124.43281327429847,113712.9609375,67.87812499998836,0.05969251388792539,,6.070712301764561,,falling,-1068.3049999999994,8.0,15.272776813860984,15.0,10.0,0.0,5.0,1.0031691154624849,63.193668625412876,164.53302756419603,32.52246941627136,124.43281327429847,113712.9609375,,6.070712301764561,,3.0,0.0,falling,-1068.3049999999994,67.87812499998836,0.05969251388792539,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 4.73}]}",True,53.0,61.0,67.87812499998836,0.05969251388792539,False,0.522731401155082,0.05969251388792539,True,conditions_not_met,Buy,61,,,,,
DOGEUSDT,Strong Buy,66,0.24749,0.24927193,0.2400653,Bullish,2025-09-10T17:17:43.584759+00:00,2025-09-10T22:47:43.584759+05:30,Fail,139,,139.0,5.04%,65.44974846079438,0.0010844239687059776,0.0006613225199872408,0.0004231014487187368,0.24885287354547866,0.2447835,0.2407141264545213,0.8325450428367639,104.83373284222859,10.0,3.0,0.0,0.24420639170407168,0.001098859958576315,0.24758953125,0.0009274999999999978,0.3746119617082953,,26.646571074746088,,falling,-132710473.0,8.0,13.240881597329096,15.0,10.0,0.0,5.0,0.8325450428367639,65.44974846079438,104.83373284222859,0.0004231014487187368,0.001098859958576315,0.24758953125,,26.646571074746088,,3.0,0.0,falling,-132710473.0,0.0009274999999999978,0.3746119617082953,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,51.0,59.0,0.0009274999999999978,0.3746119617082953,True,0.7700734664440914,0.3746119617082953,True,,Buy,66,59.0,66.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
XRPUSDT,Buy,44,3.0118,3.03348496,2.921446,Bullish,2025-09-10T17:17:44.744274+00:00,2025-09-10T22:47:44.744274+05:30,Inconclusive,600,,,5.04%,62.68966825277675,0.0022411384374994014,0.00044600259784629914,0.0017951358396531023,3.0127290681265677,3.00053,2.988330931873432,0.9619205288089053,159.9716561598983,10.0,3.0,0.0,2.998699688911416,0.005745559556421572,3.0044625000000003,0.0032000000000000917,0.10650823566611636,,9.30757979306468,,rising,710752.0000000001,8.0,11.498531644933015,15.0,5.0,0.0,5.0,0.9619205288089053,62.68966825277675,159.9716561598983,0.0017951358396531023,0.005745559556421572,3.0044625000000003,,9.30757979306468,,3.0,0.0,rising,710752.0000000001,0.0032000000000000917,0.10650823566611636,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.5}]}",False,,,,,,,,,,Buy,44,,,,not_in_gap_or_already_strong,44.0
SUIUSDT,Buy,41,3.6108,3.63679776,3.502476,Bullish,2025-09-10T17:17:54.690950+00:00,2025-09-10T22:47:54.690950+05:30,Success,432,432.0,,5.04%,60.755868998057935,0.0036679083001391888,0.002434964217506705,0.001232944082632484,3.6209718757758895,3.59992,3.5788681242241105,0.7584092770597792,78.30119085256239,10.0,3.0,0.0,3.5906395404872886,0.00896207393534246,3.6063031249999997,0.004978124999999611,0.13803956094233236,,10.679812504089833,,rising,2677778.6000000006,4.0,12.301764546539516,15.0,5.0,0.0,5.0,0.7584092770597792,60.755868998057935,78.30119085256239,0.001232944082632484,0.00896207393534246,3.6063031249999997,,10.679812504089833,,3.0,0.0,rising,2677778.6000000006,0.004978124999999611,0.13803956094233236,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.7}]}",False,,,,,,,,,,Buy,41,,,,not_in_gap_or_already_strong,41.0
LINKUSDT,Buy,46,23.676,23.8464672,22.96572,Bullish,2025-09-10T17:17:58.094327+00:00,2025-09-10T22:47:58.094327+05:30,Inconclusive,600,,,5.04%,58.63974188908793,-0.003670977622540761,-0.02098593337106289,0.01731495574852213,23.73847637696525,23.588199999999997,23.437923623034745,0.7921284162323907,80.27904576315122,10.0,3.0,0.0,23.601493811904245,0.061409207753328296,23.5594375,0.037562500000003496,0.1594371682261238,,-2.003120502198134,,falling,-27983.300000000007,4.0,11.767046069601971,15.0,10.0,0.0,5.0,0.7921284162323907,58.63974188908793,80.27904576315122,0.01731495574852213,0.061409207753328296,23.5594375,,-2.003120502198134,,3.0,0.0,falling,-27983.300000000007,0.037562500000003496,0.1594371682261238,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.23}]}",False,,,,,,,,,,Buy,46,,,,not_in_gap_or_already_strong,46.0
1000PEPEUSDT,Buy,46,0.010583,0.0106592,0.01026551,Bullish,2025-09-10T17:18:00.255131+00:00,2025-09-10T22:48:00.255131+05:30,Inconclusive,600,,,5.04%,60.400004715488855,1.065969847819162e-05,-6.064364386846975e-07,1.1266134916876318e-05,0.0106177817512692,0.01052807,0.010438358248730802,0.8061471837461457,93.36285007026852,10.0,3.0,0.0,0.010528289042131905,3.277079226578493e-05,0.010552748437500002,2.5820312500000886e-05,0.24467855604561198,,7.968671745168082,,falling,-112265259.0,4.0,12.250860577677745,15.0,10.0,0.0,5.0,0.8061471837461457,60.400004715488855,93.36285007026852,1.1266134916876318e-05,3.277079226578493e-05,0.010552748437500002,,7.968671745168082,,3.0,0.0,falling,-112265259.0,2.5820312500000886e-05,0.24467855604561198,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.75}]}",False,,,,,,,,,,Buy,46,,,,not_in_gap_or_already_strong,46.0
ADAUSDT,Buy,45,0.8914,0.89781808,0.864658,Bullish,2025-09-10T17:18:01.347446+00:00,2025-09-10T22:48:01.347446+05:30,Inconclusive,600,,,5.04%,60.52745029568705,0.0009099193488604218,0.00010024545198339658,0.0008096738968770252,0.893677536327468,0.887425,0.881172463672532,0.8178710040065958,102.36886632825396,10.0,3.0,0.0,0.8869504597695068,0.002522012173088245,0.8890312499999998,0.00177499999999986,0.1996555239199815,,9.856642437709999,,rising,103210.0,8.0,11.705027649114633,15.0,5.0,0.0,5.0,0.8178710040065958,60.52745029568705,102.36886632825396,0.0008096738968770252,0.002522012173088245,0.8890312499999998,,9.856642437709999,,3.0,0.0,rising,103210.0,0.00177499999999986,0.1996555239199815,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.29}]}",False,,,,,,,,,,Buy,45,,,,not_in_gap_or_already_strong,45.0
PENGUUSDT,Buy,42,0.03527,0.03552394,0.0342119,Bullish,2025-09-10T17:18:11.354729+00:00,2025-09-10T22:48:11.354729+05:30,Fail,541,,541.0,5.04%,56.63211510995062,2.699912040916852e-05,1.249319453491192e-06,2.574980095567733e-05,0.03546663325287396,0.0350945,0.03472236674712604,0.7358026307036883,52.46467906792175,10.0,3.0,0.0,0.034982566094985734,0.00020832486112484357,0.035038765625,8.692187499999976e-05,0.24807345078954893,,3.296406622549182,,falling,-231395704.0,0.0,11.966497707471927,15.0,10.0,0.0,5.0,0.7358026307036883,56.63211510995062,52.46467906792175,2.574980095567733e-05,0.00020832486112484357,0.035038765625,,3.296406622549182,,3.0,0.0,falling,-231395704.0,8.692187499999976e-05,0.24807345078954893,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 40.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.03}]}",False,,,,,,,,,,Buy,42,,,,not_in_gap_or_already_strong,42.0
ARBUSDT,Strong Buy,71,0.5186,0.52233392,0.503042,Bullish,2025-09-10T17:18:13.590646+00:00,2025-09-10T22:48:13.590646+05:30,Fail,138,,138.0,5.04%,62.48840983598426,0.00031103772849050415,-0.000498515571090653,0.0008095532995811572,0.5201658941468504,0.514135,0.5081041058531496,0.8701772814510217,106.55633354551179,10.0,3.0,0.0,0.5144351508065932,0.00205530331243442,0.51433125,0.001742187499999992,0.33872868895288627,,3.180872680697678,,falling,-6353107.099999999,8.0,18.45324180251265,15.0,10.0,0.0,5.0,0.8701772814510217,62.48840983598426,106.55633354551179,0.0008095532995811572,0.00205530331243442,0.51433125,,3.180872680697678,,3.0,0.0,falling,-6353107.099999999,0.001742187499999992,0.33872868895288627,5.039999999999928,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,56.0,64.0,0.001742187499999992,0.33872868895288627,True,0.7877701502093873,0.33872868895288627,True,,Buy,71,64.0,71.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
WIFUSDT,Buy,41,0.8953,0.90174616,0.868441,Bullish,2025-09-10T17:18:15.801885+00:00,2025-09-10T22:48:15.801885+05:30,Inconclusive,600,,,5.04%,56.23152437308379,0.00031988150021022843,-0.0006939845583549253,0.0010138660585651536,0.8997718968089107,0.89124,0.8827081031910894,0.7379306788942713,63.795998003538195,10.0,3.0,0.0,0.8924155965406008,0.003036438301312483,0.893475,0.0022468749999999815,0.251475978622791,,2.135463576043438,,rising,1224461.7,4.0,12.013594544320554,15.0,5.0,0.0,5.0,0.7379306788942713,56.23152437308379,63.795998003538195,0.0010138660585651536,0.003036438301312483,0.893475,,2.135463576043438,,3.0,0.0,rising,1224461.7,0.0022468749999999815,0.251475978622791,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.99}]}",False,,,,,,,,,,Buy,41,,,,not_in_gap_or_already_strong,41.0
