Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
MYXUSDT,Sell,40,15.58,15.467824,16.0474,Bearish,2025-09-10T20:22:40.585250+00:00,2025-09-11T01:52:40.585250+05:30,Success,9,9.0,,5.04%,39.99319875312617,-0.10144808971027786,-0.06012875084795108,-0.04131933886232678,16.423494729006332,15.965309999999999,15.507125270993665,0.07952548873069008,-159.20208607089262,-5.0,0.0,3.0,16.103482207577862,0.2857295698556412,15.990128125,-0.0152718750000016,-0.09550814653026178,,-9.172213783362267,,falling,-1495017.0,8.0,7.47063880436617,15.0,5.0,0.0,5.0,0.07952548873069008,39.99319875312617,-159.20208607089262,-0.04131933886232678,0.2857295698556412,15.990128125,,-9.172213783362267,,0.0,3.0,falling,-1495017.0,-0.0152718750000016,-0.09550814653026178,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.53}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,
WLDUSDT,Sell,50,1.8576,1.84422528,1.913328,Bearish,2025-09-10T20:22:43.432405+00:00,2025-09-11T01:52:43.432405+05:30,Success,71,71.0,,5.04%,73.70825538130879,0.01037100815415104,0.004736408283401534,0.005634599870749506,1.8571516092660891,1.8176999999999999,1.7782483907339106,1.0056827939626813,155.31403713776402,-5.0,0.0,3.0,1.821961265103295,0.013255549636697873,1.84395,0.008601562499999993,0.4664748230700395,,27.633697829920003,,rising,16160396.0,32.0,0.0,8.0,5.0,0.0,5.0,1.0056827939626813,73.70825538130879,155.31403713776402,0.005634599870749506,0.013255549636697873,1.84395,,27.633697829920003,,0.0,3.0,rising,16160396.0,0.008601562499999993,0.4664748230700395,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 15, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Sell,50,0.008601562499999993,0.4664748230700395,,,,,,,,
KAITOUSDT,Sell,41,1.2428,1.23385184,1.280084,Bearish,2025-09-10T20:23:10.121007+00:00,2025-09-11T01:53:10.121007+05:30,Fail,219,,219.0,5.04%,57.37346330234295,-0.0005124792501463027,-0.0029430166384802853,0.0024305373883339826,1.2481516319243355,1.2337200000000001,1.2192883680756648,0.8145867372313098,97.7519808365546,-5.0,0.0,3.0,1.24401207490397,0.0051456005432596414,1.2327609375000002,0.004348437500000024,0.3527397216867138,,-3.051726847059485,,falling,-37848.199999999924,12.0,4.0,15.0,5.0,0.0,5.0,0.8145867372313098,57.37346330234295,97.7519808365546,0.0024305373883339826,0.0051456005432596414,1.2327609375000002,,-3.051726847059485,,0.0,3.0,falling,-37848.199999999924,0.004348437500000024,0.3527397216867138,5.040000000000053,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
1000SATSUSDT,Sell,41,4.11e-05,4.08e-05,4.233e-05,Bearish,2025-09-10T20:23:14.883562+00:00,2025-09-11T01:53:14.883562+05:30,Success,261,261.0,,5.04%,54.139753860250316,-5.339450632776656e-08,-1.234298781824694e-07,7.003537185470283e-08,4.116779470563757e-05,4.083e-05,4.0492205294362433e-05,0.8996510239708967,140.70351758793367,-5.0,0.0,3.0,4.129056526501156e-05,3.0678988778600605e-07,4.091875e-05,8.281249999999608e-08,0.20238277073467809,,-5.825659724806815,,rising,5356864064.0,12.0,4.0,15.0,5.0,0.0,5.0,0.8996510239708967,54.139753860250316,140.70351758793367,7.003537185470283e-08,3.0678988778600605e-07,4.091875e-05,,-5.825659724806815,,0.0,3.0,rising,5356864064.0,8.281249999999608e-08,0.20238277073467809,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
OMNIUSDT,Sell,45,3.66,3.633648,3.7698,Bearish,2025-09-10T20:23:17.355833+00:00,2025-09-11T01:53:17.355833+05:30,Fail,217,,217.0,5.04%,41.92201730554806,-0.016035095640594133,-0.0030291032847236587,-0.013005992355870473,3.8242181495646235,3.72545,3.6266818504353764,0.1686684913683831,-107.90298630589078,-5.0,0.0,3.0,3.702037424526854,0.0386448120773783,3.658046875,-0.018515625000000036,-0.5061615018260266,,-8.962511402810119,,falling,-1131103.31,8.0,12.07725021190134,15.0,5.0,0.0,5.0,0.1686684913683831,41.92201730554806,-107.90298630589078,-0.013005992355870473,0.0386448120773783,3.658046875,,-8.962511402810119,,0.0,3.0,falling,-1131103.31,-0.018515625000000036,-0.5061615018260266,5.040000000000029,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.92}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,
WUSDT,Buy,41,0.09466,0.09534155,0.0918202,Bearish,2025-09-10T20:23:26.938428+00:00,2025-09-11T01:53:26.938428+05:30,Success,3,3.0,,5.04%,63.71007123396935,0.00038965907979277015,-4.731929409531951e-05,0.0004369783738880896,0.0950191327921064,0.09251000000000001,0.09000086720789362,0.9284348773336707,154.4639432297675,-5.0,3.0,0.0,0.09301821512648796,0.0008624183700058353,0.0932484375,0.0006296875000000035,0.6752794115182933,,12.719254887090429,,rising,20017711.0,8.0,16.0,7.0,5.0,0.0,5.0,0.9284348773336707,63.71007123396935,154.4639432297675,0.0004369783738880896,0.0008624183700058353,0.0932484375,,12.719254887090429,,3.0,0.0,rising,20017711.0,0.0006296875000000035,0.6752794115182933,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,
PTBUSDT,Sell,59,0.03887,0.03859014,0.0400361,Bearish,2025-09-10T20:23:30.676560+00:00,2025-09-11T01:53:30.676560+05:30,Success,3,3.0,,5.04%,15.38960617554045,-0.0019857382591579736,-0.0019122716857215734,-7.346657343640026e-05,0.04504176680375515,0.0416155,0.03818923319624485,0.09934527034045323,-139.17125944070253,-5.0,0.0,3.0,0.04512378876379714,0.0009209320908517158,0.0394,-0.000320624999999998,-0.8137690355329898,,-64.3913120220134,,falling,-233954700.0,8.0,5.914579565625657,15.0,5.0,12.0,5.0,0.09934527034045323,15.38960617554045,-139.17125944070253,-7.346657343640026e-05,0.0009209320908517158,0.0394,,-64.3913120220134,,0.0,3.0,falling,-233954700.0,-0.000320624999999998,-0.8137690355329898,5.039999999999958,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 14.09}]}",True,,,Sell,59,-0.000320624999999998,-0.8137690355329898,1.0,51.0,59.0,False,0.15954829713547142,-0.8137690355329898,False,conditions_not_met
BCHUSDT,Buy,45,581.58,585.767376,564.1326,Bearish,2025-09-10T20:23:34.282571+00:00,2025-09-11T01:53:34.282571+05:30,Success,466,466.0,,5.04%,67.84764890728769,0.34695379388915626,-0.08124739420179851,0.42820118809095475,581.4559346464412,579.1065000000001,576.757065353559,1.0264032357203063,173.67050948307391,-5.0,3.0,0.0,580.0984820202815,0.8380971140266308,580.38890625,0.6160937500000045,0.10615188253350674,,10.633842607134921,,rising,1171.374,8.0,20.0,7.0,5.0,0.0,5.0,1.0264032357203063,67.84764890728769,173.67050948307391,0.42820118809095475,0.8380971140266308,580.38890625,,10.633842607134921,,3.0,0.0,rising,1171.374,0.6160937500000045,0.10615188253350674,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,
BIDUSDT,Sell,40,0.10718,0.1064083,0.1103954,Bearish,2025-09-10T20:23:35.483297+00:00,2025-09-11T01:53:35.483297+05:30,Success,2,2.0,,5.04%,61.415341117041464,-9.69150590799106e-05,-0.0005848399807894981,0.0004879249217095875,0.10760729128045948,0.1048085,0.10200970871954051,0.9236650329299768,141.24310393822734,-5.0,0.0,3.0,0.10668983994075282,0.0012307784386573002,0.10408593749999998,0.0007854687499999902,0.7546348420025427,,-2.8879100773659734,,falling,-4850814.0,18.0,4.0,8.0,5.0,0.0,5.0,0.9236650329299768,61.415341117041464,141.24310393822734,0.0004879249217095875,0.0012307784386573002,0.10408593749999998,,-2.8879100773659734,,0.0,3.0,falling,-4850814.0,0.0007854687499999902,0.7546348420025427,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,
ARKMUSDT,Sell,50,0.6082,0.60382096,0.626446,Bearish,2025-09-10T20:23:56.030187+00:00,2025-09-11T01:53:56.030187+05:30,Fail,213,,213.0,5.04%,70.66218172394302,0.0012904526428172414,-4.5460380158379645e-05,0.001335913022975621,0.6070348073758489,0.59962,0.5922051926241512,1.078572009027925,197.4717722140409,-5.0,0.0,3.0,0.6015994693524629,0.002580576985794147,0.6024140625,0.001965625000000082,0.32629135379788415,,14.064732895128994,,rising,974525.0,32.0,0.0,8.0,5.0,0.0,5.0,1.078572009027925,70.66218172394302,197.4717722140409,0.001335913022975621,0.002580576985794147,0.6024140625,,14.064732895128994,,0.0,3.0,rising,974525.0,0.001965625000000082,0.32629135379788415,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 15, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Sell,50,0.001965625000000082,0.32629135379788415,,,,,,,,
