Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,SUPERVISOR__reason
AVAXUSDT,Buy,47,28.724,28.9308128,27.86228,Bullish,2025-09-10T20:52:42.851638+00:00,2025-09-11T02:22:42.851638+05:30,Success,13,13,,5.04%,57.40302162581988,0.016449495577866458,-0.0053817928882661376,0.021831288466132595,28.74853426543055,28.583050000000004,28.417565734569457,0.9258713045414985,130.77661898326036,5.0,3.0,0.0,28.597775905816203,0.09821421792355119,28.704796875,0.02418750000000358,0.0842629199061475,,3.7784528025205204,,falling,-310628.0,8.0,9.334776718326257,15.0,10.0,0.0,5.0,0.9258713045414985,57.40302162581988,130.77661898326036,0.021831288466132595,0.09821421792355119,28.704796875,,3.7784528025205204,,3.0,0.0,falling,-310628.0,0.02418750000000358,0.0842629199061475,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.67}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,
PUMPUSDT,Buy,49,0.005618,0.00565845,0.00544946,Bullish,2025-09-10T20:52:50.793746+00:00,2025-09-11T02:22:50.793746+05:30,Success,74,74,,5.04%,56.22919987183334,4.052182425991896e-06,-6.6993049532097635e-06,1.075148737920166e-05,0.005631144101275297,0.005550899999999999,0.005470655898724701,0.9180992679436745,134.34701460591396,5.0,0.0,3.0,0.005583840546672282,3.9132316399676035e-05,0.005608187500000001,1.4078124999999768e-05,0.2510280727953508,,1.9286993251680544,,falling,-714658317.0,8.0,15.593928518450188,15.0,5.0,0.0,5.0,0.9180992679436745,56.22919987183334,134.34701460591396,1.075148737920166e-05,3.9132316399676035e-05,0.005608187500000001,,1.9286993251680544,,0.0,3.0,falling,-714658317.0,1.4078124999999768e-05,0.2510280727953508,5.039999999999988,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
SUIUSDT,Buy,43,3.576,3.6017472,3.46872,Bullish,2025-09-10T20:52:52.962532+00:00,2025-09-11T02:22:52.962532+05:30,Success,73,73,,5.04%,56.40101232690256,0.0015435452254437543,-0.0014986720365594412,0.0030422172620031955,3.585881529445804,3.5620399999999997,3.538198470554195,0.7927664525829529,97.18614718614678,5.0,0.0,3.0,3.572226245427963,0.007465264720440078,3.5819921875,0.0031250000000007105,0.08724195465601389,,4.333757301339996,,falling,-1030971.6000000002,4.0,13.780391857795037,15.0,5.0,0.0,5.0,0.7927664525829529,56.40101232690256,97.18614718614678,0.0030422172620031955,0.007465264720440078,3.5819921875,,4.333757301339996,,0.0,3.0,falling,-1030971.6000000002,0.0031250000000007105,0.08724195465601389,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.22}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
KAITOUSDT,Buy,48,1.2482,1.25718704,1.210754,Bullish,2025-09-10T20:53:02.470166+00:00,2025-09-11T02:23:02.470166+05:30,Success,179,179,,5.04%,60.64930822263994,0.0024993807797124568,0.0005730282574316853,0.0019263525222807715,1.2554699927264306,1.2363849999999998,1.2173000072735691,0.8095364030094073,88.52547277744392,5.0,0.0,3.0,1.2445674976602363,0.004709965132060317,1.2524515625,0.0011718750000000444,0.09356649271616399,,12.04382289624331,,falling,-20632.200000000033,4.0,18.81588169730562,15.0,5.0,0.0,5.0,0.8095364030094073,60.64930822263994,88.52547277744392,0.0019263525222807715,0.004709965132060317,1.2524515625,,12.04382289624331,,0.0,3.0,falling,-20632.200000000033,0.0011718750000000444,0.09356649271616399,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
1000SATSUSDT,Buy,44,4.14e-05,4.17e-05,4.016e-05,Bullish,2025-09-10T20:53:06.777339+00:00,2025-09-11T02:23:06.777339+05:30,Success,15,15,,5.04%,62.361623379158324,5.3065023379537924e-08,-1.8624232867313963e-08,7.168925624685189e-08,4.142094647261001e-05,4.092e-05,4.041905352738999e-05,0.9790931030007273,134.44444444444326,5.0,0.0,3.0,4.127340729059695e-05,2.511752812311634e-07,4.1267187500000006e-05,5.0000000000001215e-08,0.12116163719662555,,6.398683725409074,,rising,21213289327.0,8.0,15.849966053550403,15.0,0.0,0.0,5.0,0.9790931030007273,62.361623379158324,134.44444444444326,7.168925624685189e-08,2.511752812311634e-07,4.1267187500000006e-05,,6.398683725409074,,0.0,3.0,rising,21213289327.0,5.0000000000001215e-08,0.12116163719662555,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
IPUSDT,Buy,41,10.385,10.459772,10.07345,Bullish,2025-09-10T20:53:09.786530+00:00,2025-09-11T02:23:09.786530+05:30,Success,20,20,,5.04%,65.91305099927146,0.018208965370781982,0.01143235924784338,0.006776606122938601,10.375201216564237,10.32215,10.269098783435764,1.0923521086825376,317.5650898423192,5.0,3.0,0.0,10.30374134105466,0.036873848722786394,10.323125000000001,0.008062500000001194,0.07810135012412611,,16.70481381951474,,rising,111960.89999999998,8.0,8.410674572465311,15.0,5.0,0.0,5.0,1.0923521086825376,65.91305099927146,317.5650898423192,0.006776606122938601,0.036873848722786394,10.323125000000001,,16.70481381951474,,3.0,0.0,rising,111960.89999999998,0.008062500000001194,0.07810135012412611,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.59}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
WIFUSDT,Strong Buy,66,0.8866,0.89298352,0.860002,Bullish,2025-09-10T20:53:11.683907+00:00,2025-09-11T02:23:11.683907+05:30,Success,124,124,,5.04%,56.69353715394112,1.1692860801493232e-05,-0.0008198458852146136,0.0008315387460161068,0.888075955946692,0.882545,0.8770140440533081,0.8665731601447048,126.20912022109898,5.0,3.0,0.0,0.8859995718801575,0.002404501736931927,0.8865296875,0.0006359374999999057,0.07173335636319632,,-0.2826537537427667,,falling,-235310.19999999984,8.0,13.299819292229339,15.0,10.0,0.0,5.0,0.8665731601447048,56.69353715394112,126.20912022109898,0.0008315387460161068,0.002404501736931927,0.8865296875,,-0.2826537537427667,,3.0,0.0,falling,-235310.19999999984,0.0006359374999999057,0.07173335636319632,5.0399999999999805,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,51.0,59.0,0.0006359374999999057,0.07173335636319632,True,59.0,66.0,0.6916516076857783,0.07173335636319632,True,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
MUSDT,Buy,58,1.9872,2.00150784,1.927584,Bullish,2025-09-10T20:53:20.072789+00:00,2025-09-11T02:23:20.072789+05:30,Success,50,50,,5.04%,58.92340933457222,0.0023106701493225135,0.00018710326198815251,0.002123566887334361,1.9860480289402462,1.9682400000000002,1.9504319710597542,1.0323441483507025,187.61274804569595,5.0,3.0,0.0,1.9693122140720838,0.014805179034891513,1.9692578125,0.0012578125000000107,0.06387241386150452,,4.178788701785269,,falling,-257186.0,8.0,12.442417357866022,15.0,10.0,0.0,5.0,1.0323441483507025,58.92340933457222,187.61274804569595,0.002123566887334361,0.014805179034891513,1.9692578125,,4.178788701785269,,3.0,0.0,falling,-257186.0,0.0012578125000000107,0.06387241386150452,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.56}]}",True,,,Buy,58,50.0,58.0,0.0012578125000000107,0.06387241386150452,False,,,0.2868681131555018,0.06387241386150452,True,,conditions_not_met
BIDUSDT,Buy,48,0.10892,0.10970422,0.1056524,Bullish,2025-09-10T20:53:24.114979+00:00,2025-09-11T02:23:24.114979+05:30,Success,29,29,,5.04%,66.20544522291992,0.0007928660089189521,0.00025246347661317555,0.0005404025323057765,0.11003774841205421,0.105585,0.10113225158794578,0.8744878097055394,112.65583186476047,5.0,0.0,3.0,0.10702966770730907,0.001163696667785072,0.10922875000000001,0.0005915625000000174,0.5415813144433287,,18.26617637144184,,falling,-6345348.0,8.0,15.145224640046886,15.0,5.0,0.0,5.0,0.8744878097055394,66.20544522291992,112.65583186476047,0.0005404025323057765,0.001163696667785072,0.10922875000000001,,18.26617637144184,,0.0,3.0,falling,-6345348.0,0.0005915625000000174,0.5415813144433287,5.04,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
BSWUSDT,Buy,45,0.01933,0.01946918,0.0187501,Bullish,2025-09-10T20:53:26.156682+00:00,2025-09-11T02:23:26.156682+05:30,Success,57,57,,5.04%,36.813115769592024,-0.00018820712087500024,-0.00019724830960625135,9.04118873125111e-06,0.020009035712367288,0.0196765,0.01934396428763271,-0.020996673610332965,-157.78033499552464,5.0,0.0,3.0,0.02021459456712693,0.0002965473078039088,0.01955015625,1.156249999999942e-05,0.05914274981817304,,-19.18477255366406,,falling,-35738723.0,26.0,0.7317164035544366,8.0,5.0,0.0,5.0,-0.020996673610332965,36.813115769592024,-157.78033499552464,9.04118873125111e-06,0.0002965473078039088,0.01955015625,,-19.18477255366406,,0.0,3.0,falling,-35738723.0,1.156249999999942e-05,0.05914274981817304,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 19.27}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,
