Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
MYXUSDT,Buy,48,16.999,17.1213928,16.48903,Bullish,2025-09-10T21:52:20.783690+00:00,2025-09-11T03:22:20.783690+05:30,Success,12,12.0,,5.04%,70.08056928014045,0.1585371441889052,-0.02199514529607683,0.180532289484982,16.709713352233354,15.73721,14.764706647766644,1.1487329823091599,248.7439680327882,10.0,0.0,3.0,15.961299121454608,0.3538160183302332,15.840359374999998,0.2174562499999979,1.3727987153069114,,13.62298923364899,,rising,746506.0,8.0,20.0,15.0,0.0,0.0,5.0,1.1487329823091599,70.08056928014045,248.7439680327882,0.180532289484982,0.3538160183302332,15.840359374999998,,13.62298923364899,,0.0,3.0,rising,746506.0,0.2174562499999979,1.3727987153069114,5.040000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
BAKEUSDT,Buy,41,0.1265,0.1274108,0.122705,Bullish,2025-09-10T21:52:21.830221+00:00,2025-09-11T03:22:21.830221+05:30,Success,5,5.0,,5.04%,56.977442022149134,0.0015362062417751121,0.000796752720671156,0.0007394535211039562,0.13019567361498363,0.12083499999999998,0.11147432638501635,0.8025957443346833,103.32036551162588,10.0,3.0,0.0,0.12264844443364353,0.004949409274176501,0.1277359375,0.0004750000000000032,0.37186089466795763,,10.064361786170837,,rising,103086666.0,8.0,7.585657100351179,15.0,5.0,0.0,5.0,0.8025957443346833,56.977442022149134,103.32036551162588,0.0007394535211039562,0.004949409274176501,0.1277359375,,10.064361786170837,,3.0,0.0,rising,103086666.0,0.0004750000000000032,0.37186089466795763,5.039999999999941,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.41}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
AVAXUSDT,Buy,48,29.315,29.526068,28.43555,Bullish,2025-09-10T21:52:27.090874+00:00,2025-09-11T03:22:27.090874+05:30,Success,372,372.0,,5.04%,74.57571319869177,0.17428191631104895,0.12277865418336509,0.05150326212768386,29.418969070073405,28.90915,28.399330929926595,0.8980333649951203,125.88997797005185,10.0,3.0,0.0,28.788196732147423,0.11313418526545216,29.2744375,0.0708437499999981,0.24199867204962722,,40.80072774036692,,rising,702945.0,8.0,14.925771800664343,15.0,5.0,0.0,5.0,0.8980333649951203,74.57571319869177,125.88997797005185,0.05150326212768386,0.11313418526545216,29.2744375,,40.80072774036692,,3.0,0.0,rising,702945.0,0.0708437499999981,0.24199867204962722,5.040000000000021,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.07}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
LINKUSDT,Buy,60,23.51,23.679272,22.8047,Bullish,2025-09-10T21:52:37.399150+00:00,2025-09-11T03:22:37.399150+05:30,Success,196,196.0,,5.04%,67.26276608866058,0.02791280063028978,0.009190379794245699,0.01872242083604408,23.525023451683662,23.3948,23.264576548316338,0.9423166430876239,143.5213260561948,10.0,3.0,0.0,23.428103649797656,0.04641000955405973,23.49203125,0.016718749999999005,0.07116774970235494,,15.601489278435112,,rising,259339.39000000004,8.0,18.681922162538143,15.0,5.0,0.0,5.0,0.9423166430876239,67.26276608866058,143.5213260561948,0.01872242083604408,0.04641000955405973,23.49203125,,15.601489278435112,,3.0,0.0,rising,259339.39000000004,0.016718749999999005,0.07116774970235494,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,52.0,60.0,0.016718749999999005,0.07116774970235494,False,0.8068268468781787,0.07116774970235494,False,conditions_not_met,,,,
HYPEUSDT,Buy,44,55.106,55.5027632,53.45282,Bullish,2025-09-10T21:52:38.394607+00:00,2025-09-11T03:22:38.394607+05:30,Success,12,12.0,,5.04%,61.395493926684914,0.11117546488905816,0.09862638925747137,0.01254907563158679,55.18985749922492,54.93294999999999,54.67604250077506,0.8367943725311427,105.31214320113321,10.0,3.0,0.0,54.82767694336735,0.17288516082782265,55.074078125,-0.003562500000001023,-0.006468560385006032,,17.173886206612814,,rising,32119.880000000005,8.0,10.742068629348864,15.0,5.0,0.0,5.0,0.8367943725311427,61.395493926684914,105.31214320113321,0.01254907563158679,0.17288516082782265,55.074078125,,17.173886206612814,,3.0,0.0,rising,32119.880000000005,-0.003562500000001023,-0.006468560385006032,5.040000000000029,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.26}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
ADAUSDT,Buy,44,0.885,0.891372,0.85845,Bullish,2025-09-10T21:52:41.472247+00:00,2025-09-11T03:22:41.472247+05:30,Success,332,332.0,,5.04%,66.6949073071166,0.0012046492934281172,0.000715429478736041,0.0004892198146920762,0.8857542341150492,0.881305,0.8768557658849508,0.9152400058587585,113.4386256580698,10.0,0.0,3.0,0.8816990481748234,0.0016701767125119236,0.8845671875,0.0002671874999999879,0.030205450052372414,,19.6216033472369,,rising,1392042.0,8.0,16.02996004234253,15.0,0.0,0.0,5.0,0.9152400058587585,66.6949073071166,113.4386256580698,0.0004892198146920762,0.0016701767125119236,0.8845671875,,19.6216033472369,,0.0,3.0,rising,1392042.0,0.0002671874999999879,0.030205450052372414,5.040000000000035,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
FARTCOINUSDT,Buy,40,0.8751,0.88140072,0.848847,Bullish,2025-09-10T21:52:42.502132+00:00,2025-09-11T03:22:42.502132+05:30,Success,148,148.0,,5.04%,50.67940539475817,0.0003513964082356713,0.0004944803437921043,-0.000143083935556433,0.8785296452137614,0.875765,0.8730003547862386,0.37973140338407685,-69.17441532826383,10.0,0.0,3.0,0.8748299079624664,0.0035896250562555115,0.8753843749999999,-7.031250000011369e-05,-0.008032185861223957,,2.6323969828618927,,falling,-2749719.8000000007,6.0,9.0,15.0,5.0,0.0,5.0,0.37973140338407685,50.67940539475817,-69.17441532826383,-0.000143083935556433,0.0035896250562555115,0.8753843749999999,,2.6323969828618927,,0.0,3.0,falling,-2749719.8000000007,-7.031250000011369e-05,-0.008032185861223957,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
ONDOUSDT,Buy,45,1.0206,1.02794832,0.989982,Bullish,2025-09-10T21:52:43.552142+00:00,2025-09-11T03:22:43.552142+05:30,Inconclusive,600,,,5.04%,64.31365863408594,0.002070373239740908,0.001283568964351198,0.0007868042753897101,1.0221001220489627,1.0156100000000001,1.0091198779510375,0.8844303668216412,125.80711494962178,10.0,3.0,0.0,1.0156909861062886,0.002412716520886796,1.0200828124999999,0.0007421874999999911,0.07275757329751022,,21.44973800367437,,rising,2223938.6999999997,8.0,11.826573261251788,15.0,5.0,0.0,5.0,0.8844303668216412,64.31365863408594,125.80711494962178,0.0007868042753897101,0.002412716520886796,1.0200828124999999,,21.44973800367437,,3.0,0.0,rising,2223938.6999999997,0.0007421874999999911,0.07275757329751022,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.17}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
IPUSDT,Buy,40,10.459,10.5343048,10.14523,Bullish,2025-09-10T21:52:53.821610+00:00,2025-09-11T03:22:53.821610+05:30,Success,173,173.0,,5.04%,57.52453996608133,0.044482108917172525,0.03881873457936498,0.005663374337807545,10.54537761066432,10.4013,10.257222389335682,0.7002393006586985,74.70870459218756,10.0,3.0,0.0,10.359488303162726,0.057840994415710174,10.501078125,0.006953124999999005,0.06621343939386229,,23.271872482896065,,falling,-11755.8,4.0,6.3499074571661165,15.0,10.0,0.0,5.0,0.7002393006586985,57.52453996608133,74.70870459218756,0.005663374337807545,0.057840994415710174,10.501078125,,23.271872482896065,,3.0,0.0,falling,-11755.8,0.006953124999999005,0.06621343939386229,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.65}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
XNYUSDT,Buy,45,0.012686,0.01277734,0.01230542,Bullish,2025-09-10T21:52:56.032125+00:00,2025-09-11T03:22:56.032125+05:30,Success,1,1.0,,5.04%,56.763441288071526,-4.4165504495895236e-05,-0.00010138001273607755,5.721450824018232e-05,0.012709288860286676,0.012407600000000001,0.012105911139713326,0.961402518699983,177.1700356718206,10.0,3.0,0.0,0.012667809643630028,0.00020451421654082242,0.012272765625000001,3.8625000000000465e-05,0.314721238718355,,-6.096104852712017,,falling,-2089001.0,8.0,6.714194352793493,15.0,10.0,0.0,5.0,0.961402518699983,56.763441288071526,177.1700356718206,5.721450824018232e-05,0.00020451421654082242,0.012272765625000001,,-6.096104852712017,,3.0,0.0,falling,-2089001.0,3.8625000000000465e-05,0.314721238718355,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.29}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
