Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
ETHUSDT,Buy,40,4387.66,4419.251152,4256.0302,Bullish,2025-09-11T03:33:27.088150+00:00,2025-09-11T09:03:27.088150+05:30,Success,127,127.0,,5.04%,62.78819813464307,6.817489563835807,5.904305440347112,0.913184123488695,4392.888469094042,4375.344,4357.799530905958,0.8509938070506262,143.92063819544924,10.0,3.0,0.0,4365.820229330245,6.896535881254686,4383.1459375,0.7065625000004729,0.016119985737994218,,23.413863947646792,,rising,28993.786999999997,8.0,7.1778880500425135,15.0,5.0,0.0,5.0,0.8509938070506262,62.78819813464307,143.92063819544924,0.913184123488695,6.896535881254686,4383.1459375,,23.413863947646792,,3.0,0.0,rising,28993.786999999997,0.7065625000004729,0.016119985737994218,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.82}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
BTCUSDT,Buy,45,114029.3,114850.31096,110608.421,Bullish,2025-09-11T03:33:27.985135+00:00,2025-09-11T09:03:27.985135+05:30,Inconclusive,600,,,5.04%,60.60096387225418,49.06805716986128,18.536971882247876,30.5310852876134,114081.95544318366,113856.69500000002,113631.43455681638,0.8831231918940826,160.26757236693183,10.0,3.0,0.0,113843.77818995934,86.33141324540948,113930.93281249999,41.76718749999418,0.03666009438256058,,12.2197614976772,,rising,852.7890000000001,8.0,12.48759471618732,15.0,5.0,0.0,5.0,0.8831231918940826,60.60096387225418,160.26757236693183,30.5310852876134,86.33141324540948,113930.93281249999,,12.2197614976772,,3.0,0.0,rising,852.7890000000001,41.76718749999418,0.03666009438256058,5.039999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.51}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
MYXUSDT,Buy,42,18.368,18.5002496,17.81696,Bullish,2025-09-11T03:33:30.640614+00:00,2025-09-11T09:03:30.640614+05:30,Success,7,7.0,,5.04%,64.30580203790345,0.2665629999647763,0.29340027371167543,-0.02683727374689915,18.452409704605692,18.0991,17.745790295394308,0.8805443163528464,132.32945699568,10.0,3.0,0.0,17.504251925609115,0.28054557648254147,18.26390625,0.003296875000000199,0.01805131363943679,,28.074917601818804,,rising,561448.0,8.0,9.0,15.0,5.0,0.0,5.0,0.8805443163528464,64.30580203790345,132.32945699568,-0.02683727374689915,0.28054557648254147,18.26390625,,28.074917601818804,,3.0,0.0,rising,561448.0,0.003296875000000199,0.01805131363943679,5.040000000000059,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
DOGEUSDT,Buy,49,0.25253,0.25434822,0.2449541,Bullish,2025-09-11T03:33:32.424926+00:00,2025-09-11T09:03:32.424926+05:30,Success,536,536.0,,5.04%,85.07006568606101,0.0012941713059664295,0.0006553163577986151,0.0006388549481678143,0.2513240337611572,0.247118,0.24291196623884279,1.1433614549150677,270.29372858793806,10.0,3.0,0.0,0.24632680560599912,0.000989347237034548,0.24824765625,0.0007579687500000321,0.3053276560390616,,43.9926510865996,,rising,491031292.0,8.0,16.0,15.0,5.0,0.0,5.0,1.1433614549150677,85.07006568606101,270.29372858793806,0.0006388549481678143,0.000989347237034548,0.24824765625,,43.9926510865996,,3.0,0.0,rising,491031292.0,0.0007579687500000321,0.3053276560390616,5.039999999999955,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,
XRPUSDT,Buy,45,3.003,3.0246216,2.91291,Bullish,2025-09-11T03:33:35.083310+00:00,2025-09-11T09:03:35.083310+05:30,Success,352,352.0,,5.04%,68.6143174135276,0.002741517190102183,0.001488730700310172,0.0012527864897920109,3.002978036544741,2.993135,2.983291963455259,1.0011156849392524,207.5706881847323,10.0,3.0,0.0,2.990127847290113,0.003929489198268085,2.992590625,0.0019031250000001165,0.06359456532749501,,20.591110935808775,,rising,4216923.3,8.0,11.651599034363088,15.0,5.0,0.0,5.0,1.0011156849392524,68.6143174135276,207.5706881847323,0.0012527864897920109,0.003929489198268085,2.992590625,,20.591110935808775,,3.0,0.0,rising,4216923.3,0.0019031250000001165,0.06359456532749501,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.35}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
AVAXUSDT,Buy,48,29.151,29.3608872,28.27647,Bullish,2025-09-11T03:33:35.960582+00:00,2025-09-11T09:03:35.960582+05:30,Success,9,9.0,,5.04%,60.77941433665351,-0.009767423161331834,-0.04550429731285868,0.03573687415152685,29.192043348826008,28.9786,28.765156651173992,0.9038542333322707,127.75821596244366,10.0,3.0,0.0,29.042325189889798,0.08634286582478347,28.9363125,0.04829687499999835,0.1669074972839001,,-4.088769896599236,,falling,-42442.0,8.0,9.933478249113875,15.0,10.0,0.0,5.0,0.9038542333322707,60.77941433665351,127.75821596244366,0.03573687415152685,0.08634286582478347,28.9363125,,-4.088769896599236,,3.0,0.0,falling,-42442.0,0.04829687499999835,0.1669074972839001,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.07}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,
NAORISUSDT,Buy,45,0.09029,0.09094009,0.0875813,Bullish,2025-09-11T03:33:38.665552+00:00,2025-09-11T09:03:38.665552+05:30,Success,1,1.0,,5.04%,56.42020309384301,0.0005442492023385453,-1.8415767232532964e-05,0.0005626649695710783,0.0909865241192831,0.086239,0.0814914758807169,0.9266434354220532,156.05244633949968,10.0,3.0,0.0,0.08557732247220151,0.004237136487650259,0.0857296875,0.000718125,0.8376619826124994,,3.2784538187747967,,rising,27251220.0,8.0,12.187048448655148,15.0,5.0,0.0,5.0,0.9266434354220532,56.42020309384301,156.05244633949968,0.0005626649695710783,0.004237136487650259,0.0857296875,,3.2784538187747967,,3.0,0.0,rising,27251220.0,0.000718125,0.8376619826124994,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.81}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
SUIUSDT,Buy,40,3.6127,3.63871144,3.504319,Bullish,2025-09-11T03:33:43.968289+00:00,2025-09-11T09:03:43.968289+05:30,Success,458,458.0,,5.04%,57.6113848163206,-0.001134177947042403,-0.0029795483001626316,0.0018453703531202286,3.6155456208653525,3.60257,3.5895943791346476,0.8903474101593448,133.2004650390357,10.0,3.0,0.0,3.6056983596409644,0.0067037308175542315,3.5979796875000005,0.001243750000000432,0.03456801060665887,,-4.547562321794745,,rising,1702443.7999999998,8.0,6.606603051380232,15.0,5.0,0.0,5.0,0.8903474101593448,57.6113848163206,133.2004650390357,0.0018453703531202286,0.0067037308175542315,3.5979796875000005,,-4.547562321794745,,3.0,0.0,rising,1702443.7999999998,0.001243750000000432,0.03456801060665887,5.04,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.39}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
LINKUSDT,Buy,40,23.79,23.961288,23.0763,Bullish,2025-09-11T03:33:45.759501+00:00,2025-09-11T09:03:45.759501+05:30,Success,519,519.0,,5.04%,61.62654514267219,0.03740713683188446,0.0321548703110744,0.00525226652081006,23.81035993638225,23.7225,23.634640063617752,0.8841341274499104,192.3469694239153,10.0,3.0,0.0,23.658465016403028,0.046307830788020234,23.74821875,0.010531249999999659,0.04434543117049425,,18.798154048297768,,rising,95340.54999999999,8.0,6.72209676753098,15.0,5.0,0.0,5.0,0.8841341274499104,61.62654514267219,192.3469694239153,0.00525226652081006,0.046307830788020234,23.74821875,,18.798154048297768,,3.0,0.0,rising,95340.54999999999,0.010531249999999659,0.04434543117049425,5.040000000000016,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.28}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
1000PEPEUSDT,Buy,45,0.0106277,0.01070422,0.01030887,Bullish,2025-09-11T03:33:47.526729+00:00,2025-09-11T09:03:47.526729+05:30,Success,537,537.0,,5.04%,69.65841084789909,1.4537620794251305e-05,6.55906229145009e-06,7.978558502801214e-06,0.010617001041142717,0.010557685,0.010498368958857284,1.0901860496011648,238.56555286989223,10.0,3.0,0.0,0.010543390792401332,2.487693342163601e-05,0.0105503453125,8.30937499999955e-06,0.07875927046818686,,16.273678150993835,,rising,956719797.0,8.0,11.697307414132085,15.0,5.0,0.0,5.0,1.0901860496011648,69.65841084789909,238.56555286989223,7.978558502801214e-06,2.487693342163601e-05,0.0105503453125,,16.273678150993835,,3.0,0.0,rising,956719797.0,8.30937499999955e-06,0.07875927046818686,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.3}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
