Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ETHUSDT,Buy,42,4420.55,4452.37796,4287.9335,Bullish,2025-09-11T05:40:47.398528+00:00,2025-09-11T11:10:47.398528+05:30,Success,392,392.0,,5.04%,65.35288029092773,6.090270016370596,6.237864833152074,-0.1475948167814778,4420.621729076207,4408.066000000001,4395.510270923794,0.9971435718399371,202.70650090380076,10.0,3.0,0.0,4392.071278685006,8.523096465914602,4403.5990625,0.7401562500008367,0.016807984548453354,,19.876039189254872,,rising,40942.922,8.0,9.0,15.0,5.0,0.0,5.0,0.9971435718399371,65.35288029092773,202.70650090380076,-0.1475948167814778,8.523096465914602,4403.5990625,,19.876039189254872,,3.0,0.0,rising,40942.922,0.7401562500008367,0.016807984548453354,5.03999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,
SOLUSDT,Buy,44,221.92,223.517824,215.2624,Bullish,2025-09-11T05:40:50.214130+00:00,2025-09-11T11:10:50.214130+05:30,Success,201,201.0,,5.04%,34.68865692599208,-0.3959216443854814,-0.2905154824414098,-0.1054061619440716,223.884086970217,222.907,221.92991302978302,-0.005072746892139094,-167.46426161115193,10.0,0.0,3.0,223.35526149148436,0.5394757387699282,222.55984375000003,-0.21624999999997385,-0.09716487770493136,,-19.764277314941612,,falling,-452240.85000000003,26.0,0.0,8.0,5.0,0.0,5.0,-0.005072746892139094,34.68865692599208,-167.46426161115193,-0.1054061619440716,0.5394757387699282,222.55984375000003,,-19.764277314941612,,0.0,3.0,falling,-452240.85000000003,-0.21624999999997385,-0.09716487770493136,5.040000000000009,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,
DOGEUSDT,Buy,46,0.25001,0.25181007,0.2425097,Bullish,2025-09-11T05:40:55.924639+00:00,2025-09-11T11:10:55.924639+05:30,Success,390,390.0,,5.04%,43.71549989674441,6.46892216141226e-05,0.0004914963170032721,-0.00042680709538914945,0.253476179263122,0.25157250000000003,0.24966882073687804,0.08961048999463345,-140.90559354266787,10.0,3.0,0.0,0.2496824082987339,0.0008899181364561959,0.25030296875,-0.0003784374999999951,-0.15119177446831425,,2.342864531726897,,falling,-157981891.0,12.0,4.0,15.0,10.0,0.0,5.0,0.08961048999463345,43.71549989674441,-140.90559354266787,-0.00042680709538914945,0.0008899181364561959,0.25030296875,,2.342864531726897,,3.0,0.0,falling,-157981891.0,-0.0003784374999999951,-0.15119177446831425,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,
WLDUSDT,Buy,44,1.7582,1.77085904,1.705454,Bullish,2025-09-11T05:41:00.132458+00:00,2025-09-11T11:11:00.132458+05:30,Success,39,39.0,,5.04%,30.497798875730624,-0.00910738412733103,-0.007258457067735624,-0.001848927059595407,1.804222678367653,1.782235,1.760247321632347,-0.046556111975855956,-170.08697974519367,10.0,0.0,3.0,1.7961610332543494,0.009897419786283808,1.7698468750000003,-0.004231249999999909,-0.23907435494948726,,-27.644734358734617,,falling,-19824201.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.046556111975855956,30.497798875730624,-170.08697974519367,-0.001848927059595407,0.009897419786283808,1.7698468750000003,,-27.644734358734617,,0.0,3.0,falling,-19824201.0,-0.004231249999999909,-0.23907435494948726,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,
AAVEUSDT,Buy,47,305.95,308.15284,296.7715,Bullish,2025-09-11T05:41:29.980428+00:00,2025-09-11T11:11:29.980428+05:30,Success,62,62.0,,5.04%,64.17316720797226,0.5207624397598352,0.5451453192755135,-0.024382879515678302,305.838789452771,304.779,303.719210547229,1.052468227032374,183.2217598456035,10.0,3.0,0.0,303.5948028903457,0.7248229658562243,305.11828125,-0.004687499999988631,-0.0015362894615114548,,19.604089654268208,,falling,-3074.6000000000013,8.0,9.0,15.0,10.0,0.0,5.0,1.052468227032374,64.17316720797226,183.2217598456035,-0.024382879515678302,0.7248229658562243,305.11828125,,19.604089654268208,,3.0,0.0,falling,-3074.6000000000013,-0.004687499999988631,-0.0015362894615114548,5.039999999999956,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,
XNYUSDT,Buy,41,0.014303,0.01440598,0.01387391,Bullish,2025-09-11T05:41:34.205787+00:00,2025-09-11T11:11:34.205787+05:30,Success,22,22.0,,5.04%,57.480949867555644,1.0369665693526e-05,-3.5415567462208034e-05,4.5785233155734035e-05,0.014512188276760395,0.01404675,0.013581311723239606,0.7752781762853551,119.57935649693663,10.0,3.0,0.0,0.014004815771357428,0.00027534461970173634,0.013802484375,5.090625000000147e-05,0.3688194720379929,,0.8126087568750882,,rising,38442681.0,8.0,7.990801043898834,15.0,5.0,0.0,5.0,0.7752781762853551,57.480949867555644,119.57935649693663,4.5785233155734035e-05,0.00027534461970173634,0.013802484375,,0.8126087568750882,,3.0,0.0,rising,38442681.0,5.090625000000147e-05,0.3688194720379929,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.01}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,
ETHFIUSDT,Buy,46,1.4968,1.50757696,1.451896,Bullish,2025-09-11T05:41:45.452732+00:00,2025-09-11T11:11:45.452732+05:30,Success,3,3.0,,5.04%,71.13554109114258,0.008374870762335451,0.006070500495050614,0.0023043702672848375,1.4840478324342425,1.45246,1.4208721675657576,1.2018525264799986,256.5461312003556,10.0,3.0,0.0,1.4267236246245323,0.01485057451086676,1.44009375,0.0036140624999998483,0.2509602239437431,,15.716853643035941,,rising,3545858.8,8.0,12.724090699276806,15.0,5.0,0.0,5.0,1.2018525264799986,71.13554109114258,256.5461312003556,0.0023043702672848375,0.01485057451086676,1.44009375,,15.716853643035941,,3.0,0.0,rising,3545858.8,0.0036140624999998483,0.2509602239437431,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.28}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,
WUSDT,Buy,62,0.09065,0.09130268,0.0879305,Bullish,2025-09-11T05:41:46.863162+00:00,2025-09-11T11:11:46.863162+05:30,Success,50,50.0,,5.04%,23.027574644554093,-0.0003944019800853349,-0.0003215847344968984,-7.28172455884365e-05,0.09242253365907292,0.0915625,0.09070246634092709,-0.03050249276502142,-161.9634555087009,10.0,0.0,3.0,0.09211654531952738,0.00030471072641627037,0.0910259375,-0.0001889062499999955,-0.20753013392473493,,-38.3870068079717,,falling,-11185647.1,32.0,0.0,8.0,5.0,12.0,5.0,-0.03050249276502142,23.027574644554093,-161.9634555087009,-7.28172455884365e-05,0.00030471072641627037,0.0910259375,,-38.3870068079717,,0.0,3.0,falling,-11185647.1,-0.0001889062499999955,-0.20753013392473493,5.0400000000000205,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,1.0,-0.0001889062499999955,-0.20753013392473493,,,,,,,
1000SATSUSDT,Buy,40,4.14e-05,4.17e-05,4.016e-05,Bullish,2025-09-11T05:42:00.922669+00:00,2025-09-11T11:12:00.922669+05:30,Fail,409,,409.0,5.04%,50.728428815164975,5.991541060167106e-08,8.374170965250819e-08,-2.3826299050837135e-08,4.165473666874762e-05,4.1454999999999995e-05,4.125526333125237e-05,0.36231872108197344,-85.10638297872234,10.0,3.0,0.0,4.132155191923656e-05,2.1828325664855298e-07,4.15078125e-05,-2.8125000000002378e-08,-0.06775832862789957,,10.67481468970109,,falling,-7267422134.0,6.0,4.0,15.0,10.0,0.0,5.0,0.36231872108197344,50.728428815164975,-85.10638297872234,-2.3826299050837135e-08,2.1828325664855298e-07,4.15078125e-05,,10.67481468970109,,3.0,0.0,falling,-7267422134.0,-2.8125000000002378e-08,-0.06775832862789957,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,
LDOUSDT,Buy,59,1.2694,1.27853968,1.231318,Bullish,2025-09-11T05:42:07.937191+00:00,2025-09-11T11:12:07.937191+05:30,Success,71,71.0,,5.04%,62.155454772786214,0.00012063527281114261,-0.000577338815782641,0.0006979740885937836,1.2674709015012788,1.261325,1.2551790984987212,1.156941865918275,236.9266725094975,10.0,3.0,0.0,1.259653597223809,0.00473427936879853,1.258715625,0.000665625000000114,0.052881285238682414,,0.3648038281251281,,falling,-109684.0,8.0,12.538316356371253,15.0,10.0,0.0,5.0,1.156941865918275,62.155454772786214,236.9266725094975,0.0006979740885937836,0.00473427936879853,1.258715625,,0.3648038281251281,,3.0,0.0,falling,-109684.0,0.000665625000000114,0.052881285238682414,5.0400000000000515,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.46}]}",True,,,Buy,59,,0.000665625000000114,0.052881285238682414,51.0,59.0,False,0.29485969636427106,0.052881285238682414,True,conditions_not_met
