Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
LINEAUSDT,Buy,43,0.024,0.0241728,0.02328,Bullish,2025-09-11T12:41:30.785067+00:00,2025-09-11T18:11:30.785067+05:30,Success,13,13.0,,5.04%,53.54788498004722,-7.203321910766516e-05,-0.00011554359847644877,4.35103793687836e-05,0.024152275081633215,0.0238015,0.023450724918366785,0.782944841856755,91.19341563786271,5.0,5.0,5.0,0.023983696549737612,0.0002931350595618437,0.02368484375,7.56249999999993e-05,0.3192970187949807,,-8.89845818592609,,falling,-374604201.0,4.0,8.562348039881929,15.0,10.0,0.0,5.0,0.782944841856755,53.54788498004722,91.19341563786271,4.35103793687836e-05,0.0002931350595618437,0.02368484375,,-8.89845818592609,,5.0,5.0,falling,-374604201.0,7.56249999999993e-05,0.3192970187949807,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.44}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,
HYPEUSDT,Buy,41,54.477,54.8692344,52.84269,Bullish,2025-09-11T12:41:45.294018+00:00,2025-09-11T18:11:45.294018+05:30,Success,191,191.0,,5.04%,60.876222693746655,-0.01586238907923132,-0.1373256682375442,0.12146327915831287,54.64249536069045,53.8731,53.103704639309555,0.8924510276862494,108.43797486008533,5.0,0.0,3.0,54.31655647549936,0.36470519696082054,54.192640625,0.18478125000000034,0.34097111317871,,-2.256114084212483,,falling,-435693.9000000001,8.0,7.993082424083673,15.0,5.0,0.0,5.0,0.8924510276862494,60.876222693746655,108.43797486008533,0.12146327915831287,0.36470519696082054,54.192640625,,-2.256114084212483,,0.0,3.0,falling,-435693.9000000001,0.18478125000000034,0.34097111317871,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.01}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,
FARTCOINUSDT,Buy,46,0.8787,0.88502664,0.852339,Bullish,2025-09-11T12:41:58.611653+00:00,2025-09-11T18:11:58.611653+05:30,Fail,95,,95.0,5.04%,55.11397218979844,0.000535685922832041,-0.00046223593198472986,0.0009979218548167709,0.8839555654873974,0.8716649999999999,0.8593744345126024,0.7861951310219892,81.17913832199457,5.0,3.0,0.0,0.8743031909522189,0.0074048369265898775,0.8777125,0.002620312500000055,0.29853881538659355,,2.735907908705781,,falling,-1553760.499999998,4.0,12.234389190881501,15.0,10.0,0.0,5.0,0.7861951310219892,55.11397218979844,81.17913832199457,0.0009979218548167709,0.0074048369265898775,0.8777125,,2.735907908705781,,3.0,0.0,falling,-1553760.499999998,0.002620312500000055,0.29853881538659355,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.77}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,
BCHUSDT,Buy,44,601.96,606.294112,583.9012,Bullish,2025-09-11T12:41:59.921466+00:00,2025-09-11T18:11:59.921466+05:30,Inconclusive,600,,,5.04%,69.12093266504382,0.673336963142674,0.5495915202014544,0.12374544294121959,601.2604675823407,599.724,598.1875324176594,1.227643077439271,224.84526967284734,5.0,3.0,0.0,598.4831689313816,1.497800548570295,600.3820312500002,0.26859375000015007,0.044737140024150246,,22.413838659125112,,falling,-9614.384,8.0,5.9828345192049355,15.0,10.0,0.0,5.0,1.227643077439271,69.12093266504382,224.84526967284734,0.12374544294121959,1.497800548570295,600.3820312500002,,22.413838659125112,,3.0,0.0,falling,-9614.384,0.26859375000015007,0.044737140024150246,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.02}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,
XNYUSDT,Buy,42,0.014261,0.01436368,0.01383317,Bullish,2025-09-11T12:42:15.755629+00:00,2025-09-11T18:12:15.755629+05:30,Success,2,2.0,,5.04%,54.62541378717269,-7.3837812033204775e-06,-4.7379243288033824e-05,3.999546208471335e-05,0.014450811974272343,0.0140581,0.013665388025727658,0.7583318224201762,103.829279421571,5.0,3.0,0.0,0.014148075527716991,0.0002418283449873142,0.014194515625000001,9.631250000000091e-05,0.6785191023381674,,-1.3198396756443167,,falling,-71275674.0,8.0,3.96930760983984,15.0,10.0,0.0,5.0,0.7583318224201762,54.62541378717269,103.829279421571,3.999546208471335e-05,0.0002418283449873142,0.014194515625000001,,-1.3198396756443167,,3.0,0.0,falling,-71275674.0,9.631250000000091e-05,0.6785191023381674,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.03}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,
SAPIENUSDT,Buy,43,0.27419,0.27616417,0.2659643,Bullish,2025-09-11T12:42:23.715603+00:00,2025-09-11T18:12:23.715603+05:30,Success,9,9.0,,5.04%,67.55102112940631,0.0022573751954614307,1.9432404191137807e-05,0.002237942791270293,0.27286718289702255,0.260032,0.24719681710297745,1.0515309019587207,234.9378764857365,5.0,0.0,3.0,0.2638627096330517,0.004903442904732866,0.2625596875,0.001835000000000031,0.6988887050682642,,15.430693213700305,,rising,6730742.0,8.0,14.953656040053989,15.0,0.0,0.0,5.0,1.0515309019587207,67.55102112940631,234.9378764857365,0.002237942791270293,0.004903442904732866,0.2625596875,,15.430693213700305,,0.0,3.0,rising,6730742.0,0.001835000000000031,0.6988887050682642,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,
HIFIUSDT,Strong Buy,69,0.07634,0.07688965,0.0740498,Bullish,2025-09-11T12:42:26.357509+00:00,2025-09-11T18:12:26.357509+05:30,Success,5,5.0,,5.04%,66.31768438068677,7.138085191370214e-05,-0.0003054282853459657,0.00037680913725966786,0.07662194813682982,0.07361,0.07059805186317017,0.9531950544927751,141.25185821260834,5.0,3.0,0.0,0.0741318053653513,0.0012325486401303207,0.07238562500000001,0.0006245312499999905,0.8627835291882753,,1.4895389916488229,,falling,-1176135.0,8.0,16.33717031506022,15.0,10.0,0.0,5.0,0.9531950544927751,66.31768438068677,141.25185821260834,0.00037680913725966786,0.0012325486401303207,0.07238562500000001,,1.4895389916488229,,3.0,0.0,falling,-1176135.0,0.0006245312499999905,0.8627835291882753,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,69,54.0,62.0,0.0006245312499999905,0.8627835291882753,True,62.0,69.0,0.6114308595883515,0.8627835291882753,True,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
TRUMPUSDT,Buy,41,8.754,8.8170288,8.49138,Bullish,2025-09-11T12:42:46.329704+00:00,2025-09-11T18:12:46.329704+05:30,Inconclusive,600,,,5.04%,38.268769366529966,-0.015164899615326632,-0.010154718573834036,-0.0050101810414925965,8.858518234089058,8.79955,8.740581765910942,0.11377510532867664,-138.25698556143902,5.0,3.0,0.0,8.810341479287239,0.03390372439428659,8.784187499999998,-0.0008125000000021032,-0.00924957487533256,,-22.42402218546719,,falling,-1426958.59,18.0,0.0,8.0,10.0,0.0,5.0,0.11377510532867664,38.268769366529966,-138.25698556143902,-0.0050101810414925965,0.03390372439428659,8.784187499999998,,-22.42402218546719,,3.0,0.0,falling,-1426958.59,-0.0008125000000021032,-0.00924957487533256,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,
EIGENUSDT,Buy,40,1.4952,1.50596544,1.450344,Bullish,2025-09-11T12:42:50.313939+00:00,2025-09-11T18:12:50.313939+05:30,Fail,27,,27.0,5.04%,52.52274464069196,7.078345155586696e-05,-0.0008096471748122487,0.0008804306263681157,1.5062898844988715,1.49025,1.4742101155011287,0.6543028567427747,77.53191981050246,5.0,3.0,0.0,1.4902903538746348,0.012897487001064948,1.4873671875,0.0031984374999998177,0.2150402084219582,,0.048832772994743964,,falling,-2166084.1000000006,4.0,5.638329624297357,15.0,10.0,0.0,5.0,0.6543028567427747,52.52274464069196,77.53191981050246,0.0008804306263681157,0.012897487001064948,1.4873671875,,0.048832772994743964,,3.0,0.0,falling,-2166084.1000000006,0.0031984374999998177,0.2150402084219582,5.039999999999955,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.36}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,
DAMUSDT,Buy,40,0.06284,0.06329245,0.0609548,Bullish,2025-09-11T12:42:51.644062+00:00,2025-09-11T18:12:51.644062+05:30,Success,10,10.0,,5.04%,59.40393106202673,-5.4919375594729425e-05,-0.00011543758030668062,6.05182047119512e-05,0.06393247899882486,0.061661,0.05938952100117514,0.7595225402942195,62.06609275201331,5.0,3.0,0.0,0.06131831666162591,0.0011607547755630603,0.06024281249999999,0.00035921875000000103,0.5962848265093882,,-1.7528454840113523,,falling,-3193479.0,4.0,6.251286614248285,15.0,10.0,0.0,5.0,0.7595225402942195,59.40393106202673,62.06609275201331,6.05182047119512e-05,0.0011607547755630603,0.06024281249999999,,-1.7528454840113523,,3.0,0.0,falling,-3193479.0,0.00035921875000000103,0.5962848265093882,5.039999999999936,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.75}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,
