Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
WLFIUSDT,Strong Buy,68,0.1983,0.19972776,0.192351,Bullish,2025-09-11T21:24:23.696312+00:00,2025-09-12T02:54:23.696312+05:30,Success,9,9,,5.04%,75.93698643159945,0.0010534663613524786,0.0004157666583681598,0.0006376997029843188,0.1973498851217352,0.193805,0.1902601148782648,1.1340120829923708,258.42293906810215,10.0,3.0,0.0,0.19442975644293722,0.0014016556043143786,0.1950296875,0.000579687500000009,0.29723038960415143,,27.73002249217179,,rising,300956840.0,8.0,19.919082279922826,15.0,5.0,0.0,5.0,1.1340120829923708,75.93698643159945,258.42293906810215,0.0006376997029843188,0.0014016556043143786,0.1950296875,,27.73002249217179,,3.0,0.0,rising,300956840.0,0.000579687500000009,0.29723038960415143,5.040000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.000579687500000009,0.29723038960415143,True,61.0,68.0,0.9099235233269021,0.29723038960415143,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,
LINEAUSDT,Buy,44,0.02317,0.02333682,0.0224749,Bullish,2025-09-11T21:24:24.600814+00:00,2025-09-12T02:54:24.600814+05:30,Success,7,7,,5.04%,36.78219377774815,-3.6793044447945566e-05,-9.180365062843143e-06,-2.761267938510242e-05,0.023676919659545277,0.023448,0.023219080340454723,-0.10719992453294734,-194.92868462758034,10.0,0.0,3.0,0.023421190903581544,0.00015739815354841986,0.02336859375,-3.906250000004774e-06,-0.016715811151472366,,-7.481085467916554,,falling,-114151070.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.10719992453294734,36.78219377774815,-194.92868462758034,-2.761267938510242e-05,0.00015739815354841986,0.02336859375,,-7.481085467916554,,0.0,3.0,falling,-114151070.0,-3.906250000004774e-06,-0.016715811151472366,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,,,,,,,,,,,,Buy,44,not_in_gap_or_already_strong,44.0
BAKEUSDT,Buy,41,0.0976,0.09830272,0.094672,Bullish,2025-09-11T21:24:25.704554+00:00,2025-09-12T02:54:25.704554+05:30,Success,3,3,,5.04%,37.67673491028255,-0.0009539085374137973,-0.0004171890462962569,-0.0005367194911175405,0.1054769814008327,0.10095500000000002,0.09643301859916734,0.1290342990594545,-129.6636085626907,10.0,0.0,3.0,0.10068805996778732,0.0017468212345033338,0.09848125,-0.0004156249999999889,-0.42203465126609263,,-16.681710973363163,,falling,-4780233.0,18.0,5.0,8.0,5.0,0.0,5.0,0.1290342990594545,37.67673491028255,-129.6636085626907,-0.0005367194911175405,0.0017468212345033338,0.09848125,,-16.681710973363163,,0.0,3.0,falling,-4780233.0,-0.0004156249999999889,-0.42203465126609263,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",False,,,,,,,,,,,,Buy,41,not_in_gap_or_already_strong,41.0
HYPEUSDT,Buy,42,55.893,56.2954296,54.21621,Bullish,2025-09-11T21:24:27.504724+00:00,2025-09-12T02:54:27.504724+05:30,Success,52,52,,5.04%,65.1222935535975,0.13942047724228246,0.13746317712647071,0.0019573001158117442,55.90070312115462,55.664199999999994,55.42769687884537,0.9837145465205435,178.14747422233563,10.0,3.0,0.0,55.35777760322207,0.17161838383348937,55.72240625,0.04342187499999994,0.07792534084975906,,21.71078239523615,,rising,99008.54000000001,8.0,9.273718943916048,15.0,5.0,0.0,5.0,0.9837145465205435,65.1222935535975,178.14747422233563,0.0019573001158117442,0.17161838383348937,55.72240625,,21.71078239523615,,3.0,0.0,rising,99008.54000000001,0.04342187499999994,0.07792534084975906,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.73}]}",False,,,,,,,,,,,,Buy,42,not_in_gap_or_already_strong,42.0
BNBUSDT,Buy,44,895.88,902.330336,869.0036,Bullish,2025-09-11T21:24:30.174700+00:00,2025-09-12T02:54:30.174700+05:30,Success,91,91,,5.04%,38.833274682778274,-0.01013708064488128,0.16008174163659833,-0.1702188222814796,898.1740773915433,897.0515000000001,895.928922608457,-0.02179030542819346,-179.3201942301938,10.0,0.0,3.0,896.8709551511006,0.6880346612855648,897.566875,-0.1828125000000682,-0.020367563141194155,,-0.014906084485721765,,falling,-1994.2799999999997,26.0,0.0,8.0,5.0,0.0,5.0,-0.02179030542819346,38.833274682778274,-179.3201942301938,-0.1702188222814796,0.6880346612855648,897.566875,,-0.014906084485721765,,0.0,3.0,falling,-1994.2799999999997,-0.1828125000000682,-0.020367563141194155,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,,,,,,,,,,,,Buy,44,not_in_gap_or_already_strong,44.0
1000PEPEUSDT,Buy,41,0.0105428,0.01061871,0.01022652,Bullish,2025-09-11T21:24:33.875719+00:00,2025-09-12T02:54:33.875719+05:30,Success,57,57,,5.04%,48.83579438064237,1.1646288711855343e-05,1.518378026876981e-05,-3.537491556914466e-06,0.010586408033466181,0.01056055,0.010534691966533819,0.15677977748743158,-86.9267093602472,10.0,3.0,0.0,0.010528364459744791,2.2960421758169845e-05,0.01056620625,8.484375000009786e-07,0.008029726847334431,,13.775781668130428,,rising,46037110.0,12.0,4.0,15.0,5.0,0.0,5.0,0.15677977748743158,48.83579438064237,-86.9267093602472,-3.537491556914466e-06,2.2960421758169845e-05,0.01056620625,,13.775781668130428,,3.0,0.0,rising,46037110.0,8.484375000009786e-07,0.008029726847334431,5.040000000000042,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,,,,,,,,Buy,41,not_in_gap_or_already_strong,41.0
FUSDT,Buy,40,0.009278,0.0093448,0.00899966,Bullish,2025-09-11T21:24:40.189785+00:00,2025-09-12T02:54:40.189785+05:30,Success,5,5,,5.04%,55.725069918744175,1.7464969802542113e-06,-2.2465021319207233e-05,2.4211518299461444e-05,0.009300860692975976,0.009075,0.008849139307024023,0.9493920507487151,121.25041816897686,10.0,0.0,3.0,0.009157609621513439,0.00016956722887573724,0.0092335,1.810937500000033e-05,0.1961268749661594,,0.04407537999473764,,rising,89840934.0,8.0,12.426820400614677,15.0,0.0,0.0,5.0,0.9493920507487151,55.725069918744175,121.25041816897686,2.4211518299461444e-05,0.00016956722887573724,0.0092335,,0.04407537999473764,,0.0,3.0,rising,89840934.0,1.810937500000033e-05,0.1961268749661594,5.039999999999951,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0
ONDOUSDT,Buy,46,1.0548,1.06239456,1.023156,Bullish,2025-09-11T21:24:43.799062+00:00,2025-09-12T02:54:43.799062+05:30,Success,11,11,,5.04%,48.46131590326863,0.002999511598032134,0.005678157549544658,-0.0026786459515125236,1.0748265367745942,1.063565,1.052303463225406,0.11084352094050358,-150.9778357235951,10.0,3.0,0.0,1.048121451373668,0.0073571948664093315,1.0585546875,-0.0028687500000001975,-0.2710063101959669,,11.004096296561592,,falling,-1711506.8000000003,12.0,4.0,15.0,10.0,0.0,5.0,0.11084352094050358,48.46131590326863,-150.9778357235951,-0.0026786459515125236,0.0073571948664093315,1.0585546875,,11.004096296561592,,3.0,0.0,falling,-1711506.8000000003,-0.0028687500000001975,-0.2710063101959669,5.040000000000019,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,,,,,,,,Buy,46,not_in_gap_or_already_strong,46.0
PENGUUSDT,Buy,40,0.033798,0.03404135,0.03278406,Bullish,2025-09-11T21:24:45.608074+00:00,2025-09-12T02:54:45.608074+05:30,Success,15,15,,5.04%,58.712931199020574,5.6835296335808194e-05,5.035318377915475e-05,6.482112556653447e-06,0.03388844696878841,0.0337276,0.033566753031211594,0.7188415502334013,89.71821197005686,10.0,3.0,0.0,0.03367440685870037,8.586214248902757e-05,0.03384740625,1.0687500000002015e-05,0.031575536160919314,,20.129440379800027,,falling,-61461321.0,4.0,5.81186605469999,15.0,10.0,0.0,5.0,0.7188415502334013,58.712931199020574,89.71821197005686,6.482112556653447e-06,8.586214248902757e-05,0.03384740625,,20.129440379800027,,3.0,0.0,falling,-61461321.0,1.0687500000002015e-05,0.031575536160919314,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.19}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0
1000BONKUSDT,Buy,47,0.023809,0.02398042,0.02309473,Bullish,2025-09-11T21:24:47.558987+00:00,2025-09-12T02:54:47.558987+05:30,Success,19,19,,5.04%,41.62301695889063,2.0227423913748988e-06,1.8197194475687285e-05,-1.6174452084312387e-05,0.024089117752724425,0.0239605,0.023831882247275574,-0.08895446698015538,-199.99999999999417,10.0,3.0,0.0,0.02386847989853495,0.00010058498244525956,0.02392121875,5.187499999999984e-06,0.021685767996248034,,0.6689619754390613,,falling,-82935752.0,20.0,4.0,8.0,10.0,0.0,5.0,-0.08895446698015538,41.62301695889063,-199.99999999999417,-1.6174452084312387e-05,0.00010058498244525956,0.02392121875,,0.6689619754390613,,3.0,0.0,falling,-82935752.0,5.187499999999984e-06,0.021685767996248034,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,,,,,,,,Buy,47,not_in_gap_or_already_strong,47.0
