Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ETHUSDT,Buy,46,4442.62,4474.606864,4309.3414,Bullish,2025-09-11T22:28:27.832748+00:00,2025-09-12T03:58:27.832748+05:30,Success,131,131.0,,5.04%,73.97302561680127,4.565832394488098,2.3230088045528268,2.242823589935271,4439.161427021488,4423.494,4407.826572978512,1.1103746318322945,217.55464882470596,10.0,3.0,0.0,4422.388293149306,6.149559676153537,4431.44109375,2.358749999999418,0.053227605875798355,,24.912809449155755,,rising,72590.273,8.0,12.753109001800112,15.0,5.0,0.0,5.0,1.1103746318322945,73.97302561680127,217.55464882470596,2.242823589935271,6.149559676153537,4431.44109375,,24.912809449155755,,3.0,0.0,rising,72590.273,2.358749999999418,0.053227605875798355,5.040000000000067,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.25}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,
BTCUSDT,Buy,49,114990.0,115817.928,111540.3,Bullish,2025-09-11T22:28:28.734781+00:00,2025-09-12T03:58:28.734781+05:30,Success,118,118.0,,5.04%,86.53243952691724,119.14878652559128,63.13887311443659,56.009913411154685,114841.56148233716,114476.97999999998,114112.3985176628,1.2035738577714725,332.16103426498535,10.0,3.0,0.0,114406.5181832673,97.59357217377612,114564.22343749998,53.10312499999418,0.04635227596070981,,46.14341986711267,,rising,6717.154,8.0,16.0,15.0,5.0,0.0,5.0,1.2035738577714725,86.53243952691724,332.16103426498535,56.009913411154685,97.59357217377612,114564.22343749998,,46.14341986711267,,3.0,0.0,rising,6717.154,53.10312499999418,0.04635227596070981,5.039999999999999,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,
SOLUSDT,Buy,61,228.41,230.054552,221.5577,Bullish,2025-09-11T22:28:29.616710+00:00,2025-09-12T03:58:29.616710+05:30,Success,136,136.0,,5.04%,76.709028253252,0.45848233011253114,0.23956212837044188,0.21892020174208926,228.12898427172476,226.583,225.03701572827524,1.0908857009139308,212.32189444109176,10.0,3.0,0.0,226.52038139808383,0.48340818366312027,227.41765625,0.23703125000000114,0.10422728556283814,,29.730346650196694,,rising,704573.24,8.0,19.868837184336194,15.0,5.0,0.0,5.0,1.0908857009139308,76.709028253252,212.32189444109176,0.21892020174208926,0.48340818366312027,227.41765625,,29.730346650196694,,3.0,0.0,rising,704573.24,0.23703125000000114,0.10422728556283814,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,61,53.0,61.0,0.23703125000000114,0.10422728556283814,False,0.9057364320280162,0.10422728556283814,False,conditions_not_met
DOGEUSDT,Strong Buy,65,0.25526,0.25709787,0.2476022,Bullish,2025-09-11T22:28:32.277889+00:00,2025-09-12T03:58:32.277889+05:30,Success,119,119.0,,5.04%,83.12795744461454,0.000962630163023781,0.0006204085588056639,0.00034222160421811714,0.25525493931879223,0.2521,0.24894506068120778,1.0008020251257472,153.87166730450343,10.0,3.0,0.0,0.25158608242724656,0.0008438717465887074,0.2543353125,0.0003629687500000256,0.14271268367424425,,46.059922174582454,,falling,-40227279.0,8.0,18.732899026939315,15.0,10.0,0.0,5.0,1.0008020251257472,83.12795744461454,153.87166730450343,0.00034222160421811714,0.0008438717465887074,0.2543353125,,46.059922174582454,,3.0,0.0,falling,-40227279.0,0.0003629687500000256,0.14271268367424425,5.04000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,65,57.0,65.0,0.0003629687500000256,0.14271268367424425,,,,,
XRPUSDT,Buy,42,3.0244,3.04617568,2.933668,Bullish,2025-09-11T22:28:33.155927+00:00,2025-09-12T03:58:33.155927+05:30,Success,52,52.0,,5.04%,63.40299364703352,0.0005739660726291618,-0.0004183078422043787,0.0009922739148335404,3.0237298623201094,3.01618,3.0086301376798903,1.0443807881175258,228.16046450250906,10.0,3.0,0.0,3.015691209244983,0.0048488795157682575,3.0149671875,0.0007671874999997108,0.025445965156120322,,3.4080008357001152,,rising,6307645.3,8.0,8.911356093415282,15.0,5.0,0.0,5.0,1.0443807881175258,63.40299364703352,228.16046450250906,0.0009922739148335404,0.0048488795157682575,3.0149671875,,3.4080008357001152,,3.0,0.0,rising,6307645.3,0.0007671874999997108,0.025445965156120322,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.09}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
PUMPUSDT,Buy,44,0.005772,0.00581356,0.00559884,Bullish,2025-09-11T22:28:34.038420+00:00,2025-09-12T03:58:34.038420+05:30,Success,2,2.0,,5.04%,71.23175151140163,7.894338066328534e-05,6.374696879098131e-05,1.5196411872304025e-05,0.005829857614581406,0.0056501,0.005470342385418594,0.8390676948063198,132.69800346822552,10.0,3.0,0.0,0.005563345272166415,5.02153901189349e-05,0.005764703125000001,3.4390625000001e-05,0.5965723516768436,,51.66218075292933,,rising,4274043588.0,8.0,11.262990172364958,15.0,5.0,0.0,5.0,0.8390676948063198,71.23175151140163,132.69800346822552,1.5196411872304025e-05,5.02153901189349e-05,0.005764703125000001,,51.66218075292933,,3.0,0.0,rising,4274043588.0,3.4390625000001e-05,0.5965723516768436,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.74}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,
WLDUSDT,Buy,42,1.6606,1.67255632,1.610782,Bullish,2025-09-11T22:28:34.925788+00:00,2025-09-12T03:58:34.925788+05:30,Fail,219,,219.0,5.04%,65.95787168351042,0.006722753230129941,0.005243279452186703,0.0014794737779432379,1.6631781141577535,1.645495,1.6278118858422463,0.927102371936478,123.62533181645536,10.0,3.0,0.0,1.6400804320724962,0.0069299691246641855,1.6573687499999998,0.0028468749999999154,0.17177076616171963,,30.4343820295295,,rising,7667973.0,8.0,9.123741539376386,15.0,5.0,0.0,5.0,0.927102371936478,65.95787168351042,123.62533181645536,0.0014794737779432379,0.0069299691246641855,1.6573687499999998,,30.4343820295295,,3.0,0.0,rising,7667973.0,0.0028468749999999154,0.17177076616171963,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.88}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
AVAXUSDT,Buy,49,29.02,29.228944,28.1494,Bullish,2025-09-11T22:28:35.811005+00:00,2025-09-12T03:58:35.811005+05:30,Success,115,115.0,,5.04%,62.92874188127225,0.025054395806094476,-0.0032315288481556542,0.02828592465425013,29.03080459066735,28.86105,28.691295409332646,0.9681758513131342,210.74253244260552,10.0,3.0,0.0,28.910480665972,0.056338480281172956,28.938078125000004,0.025062500000000654,0.08660734099804927,,11.659166572043189,,rising,198674.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9681758513131342,62.92874188127225,210.74253244260552,0.02828592465425013,0.056338480281172956,28.938078125000004,,11.659166572043189,,3.0,0.0,rising,198674.0,0.025062500000000654,0.08660734099804927,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,
LINKUSDT,Buy,42,24.257,24.4316504,23.52929,Bullish,2025-09-11T22:28:40.228350+00:00,2025-09-12T03:58:40.228350+05:30,Success,47,47.0,,5.04%,67.71773213582695,0.04832142090457481,0.053392257528962275,-0.0050708366243874675,24.241183912214304,24.16865,24.096116087785695,1.1090254703135871,284.9058493589735,10.0,3.0,0.0,24.030774778957042,0.059532348619287044,24.15228125,0.0036249999999995453,0.015008934197466522,,24.052781760122173,,rising,305124.25,8.0,9.0,15.0,5.0,0.0,5.0,1.1090254703135871,67.71773213582695,284.9058493589735,-0.0050708366243874675,0.059532348619287044,24.15228125,,24.052781760122173,,3.0,0.0,rising,305124.25,0.0036249999999995453,0.015008934197466522,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
HYPEUSDT,Buy,42,56.363,56.7688136,54.67211,Bullish,2025-09-11T22:28:41.994028+00:00,2025-09-12T03:58:41.994028+05:30,Success,14,14.0,,5.04%,71.01663242180265,0.20199210110376953,0.16513609478389085,0.036856006319878676,56.39462821573666,55.9538,55.51297178426334,0.9641263709903337,185.752228387077,10.0,3.0,0.0,55.65081761409969,0.16688798931540924,56.12687499999999,0.06365624999998687,0.11341491932338453,,35.713404143193515,,rising,202130.05,8.0,9.30022654898998,15.0,5.0,0.0,5.0,0.9641263709903337,71.01663242180265,185.752228387077,0.036856006319878676,0.16688798931540924,56.12687499999999,,35.713404143193515,,3.0,0.0,rising,202130.05,0.06365624999998687,0.11341491932338453,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.7}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
