Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,SUPERVISOR__reason
ETHUSDT,Buy,42,4462.12,4494.247264,4328.2564,Bullish,2025-09-11T23:24:51.441374+00:00,2025-09-12T04:54:51.441374+05:30,Success,80,80,,5.04%,72.04508733088147,10.321287018866315,8.631183153275975,1.6901038655903395,4471.969955568711,4443.2925000000005,4414.61504443129,0.8282630837817716,115.61641812399883,10.0,3.0,0.0,4433.9899907816225,7.530586972329896,4464.355625,1.7239062499993452,0.03861489529072508,,45.508400842934336,,rising,78435.774,8.0,9.386365355477526,15.0,5.0,0.0,5.0,0.8282630837817716,72.04508733088147,115.61641812399883,1.6901038655903395,7.530586972329896,4464.355625,,45.508400842934336,,3.0,0.0,rising,78435.774,1.7239062499993452,0.03861489529072508,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.61}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
MYXUSDT,Buy,41,13.181,13.2759032,12.78557,Bullish,2025-09-11T23:24:54.982812+00:00,2025-09-12T04:54:54.982812+05:30,Success,10,10,,5.04%,62.439380961241106,0.07935456311435907,0.021803164894186225,0.05755139822017284,13.2506273691064,12.7985,12.346372630893601,0.9230002717552632,143.40510255702935,10.0,3.0,0.0,12.836859778842392,0.33484077849713456,12.580124999999999,0.08259374999999913,0.6565415685456157,,8.490131402735859,,rising,1924696.0,8.0,8.125045830688656,15.0,5.0,0.0,5.0,0.9230002717552632,62.439380961241106,143.40510255702935,0.05755139822017284,0.33484077849713456,12.580124999999999,,8.490131402735859,,3.0,0.0,rising,1924696.0,0.08259374999999913,0.6565415685456157,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.87}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
XRPUSDT,Buy,47,3.0422,3.06410384,2.950934,Bullish,2025-09-11T23:24:56.745118+00:00,2025-09-12T04:54:56.745118+05:30,Success,80,80,,5.04%,74.06960548023362,0.00592094270321164,0.003687663808127091,0.002233278895084549,3.0442891780415815,3.024655,3.0050208219584187,0.9467974152735799,182.5815362400723,10.0,3.0,0.0,3.021541887860409,0.0054731520159231085,3.0359093750000006,0.0021953125000004903,0.07231152939143612,,34.3771626149196,,rising,15067369.8,8.0,13.793021156016467,15.0,5.0,0.0,5.0,0.9467974152735799,74.06960548023362,182.5815362400723,0.002233278895084549,0.0054731520159231085,3.0359093750000006,,34.3771626149196,,3.0,0.0,rising,15067369.8,0.0021953125000004903,0.07231152939143612,5.039999999999951,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.21}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,,
PUMPUSDT,Buy,43,0.005975,0.00601802,0.00579575,Bullish,2025-09-11T23:24:57.653267+00:00,2025-09-12T04:54:57.653267+05:30,Success,2,2,,5.04%,71.23786815983647,9.686115567078806e-05,9.34816093915778e-05,3.3795462792102584e-06,0.006051417867888259,0.00582835,0.005605282132111741,0.8287116189980822,101.10607972682038,10.0,3.0,0.0,0.005688567807692531,6.508008524110207e-05,0.005969296875,5.656249999999585e-06,0.09475571609930332,,47.65568127747721,,rising,5161626100.0,8.0,10.246296934009251,15.0,5.0,0.0,5.0,0.8287116189980822,71.23786815983647,101.10607972682038,3.3795462792102584e-06,6.508008524110207e-05,0.005969296875,,47.65568127747721,,3.0,0.0,rising,5161626100.0,5.656249999999585e-06,0.09475571609930332,5.0400000000000444,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.75}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
ENAUSDT,Buy,42,0.7792,0.78481024,0.755824,Bullish,2025-09-11T23:24:59.431823+00:00,2025-09-12T04:54:59.431823+05:30,Success,80,80,,5.04%,69.5835189743594,0.0024378030597317357,0.00190916341090292,0.0005286396488288158,0.7804258608633764,0.773795,0.7671641391366236,0.9075639733185267,159.19243986254475,10.0,3.0,0.0,0.7711781904584964,0.0023676493974082256,0.777196875,0.0005578124999999767,0.07177235497762093,,32.7168233727815,,rising,18597158.0,8.0,9.358627669189506,15.0,5.0,0.0,5.0,0.9075639733185267,69.5835189743594,159.19243986254475,0.0005286396488288158,0.0023676493974082256,0.777196875,,32.7168233727815,,3.0,0.0,rising,18597158.0,0.0005578124999999767,0.07177235497762093,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.64}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
WLFIUSDT,Buy,42,0.1994,0.20083568,0.193418,Bullish,2025-09-11T23:25:02.063544+00:00,2025-09-12T04:55:02.063544+05:30,Success,75,75,,5.04%,63.97640196521929,0.0007976569334409989,0.000954572265595975,-0.00015691533215497614,0.19965839507527236,0.1988,0.19794160492472765,0.84948942350911,110.80835603996874,10.0,3.0,0.0,0.19713698937244936,0.0009819856622734315,0.198996875,-1.5624999999963585e-06,-0.0007851882096120146,,26.670516497170055,,rising,69602123.0,8.0,9.0,15.0,5.0,0.0,5.0,0.84948942350911,63.97640196521929,110.80835603996874,-0.00015691533215497614,0.0009819856622734315,0.198996875,,26.670516497170055,,3.0,0.0,rising,69602123.0,-1.5624999999963585e-06,-0.0007851882096120146,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
NMRUSDT,Buy,54,18.049,18.1789528,17.50753,Bullish,2025-09-11T23:25:05.165097+00:00,2025-09-12T04:55:05.165097+05:30,Success,13,13,,5.04%,26.786511795320394,-0.10966740950469855,-0.09934563580285918,-0.01032177370183937,18.51905363907276,18.2446,17.970146360927238,0.14365566319172868,-108.95408048307853,10.0,0.0,3.0,18.412968757370166,0.08604016015793263,18.039109375,-0.020203125000001876,-0.11199624427135488,,-37.91701332312529,,falling,-315429.10000000003,24.0,0.0,8.0,5.0,12.0,5.0,0.14365566319172868,26.786511795320394,-108.95408048307853,-0.01032177370183937,0.08604016015793263,18.039109375,,-37.91701332312529,,0.0,3.0,falling,-315429.10000000003,-0.020203125000001876,-0.11199624427135488,5.040000000000064,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.020203125000001876,-0.11199624427135488,,,,,,,,,,
BAKEUSDT,Buy,41,0.1016,0.10233152,0.098552,Bullish,2025-09-11T23:25:07.809913+00:00,2025-09-12T04:55:07.809913+05:30,Success,2,2,,5.04%,59.55858060526556,0.00020473027526698995,1.4982560626583778e-05,0.00018974771464040616,0.10171698789299767,0.100465,0.09921301210700233,0.9532791436514745,179.74322396575906,10.0,3.0,0.0,0.10046973096506531,0.0011655548098711728,0.099978125,0.00020937500000001164,0.20942081080237462,,5.256725612154255,,rising,21193974.0,8.0,7.9071051080584445,15.0,5.0,0.0,5.0,0.9532791436514745,59.55858060526556,179.74322396575906,0.00018974771464040616,0.0011655548098711728,0.099978125,,5.256725612154255,,3.0,0.0,rising,21193974.0,0.00020937500000001164,0.20942081080237462,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.09}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
ADAUSDT,Buy,41,0.8948,0.90124256,0.867956,Bullish,2025-09-11T23:25:09.558247+00:00,2025-09-12T04:55:09.558247+05:30,Success,78,78,,5.04%,72.98693279512963,0.002864583844176649,0.002538111966140662,0.0003264718780359873,0.8974556170143412,0.88979,0.8821243829856588,0.8267838707978182,106.92622372690282,10.0,3.0,0.0,0.8865064442340583,0.0019059220890432942,0.8943953124999999,0.00028593750000005524,0.03196992381375604,,41.73874524428631,,rising,16936662.0,8.0,8.111041641160028,15.0,5.0,0.0,5.0,0.8267838707978182,72.98693279512963,106.92622372690282,0.0003264718780359873,0.0019059220890432942,0.8943953124999999,,41.73874524428631,,3.0,0.0,rising,16936662.0,0.00028593750000005524,0.03196992381375604,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.89}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
1000PEPEUSDT,Buy,40,0.0106769,0.01075377,0.01035659,Bullish,2025-09-11T23:25:12.233450+00:00,2025-09-12T04:55:12.233450+05:30,Success,79,79,,5.04%,66.02008487197402,2.6587839389231524e-05,2.3763183478797564e-05,2.82465591043396e-06,0.010702033668226522,0.010631185,0.010560336331773477,0.8226242718764767,113.76180191809581,10.0,3.0,0.0,0.01059398385893054,2.3962235691104703e-05,0.010669820312499998,4.523437499997368e-06,0.04239469238950568,,27.21211138001526,,rising,461447429.0,8.0,6.829107547572483,15.0,5.0,0.0,5.0,0.8226242718764767,66.02008487197402,113.76180191809581,2.82465591043396e-06,2.3962235691104703e-05,0.010669820312499998,,27.21211138001526,,3.0,0.0,rising,461447429.0,4.523437499997368e-06,0.04239469238950568,5.040000000000041,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.17}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
