Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling,SUPERVISOR__reason
DOGEUSDT,Buy,40,0.26255,0.26444036,0.2546735,Bullish,2025-09-12T05:39:04.379213+00:00,2025-09-12T11:09:04.379213+05:30,Success,517,517.0,,5.04%,60.25096336630711,0.0004997053156093889,0.00041113000468253924,8.857531092684967e-05,0.26309667224377187,0.2615735,0.26005032775622816,0.8205481205401532,136.32937629545768,5.0,3.0,0.0,0.2607420067673478,0.0007468582744321781,0.26243,0.00020515625000000481,0.07817560873375941,,18.786220084244913,,rising,143156995.0,8.0,6.846333146486999,15.0,5.0,0.0,5.0,0.8205481205401532,60.25096336630711,136.32937629545768,8.857531092684967e-05,0.0007468582744321781,0.26243,,18.786220084244913,,3.0,0.0,rising,143156995.0,0.00020515625000000481,0.07817560873375941,5.039999999999946,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.15}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
PUMPUSDT,Buy,54,0.006168,0.00621241,0.00598296,Bullish,2025-09-12T05:39:07.033577+00:00,2025-09-12T11:09:07.033577+05:30,Success,4,4.0,,5.04%,44.53588746942519,2.0609118779530908e-05,3.7037138756653e-05,-1.6428019977122095e-05,0.006327763779830747,0.0062565,0.006185236220169253,-0.12093254252152585,-222.80123636549473,5.0,3.0,0.0,0.006142961960583633,6.396954330417548e-05,0.006228781250000001,-1.224999999999924e-05,-0.1966676867966625,,10.146310669041934,,falling,-2250364304.0,20.0,4.0,15.0,10.0,0.0,5.0,-0.12093254252152585,44.53588746942519,-222.80123636549473,-1.6428019977122095e-05,6.396954330417548e-05,0.006228781250000001,,10.146310669041934,,3.0,0.0,falling,-2250364304.0,-1.224999999999924e-05,-0.1966676867966625,5.039999999999977,,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,-1.224999999999924e-05,-0.1966676867966625,,,,,,,,,,,
WLDUSDT,Buy,42,1.6497,1.66157784,1.600209,Bullish,2025-09-12T05:39:07.944240+00:00,2025-09-12T11:09:07.944240+05:30,Success,30,30.0,,5.04%,62.104209072692164,0.005720139363311949,0.003925676984411238,0.0017944623789007113,1.6537281707948766,1.636775,1.6198218292051236,0.8811971269677178,110.46721016272284,5.0,3.0,0.0,1.6340090688230182,0.008093815714846362,1.6423765624999997,0.003507812499999874,0.21358150013175642,,20.139851713493186,,rising,8316923.0,8.0,9.320988098928389,15.0,5.0,0.0,5.0,0.8811971269677178,62.104209072692164,110.46721016272284,0.0017944623789007113,0.008093815714846362,1.6423765624999997,,20.139851713493186,,3.0,0.0,rising,8316923.0,0.003507812499999874,0.21358150013175642,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.68}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
HOLOUSDT,Strong Buy,66,0.48,0.483456,0.4656,Bullish,2025-09-12T05:39:08.852482+00:00,2025-09-12T11:09:08.852482+05:30,Fail,12,,12.0,5.04%,77.78500767341889,0.0048028899615690235,0.002780112318845448,0.0020227776427235757,0.4769647467504007,0.46209500000000003,0.4472252532495994,1.1020613632682588,197.38382450246925,5.0,3.0,0.0,0.46076012737909255,0.0057051066646481826,0.4702359375,0.002451562500000004,0.521347328967175,,33.26812024778608,,rising,23593621.0,8.0,17.509334930788633,15.0,5.0,0.0,5.0,1.1020613632682588,77.78500767341889,197.38382450246925,0.0020227776427235757,0.0057051066646481826,0.4702359375,,33.26812024778608,,3.0,0.0,rising,23593621.0,0.002451562500000004,0.521347328967175,5.040000000000021,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,0.002451562500000004,0.521347328967175,51.0,59.0,True,59.0,66.0,0.7091112442323861,0.521347328967175,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
LINKUSDT,Buy,40,24.631,24.8083432,23.89207,Bullish,2025-09-12T05:39:11.502662+00:00,2025-09-12T11:09:11.502662+05:30,Inconclusive,600,,,5.04%,47.798419316163795,0.0137878823808677,0.020735304100278327,-0.006947421719410627,24.76545246375176,24.67135,24.57724753624824,0.2856060384006395,-52.9173276925774,5.0,3.0,0.0,24.6071698572184,0.06058238336298743,24.653093749999996,-0.0053750000000043485,-0.02180253746045301,,5.017557111001436,,falling,-9878.440000000075,6.0,4.0,15.0,10.0,0.0,5.0,0.2856060384006395,47.798419316163795,-52.9173276925774,-0.006947421719410627,0.06058238336298743,24.653093749999996,,5.017557111001436,,3.0,0.0,falling,-9878.440000000075,-0.0053750000000043485,-0.02180253746045301,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
AVAXUSDT,Buy,44,28.815,29.022468,27.95055,Bullish,2025-09-12T05:39:12.383287+00:00,2025-09-12T11:09:12.383287+05:30,Success,25,25.0,,5.04%,60.242038418881606,-0.0021459485321351224,-0.03689429966652357,0.03474835113438845,28.81982484234066,28.655099999999997,28.490375157659333,0.9853548430458281,148.4593837535131,5.0,0.0,3.0,28.77975431275778,0.0725449636681095,28.708546874999996,0.04695312499999815,0.1635510330928171,,-1.549472825406879,,rising,9733.0,8.0,16.495772898042386,15.0,0.0,0.0,5.0,0.9853548430458281,60.242038418881606,148.4593837535131,0.03474835113438845,0.0725449636681095,28.708546874999996,,-1.549472825406879,,0.0,3.0,rising,9733.0,0.04695312499999815,0.1635510330928171,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
HYPEUSDT,Buy,44,57.107,57.5181704,55.39379,Bullish,2025-09-12T05:39:13.267094+00:00,2025-09-12T11:09:13.267094+05:30,Fail,590,,590.0,5.04%,63.51205996945671,0.12751805152372953,0.08446525006946701,0.04305280145426252,57.280154521078316,56.84005,56.39994547892168,0.8032802291441318,120.60653188180177,5.0,3.0,0.0,56.779375532632834,0.14784189894236113,57.151031249999996,0.04642187500000006,0.08122666202983006,,28.438731599264383,,rising,145362.07999999993,8.0,10.989001374401573,15.0,5.0,0.0,5.0,0.8032802291441318,63.51205996945671,120.60653188180177,0.04305280145426252,0.14784189894236113,57.151031249999996,,28.438731599264383,,3.0,0.0,rising,145362.07999999993,0.04642187500000006,0.08122666202983006,5.040000000000039,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.01}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
SUIUSDT,Buy,49,3.669,3.6954168,3.55893,Bullish,2025-09-12T05:39:15.057679+00:00,2025-09-12T11:09:15.057679+05:30,Inconclusive,600,,,5.04%,58.233939138024475,0.0027747049571287263,0.0011250885977242314,0.001649616359404495,3.6754835605961813,3.6594249999999997,3.643366439403818,0.7981275919050015,118.70381107522311,5.0,3.0,0.0,3.660326950493491,0.006029744704357765,3.6660171875,0.00170781249999985,0.0465849561704994,,10.570319454741547,,falling,-785654.8000000003,8.0,10.565915236360699,15.0,10.0,0.0,5.0,0.7981275919050015,58.233939138024475,118.70381107522311,0.001649616359404495,0.006029744704357765,3.6660171875,,10.570319454741547,,3.0,0.0,falling,-785654.8000000003,0.00170781249999985,0.0465849561704994,5.039999999999961,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.43}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
SOMIUSDT,Buy,41,0.9795,0.9865524,0.950115,Bullish,2025-09-12T05:39:20.381670+00:00,2025-09-12T11:09:20.381670+05:30,Fail,72,,72.0,5.04%,37.79316768237689,-0.010578501332577095,-0.00787945393909124,-0.0026990473934858546,1.051727625857777,1.008,0.9642723741422229,0.17411905584932277,-110.52108338789063,5.0,3.0,0.0,1.0088323092395581,0.016792093032743146,0.9856265625,0.00010781249999991527,0.010938473464681535,,-16.020965662078403,,falling,-8960398.0,18.0,0.0,8.0,10.0,0.0,5.0,0.17411905584932277,37.79316768237689,-110.52108338789063,-0.0026990473934858546,0.016792093032743146,0.9856265625,,-16.020965662078403,,3.0,0.0,falling,-8960398.0,0.00010781249999991527,0.010938473464681535,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
BAKEUSDT,Buy,62,0.0989,0.09961208,0.095933,Bullish,2025-09-12T05:39:21.271321+00:00,2025-09-12T11:09:21.271321+05:30,Fail,13,,13.0,5.04%,29.634359654978255,-0.0010178452684025258,0.00036488762300402005,-0.0013827328914065458,0.11583482235764585,0.10826500000000001,0.10069517764235418,-0.11857462153923434,-229.2050243443396,5.0,0.0,3.0,0.10610123603513509,0.00307056991341789,0.1068171875,-0.0019515625000000036,-1.8270116876087976,,-10.470486335402844,,falling,-103905155.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.11857462153923434,29.634359654978255,-229.2050243443396,-0.0013827328914065458,0.00307056991341789,0.1068171875,,-10.470486335402844,,0.0,3.0,falling,-103905155.0,-0.0019515625000000036,-1.8270116876087976,5.040000000000027,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,-0.0019515625000000036,-1.8270116876087976,,,,,,,,,,1.0,
