Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule
ETHUSDT,Buy,45,4535.01,4567.662072,4398.9597,Bullish,2025-09-12T05:47:01.869437+00:00,2025-09-12T11:17:01.869437+05:30,Success,517,517.0,,5.04%,64.8001357794772,5.492031920546651,4.548335619137302,0.9436963014093491,4531.654939872699,4518.6230000000005,4505.591060127302,1.1287245091703346,227.67020612117165,10.0,3.0,0.0,4508.492384752884,7.502786142615932,4522.97328125,0.6504687500000728,0.014381441356211257,,18.27014584074329,,rising,39174.532999999996,8.0,12.018706758170726,15.0,5.0,0.0,5.0,1.1287245091703346,64.8001357794772,227.67020612117165,0.9436963014093491,7.502786142615932,4522.97328125,,18.27014584074329,,3.0,0.0,rising,39174.532999999996,0.6504687500000728,0.014381441356211257,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.98}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
BTCUSDT,Buy,46,115539.9,116371.78728,112073.703,Bullish,2025-09-12T05:47:02.767743+00:00,2025-09-12T11:17:02.767743+05:30,Inconclusive,600,,,5.04%,58.85703144411877,48.809635896701366,31.813183055521357,16.99645284118001,115557.44582127577,115369.31999999999,115181.19417872421,0.9533667915526091,159.12099416648707,10.0,3.0,0.0,115339.42846527458,112.91751310277228,115475.4234375,11.615624999991269,0.010058958568165043,,10.223556249083227,,rising,1487.1870000000001,8.0,12.612503118245751,15.0,5.0,0.0,5.0,0.9533667915526091,58.85703144411877,159.12099416648707,16.99645284118001,112.91751310277228,115475.4234375,,10.223556249083227,,3.0,0.0,rising,1487.1870000000001,11.615624999991269,0.010058958568165043,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.39}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
SOLUSDT,Buy,42,239.2,240.92224,232.024,Bullish,2025-09-12T05:47:03.654061+00:00,2025-09-12T11:17:03.654061+05:30,Success,502,502.0,,5.04%,70.3203533725952,1.2204421007410247,1.2200848704883538,0.0003572302526708704,240.12638232021146,237.42000000000002,234.71361767978857,0.8288522812735681,110.6465566188715,10.0,3.0,0.0,235.27405391224974,0.8536210934978594,239.1975,0.0681250000000091,0.028480648836216555,,43.601559838270596,,rising,1979200.0499999998,8.0,9.010043713925777,15.0,5.0,0.0,5.0,0.8288522812735681,70.3203533725952,110.6465566188715,0.0003572302526708704,0.8536210934978594,239.1975,,43.601559838270596,,3.0,0.0,rising,1979200.0499999998,0.0681250000000091,0.028480648836216555,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.99}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
DOGEUSDT,Buy,42,0.26365,0.26554828,0.2557405,Bullish,2025-09-12T05:47:05.402968+00:00,2025-09-12T11:17:05.402968+05:30,Success,511,511.0,,5.04%,67.4251524370147,0.0006486961331728658,0.00048639310927625255,0.00016230302389661324,0.2636158379747561,0.261899,0.2601821620252439,1.0099491116069867,170.21478806310392,10.0,3.0,0.0,0.26096208056717923,0.000747250526469986,0.26295499999999994,0.00029781249999993875,0.11325607043027851,,23.631162595662925,,rising,288726436.0,8.0,9.212806730187262,15.0,5.0,0.0,5.0,1.0099491116069867,67.4251524370147,170.21478806310392,0.00016230302389661324,0.000747250526469986,0.26295499999999994,,23.631162595662925,,3.0,0.0,rising,288726436.0,0.00029781249999993875,0.11325607043027851,5.0399999999999325,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.79}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
MYXUSDT,Buy,40,13.222,13.3171984,12.82534,Bullish,2025-09-12T05:47:06.309396+00:00,2025-09-12T11:17:06.309396+05:30,Fail,5,,5.0,5.04%,64.61647691298701,0.28456397596294813,0.23858574783688496,0.04597822812606317,13.244352969380037,12.69125,12.138147030619963,0.9797931211569048,210.77637479062122,10.0,3.0,0.0,12.380800720257218,0.3275431840167752,12.89609375,0.10203125000000135,0.7911794996062381,,25.975512759397702,,rising,2845802.0,8.0,7.368952641582068,15.0,5.0,0.0,5.0,0.9797931211569048,64.61647691298701,210.77637479062122,0.04597822812606317,0.3275431840167752,12.89609375,,25.975512759397702,,3.0,0.0,rising,2845802.0,0.10203125000000135,0.7911794996062381,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.63}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
XRPUSDT,Buy,44,3.0666,3.08867952,2.974602,Bullish,2025-09-12T05:47:07.192892+00:00,2025-09-12T11:17:07.192892+05:30,Inconclusive,600,,,5.04%,70.58323970978397,0.005022820648688864,0.0035964626357007116,0.0014263580129881522,3.065974914931267,3.05067,3.0353650850687335,1.0204210566194087,189.60396551902264,10.0,3.0,0.0,3.046628596606159,0.004939962163452174,3.0576390625,0.0007734374999999183,0.025295251800176083,,26.262212678358626,,rising,16845500.4,8.0,10.929727633337382,15.0,5.0,0.0,5.0,1.0204210566194087,70.58323970978397,189.60396551902264,0.0014263580129881522,0.004939962163452174,3.0576390625,,26.262212678358626,,3.0,0.0,rising,16845500.4,0.0007734374999999183,0.025295251800176083,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.07}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
PUMPUSDT,Buy,46,0.006191,0.00623558,0.00600527,Bullish,2025-09-12T05:47:08.082889+00:00,2025-09-12T11:17:08.082889+05:30,Fail,257,,257.0,5.04%,47.36811400260763,1.1630803409335908e-05,2.8659030555109283e-05,-1.7028227145773375e-05,0.006329374129622874,0.0062498,0.006170225870377126,0.13053318786727128,-148.05998571768725,10.0,3.0,0.0,0.006146859875799341,6.002512611189713e-05,0.0062083125,-1.0109375000001003e-05,-0.1628361168997373,,5.972269593784171,,falling,-3523854822.0,12.0,4.0,15.0,10.0,0.0,5.0,0.13053318786727128,47.36811400260763,-148.05998571768725,-1.7028227145773375e-05,6.002512611189713e-05,0.0062083125,,5.972269593784171,,3.0,0.0,falling,-3523854822.0,-1.0109375000001003e-05,-0.1628361168997373,5.039999999999988,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
HOLOUSDT,Buy,44,0.4757,0.47912504,0.461429,Bullish,2025-09-12T05:47:09.852944+00:00,2025-09-12T11:17:09.852944+05:30,Fail,62,,62.0,5.04%,69.58740354475026,0.005242514646761176,0.003629624467227305,0.001612890179533871,0.48013181717520625,0.46423000000000003,0.4483281828247938,0.8606506059535058,127.07596699882156,10.0,3.0,0.0,0.4619129516439274,0.0056406316238868355,0.475515625,0.0026437499999999448,0.5559754214175285,,35.899545677488405,,rising,13077046.0,8.0,10.862593923859032,15.0,5.0,0.0,5.0,0.8606506059535058,69.58740354475026,127.07596699882156,0.001612890179533871,0.0056406316238868355,0.475515625,,35.899545677488405,,3.0,0.0,rising,13077046.0,0.0026437499999999448,0.5559754214175285,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.14}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
WLFIUSDT,Buy,41,0.1981,0.19952632,0.192157,Bullish,2025-09-12T05:47:10.743697+00:00,2025-09-12T11:17:10.743697+05:30,Success,9,9.0,,5.04%,36.89847135050279,-0.000616159170623215,-0.00047336636525101115,-0.00014279280537220386,0.20214697785470098,0.20009000000000002,0.19803302214529905,0.016280645547027957,-124.32138979370004,10.0,3.0,0.0,0.2003497314587335,0.0012534365032951253,0.19896250000000001,-0.00021718750000002118,-0.10916001759126528,,-18.11176967998618,,falling,-94487892.0,18.0,0.0,8.0,10.0,0.0,5.0,0.016280645547027957,36.89847135050279,-124.32138979370004,-0.00014279280537220386,0.0012534365032951253,0.19896250000000001,,-18.11176967998618,,3.0,0.0,falling,-94487892.0,-0.00021718750000002118,-0.10916001759126528,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
ENAUSDT,Buy,41,0.7758,0.78138576,0.752526,Bullish,2025-09-12T05:47:11.627979+00:00,2025-09-12T11:17:11.627979+05:30,Success,78,78.0,,5.04%,59.09587332618607,0.00015902231936593125,-0.00015133892876433055,0.00031036124813026177,0.7773654621048949,0.773265,0.7691645378951051,0.8091115019663182,94.42776109442754,10.0,3.0,0.0,0.773236679897,0.002140849990956621,0.7705578125,0.00023750000000011262,0.030821827531612056,,1.7886413451273262,,rising,7101463.0,4.0,12.479304942705447,15.0,5.0,0.0,5.0,0.8091115019663182,59.09587332618607,94.42776109442754,0.00031036124813026177,0.002140849990956621,0.7705578125,,1.7886413451273262,,3.0,0.0,rising,7101463.0,0.00023750000000011262,0.030821827531612056,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.52}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
