Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
BTCUSDT,Sell,48,115140.6,114311.58768,118594.818,Bearish,2025-09-12T07:33:12.711572+00:00,2025-09-12T13:03:12.711572+05:30,Inconclusive,600,,,5.04%,37.3645662893546,-48.6342941934563,-31.976469832239374,-16.657824361216925,115508.20350600318,115297.975,115087.74649399683,0.12570489846504063,-130.87921224669887,-10.0,0.0,3.0,115310.56875718861,69.74861445888678,115218.7203125,3.0828124999825377,0.002675617722208017,,-13.018524622612993,,falling,-54.4019999999999,8.0,14.731838370851948,15.0,5.0,0.0,5.0,0.12570489846504063,37.3645662893546,-130.87921224669887,-16.657824361216925,69.74861445888678,115218.7203125,,-13.018524622612993,,0.0,3.0,falling,-54.4019999999999,3.0828124999825377,0.002675617722208017,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.27}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
DOGEUSDT,Sell,58,0.25953,0.25766138,0.2673159,Bearish,2025-09-12T07:33:17.282877+00:00,2025-09-12T13:03:17.282877+05:30,Fail,521,,521.0,5.04%,31.890709594446705,-0.0004310599269612414,-0.00021265723956569635,-0.00021840268739554505,0.26341451748369543,0.26148,0.25954548251630455,-0.004001648068589706,-170.28985507245793,-10.0,0.0,3.0,0.26116935939407954,0.0006905205286900317,0.26056921875,-2.484374999994765e-05,-0.009534414739825308,,-16.131571961862043,,falling,-176472463.0,8.0,16.590888727720962,15.0,5.0,0.0,5.0,-0.004001648068589706,31.890709594446705,-170.28985507245793,-0.00021840268739554505,0.0006905205286900317,0.26056921875,,-16.131571961862043,,0.0,3.0,falling,-176472463.0,-2.484374999994765e-05,-0.009534414739825308,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Sell,58,50.0,58.0,-2.484374999994765e-05,-0.009534414739825308,False,0.6325740606434136,-0.009534414739825308,False,conditions_not_met,
XRPUSDT,Sell,48,3.0487,3.02674936,3.140161,Bearish,2025-09-12T07:33:18.452179+00:00,2025-09-12T13:03:18.452179+05:30,Success,274,274.0,,5.04%,42.69225447077172,-0.000710521448308743,0.0004592082224675896,-0.0011697296707763325,3.0677707569209933,3.0565849999999997,3.045399243079006,0.14754285044399884,-118.75201547887238,-10.0,0.0,3.0,3.052047138200411,0.004731220175160801,3.0511328124999997,4.218749999962412e-05,0.0013826831735016165,,-3.142343125339201,,falling,-13313270.8,8.0,14.93367272274067,15.0,5.0,0.0,5.0,0.14754285044399884,42.69225447077172,-118.75201547887238,-0.0011697296707763325,0.004731220175160801,3.0511328124999997,,-3.142343125339201,,0.0,3.0,falling,-13313270.8,4.218749999962412e-05,0.0013826831735016165,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.07}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
HOLOUSDT,Sell,41,0.46,0.456688,0.4738,Bearish,2025-09-12T07:33:21.917360+00:00,2025-09-12T13:03:21.917360+05:30,Success,28,28.0,,5.04%,43.921583979251444,-0.0013209281908335146,-0.0006434984237794112,-0.0006774297670541034,0.4733056803497172,0.46435000000000004,0.4553943196502829,0.25713737928702424,-78.02768166090091,-10.0,0.0,3.0,0.4627875610243268,0.004772836498334877,0.4570703125,-6.406249999990621e-05,-0.014015896077237832,,-7.714250476723731,,falling,-9024263.0,4.0,12.40642601416801,15.0,5.0,0.0,5.0,0.25713737928702424,43.921583979251444,-78.02768166090091,-0.0006774297670541034,0.004772836498334877,0.4570703125,,-7.714250476723731,,0.0,3.0,falling,-9024263.0,-6.406249999990621e-05,-0.014015896077237832,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.59}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
ENAUSDT,Sell,41,0.7726,0.76703728,0.795778,Bearish,2025-09-12T07:33:24.204486+00:00,2025-09-12T13:03:24.204486+05:30,Success,43,43.0,,5.04%,41.62389720358966,0.0008385203461992452,0.001144620862758554,-0.0003061005165593089,0.7816624661551786,0.776555,0.7714475338448213,0.11282171238766624,-108.1327498176514,-10.0,0.0,3.0,0.7751783288457926,0.002533637996323538,0.779878125,0.0004750000000000032,0.060906952608781435,,9.152176883425527,,rising,1633456.0,8.0,7.899550925619012,15.0,5.0,0.0,5.0,0.11282171238766624,41.62389720358966,-108.1327498176514,-0.0003061005165593089,0.002533637996323538,0.779878125,,9.152176883425527,,0.0,3.0,rising,1633456.0,0.0004750000000000032,0.060906952608781435,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.1}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
LINKUSDT,Sell,46,24.586,24.4089808,25.32358,Bearish,2025-09-12T07:33:25.370356+00:00,2025-09-12T13:03:25.370356+05:30,Success,45,45.0,,5.04%,38.86855542221512,-0.013999633905701359,-0.005222472142814321,-0.008777161762887037,24.76572084324971,24.6704,24.57507915675029,0.0572846550522952,-155.41922290388246,-10.0,0.0,3.0,24.642975452566294,0.048751027937800014,24.63475,0.004125000000001933,0.016744639178404217,,-7.08050767091092,,falling,-321646.31999999995,8.0,13.32097314087517,15.0,5.0,0.0,5.0,0.0572846550522952,38.86855542221512,-155.41922290388246,-0.008777161762887037,0.048751027937800014,24.63475,,-7.08050767091092,,0.0,3.0,falling,-321646.31999999995,0.004125000000001933,0.016744639178404217,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.68}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,,,,,,
AVAXUSDT,Sell,48,28.768,28.5608704,29.63104,Bearish,2025-09-12T07:33:26.529326+00:00,2025-09-12T13:03:26.529326+05:30,Success,43,43.0,,5.04%,40.97827022225417,-0.0036646047704920193,0.011772683799917333,-0.015437288570409352,29.02977941947315,28.879049999999996,28.72832058052684,0.13162466760587077,-102.39922561017677,-10.0,0.0,3.0,28.833419664575214,0.057745128340267834,28.782328125,0.003265625000000938,0.011345937638604201,,-1.2838981091249029,,falling,-261080.0,8.0,15.416037791216832,15.0,5.0,0.0,5.0,0.13162466760587077,40.97827022225417,-102.39922561017677,-0.015437288570409352,0.057745128340267834,28.782328125,,-1.2838981091249029,,0.0,3.0,falling,-261080.0,0.003265625000000938,0.011345937638604201,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
HYPEUSDT,Sell,48,56.479,56.0723512,58.17337,Bearish,2025-09-12T07:33:27.689117+00:00,2025-09-12T13:03:27.689117+05:30,Success,122,122.0,,5.04%,31.467450411170873,-0.11490145543144337,-0.04032984690450814,-0.07457160852693523,57.4527931113926,56.94834999999999,56.44390688860738,0.034784012904585215,-145.88869760937538,-10.0,0.0,3.0,56.86776810853244,0.1614230425118054,56.636812500000005,-0.08935937499999369,-0.15777613720756917,,-19.703919634674143,,falling,-180981.55,8.0,15.087132151629204,15.0,5.0,0.0,5.0,0.034784012904585215,31.467450411170873,-145.88869760937538,-0.07457160852693523,0.1614230425118054,56.636812500000005,,-19.703919634674143,,0.0,3.0,falling,-180981.55,-0.08935937499999369,-0.15777613720756917,5.039999999999991,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,,,,,,
SUIUSDT,Sell,47,3.6586,3.63225808,3.768358,Bearish,2025-09-12T07:33:28.834512+00:00,2025-09-12T13:03:28.834512+05:30,Success,152,152.0,,5.04%,40.5936395260252,-0.0004447610995526041,0.00082980446980183,-0.0012745655693544341,3.683552903368435,3.670395,3.6572370966315653,0.05179029402602728,-162.37018656373738,-10.0,0.0,3.0,3.6662799511369593,0.00666804166606058,3.667421875,0.0011140624999996795,0.030377266046047114,,-1.4135063898509577,,falling,-2262494.7,8.0,13.587489880305213,15.0,5.0,0.0,5.0,0.05179029402602728,40.5936395260252,-162.37018656373738,-0.0012745655693544341,0.00666804166606058,3.667421875,,-1.4135063898509577,,0.0,3.0,falling,-2262494.7,0.0011140624999996795,0.030377266046047114,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.41}]}",False,not_in_gap_or_already_strong,47.0,Sell,47,,,,,,,,,,
BNBUSDT,Sell,49,906.43,899.903704,933.6229,Bearish,2025-09-12T07:33:29.975192+00:00,2025-09-12T13:03:29.975192+05:30,Inconclusive,600,,,5.04%,34.957057398788535,-0.01753125654681753,0.236984494795011,-0.2545157513418285,909.6561399334915,908.4925000000001,907.3288600665086,-0.3862277499413493,-356.75174344982264,-10.0,0.0,3.0,907.5685298386878,0.8474617787769536,908.5993749999999,-0.15093750000005457,-0.016612106958587176,,-0.2745984786679196,,falling,-11111.22,8.0,16.207850767051017,15.0,5.0,0.0,5.0,-0.3862277499413493,34.957057398788535,-356.75174344982264,-0.2545157513418285,0.8474617787769536,908.5993749999999,,-0.2745984786679196,,0.0,3.0,falling,-11111.22,-0.15093750000005457,-0.016612106958587176,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Sell,49,,,,,,,,,,
