Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
ETHUSDT,Sell,47,4525.0,4492.42,4660.75,Bearish,2025-09-12T07:46:50.260115+00:00,2025-09-12T13:16:50.260115+05:30,Inconclusive,600,,,5.04%,40.284272045623645,-0.3546028313176066,2.620777786555738,-2.9753806178733444,4554.386384125696,4539.39,4524.3936158743045,0.020217677828633786,-160.1799481062454,-10.0,3.0,0.0,4527.763064848118,6.85388189338228,4535.722812499999,-2.128125000000182,-0.04691920313417923,,-0.7763808178816259,,falling,-114034.456,8.0,19.418786891835545,15.0,0.0,0.0,5.0,0.020217677828633786,40.284272045623645,-160.1799481062454,-2.9753806178733444,6.85388189338228,4535.722812499999,,-0.7763808178816259,,3.0,0.0,falling,-114034.456,-2.128125000000182,-0.04691920313417923,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,47.0,Sell,47,,,,,
BTCUSDT,Sell,48,115118.0,114289.1504,118571.54,Bearish,2025-09-12T07:46:51.171564+00:00,2025-09-12T13:16:51.171564+05:30,Inconclusive,600,,,5.04%,35.67218183936272,-57.770185347195365,-42.708159017728654,-15.062026329466711,115397.52392507847,115247.22,115096.91607492154,0.07013763967726176,-142.48229209323887,-10.0,0.0,3.0,115291.87363163185,64.56716003752311,115178.853125,-21.23906249999709,-0.01844007117951331,,-17.310192991414855,,rising,257.456,8.0,14.59864537478685,15.0,5.0,0.0,5.0,0.07013763967726176,35.67218183936272,-142.48229209323887,-15.062026329466711,64.56716003752311,115178.853125,,-17.310192991414855,,0.0,3.0,rising,257.456,-21.23906249999709,-0.01844007117951331,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.4}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,
MYXUSDT,Buy,42,17.12,17.243264,16.6064,Bearish,2025-09-12T07:46:53.810011+00:00,2025-09-12T13:16:53.810011+05:30,Fail,3,,3.0,5.04%,84.46072597625725,0.938395580157179,0.7504948374917066,0.1879007426654724,17.248121088438538,14.5718,11.895478911561462,0.9760639541735093,129.75586213937348,-10.0,3.0,0.0,13.772040790454929,0.5592367447186499,16.66203125,0.1976718749999975,1.1863612067106015,,53.769621221283316,,rising,8145826.0,8.0,17.06387968344267,7.0,5.0,0.0,5.0,0.9760639541735093,84.46072597625725,129.75586213937348,0.1879007426654724,0.5592367447186499,16.66203125,,53.769621221283316,,3.0,0.0,rising,8145826.0,0.1976718749999975,1.1863612067106015,5.0399999999999565,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,
DOGEUSDT,Sell,43,0.2598,0.25792944,0.267594,Bearish,2025-09-12T07:46:54.692868+00:00,2025-09-12T13:16:54.692868+05:30,Success,262,262.0,,5.04%,37.184040063187396,-0.0005442640992173176,-0.0003673323999445453,-0.00017693169927277225,0.2629580170187408,0.2610325,0.2591069829812592,0.17995608763664936,-121.53359816911032,-10.0,0.0,3.0,0.2610091158165248,0.0006628218792809137,0.26009249999999995,-0.00020671875000000117,-0.07947893537875994,,-20.534513270768713,,falling,-93524314.0,8.0,10.40648855338534,15.0,5.0,0.0,5.0,0.17995608763664936,37.184040063187396,-121.53359816911032,-0.00017693169927277225,0.0006628218792809137,0.26009249999999995,,-20.534513270768713,,0.0,3.0,falling,-93524314.0,-0.00020671875000000117,-0.07947893537875994,5.040000000000058,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.59}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,
ENAUSDT,Sell,45,0.7725,0.766938,0.795675,Bearish,2025-09-12T07:46:59.173623+00:00,2025-09-12T13:16:59.173623+05:30,Success,30,30.0,,5.04%,43.24778571609111,-0.00023076711429548258,0.0005600835899298682,-0.0007908507042253507,0.782075898271342,0.775935,0.769794101728658,0.22031778998600768,-108.27475644345792,-10.0,5.0,5.0,0.7748012735859982,0.0025008493301238535,0.7775874999999999,-0.0013578124999999996,-0.1746186120533059,,-1.8785337599157224,,rising,1545938.0,8.0,11.589588334163427,15.0,5.0,0.0,5.0,0.22031778998600768,43.24778571609111,-108.27475644345792,-0.0007908507042253507,0.0025008493301238535,0.7775874999999999,,-1.8785337599157224,,5.0,5.0,rising,1545938.0,-0.0013578124999999996,-0.1746186120533059,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.41}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,
LINKUSDT,Sell,43,24.567,24.3901176,25.30401,Bearish,2025-09-12T07:47:00.946370+00:00,2025-09-12T13:17:00.946370+05:30,Success,138,138.0,,5.04%,36.699358566421886,-0.025424650328517373,-0.013868921862844101,-0.011555728465673272,24.73587688496758,24.643900000000002,24.551923115032423,0.08196018474039178,-158.46131344157223,-10.0,0.0,3.0,24.63441161634004,0.045451529067358075,24.611734374999997,-0.012234375000002018,-0.04970951991270228,,-14.01094541355449,,falling,-382275.27999999997,8.0,10.101829550445949,15.0,5.0,0.0,5.0,0.08196018474039178,36.699358566421886,-158.46131344157223,-0.011555728465673272,0.045451529067358075,24.611734374999997,,-14.01094541355449,,0.0,3.0,falling,-382275.27999999997,-0.012234375000002018,-0.04970951991270228,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.9}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,
AVAXUSDT,Sell,45,28.73,28.523144,29.5919,Bearish,2025-09-12T07:47:01.822545+00:00,2025-09-12T13:17:01.822545+05:30,Success,93,93.0,,5.04%,37.36339861894594,-0.0209362971898166,-0.0021877331668639205,-0.01874856402295268,28.985272110463164,28.839949999999998,28.694627889536832,0.12170243863934845,-145.0907934994216,-10.0,0.0,3.0,28.822064030413244,0.05321844214763051,28.77221875,-0.007296875000001535,-0.025360835267532276,,-10.103976598351814,,falling,-355722.0,8.0,12.45506779966686,15.0,5.0,0.0,5.0,0.12170243863934845,37.36339861894594,-145.0907934994216,-0.01874856402295268,0.05321844214763051,28.77221875,,-10.103976598351814,,0.0,3.0,falling,-355722.0,-0.007296875000001535,-0.025360835267532276,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.54}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,
HYPEUSDT,Sell,40,56.537,56.1299336,58.23311,Bearish,2025-09-12T07:47:02.739330+00:00,2025-09-12T13:17:02.739330+05:30,Success,92,92.0,,5.04%,38.20096250235187,-0.13177206821849552,-0.08489574069461772,-0.0468763275238778,57.38700042240469,56.847950000000004,56.30889957759532,0.21157614661271543,-88.87828379238422,-10.0,0.0,3.0,56.82927918457121,0.16528392207424206,56.408203125,-0.06567187500000671,-0.11642256154566476,,-21.822040868591543,,falling,-189664.90000000002,4.0,10.806662417338611,15.0,5.0,0.0,5.0,0.21157614661271543,38.20096250235187,-88.87828379238422,-0.0468763275238778,0.16528392207424206,56.408203125,,-21.822040868591543,,0.0,3.0,falling,-189664.90000000002,-0.06567187500000671,-0.11642256154566476,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.19}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,
BNBUSDT,Strong Sell,69,905.3,898.78184,932.459,Bearish,2025-09-12T07:47:04.521158+00:00,2025-09-12T13:17:04.521158+05:30,Inconclusive,600,,,5.04%,29.268136392329694,-0.5432842484183311,-0.08570916202913874,-0.45757508638919236,910.4341565215802,907.972,905.5098434784197,-0.042613756798265914,-206.08905113110808,-10.0,0.0,3.0,907.3199119849451,0.821837346156789,907.153125,-0.6071875000000091,-0.06693329750696819,,-16.836086666842213,,falling,-13786.980000000001,8.0,16.0,15.0,5.0,12.0,5.0,-0.042613756798265914,29.268136392329694,-206.08905113110808,-0.45757508638919236,0.821837346156789,907.153125,,-16.836086666842213,,0.0,3.0,falling,-13786.980000000001,-0.6071875000000091,-0.06693329750696819,5.039999999999974,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,69,1.0,61.0,69.0,-0.6071875000000091,-0.06693329750696819
ADAUSDT,Sell,42,0.8988,0.89232864,0.925764,Bearish,2025-09-12T07:47:05.421373+00:00,2025-09-12T13:17:05.421373+05:30,Success,113,113.0,,5.04%,36.03265890507012,-0.000827258940932829,-0.0005061985943917575,-0.0003210603465410715,0.9043849048502383,0.901315,0.8982450951497617,0.09037818390287831,-128.61528518338855,-10.0,0.0,3.0,0.9013635312620519,0.0015234475107050816,0.9009875,-0.0002750000000000252,-0.030522066066402162,,-15.124378073728181,,falling,-1743323.0,8.0,9.05790206937913,15.0,5.0,0.0,5.0,0.09037818390287831,36.03265890507012,-128.61528518338855,-0.0003210603465410715,0.0015234475107050816,0.9009875,,-15.124378073728181,,0.0,3.0,falling,-1743323.0,-0.0002750000000000252,-0.030522066066402162,5.0400000000000285,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.94}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
