Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
BTCUSDT,Sell,45,114987.0,114159.0936,118436.61,Bearish,2025-09-12T08:13:06.778583+00:00,2025-09-12T13:43:06.778583+05:30,Inconclusive,600,,,5.04%,30.31052209462355,-87.01330024990602,-65.36938912032166,-21.643911129584367,115375.94358074947,115171.025,114966.10641925051,0.05098020070475837,-174.1143372115206,-10.0,0.0,3.0,115243.76873925468,67.94703685285866,115034.1765625,-34.11718750001455,-0.029658305487567958,,-29.3118492806393,,falling,-3.369000000000142,8.0,11.64498190310959,15.0,5.0,0.0,5.0,0.05098020070475837,30.31052209462355,-174.1143372115206,-21.643911129584367,67.94703685285866,115034.1765625,,-29.3118492806393,,0.0,3.0,falling,-3.369000000000142,-34.11718750001455,-0.029658305487567958,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.36}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,
ENAUSDT,Sell,41,0.7696,0.76405888,0.792688,Bearish,2025-09-12T08:13:21.683436+00:00,2025-09-12T13:43:21.683436+05:30,Success,75,75.0,,5.04%,39.57562151528078,-0.0015141924536717921,-0.0005863476151864053,-0.0009278448384853869,0.7828158620897191,0.7744850000000001,0.7661541379102811,0.20681305563630403,-112.43564493279474,-10.0,3.0,0.0,0.7738946791045738,0.0024179607009337965,0.7684578125,-0.0014609374999999813,-0.19011290876816758,,-14.637820471058898,,falling,-11014095.0,8.0,13.209527729317296,15.0,0.0,0.0,5.0,0.20681305563630403,39.57562151528078,-112.43564493279474,-0.0009278448384853869,0.0024179607009337965,0.7684578125,,-14.637820471058898,,3.0,0.0,falling,-11014095.0,-0.0014609374999999813,-0.19011290876816758,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
LINKUSDT,Sell,44,24.503,24.3265784,25.23809,Bearish,2025-09-12T08:13:25.036349+00:00,2025-09-12T13:43:25.036349+05:30,Success,112,112.0,,5.04%,31.124148886352714,-0.041931619715210644,-0.028858008456071692,-0.013073611259138952,24.71674977313919,24.600749999999998,24.484750226860807,0.07866296909604455,-140.56556970398688,-10.0,0.0,3.0,24.614351343225202,0.04475969158597303,24.516031249999994,-0.02125000000000199,-0.08667797729292745,,-25.310976769880313,,falling,-365966.75999999995,8.0,11.010027529270651,15.0,5.0,0.0,5.0,0.07866296909604455,31.124148886352714,-140.56556970398688,-0.013073611259138952,0.04475969158597303,24.516031249999994,,-25.310976769880313,,0.0,3.0,falling,-365966.75999999995,-0.02125000000000199,-0.08667797729292745,5.040000000000034,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.99}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,,,,,,,
AVAXUSDT,Strong Sell,67,28.628,28.4218784,29.48684,Bearish,2025-09-12T08:13:26.681773+00:00,2025-09-12T13:43:26.681773+05:30,Success,129,129.0,,5.04%,29.525546528488405,-0.05400168265835603,-0.03224414494826256,-0.02175753771009347,28.93603978264412,28.763099999999998,28.590160217355876,0.10940161386114107,-130.68527301471502,-10.0,0.0,3.0,28.787198224090545,0.05079718123440791,28.637125,-0.030937500000000284,-0.10803284198396411,,-28.45991965235432,,falling,-299748.0,8.0,14.279722070258096,15.0,5.0,12.0,5.0,0.10940161386114107,29.525546528488405,-130.68527301471502,-0.02175753771009347,0.05079718123440791,28.637125,,-28.45991965235432,,0.0,3.0,falling,-299748.0,-0.030937500000000284,-0.10803284198396411,5.039999999999986,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,67,1.0,59.0,67.0,-0.030937500000000284,-0.10803284198396411,,,,,
HYPEUSDT,Sell,43,56.248,55.8430144,57.93544,Bearish,2025-09-12T08:13:28.339787+00:00,2025-09-12T13:43:28.339787+05:30,Success,204,204.0,,5.04%,31.745434271006545,-0.18315121570304171,-0.1387799634627854,-0.044371252240256315,57.24264510207135,56.65185,56.061054897928656,0.15821483744186918,-117.84578696343526,-10.0,0.0,3.0,56.737302933205044,0.16533167819458056,56.29050000000001,-0.008859374999993008,-0.01573866815891315,,-30.401970628819917,,falling,-215618.00000000003,8.0,10.441052709286891,15.0,5.0,0.0,5.0,0.15821483744186918,31.745434271006545,-117.84578696343526,-0.044371252240256315,0.16533167819458056,56.29050000000001,,-30.401970628819917,,0.0,3.0,falling,-215618.00000000003,-0.008859374999993008,-0.01573866815891315,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.56}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
BNBUSDT,Sell,41,904.98,898.464144,932.1294,Bearish,2025-09-12T08:13:30.030560+00:00,2025-09-12T13:43:30.030560+05:30,Inconclusive,600,,,5.04%,35.340761611048606,-0.9274066216213441,-0.6262920777744871,-0.301114543846857,910.7074475331112,907.0404999999998,903.3735524668884,0.21904424846631362,-90.66091123401212,-10.0,0.0,3.0,906.8501639759567,0.9063041678515296,903.81796875,-0.5139062500001046,-0.05685948584435073,,-28.4078712686606,,falling,-18171.420000000002,4.0,11.973867172492636,15.0,5.0,0.0,5.0,0.21904424846631362,35.340761611048606,-90.66091123401212,-0.301114543846857,0.9063041678515296,903.81796875,,-28.4078712686606,,0.0,3.0,falling,-18171.420000000002,-0.5139062500001046,-0.05685948584435073,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.03}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
ADAUSDT,Sell,42,0.8977,0.89123656,0.924631,Bearish,2025-09-12T08:13:33.578899+00:00,2025-09-12T13:43:33.578899+05:30,Success,98,98.0,,5.04%,32.00210043063582,-0.0011552083706917182,-0.000855491929148346,-0.0002997164415433722,0.9032859141710664,0.9001650000000001,0.8970440858289338,0.10508366060610856,-142.0708187058549,-10.0,0.0,3.0,0.9008216106110127,0.0014956550996611724,0.8980250000000001,-0.000587499999999963,-0.06542134127668639,,-23.977531803710697,,falling,-3570545.0,8.0,8.809393956314185,15.0,5.0,0.0,5.0,0.10508366060610856,32.00210043063582,-142.0708187058549,-0.0002997164415433722,0.0014956550996611724,0.8980250000000001,,-23.977531803710697,,0.0,3.0,falling,-3570545.0,-0.000587499999999963,-0.06542134127668639,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.19}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
1000PEPEUSDT,Sell,43,0.0106229,0.01054642,0.01094159,Bearish,2025-09-12T08:13:35.228488+00:00,2025-09-12T13:43:35.228488+05:30,Success,87,87.0,,5.04%,38.28608111793209,-1.2251168589771932e-05,-6.465461448858366e-06,-5.785707140913566e-06,0.010712703257607526,0.010661414999999999,0.010610126742392471,0.12452419133900636,-134.3446129910578,-10.0,0.0,3.0,0.010661773898024625,2.3482187875442918e-05,0.0106272125,-6.295312500001482e-06,-0.0592376646274974,,-13.247787240532475,,falling,-598444185.0,8.0,9.91328934588496,15.0,5.0,0.0,5.0,0.12452419133900636,38.28608111793209,-134.3446129910578,-5.785707140913566e-06,2.3482187875442918e-05,0.0106272125,,-13.247787240532475,,0.0,3.0,falling,-598444185.0,-6.295312500001482e-06,-0.0592376646274974,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.09}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
FARTCOINUSDT,Sell,41,0.9083,0.90176024,0.935549,Bearish,2025-09-12T08:13:54.245553+00:00,2025-09-12T13:43:54.245553+05:30,Success,5,5.0,,5.04%,42.48407098474861,-0.000318956155432093,0.00022434177805630745,-0.0005432979334884004,0.9161533961754236,0.91211,0.9080666038245764,0.02886140329783115,-149.25825007568542,-10.0,0.0,3.0,0.9105527413362322,0.0034307708167113623,0.9112999999999999,-0.0003265625000000716,-0.03583479644464739,,-2.544044243894472,,falling,-108034.3999999999,8.0,7.800647463889926,15.0,5.0,0.0,5.0,0.02886140329783115,42.48407098474861,-149.25825007568542,-0.0005432979334884004,0.0034307708167113623,0.9112999999999999,,-2.544044243894472,,0.0,3.0,falling,-108034.3999999999,-0.0003265625000000716,-0.03583479644464739,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.2}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
AAVEUSDT,Sell,43,311.22,308.979216,320.5566,Bearish,2025-09-12T08:14:05.027441+00:00,2025-09-12T13:44:05.027441+05:30,Success,83,83.0,,5.04%,34.90417534586652,-0.3819184482280775,-0.08909519286800079,-0.29282325536007675,314.6069557021701,312.76300000000003,310.91904429782994,0.08160600111377422,-140.05504346686692,-10.0,3.0,0.0,312.1868745439415,0.6640531557254817,311.45203125,-0.2831249999999841,-0.09090484941249972,,-14.817786650305168,,falling,-11712.399999999998,8.0,14.583125865826174,15.0,0.0,0.0,5.0,0.08160600111377422,34.90417534586652,-140.05504346686692,-0.29282325536007675,0.6640531557254817,311.45203125,,-14.817786650305168,,3.0,0.0,falling,-11712.399999999998,-0.2831249999999841,-0.09090484941249972,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
