Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
ETHUSDT,Buy,43,4725.2,4759.22144,4583.444,Bullish,2025-09-13T09:08:08.343211+00:00,2025-09-13T14:38:08.343211+05:30,Inconclusive,600,,,5.04%,57.955417206970765,2.455146769584644,1.2632992099667775,1.1918475596178666,4729.537560924774,4718.290999999999,4707.044439075225,0.8071605642921886,125.99281193678267,10.0,3.0,0.0,4718.739119656183,4.919185013413544,4726.268593750001,1.3815624999997453,0.02923156973826494,,12.25883638651247,,rising,2507.678999999999,8.0,9.81485375175583,15.0,5.0,0.0,5.0,0.8071605642921886,57.955417206970765,125.99281193678267,1.1918475596178666,4.919185013413544,4726.268593750001,,12.25883638651247,,3.0,0.0,rising,2507.678999999999,1.3815624999997453,0.02923156973826494,5.040000000000065,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.19}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
SOLUSDT,Buy,48,243.47,245.222984,236.1659,Bullish,2025-09-13T09:08:10.529910+00:00,2025-09-13T14:38:10.529910+05:30,Fail,474,,474.0,5.04%,64.49519122685983,0.2231658984552496,0.13001689983355683,0.09314899862169276,243.52162737138383,242.7065,241.89137262861618,0.9683317152654415,149.73262032085606,10.0,3.0,0.0,242.58565732932897,0.37530976812663147,243.150625,0.20765625000001364,0.08540230978226507,,17.496374534113677,,rising,29277.309999999983,8.0,14.956615459489804,15.0,5.0,0.0,5.0,0.9683317152654415,64.49519122685983,149.73262032085606,0.09314899862169276,0.37530976812663147,243.150625,,17.496374534113677,,3.0,0.0,rising,29277.309999999983,0.20765625000001364,0.08540230978226507,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.04}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
DOGEUSDT,Strong Buy,66,0.28876,0.29083907,0.2800972,Bullish,2025-09-13T09:08:12.707978+00:00,2025-09-13T14:38:12.707978+05:30,Success,17,17.0,,5.04%,79.36199832517741,0.0010769931262473165,0.0006465499809178185,0.000430443145329498,0.28770042857209366,0.28447500000000003,0.2812495714279064,1.1642528123353528,206.79440896046822,10.0,3.0,0.0,0.2835459897986565,0.001116410916364585,0.2864140625,0.0006732812499999907,0.2350726930525594,,33.24557993765566,,rising,314683963.0,8.0,18.25343467757197,15.0,5.0,0.0,5.0,1.1642528123353528,79.36199832517741,206.79440896046822,0.000430443145329498,0.001116410916364585,0.2864140625,,33.24557993765566,,3.0,0.0,rising,314683963.0,0.0006732812499999907,0.2350726930525594,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,51.0,59.0,0.0006732812499999907,0.2350726930525594,True,59.0,66.0,0.7711195564643308,0.2350726930525594,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
XRPUSDT,Strong Buy,68,3.164,3.1867808,3.06908,Bullish,2025-09-13T09:08:16.025198+00:00,2025-09-13T14:38:16.025198+05:30,Inconclusive,600,,,5.04%,84.84984620489023,0.010355293418709444,0.0064812441380855505,0.003874049280623893,3.156404742994863,3.12615,3.095895257005137,1.1255217571411287,199.56826372500387,10.0,3.0,0.0,3.120044414347316,0.007380507434415734,3.14510625,0.005907812499999832,0.18784142825063005,,47.388249859772024,,rising,36716663.9,8.0,20.0,15.0,5.0,0.0,5.0,1.1255217571411287,84.84984620489023,199.56826372500387,0.003874049280623893,0.007380507434415734,3.14510625,,47.388249859772024,,3.0,0.0,rising,36716663.9,0.005907812499999832,0.18784142825063005,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.005907812499999832,0.18784142825063005,True,61.0,68.0,1.0498056712358224,0.18784142825063005,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
1000PEPEUSDT,Buy,42,0.0123785,0.01246763,0.01200715,Bullish,2025-09-13T09:08:17.118989+00:00,2025-09-13T14:38:17.118989+05:30,Success,22,22.0,,5.04%,66.83080705538435,6.045917895472659e-05,4.620969546363594e-05,1.4249483491090655e-05,0.012402468855301146,0.012234314999999999,0.012066161144698852,0.9287293911334377,136.36994223449125,10.0,3.0,0.0,0.0121655744772147,6.931216441149623e-05,0.012350064062499999,1.9685937499999695e-05,0.15939947679927022,,26.746115370576334,,rising,3028442276.0,8.0,8.934019976000823,15.0,5.0,0.0,5.0,0.9287293911334377,66.83080705538435,136.36994223449125,1.4249483491090655e-05,6.931216441149623e-05,0.012350064062499999,,26.746115370576334,,3.0,0.0,rising,3028442276.0,1.9685937499999695e-05,0.15939947679927022,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.07}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
ENAUSDT,Buy,40,0.7681,0.77363032,0.745057,Bullish,2025-09-13T09:08:20.420100+00:00,2025-09-13T14:38:20.420100+05:30,Success,39,39.0,,5.04%,65.70664559244332,0.0013665248760481585,0.0007020493155128327,0.0006644755605353258,0.7693805675922615,0.763375,0.7573694324077386,0.893384965485064,134.2373519787188,10.0,0.0,3.0,0.7645140061931144,0.001902174841384953,0.767525,0.0005453125000000059,0.07104817432656993,,19.033528876948697,,rising,19223474.0,8.0,12.383778980714874,15.0,0.0,0.0,5.0,0.893384965485064,65.70664559244332,134.2373519787188,0.0006644755605353258,0.001902174841384953,0.767525,,19.033528876948697,,0.0,3.0,rising,19223474.0,0.0005453125000000059,0.07104817432656993,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
SUIUSDT,Buy,46,3.7981,3.82544632,3.684157,Bullish,2025-09-13T09:08:21.541046+00:00,2025-09-13T14:38:21.541046+05:30,Success,72,72.0,,5.04%,78.94653417338569,0.016677540950433833,0.013046284385980537,0.003631256564453296,3.805508500126801,3.7562699999999998,3.7070314998731986,0.9247692343621103,127.50188023244662,10.0,3.0,0.0,3.7438465634175064,0.009747294339115968,3.7906984374999997,0.0024140624999997584,0.0636838445421645,,47.1613494066328,,rising,12015982.799999999,8.0,12.940958846102024,15.0,5.0,0.0,5.0,0.9247692343621103,78.94653417338569,127.50188023244662,0.003631256564453296,0.009747294339115968,3.7906984374999997,,47.1613494066328,,3.0,0.0,rising,12015982.799999999,0.0024140624999997584,0.0636838445421645,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.06}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
ADAUSDT,Strong Buy,68,0.943,0.9497896,0.91471,Bullish,2025-09-13T09:08:23.741782+00:00,2025-09-13T14:38:23.741782+05:30,Success,47,47.0,,5.04%,84.63788656962461,0.003194051319558855,0.0017943788158188213,0.0013996725037400337,0.940475878633034,0.9305399999999999,0.9206041213669659,1.1270205414231815,210.3106157769826,10.0,3.0,0.0,0.929203586522343,0.0024796552036667184,0.9362890625,0.0017921875000000975,0.19141390963328672,,44.951106063254606,,rising,46130685.0,8.0,20.0,15.0,5.0,0.0,5.0,1.1270205414231815,84.63788656962461,210.3106157769826,0.0013996725037400337,0.0024796552036667184,0.9362890625,,44.951106063254606,,3.0,0.0,rising,46130685.0,0.0017921875000000975,0.19141390963328672,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.0017921875000000975,0.19141390963328672,True,61.0,68.0,1.1289251035146406,0.19141390963328672,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
LINKUSDT,Buy,42,25.493,25.6765496,24.72821,Bullish,2025-09-13T09:08:24.829811+00:00,2025-09-13T14:38:24.829811+05:30,Fail,283,,283.0,5.04%,71.99963821868496,0.08205662845795203,0.07038050514912797,0.01167612330882406,25.568328004235717,25.3229,25.077471995764284,0.8465374714057262,105.5121553660514,10.0,3.0,0.0,25.246967836766792,0.05771623063667222,25.516234375,0.00723437499999946,0.028352047930267767,,39.00680459024412,,rising,1371280.95,8.0,8.855253995636446,15.0,5.0,0.0,5.0,0.8465374714057262,71.99963821868496,105.5121553660514,0.01167612330882406,0.05771623063667222,25.516234375,,39.00680459024412,,3.0,0.0,rising,1371280.95,0.00723437499999946,0.028352047930267767,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.14}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
UBUSDT,Buy,42,0.033739,0.03398192,0.03272683,Bullish,2025-09-13T09:08:25.913134+00:00,2025-09-13T14:38:25.913134+05:30,Success,1,1.0,,5.04%,72.38936078793627,0.0015780970764350324,0.0013745496293829798,0.0002035474470520526,0.035259792286020185,0.0309244,0.026589007713979818,0.824607303596943,87.29462196365252,10.0,3.0,0.0,0.029198374290564814,0.0012603986608155438,0.034760375,0.0005210000000000006,1.4988330822092701,,44.05231692567813,,rising,927350950.0,4.0,12.87586791475034,15.0,5.0,0.0,5.0,0.824607303596943,72.38936078793627,87.29462196365252,0.0002035474470520526,0.0012603986608155438,0.034760375,,44.05231692567813,,3.0,0.0,rising,927350950.0,0.0005210000000000006,1.4988330822092701,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.12}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
WLFIUSDT,Buy,44,0.2107,0.21221704,0.204379,Bullish,2025-09-13T09:08:27.024158+00:00,2025-09-13T14:38:27.024158+05:30,Success,200,200.0,,5.04%,73.00733507037907,0.0010015020797770613,0.0006521118150590692,0.0003493902647179921,0.2105246511425745,0.20751500000000003,0.20450534885742558,1.0291310934588116,186.771561771562,10.0,3.0,0.0,0.2069165504347153,0.0011594582952500364,0.20921562500000002,0.0003765624999999828,0.17998775187081884,,40.26058711430389,,rising,111256378.0,8.0,11.232141412575354,15.0,5.0,0.0,5.0,1.0291310934588116,73.00733507037907,186.771561771562,0.0003493902647179921,0.0011594582952500364,0.20921562500000002,,40.26058711430389,,3.0,0.0,rising,111256378.0,0.0003765624999999828,0.17998775187081884,5.039999999999991,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.77}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
BNBUSDT,Buy,40,927.72,934.399584,899.8884,Bullish,2025-09-13T09:08:28.140848+00:00,2025-09-13T14:38:28.140848+05:30,Success,36,36.0,,5.04%,63.12042043591236,0.5008499712818093,0.3297817995053801,0.1710681717764292,928.4117008663379,926.4725000000001,924.5332991336622,0.8216531153773241,95.32163742690659,10.0,3.0,0.0,926.501281738806,0.5889320148549863,928.125625,0.25843749999989996,0.02784509909419858,,23.680549958899803,,rising,4996.789999999996,4.0,10.971324395813731,15.0,5.0,0.0,5.0,0.8216531153773241,63.12042043591236,95.32163742690659,0.1710681717764292,0.5889320148549863,928.125625,,23.680549958899803,,3.0,0.0,rising,4996.789999999996,0.25843749999989996,0.02784509909419858,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.03}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
MOODENGUSDT,Strong Buy,68,0.22696,0.22859411,0.2201512,Bullish,2025-09-13T09:08:31.410312+00:00,2025-09-13T14:38:31.410312+05:30,Success,1,1.0,,5.04%,77.8293333632556,0.0017533639785317079,0.00035401608346603825,0.0013993478950656696,0.22063546583447635,0.21222749999999996,0.20381953416552356,1.3761037027285627,372.42385379155036,10.0,3.0,0.0,0.21155351710880957,0.0031386937832925546,0.212919375,0.0011615624999999907,0.5455410058384733,,18.756651295200175,,rising,71205142.0,8.0,19.700103864973215,15.0,5.0,0.0,5.0,1.3761037027285627,77.8293333632556,372.42385379155036,0.0013993478950656696,0.0031386937832925546,0.212919375,,18.756651295200175,,3.0,0.0,rising,71205142.0,0.0011615624999999907,0.5455410058384733,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.0011615624999999907,0.5455410058384733,True,61.0,68.0,0.8916753220811013,0.5455410058384733,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
HYPEUSDT,Buy,48,55.57,55.970104,53.9029,Bullish,2025-09-13T09:08:33.582128+00:00,2025-09-13T14:38:33.582128+05:30,Success,46,46.0,,5.04%,69.71781578799391,0.09118683917245818,0.06613390190436987,0.025052937268088313,55.61809950332629,55.32735,55.036600496673714,0.9172836019047081,127.35490097815533,10.0,3.0,0.0,55.307347338682,0.10638598412738595,55.530546875000006,0.014937499999994941,0.026899609027117,,25.815685254847654,,rising,111520.33000000002,8.0,14.65178298030464,15.0,5.0,0.0,5.0,0.9172836019047081,69.71781578799391,127.35490097815533,0.025052937268088313,0.10638598412738595,55.530546875000006,,25.815685254847654,,3.0,0.0,rising,111520.33000000002,0.014937499999994941,0.026899609027117,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.35}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
PENGUUSDT,Buy,59,0.03687,0.03713546,0.0357639,Bullish,2025-09-13T09:08:38.024423+00:00,2025-09-13T14:38:38.024423+05:30,Success,24,24.0,,5.04%,73.17251323601909,7.089356485635162e-05,2.916290159721492e-05,4.17306632591367e-05,0.0367346261145234,0.036440349999999996,0.036146073885476596,1.2300116774612335,241.99848926297642,10.0,3.0,0.0,0.03646390790658963,0.00010644690990245623,0.036603859375,3.2203124999997945e-05,0.08797740333903778,,21.05347046828699,,rising,148881883.0,8.0,18.408783393872582,15.0,5.0,0.0,5.0,1.2300116774612335,73.17251323601909,241.99848926297642,4.17306632591367e-05,0.00010644690990245623,0.036603859375,,21.05347046828699,,3.0,0.0,rising,148881883.0,3.2203124999997945e-05,0.08797740333903778,5.04,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,59,51.0,59.0,3.2203124999997945e-05,0.08797740333903778,False,,,0.784065282822715,0.08797740333903778,False,,conditions_not_met,
FARTCOINUSDT,Strong Buy,66,0.9108,0.91735776,0.883476,Bullish,2025-09-13T09:08:39.118801+00:00,2025-09-13T14:38:39.118801+05:30,Success,24,24.0,,5.04%,69.31534844272922,0.0018166900332596825,0.0007339073522532791,0.0010827826810064034,0.9103236210928496,0.9025550000000001,0.8947863789071506,1.0306604545038849,172.5997842502687,10.0,3.0,0.0,0.9034909854011539,0.0027988505008351727,0.9078640624999998,0.0013890624999999268,0.15300335781271518,,18.741522145750356,,rising,6097697.700000001,8.0,18.284806150381833,15.0,5.0,0.0,5.0,1.0306604545038849,69.31534844272922,172.5997842502687,0.0010827826810064034,0.0027988505008351727,0.9078640624999998,,18.741522145750356,,3.0,0.0,rising,6097697.700000001,0.0013890624999999268,0.15300335781271518,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,51.0,59.0,0.0013890624999999268,0.15300335781271518,True,59.0,66.0,0.7737338458651527,0.15300335781271518,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
SOMIUSDT,Buy,46,1.0279,1.03530088,0.997063,Bullish,2025-09-13T09:08:40.202281+00:00,2025-09-13T14:38:40.202281+05:30,Success,1,1.0,,5.04%,46.017702258899774,0.0004843712882580675,0.002673905630208332,-0.0021895343419502645,1.0483419619098613,1.0372249999999998,1.0261080380901384,0.08059584643678845,-140.57783527382395,10.0,3.0,0.0,1.0275324956596121,0.011128416422859926,1.0331015625,-0.001754687500000074,-0.16984656336729467,,1.41381630119477,,falling,-2405838.0,12.0,4.0,15.0,10.0,0.0,5.0,0.08059584643678845,46.017702258899774,-140.57783527382395,-0.0021895343419502645,0.011128416422859926,1.0331015625,,1.41381630119477,,3.0,0.0,falling,-2405838.0,-0.001754687500000074,-0.16984656336729467,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
1000BONKUSDT,Strong Buy,68,0.026644,0.02683584,0.02584468,Bullish,2025-09-13T09:08:41.317990+00:00,2025-09-13T14:38:41.317990+05:30,Success,30,30.0,,5.04%,81.40212814690524,0.00011051949167264347,5.052694107956264e-05,5.9992550593080823e-05,0.026495607673183506,0.026113000000000004,0.025730392326816502,1.193922308956575,241.31640396964443,10.0,3.0,0.0,0.02610039995932271,9.117923233268798e-05,0.026319328125,7.212499999999927e-05,0.2740381504324563,,34.13498915825357,,rising,292982142.0,8.0,20.0,15.0,5.0,0.0,5.0,1.193922308956575,81.40212814690524,241.31640396964443,5.9992550593080823e-05,9.117923233268798e-05,0.026319328125,,34.13498915825357,,3.0,0.0,rising,292982142.0,7.212499999999927e-05,0.2740381504324563,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,7.212499999999927e-05,0.2740381504324563,True,61.0,68.0,1.3159257663890935,0.2740381504324563,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
WIFUSDT,Strong Buy,68,0.9697,0.97668184,0.940609,Bullish,2025-09-13T09:08:43.520326+00:00,2025-09-13T14:38:43.520326+05:30,Success,17,17.0,,5.04%,83.8616906969323,0.0032533829622304333,0.0014225935909207748,0.0018307893713096586,0.9664206881498487,0.9549899999999999,0.9435593118501511,1.1434433258593737,225.68877923249462,10.0,3.0,0.0,0.9551751176352284,0.0027618971095690853,0.9610640624999999,0.002264062499999997,0.23557872865524998,,39.65075750915719,,rising,11459771.0,8.0,20.0,15.0,5.0,0.0,5.0,1.1434433258593737,83.8616906969323,225.68877923249462,0.0018307893713096586,0.0027618971095690853,0.9610640624999999,,39.65075750915719,,3.0,0.0,rising,11459771.0,0.002264062499999997,0.23557872865524998,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.002264062499999997,0.23557872865524998,True,61.0,68.0,1.3257477007138043,0.23557872865524998,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
