Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
DOGEUSDT,Strong Buy,68,0.29346,0.29557291,0.2846562,Bullish,2025-09-13T09:31:38.658184+00:00,2025-09-13T15:01:38.658184+05:30,Success,17,17.0,,5.04%,88.89668295379352,0.002035626335775087,0.001277763468887797,0.00075786286688729,0.2920992192045174,0.28606349999999997,0.2800277807954825,1.1127273113089897,205.75147674373147,5.0,3.0,0.0,0.28473882361246144,0.001450077823679711,0.28956078125000007,0.0008000000000000229,0.27628050889575456,,55.50752813484737,,rising,871305438.0,8.0,20.0,15.0,5.0,0.0,5.0,1.1127273113089897,88.89668295379352,205.75147674373147,0.00075786286688729,0.001450077823679711,0.28956078125000007,,55.50752813484737,,3.0,0.0,rising,871305438.0,0.0008000000000000229,0.27628050889575456,5.040000000000053,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.0008000000000000229,0.27628050889575456,True,61.0,68.0,1.0452719909392734,0.27628050889575456,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
XRPUSDT,Buy,45,3.1665,3.1892988,3.071505,Bullish,2025-09-13T09:31:43.019134+00:00,2025-09-13T15:01:43.019134+05:30,Inconclusive,600,,,5.04%,79.79432056475935,0.01322582861060484,0.010563739723615507,0.0026620888869893326,3.177610313168218,3.1376850000000003,3.0977596868317825,0.8608612896609381,105.96878227488031,5.0,3.0,0.0,3.1276620188994047,0.008182834402400644,3.1684546874999997,0.0032749999999994728,0.10336269011262207,,54.449097997144605,,rising,37531506.0,8.0,11.807824299731665,15.0,5.0,0.0,5.0,0.8608612896609381,79.79432056475935,105.96878227488031,0.0026620888869893326,0.008182834402400644,3.1684546874999997,,54.449097997144605,,3.0,0.0,rising,37531506.0,0.0032749999999994728,0.10336269011262207,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.19}]}",False,,,,,,,,,,,,Buy,45,not_in_gap_or_already_strong,45.0,,
1000PEPEUSDT,Buy,47,0.0124791,0.01256895,0.01210473,Bullish,2025-09-13T09:31:44.144022+00:00,2025-09-13T15:01:44.144022+05:30,Success,234,234.0,,5.04%,70.69222467786233,7.264706379920931e-05,5.882364087813599e-05,1.3823422921073318e-05,0.012485698510136126,0.01229618,0.012106661489863875,0.9825913834712331,155.5719386501288,5.0,3.0,0.0,0.012208455992307602,6.6957636950633e-05,0.012413384375,2.0173437499999836e-05,0.16251359734439735,,29.816428313065984,,rising,5346765848.0,8.0,13.954806728773352,15.0,5.0,0.0,5.0,0.9825913834712331,70.69222467786233,155.5719386501288,1.3823422921073318e-05,6.6957636950633e-05,0.012413384375,,29.816428313065984,,3.0,0.0,rising,5346765848.0,2.0173437499999836e-05,0.16251359734439735,5.039999999999952,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.05}]}",False,,,,,,,,,,,,Buy,47,not_in_gap_or_already_strong,47.0,,
SUIUSDT,Buy,43,3.8142,3.84166224,3.699774,Bullish,2025-09-13T09:31:47.402004+00:00,2025-09-13T15:01:47.402004+05:30,Success,189,189.0,,5.04%,76.06846953055276,0.018935082802255643,0.016197967048584415,0.002737115753671228,3.8207835187073678,3.774985,3.7291864812926323,0.9281252004084073,146.23330813807223,5.0,3.0,0.0,3.754174510215577,0.011693869049580594,3.8027468750000004,0.0033890625000001506,0.08912143278009137,,46.76307027301649,,rising,11863642.400000002,8.0,9.617540081010699,15.0,5.0,0.0,5.0,0.9281252004084073,76.06846953055276,146.23330813807223,0.002737115753671228,0.011693869049580594,3.8027468750000004,,46.76307027301649,,3.0,0.0,rising,11863642.400000002,0.0033890625000001506,0.08912143278009137,5.040000000000036,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.38}]}",False,,,,,,,,,,,,Buy,43,not_in_gap_or_already_strong,43.0,,
ADAUSDT,Buy,48,0.9444,0.95119968,0.916068,Bullish,2025-09-13T09:31:49.598429+00:00,2025-09-13T15:01:49.598429+05:30,Success,25,25.0,,5.04%,82.50838100567185,0.0045558486351917615,0.0034097114056945857,0.0011461372294971758,0.9484599136435192,0.934785,0.9211100863564807,0.8515561505778406,113.25453464168993,5.0,3.0,0.0,0.931818756962319,0.002605447998790604,0.9453890625000001,0.0017046875000001904,0.1803159744087044,,59.49300691350496,,rising,64751879.0,8.0,14.557606031937903,15.0,5.0,0.0,5.0,0.8515561505778406,82.50838100567185,113.25453464168993,0.0011461372294971758,0.002605447998790604,0.9453890625000001,,59.49300691350496,,3.0,0.0,rising,64751879.0,0.0017046875000001904,0.1803159744087044,5.039999999999981,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.44}]}",False,,,,,,,,,,,,Buy,48,not_in_gap_or_already_strong,48.0,,
BNBUSDT,Buy,48,931.28,937.985216,903.3416,Bullish,2025-09-13T09:31:55.070023+00:00,2025-09-13T15:01:55.070023+05:30,Success,25,25.0,,5.04%,81.58201301798277,1.0579306672962048,0.6794581316710192,0.37847253562518557,930.7174628447299,927.4885,924.2595371552702,1.087108025443563,193.27942497754714,5.0,3.0,0.0,927.0912076191121,0.858877768942175,929.29328125,0.27750000000003183,0.029861401733881507,,42.265337788220855,,rising,33543.380000000005,8.0,14.575824853624777,15.0,5.0,0.0,5.0,1.087108025443563,81.58201301798277,193.27942497754714,0.37847253562518557,0.858877768942175,929.29328125,,42.265337788220855,,3.0,0.0,rising,33543.380000000005,0.27750000000003183,0.029861401733881507,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.42}]}",False,,,,,,,,,,,,Buy,48,not_in_gap_or_already_strong,48.0,,
MOODENGUSDT,Strong Buy,68,0.2329,0.23457688,0.225913,Bullish,2025-09-13T09:31:58.363734+00:00,2025-09-13T15:01:58.363734+05:30,Fail,4,,4.0,5.04%,81.17746870148848,0.004759047067524308,0.0026835390036859365,0.0020755080638383714,0.2328342679379943,0.21667799999999998,0.20052173206200566,1.002034258847958,159.94145798120712,5.0,3.0,0.0,0.21461237997741933,0.003859160562695853,0.226958125,0.003581093750000014,1.577865410194067,,42.650583241734644,,rising,174076646.0,8.0,20.0,15.0,5.0,0.0,5.0,1.002034258847958,81.17746870148848,159.94145798120712,0.0020755080638383714,0.003859160562695853,0.226958125,,42.650583241734644,,3.0,0.0,rising,174076646.0,0.003581093750000014,1.577865410194067,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.003581093750000014,1.577865410194067,True,61.0,68.0,1.075626696593575,1.577865410194067,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
HYPEUSDT,Buy,48,55.697,56.0980184,54.02609,Bullish,2025-09-13T09:32:00.541080+00:00,2025-09-13T15:02:00.541080+05:30,Success,26,26.0,,5.04%,75.91613314567881,0.11665306253213004,0.09398881630579117,0.022664246226338863,55.72960954866199,55.44995,55.17029045133801,0.9416977735643111,153.0956288229163,5.0,3.0,0.0,55.365736606086685,0.09693918278179604,55.62821875,0.029078125000005173,0.05227225615597331,,37.00606381557668,,rising,207466.30999999997,8.0,14.61116664926412,15.0,5.0,0.0,5.0,0.9416977735643111,75.91613314567881,153.0956288229163,0.022664246226338863,0.09693918278179604,55.62821875,,37.00606381557668,,3.0,0.0,rising,207466.30999999997,0.029078125000005173,0.05227225615597331,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.39}]}",False,,,,,,,,,,,,Buy,48,not_in_gap_or_already_strong,48.0,,
AVNTUSDT,Buy,40,0.44019,0.44335937,0.4269843,Bullish,2025-09-13T09:32:01.626829+00:00,2025-09-13T15:02:01.626829+05:30,Success,34,34.0,,5.04%,51.40285523515896,0.001294626563230039,0.0018676658069791685,-0.0005730392437491294,0.4469318803920197,0.44149400000000005,0.4360561196079804,0.3801003418617196,3.81182595760522,5.0,3.0,0.0,0.43571527692169504,0.0058929000087700025,0.43995343750000004,0.0004248437500000146,0.09656561667392691,,6.6224928482111975,,falling,-2766827.0,6.0,4.0,15.0,10.0,0.0,5.0,0.3801003418617196,51.40285523515896,3.81182595760522,-0.0005730392437491294,0.0058929000087700025,0.43995343750000004,,6.6224928482111975,,3.0,0.0,falling,-2766827.0,0.0004248437500000146,0.09656561667392691,5.040000000000009,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0,,
PENGUUSDT,Strong Buy,68,0.037038,0.03730467,0.03592686,Bullish,2025-09-13T09:32:04.918195+00:00,2025-09-13T15:02:04.918195+05:30,Success,16,16.0,,5.04%,78.91996634772302,0.00014105909934173516,8.782087700986939e-05,5.3238222331865776e-05,0.037031759223546276,0.03658025,0.03612874077645373,1.0069110176805565,160.5304505553838,5.0,3.0,0.0,0.0365411203600796,0.00010514178893893611,0.036846546875,6.846874999999475e-05,0.18582134774330805,,38.64674370662616,,rising,310963194.0,8.0,20.0,15.0,5.0,0.0,5.0,1.0069110176805565,78.91996634772302,160.5304505553838,5.3238222331865776e-05,0.00010514178893893611,0.036846546875,,38.64674370662616,,3.0,0.0,rising,310963194.0,6.846874999999475e-05,0.18582134774330805,5.040000000000058,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,6.846874999999475e-05,0.18582134774330805,True,61.0,68.0,1.0126938654769377,0.18582134774330805,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
FARTCOINUSDT,Buy,59,0.9164,0.92299808,0.888908,Bullish,2025-09-13T09:32:06.032000+00:00,2025-09-13T15:02:06.032000+05:30,Success,3,3.0,,5.04%,76.97230199029529,0.0031681231401696763,0.0020036645013414706,0.0011644586388282058,0.9164200334894472,0.905635,0.8948499665105527,0.9990712365674693,156.34264315805987,5.0,3.0,0.0,0.905107521727655,0.0030711158968170756,0.912728125,0.0012281249999999133,0.1345554022453196,,33.86466341429489,,rising,7432286.399999999,8.0,18.099952027483365,15.0,5.0,0.0,5.0,0.9990712365674693,76.97230199029529,156.34264315805987,0.0011644586388282058,0.0030711158968170756,0.912728125,,33.86466341429489,,3.0,0.0,rising,7432286.399999999,0.0012281249999999133,0.1345554022453196,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,51.0,59.0,0.0012281249999999133,0.1345554022453196,False,,,0.7583293356236137,0.1345554022453196,False,,Buy,59,,,conditions_not_met,
SOMIUSDT,Buy,43,1.0212,1.02855264,0.990564,Bullish,2025-09-13T09:32:07.121436+00:00,2025-09-13T15:02:07.121436+05:30,Success,1,1.0,,5.04%,41.02306857960547,-0.0012202543265806831,0.0008303015543788355,-0.002050555880959519,1.0491504943089602,1.03558,1.0220095056910397,-0.02982594711030713,-174.92354740060972,5.0,3.0,0.0,1.0280980449231043,0.010746426304461707,1.0290484375,-0.0007781250000000739,-0.07561597410229524,,-3.143904526320397,,falling,-3265642.0,20.0,0.0,8.0,10.0,0.0,5.0,-0.02982594711030713,41.02306857960547,-174.92354740060972,-0.002050555880959519,0.010746426304461707,1.0290484375,,-3.143904526320397,,3.0,0.0,falling,-3265642.0,-0.0007781250000000739,-0.07561597410229524,5.039999999999938,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,,,,,,,,,,,,Buy,43,not_in_gap_or_already_strong,43.0,,
1000BONKUSDT,Strong Buy,68,0.026797,0.02698994,0.02599309,Bullish,2025-09-13T09:32:08.208171+00:00,2025-09-13T15:02:08.208171+05:30,Success,217,217.0,,5.04%,80.22149502996731,0.0001730260254280032,0.00011607278377242586,5.6953241655577325e-05,0.026811993067991483,0.0262708,0.025729606932008518,0.9861481337453885,145.9626111421537,5.0,3.0,0.0,0.02619389321556699,0.00011486294650564463,0.026654750000000005,7.482812500000588e-05,0.2807309203800668,,45.82403795398181,,rising,473590511.0,8.0,20.0,15.0,5.0,0.0,5.0,0.9861481337453885,80.22149502996731,145.9626111421537,5.6953241655577325e-05,0.00011486294650564463,0.026654750000000005,,45.82403795398181,,3.0,0.0,rising,473590511.0,7.482812500000588e-05,0.2807309203800668,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,7.482812500000588e-05,0.2807309203800668,True,61.0,68.0,0.991673004884626,0.2807309203800668,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
WIFUSDT,Strong Buy,68,0.9817,0.98876824,0.952249,Bullish,2025-09-13T09:32:10.377001+00:00,2025-09-13T15:02:10.377001+05:30,Success,233,233.0,,5.04%,90.67329486661352,0.006586276720944917,0.004143826971298864,0.002442449749646053,0.9816679855201111,0.9610750000000001,0.9404820144798891,1.0007773151653414,153.3338516157441,5.0,3.0,0.0,0.9589111143274901,0.0033802587922915355,0.975225,0.0032562500000000716,0.33389730574996246,,64.46556566592217,,rising,22511393.3,8.0,20.0,15.0,5.0,0.0,5.0,1.0007773151653414,90.67329486661352,153.3338516157441,0.002442449749646053,0.0033802587922915355,0.975225,,64.46556566592217,,3.0,0.0,rising,22511393.3,0.0032562500000000716,0.33389730574996246,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.0032562500000000716,0.33389730574996246,True,61.0,68.0,1.4451258910802354,0.33389730574996246,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
