Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
ETHUSDT,Buy,40,4730.95,4765.01284,4589.0215,Bullish,2025-09-13T10:08:06.639196+00:00,2025-09-13T15:38:06.639196+05:30,Inconclusive,600,,,5.04%,62.35429593502777,2.7259556646677083,2.10698427275907,0.6189713919086381,4731.078096453468,4724.482000000001,4717.885903546534,0.9902899802654697,121.53684351466873,10.0,3.0,0.0,4721.228920967496,5.305178434480818,4724.97484375,1.3445312500007276,0.02845583933169967,,15.466628689061585,,rising,16474.744,8.0,6.800153395266733,15.0,5.0,0.0,5.0,0.9902899802654697,62.35429593502777,121.53684351466873,0.6189713919086381,5.305178434480818,4724.97484375,,15.466628689061585,,3.0,0.0,rising,16474.744,1.3445312500007276,0.02845583933169967,5.0399999999999405,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.2}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
HIFIUSDT,Buy,41,0.49605,0.49962156,0.4811685,Bullish,2025-09-13T10:08:14.830462+00:00,2025-09-13T15:38:14.830462+05:30,Success,1,1.0,,5.04%,38.61488814499564,-0.017620567974137136,-0.0148201674875084,-0.0028004004866287353,0.5877507487253613,0.5317350000000001,0.4757192512746388,0.1814735068975021,-90.39428723195577,10.0,3.0,0.0,0.5416009707200655,0.025034299270098412,0.48521796875,-0.007220312499999992,-1.4880554647637403,,-21.351346066188473,,falling,-64556766.0,18.0,0.0,8.0,10.0,0.0,5.0,0.1814735068975021,38.61488814499564,-90.39428723195577,-0.0028004004866287353,0.025034299270098412,0.48521796875,,-21.351346066188473,,3.0,0.0,falling,-64556766.0,-0.007220312499999992,-1.4880554647637403,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
AVAXUSDT,Strong Buy,67,30.332,30.5503904,29.42204,Bullish,2025-09-13T10:08:21.506887+00:00,2025-09-13T15:38:21.506887+05:30,Fail,400,,400.0,5.04%,27.46971803855942,-0.10859195828838608,-0.05612100363598965,-0.05247095465239643,31.170564315097927,30.767500000000002,30.364435684902077,-0.04023636388425458,-198.6112439809917,10.0,3.0,0.0,30.714957936945297,0.12080239989835506,30.580796875,-0.056906250000000824,-0.18608491542129188,,-25.4213536873714,,falling,-853595.0,32.0,0.0,8.0,10.0,12.0,5.0,-0.04023636388425458,27.46971803855942,-198.6112439809917,-0.05247095465239643,0.12080239989835506,30.580796875,,-25.4213536873714,,3.0,0.0,falling,-853595.0,-0.056906250000000824,-0.18608491542129188,5.0400000000000125,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,not_in_gap_or_already_strong,67.0,Buy,67,1.0,,,,,,,,,,,
ADAUSDT,Buy,42,0.9485,0.9553292,0.920045,Bullish,2025-09-13T10:08:24.777631+00:00,2025-09-13T15:38:24.777631+05:30,Fail,421,,421.0,5.04%,68.0266138939711,0.0050934642979970635,0.004469120533306379,0.0006243437646906843,0.95420270379782,0.9414149999999999,0.9286272962021798,0.7770239329913112,105.54142021610853,10.0,3.0,0.0,0.9355170251406059,0.003325354914950219,0.9486328125000001,0.0004765625000001661,0.050236771669772494,,50.563168196213226,,rising,56543006.0,8.0,8.506060476495255,15.0,5.0,0.0,5.0,0.7770239329913112,68.0266138939711,105.54142021610853,0.0006243437646906843,0.003325354914950219,0.9486328125000001,,50.563168196213226,,3.0,0.0,rising,56543006.0,0.0004765625000001661,0.050236771669772494,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.49}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
ENAUSDT,Buy,41,0.7733,0.77886776,0.750101,Bullish,2025-09-13T10:08:26.413119+00:00,2025-09-13T15:38:26.413119+05:30,Fail,224,,224.0,5.04%,67.21476008184638,0.0027536029477643886,0.002368550413313691,0.00038505253445069755,0.7759314175171901,0.769505,0.7630785824828099,0.7952655962555117,114.58840720895776,10.0,3.0,0.0,0.7673080883876293,0.0023208334553791957,0.774446875,0.000754687499999962,0.09744858225426528,,39.821096386691686,,rising,19827810.0,8.0,7.981871601082565,15.0,5.0,0.0,5.0,0.7952655962555117,67.21476008184638,114.58840720895776,0.00038505253445069755,0.0023208334553791957,0.774446875,,39.821096386691686,,3.0,0.0,rising,19827810.0,0.000754687499999962,0.09744858225426528,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.02}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
UBUSDT,Strong Buy,67,0.044831,0.04515378,0.04348607,Bullish,2025-09-13T10:08:29.730073+00:00,2025-09-13T15:38:29.730073+05:30,Fail,1,,1.0,5.04%,89.13460405342822,0.002620609484193681,0.0017570616902454726,0.0008635477939482085,0.0407690812305572,0.034618499999999996,0.028467918769442796,1.3302060908701163,311.09855956273526,10.0,3.0,0.0,0.03177505416976234,0.0019913923906730584,0.0363540625,0.001362843750000002,3.748807303172794,,54.359444325595895,,rising,1908738218.0,8.0,19.407364792506932,15.0,5.0,0.0,5.0,1.3302060908701163,89.13460405342822,311.09855956273526,0.0008635477939482085,0.0019913923906730584,0.0363540625,,54.359444325595895,,3.0,0.0,rising,1908738218.0,0.001362843750000002,3.748807303172794,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,67,,52.0,60.0,0.001362843750000002,3.748807303172794,True,60.0,67.0,0.8672803993755779,3.748807303172794,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
BNBUSDT,Buy,49,940.63,947.402536,912.4111,Bullish,2025-09-13T10:08:31.350361+00:00,2025-09-13T15:38:31.350361+05:30,Inconclusive,600,,,5.04%,93.8491117100067,3.273209472717099,2.165134393227705,1.1080750794893937,940.5009654687377,931.359,922.2170345312624,1.007057264201201,163.34554552765744,10.0,3.0,0.0,929.5397461092489,1.6557231304958746,937.3151562500001,1.7001562500000773,0.18138576322632435,,76.39366561340604,,rising,116390.07,8.0,16.0,15.0,5.0,0.0,5.0,1.007057264201201,93.8491117100067,163.34554552765744,1.1080750794893937,1.6557231304958746,937.3151562500001,,76.39366561340604,,3.0,0.0,rising,116390.07,1.7001562500000773,0.18138576322632435,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
HYPEUSDT,Buy,43,55.994,56.3971568,54.31418,Bullish,2025-09-13T10:08:43.077592+00:00,2025-09-13T15:38:43.077592+05:30,Success,102,102.0,,5.04%,78.99278122127143,0.1744730922990243,0.1433597814184127,0.03111331088061159,56.05553893110674,55.65045,55.24536106889326,0.9240426899118065,132.2479749779503,10.0,3.0,0.0,55.49326707583832,0.12009009408086217,55.930609374999996,0.057468749999991076,0.102750087371082,,52.30988611206693,,rising,287774.59,8.0,10.217993805816137,15.0,5.0,0.0,5.0,0.9240426899118065,78.99278122127143,132.2479749779503,0.03111331088061159,0.12009009408086217,55.930609374999996,,52.30988611206693,,3.0,0.0,rising,287774.59,0.057468749999991076,0.102750087371082,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.78}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
AVNTUSDT,Buy,47,0.44432,0.4475191,0.4309904,Bullish,2025-09-13T10:08:44.700376+00:00,2025-09-13T15:38:44.700376+05:30,Success,2,2.0,,5.04%,57.28313982404354,0.00024945430461570384,0.0005557440445906956,-0.0003062897399749917,0.4450911843342704,0.4395395000000001,0.43398781566572975,0.9305450123028489,128.90721358847117,10.0,3.0,0.0,0.4363031840548793,0.005963749830534758,0.43753609375,-0.0004759375000000232,-0.10877674020465271,,1.2947706071297023,,falling,-3094340.0,8.0,9.0,15.0,10.0,0.0,5.0,0.9305450123028489,57.28313982404354,128.90721358847117,-0.0003062897399749917,0.005963749830534758,0.43753609375,,1.2947706071297023,,3.0,0.0,falling,-3094340.0,-0.0004759375000000232,-0.10877674020465271,5.040000000000013,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,
ARIAUSDT,Buy,48,0.14526,0.14630587,0.1409022,Bullish,2025-09-13T10:08:46.376489+00:00,2025-09-13T15:38:46.376489+05:30,Success,5,5.0,,5.04%,62.880429459975254,0.00033008933947364927,-2.036430308570337e-05,0.00035045364255935265,0.14515174934460087,0.14271499999999998,0.1402782506553991,1.0222121031116678,168.98264813881462,10.0,3.0,0.0,0.14349979356613493,0.0014674969476950364,0.14357234375,0.0004403125000000119,0.30668336846734234,,7.4689351157105595,,rising,712170.0,8.0,14.731451390502208,15.0,5.0,0.0,5.0,1.0222121031116678,62.880429459975254,168.98264813881462,0.00035045364255935265,0.0014674969476950364,0.14357234375,,7.4689351157105595,,3.0,0.0,rising,712170.0,0.0004403125000000119,0.30668336846734234,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.27}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
