Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
AVAXUSDT,Buy,54,30.163,30.3801736,29.25811,Bullish,2025-09-13T10:37:10.955859+00:00,2025-09-13T16:07:10.955859+05:30,Success,61,61.0,,5.04%,25.573628031409072,-0.18124573682581158,-0.13504420627306954,-0.04620153055274204,31.083094218987135,30.551650000000002,30.02020578101287,0.13434544387299868,-114.07408457827854,10.0,0.0,3.0,30.60958121389602,0.11342116904489369,30.133078124999997,-0.0756875000000008,-0.2511774591564426,,-41.83911753203823,,falling,-943389.0,24.0,0.0,8.0,5.0,12.0,5.0,0.13434544387299868,25.573628031409072,-114.07408457827854,-0.04620153055274204,0.11342116904489369,30.133078124999997,,-41.83911753203823,,0.0,3.0,falling,-943389.0,-0.0756875000000008,-0.2511774591564426,5.039999999999973,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.0756875000000008,-0.2511774591564426,Buy,54,,,,,,,,,,
UBUSDT,Buy,46,0.049,0.0493528,0.04753,Bullish,2025-09-13T10:37:13.346920+00:00,2025-09-13T16:07:13.346920+05:30,Success,1,1.0,,5.04%,78.10776174552936,0.0049685082655196375,0.0037571775170956966,0.001211330748423941,0.05344651372115544,0.039282899999999996,0.025119286278844546,0.8430303943366545,111.36311651912241,10.0,3.0,0.0,0.0354166778429117,0.003062428257860728,0.050160390625,0.002348468750000006,4.681918782405826,,69.42573960769745,,rising,2530074293.0,8.0,13.493100087341444,15.0,5.0,0.0,5.0,0.8430303943366545,78.10776174552936,111.36311651912241,0.001211330748423941,0.003062428257860728,0.050160390625,,69.42573960769745,,3.0,0.0,rising,2530074293.0,0.002348468750000006,4.681918782405826,5.0400000000000045,,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.51}]}",False,not_in_gap_or_already_strong,,,Buy,46,46.0,,,,,,,,,
PUMPUSDT,Buy,48,0.006335,0.00638061,0.00614495,Bullish,2025-09-13T10:37:19.255355+00:00,2025-09-13T16:07:19.255355+05:30,Success,11,11.0,,5.04%,55.75869270500682,8.752773435650486e-06,3.917179143471632e-07,8.361055521303323e-06,0.006363952417768329,0.006292550000000001,0.006221147582231673,0.7972588416944979,106.81399631675905,10.0,3.0,0.0,0.006319692943540597,3.640251222067075e-05,0.00634978125,7.890624999999651e-06,0.1242660918437096,,6.991802254058134,,falling,-584661824.0,8.0,9.512403410370514,15.0,10.0,0.0,5.0,0.7972588416944979,55.75869270500682,106.81399631675905,8.361055521303323e-06,3.640251222067075e-05,0.00634978125,,6.991802254058134,,3.0,0.0,falling,-584661824.0,7.890624999999651e-06,0.1242660918437096,5.040000000000047,,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.49}]}",False,not_in_gap_or_already_strong,,,Buy,48,48.0,,,,,,,,,
ARIAUSDT,Buy,44,0.14797,0.14903538,0.1435309,Bullish,2025-09-13T10:37:28.695543+00:00,2025-09-13T16:07:28.695543+05:30,Success,13,13.0,,5.04%,63.94812706821868,0.0015186659109900358,0.0009385744779167274,0.0005800914330733084,0.1499679883141887,0.14439950000000001,0.13883101168581133,0.8205986794389268,106.82838437093018,10.0,3.0,0.0,0.14450661334685622,0.0018934688097908062,0.148355625,0.0009512499999999868,0.6411957753539759,,27.93118280626755,,rising,5767850.0,8.0,11.352745565055043,15.0,5.0,0.0,5.0,0.8205986794389268,63.94812706821868,106.82838437093018,0.0005800914330733084,0.0018934688097908062,0.148355625,,27.93118280626755,,3.0,0.0,rising,5767850.0,0.0009512499999999868,0.6411957753539759,5.0400000000000125,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.65}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0,,,,,,,,,
NAORISUSDT,Buy,44,0.08193,0.0825199,0.0794721,Bullish,2025-09-13T10:37:29.860417+00:00,2025-09-13T16:07:29.860417+05:30,Fail,37,,37.0,5.04%,62.39650811775068,0.00040718241111516174,2.8434713716541738e-05,0.00037874769739862,0.08229253724034374,0.079694,0.07709546275965626,0.9302420541227681,161.4100406926096,10.0,3.0,0.0,0.08040716894438377,0.0013196535942759395,0.08100515625,0.00037812499999999305,0.4667912729320771,,9.664146066771414,,rising,8421973.0,8.0,10.88812941289665,15.0,5.0,0.0,5.0,0.9302420541227681,62.39650811775068,161.4100406926096,0.00037874769739862,0.0013196535942759395,0.08100515625,,9.664146066771414,,3.0,0.0,rising,8421973.0,0.00037812499999999305,0.4667912729320771,5.040000000000054,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.11}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0,,,,,,,,,
FARTCOINUSDT,Strong Buy,65,0.9401,0.94686872,0.911897,Bullish,2025-09-13T10:37:33.442137+00:00,2025-09-13T16:07:33.442137+05:30,Success,128,128.0,,5.04%,74.8921773093171,0.008167195028545904,0.006547810446870893,0.0016193845816750109,0.9431535803238698,0.922475,0.9017964196761303,0.9261656197852012,146.85314685314702,10.0,3.0,0.0,0.9148994256778434,0.005081665556792739,0.9339359375,0.0021375000000000144,0.22887008778372597,,49.42346949192423,,rising,13329283.7,8.0,16.648128261461153,15.0,5.0,0.0,5.0,0.9261656197852012,74.8921773093171,146.85314685314702,0.0016193845816750109,0.005081665556792739,0.9339359375,,49.42346949192423,,3.0,0.0,rising,13329283.7,0.0021375000000000144,0.22887008778372597,5.039999999999963,,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,0.0021375000000000144,0.22887008778372597,Buy,65,,50.0,58.0,True,58.0,65.0,0.6373440217884293,0.22887008778372597,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
1000BONKUSDT,Buy,43,0.026948,0.02714203,0.02613956,Bullish,2025-09-13T10:37:36.972311+00:00,2025-09-13T16:07:36.972311+05:30,Success,155,155.0,,5.04%,72.29979375880747,0.00014946943307484611,0.0001450328072734586,4.436625801387513e-06,0.026923003941362624,0.026680699999999995,0.026438396058637365,1.0515799670793773,200.3117692907279,10.0,3.0,0.0,0.026412630977810554,0.00012939431731390162,0.02670028125,4.640624999996401e-06,0.017380434897090836,,34.468510256670584,,rising,661689047.0,8.0,9.822903365802299,15.0,5.0,0.0,5.0,1.0515799670793773,72.29979375880747,200.3117692907279,4.436625801387513e-06,0.00012939431731390162,0.02670028125,,34.468510256670584,,3.0,0.0,rising,661689047.0,4.640624999996401e-06,0.017380434897090836,5.04000000000004,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.18}]}",False,not_in_gap_or_already_strong,,,Buy,43,43.0,,,,,,,,,
HOLOUSDT,Buy,42,0.416,0.4189952,0.40352,Bullish,2025-09-13T10:37:39.356754+00:00,2025-09-13T16:07:39.356754+05:30,Success,81,81.0,,5.04%,61.22082494971838,0.0011037062361629602,0.0006789491724882629,0.00042475706367469724,0.4176376991923687,0.41332,0.40900230080763134,0.8103504760980946,107.78138321562558,10.0,3.0,0.0,0.4129097569779623,0.0019858592791133648,0.41582031249999996,0.0009015624999999527,0.2168154062940234,,16.661900422248543,,rising,1502833.0,8.0,9.133379608218851,15.0,5.0,0.0,5.0,0.8103504760980946,61.22082494971838,107.78138321562558,0.00042475706367469724,0.0019858592791133648,0.41582031249999996,,16.661900422248543,,3.0,0.0,rising,1502833.0,0.0009015624999999527,0.2168154062940234,5.039999999999959,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.87}]}",False,not_in_gap_or_already_strong,,,Buy,42,42.0,,,,,,,,,
DOTUSDT,Buy,45,4.555,4.587796,4.41835,Bullish,2025-09-13T10:37:44.080967+00:00,2025-09-13T16:07:44.080967+05:30,Success,13,13.0,,5.04%,75.86775092069863,0.013271835398163567,0.01106480355778662,0.0022070318403769468,4.539645342747071,4.5135000000000005,4.48735465725293,1.2936403894465938,308.3978217254144,10.0,3.0,0.0,4.4862465558537625,0.015759794108544785,4.521671875,0.005703125000000142,0.12612867889712015,,30.18387237723473,,rising,2136484.0,8.0,12.36100610225153,15.0,5.0,0.0,5.0,1.2936403894465938,75.86775092069863,308.3978217254144,0.0022070318403769468,0.015759794108544785,4.521671875,,30.18387237723473,,3.0,0.0,rising,2136484.0,0.005703125000000142,0.12612867889712015,5.040000000000042,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.64}]}",False,not_in_gap_or_already_strong,,,Buy,45,45.0,,,,,,,,,
MUSDT,Buy,43,2.3214,2.33811408,2.251758,Bullish,2025-09-13T10:37:47.661852+00:00,2025-09-13T16:07:47.661852+05:30,Success,39,39.0,,5.04%,70.12578036497958,0.011962518686338353,0.006466941265893436,0.0054955774204449165,2.3200517385484893,2.279065,2.238078261451511,1.0164475327783855,180.9518804631537,10.0,3.0,0.0,2.269275316834433,0.02056179158581684,2.2773640625000002,0.010721875000000214,0.47080197569422266,,20.61291995670498,,rising,1010086.0,8.0,10.41451196216073,15.0,5.0,0.0,5.0,1.0164475327783855,70.12578036497958,180.9518804631537,0.0054955774204449165,0.02056179158581684,2.2773640625000002,,20.61291995670498,,3.0,0.0,rising,1010086.0,0.010721875000000214,0.47080197569422266,5.039999999999956,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.59}]}",False,not_in_gap_or_already_strong,,,Buy,43,43.0,,,,,,,,,
