Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
ETHUSDT,Sell,41,4707.04,4673.149312,4848.2512,Bullish,2025-09-13T11:21:28.079331+00:00,2025-09-13T16:51:28.079331+05:30,Success,150,150.0,,5.04%,34.87132813447492,-3.5404374404170085,-1.8785451094507901,-1.6618923309662184,4738.063378757695,4720.1055,4702.147621242304,0.13621816985481583,-108.92777801665616,5.0,0.0,3.0,4718.951205487169,5.378986320385275,4708.1253125,-0.4789062500003638,-0.010171909586367107,,-16.41514367549986,,falling,-22600.831,8.0,16.415043200989665,7.0,5.0,0.0,5.0,0.13621816985481583,34.87132813447492,-108.92777801665616,-1.6618923309662184,5.378986320385275,4708.1253125,,-16.41514367549986,,0.0,3.0,falling,-22600.831,-0.4789062500003638,-0.010171909586367107,5.040000000000061,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,,,
BTCUSDT,Sell,41,115831.1,114997.11608,119306.033,Bullish,2025-09-13T11:21:29.284664+00:00,2025-09-13T16:51:29.284664+05:30,Inconclusive,600,,,5.04%,42.04846760765031,-8.909239214364788,13.753666234811744,-22.662905449176534,116098.94389356932,115938.73499999999,115778.52610643065,0.16407919809582797,-107.30745030014334,5.0,0.0,3.0,115869.97367549707,45.749697350291235,115841.6359375,-27.73281249999127,-0.023940280431600555,,-3.251341037642963,,falling,-41.749000000000095,8.0,15.888815932828775,7.0,5.0,0.0,5.0,0.16407919809582797,42.04846760765031,-107.30745030014334,-22.662905449176534,45.749697350291235,115841.6359375,,-3.251341037642963,,0.0,3.0,falling,-41.749000000000095,-27.73281249999127,-0.023940280431600555,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,,,
XRPUSDT,Buy,41,3.1561,3.17882392,3.061417,Bullish,2025-09-13T11:21:35.243950+00:00,2025-09-13T16:51:35.243950+05:30,Success,55,55.0,,5.04%,47.22169325627675,0.0012692915207535016,0.004595936144249598,-0.003326644623496096,3.182925023134714,3.166545,3.150164976865286,0.18116650647872717,-119.34758251438993,5.0,3.0,0.0,3.149709431546614,0.0077094417147293695,3.1557187499999997,-0.001896874999999909,-0.06010912727884604,,4.671080983781947,,rising,305302.30000000197,12.0,4.0,15.0,5.0,0.0,5.0,0.18116650647872717,47.22169325627675,-119.34758251438993,-0.003326644623496096,0.0077094417147293695,3.1557187499999997,,4.671080983781947,,3.0,0.0,rising,305302.30000000197,-0.001896874999999909,-0.06010912727884604,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
ADAUSDT,Buy,51,0.9402,0.94696944,0.911994,Bullish,2025-09-13T11:21:42.404160+00:00,2025-09-13T16:51:42.404160+05:30,Success,34,34.0,,5.04%,44.96234025821997,-2.191326272382721e-05,0.001479445832938526,-0.0015013590956623531,0.9545131241540937,0.9456300000000001,0.9367468758459064,0.19436428525555863,-110.54698725931252,5.0,3.0,0.0,0.9392918438627026,0.0026416570287038223,0.9394359375,-0.0012265624999999725,-0.1305637192530728,,0.4161390219850564,,falling,-17349303.0,12.0,9.0,15.0,10.0,0.0,5.0,0.19436428525555863,44.96234025821997,-110.54698725931252,-0.0015013590956623531,0.0026416570287038223,0.9394359375,,0.4161390219850564,,3.0,0.0,falling,-17349303.0,-0.0012265624999999725,-0.1305637192530728,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 14, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,hma_not_aligned,,Buy,51,-0.0012265624999999725,-0.1305637192530728,,,,,,,,,,
SUIUSDT,Buy,46,3.7871,3.81436712,3.673487,Bullish,2025-09-13T11:21:44.785572+00:00,2025-09-13T16:51:44.785572+05:30,Success,29,29.0,,5.04%,44.290267931361235,0.0013426759642132247,0.005790674862019821,-0.004447998897806596,3.8236285436835487,3.80366,3.783691456316451,0.0853478285038205,-143.3665207003425,5.0,3.0,0.0,3.7823909314542004,0.010611781728061037,3.7918312500000004,-0.002874999999999517,-0.07582088469784927,,3.6713015238605733,,falling,-2980250.8000000003,12.0,4.0,15.0,10.0,0.0,5.0,0.0853478285038205,44.290267931361235,-143.3665207003425,-0.004447998897806596,0.010611781728061037,3.7918312500000004,,3.6713015238605733,,3.0,0.0,falling,-2980250.8000000003,-0.002874999999999517,-0.07582088469784927,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
LINKUSDT,Sell,40,25.151,24.9699128,25.90553,Bullish,2025-09-13T11:21:47.198359+00:00,2025-09-13T16:51:47.198359+05:30,Success,150,150.0,,5.04%,31.277992513002445,-0.06644080830196586,-0.03731547799194759,-0.029125330310018266,25.618072596554796,25.3429,25.067727403445204,0.1513097553996686,-112.58767072720707,5.0,0.0,3.0,25.3117821916209,0.06350405789864465,25.133890625,-0.019625000000001336,-0.07808182303650546,,-27.134849320086424,,falling,-820013.4999999999,8.0,15.00729544804974,7.0,5.0,0.0,5.0,0.1513097553996686,31.277992513002445,-112.58767072720707,-0.029125330310018266,0.06350405789864465,25.133890625,,-27.134849320086424,,0.0,3.0,falling,-820013.4999999999,-0.019625000000001336,-0.07808182303650546,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,,,
HYPEUSDT,Buy,42,55.681,56.0819032,54.01057,Bullish,2025-09-13T11:21:54.334349+00:00,2025-09-13T16:51:54.334349+05:30,Success,12,12.0,,5.04%,42.65981870021164,0.04062837844796263,0.09714246120088992,-0.05651408275292728,56.17869580308622,55.9319,55.68510419691378,-0.008314964967912203,-199.62028749660607,5.0,3.0,0.0,55.68225848456246,0.12565082346327736,55.845890625,-0.03945312500000142,-0.07064642457745998,,9.862035603703767,,rising,106183.83000000002,20.0,4.0,8.0,5.0,0.0,5.0,-0.008314964967912203,42.65981870021164,-199.62028749660607,-0.05651408275292728,0.12565082346327736,55.845890625,,9.862035603703767,,3.0,0.0,rising,106183.83000000002,-0.03945312500000142,-0.07064642457745998,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
PUMPBTCUSDT,Buy,46,0.09246,0.09312571,0.0896862,Bullish,2025-09-13T11:21:57.896069+00:00,2025-09-13T16:51:57.896069+05:30,Success,1,1.0,,5.04%,55.80564184662416,-0.00017120496873844482,-0.0004006211349605198,0.00022941616622207498,0.09263529629817732,0.091099,0.08956270370182268,0.9429484083294041,123.33672584718504,5.0,3.0,0.0,0.09234894295777137,0.0015781711627446894,0.09059468749999999,7.062500000000471e-05,0.07795710979190112,,-3.501765997541522,,falling,-1558537.0,8.0,8.48884083001112,15.0,10.0,0.0,5.0,0.9429484083294041,55.80564184662416,123.33672584718504,0.00022941616622207498,0.0015781711627446894,0.09059468749999999,,-3.501765997541522,,3.0,0.0,falling,-1558537.0,7.062500000000471e-05,0.07795710979190112,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.51}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
SOMIUSDT,Buy,49,1.0938,1.10167536,1.060986,Bullish,2025-09-13T11:22:02.884887+00:00,2025-09-13T16:52:02.884887+05:30,Success,2,2.0,,5.04%,80.48442636794773,0.013015598047995347,0.005077420419203086,0.00793817762879226,1.086469683608485,1.036775,0.9870803163915151,1.07375352713045,197.97869600133376,5.0,3.0,0.0,1.0355866808750354,0.012967070350307246,1.0624281249999998,0.011396874999999973,1.0727196251511109,,33.479845195086725,,rising,11184903.0,8.0,16.0,15.0,5.0,0.0,5.0,1.07375352713045,80.48442636794773,197.97869600133376,0.00793817762879226,0.012967070350307246,1.0624281249999998,,33.479845195086725,,3.0,0.0,rising,11184903.0,0.011396874999999973,1.0727196251511109,5.040000000000069,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
1000SHIBUSDT,Buy,40,0.014457,0.01456109,0.01402329,Bullish,2025-09-13T11:22:07.829551+00:00,2025-09-13T16:52:07.829551+05:30,Success,44,44.0,,5.04%,47.31603857292224,2.3635415678952346e-05,6.270039460292634e-05,-3.906497892397399e-05,0.014800638504878786,0.014580899999999999,0.014361161495121212,0.21807398965341568,-92.09568290387314,5.0,3.0,0.0,0.014396167103352708,6.413524269270051e-05,0.014443859375000001,-4.493749999999984e-05,-0.3111183710205558,,8.581619007778647,,rising,148071315.0,6.0,9.0,15.0,5.0,0.0,5.0,0.21807398965341568,47.31603857292224,-92.09568290387314,-3.906497892397399e-05,6.413524269270051e-05,0.014443859375000001,,8.581619007778647,,3.0,0.0,rising,148071315.0,-4.493749999999984e-05,-0.3111183710205558,5.039999999999977,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
