Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__reason
HIFIUSDT,Strong Buy,66,0.5178,0.52152816,0.502266,Bullish,2025-09-13T19:46:42.563807+00:00,2025-09-14T01:16:42.563807+05:30,Success,1,1.0,,5.04%,76.78281705669603,0.006310216366391952,0.0009198145058710227,0.005390401860520929,0.4944140477442902,0.46201499999999995,0.4296159522557097,1.3609049321492972,298.5242822645559,10.0,3.0,0.0,0.4638249578372956,0.013771587792284982,0.46549828125,0.006993124999999989,1.502288038791763,,16.13536046794363,,rising,3178931.0,8.0,18.393952723808418,15.0,5.0,0.0,5.0,1.3609049321492972,76.78281705669603,298.5242822645559,0.005390401860520929,0.013771587792284982,0.46549828125,,16.13536046794363,,3.0,0.0,rising,3178931.0,0.006993124999999989,1.502288038791763,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,51.0,59.0,0.006993124999999989,1.502288038791763,True,59.0,66.0,0.7828293936507017,1.502288038791763,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,66,,,
SOMIUSDT,Buy,46,1.4573,1.46779256,1.413581,Bullish,2025-09-13T19:46:46.480147+00:00,2025-09-14T01:16:46.480147+05:30,Success,12,12.0,,5.04%,61.21836511150756,0.0009635972059267583,-0.00265456658042455,0.0036181637863513085,1.4707288791565356,1.424165,1.3776011208434642,0.8558015418840949,109.78721634539735,10.0,3.0,0.0,1.4101763019464972,0.02268911017994199,1.3945593749999998,0.006071875000000171,0.435397381341341,,0.8112587677354418,,rising,2575958.0,8.0,12.827207421699487,15.0,5.0,0.0,5.0,0.8558015418840949,61.21836511150756,109.78721634539735,0.0036181637863513085,0.02268911017994199,1.3945593749999998,,0.8112587677354418,,3.0,0.0,rising,2575958.0,0.006071875000000171,0.435397381341341,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.17}]}",False,,,,,,,,,,,,Buy,46,not_in_gap_or_already_strong,46.0,
WLFIUSDT,Buy,41,0.2135,0.2150372,0.207095,Bullish,2025-09-13T19:46:52.264176+00:00,2025-09-14T01:16:52.264176+05:30,Success,147,147.0,,5.04%,57.29963614766618,0.0005046550132071226,0.00039702949382910746,0.00010762551937801512,0.2147717520416921,0.212525,0.21027824795830788,0.7169798851647409,75.11737089202082,10.0,3.0,0.0,0.21245765145674078,0.0010067814475006442,0.213834375,1.8749999999984057e-05,0.008768468586953833,,13.969900468370275,,rising,12650655.0,4.0,11.565613889175992,15.0,5.0,0.0,5.0,0.7169798851647409,57.29963614766618,75.11737089202082,0.00010762551937801512,0.0010067814475006442,0.213834375,,13.969900468370275,,3.0,0.0,rising,12650655.0,1.8749999999984057e-05,0.008768468586953833,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.43}]}",False,,,,,,,,,,,,Buy,41,not_in_gap_or_already_strong,41.0,
MOODENGUSDT,Buy,46,0.21986,0.22144299,0.2132642,Bullish,2025-09-13T19:46:56.733558+00:00,2025-09-14T01:16:56.733558+05:30,Success,2,2.0,,5.04%,58.5476766082863,0.0004099786271791195,5.4144799770518524e-05,0.00035583382740860095,0.22063759138914313,0.2172325,0.21382740861085686,0.8858193069909346,130.08168394596333,10.0,3.0,0.0,0.21773773412954783,0.0020223613133172605,0.2177278125,0.00012468749999999806,0.05726760332927061,,5.059274098258296,,rising,3110283.0,8.0,13.222792337635415,15.0,5.0,0.0,5.0,0.8858193069909346,58.5476766082863,130.08168394596333,0.00035583382740860095,0.0020223613133172605,0.2177278125,,5.059274098258296,,3.0,0.0,rising,3110283.0,0.00012468749999999806,0.05726760332927061,5.040000000000017,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.78}]}",False,,,,,,,,,,,,Buy,46,not_in_gap_or_already_strong,46.0,
FUSDT,Buy,45,0.02262,0.02278286,0.0219414,Bullish,2025-09-13T19:46:58.617564+00:00,2025-09-14T01:16:58.617564+05:30,Success,1,1.0,,5.04%,73.42067949005931,0.0007592222073438855,0.000667198845805073,9.202336153881245e-05,0.022240036832651862,0.0206929,0.01914576316734814,1.1227955922608557,237.1962241413943,10.0,3.0,0.0,0.019303634837646584,0.000786321115381378,0.021218015625,9.873437499999943e-05,0.46533274715693135,,33.37395665583005,,rising,1507396495.0,8.0,11.808726147281842,15.0,5.0,0.0,5.0,1.1227955922608557,73.42067949005931,237.1962241413943,9.202336153881245e-05,0.000786321115381378,0.021218015625,,33.37395665583005,,3.0,0.0,rising,1507396495.0,9.873437499999943e-05,0.46533274715693135,5.039999999999958,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.19}]}",False,,,,,,,,,,,,Buy,45,not_in_gap_or_already_strong,45.0,
LINEAUSDT,Buy,40,0.02598,0.02616706,0.0252006,Bullish,2025-09-13T19:47:00.397906+00:00,2025-09-14T01:17:00.397906+05:30,Success,43,43.0,,5.04%,54.78619204336081,-2.2223139552354082e-05,-9.594917894542387e-05,7.372603939306978e-05,0.02603730664650291,0.025632499999999996,0.02522769335349708,0.9292172608849474,165.83822864889177,10.0,0.0,3.0,0.02583923475163878,0.00024600426024070005,0.02584453125,8.703125000000117e-05,0.3367491913787416,,-2.9062813420180933,,falling,-156351249.0,8.0,7.192659768178004,15.0,5.0,0.0,5.0,0.9292172608849474,54.78619204336081,165.83822864889177,7.372603939306978e-05,0.00024600426024070005,0.02584453125,,-2.9062813420180933,,0.0,3.0,falling,-156351249.0,8.703125000000117e-05,0.3367491913787416,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.81}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0,
BAKEUSDT,Buy,46,0.1296,0.13053312,0.125712,Bullish,2025-09-13T19:47:01.270944+00:00,2025-09-14T01:17:01.270944+05:30,Fail,22,,22.0,5.04%,64.18342250507982,0.0007844724273093073,0.00042941635530717817,0.00035505607200212916,0.12876190411431557,0.125235,0.12170809588568446,1.118814668406015,215.09009009008912,10.0,3.0,0.0,0.12461271092330993,0.0021667897485252606,0.12675312499999997,0.0006281249999999794,0.49554991247748686,,9.974613648650795,,rising,5697956.0,8.0,12.932705392320974,15.0,5.0,0.0,5.0,1.118814668406015,64.18342250507982,215.09009009008912,0.00035505607200212916,0.0021667897485252606,0.12675312499999997,,9.974613648650795,,3.0,0.0,rising,5697956.0,0.0006281249999999794,0.49554991247748686,5.0400000000000515,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.07}]}",False,,,,,,,,,,,,Buy,46,not_in_gap_or_already_strong,46.0,
AVNTUSDT,Buy,40,0.5872,0.59142784,0.569584,Bullish,2025-09-13T19:47:07.905859+00:00,2025-09-14T01:17:07.905859+05:30,Success,2,2.0,,5.04%,76.8133393891846,0.024549232156529155,0.022650942289664668,0.0018982898668644874,0.5881754500671619,0.545132,0.502088549932838,0.9886690069494918,166.7151559524614,10.0,3.0,0.0,0.5059078521942985,0.017115742469098087,0.5722221874999999,0.0038082812499998786,0.6655249190245492,,46.45671502433138,,rising,15924245.0,8.0,6.661815979470531,15.0,5.0,0.0,5.0,0.9886690069494918,76.8133393891846,166.7151559524614,0.0018982898668644874,0.017115742469098087,0.5722221874999999,,46.45671502433138,,3.0,0.0,rising,15924245.0,0.0038082812499998786,0.6655249190245492,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.34}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0,
HUSDT,Buy,58,0.08218,0.0827717,0.0797146,Bullish,2025-09-13T19:47:11.826259+00:00,2025-09-14T01:17:11.826259+05:30,Success,12,12.0,,5.04%,67.21657399272715,0.002485580057462994,0.00211316398980642,0.0003724160676565739,0.08460480999181953,0.077058,0.06951119000818047,0.8393486788160868,107.94777538344523,10.0,3.0,0.0,0.07328216281398155,0.0026946973256243333,0.08223390625,0.001258593749999995,1.5305046390156067,,27.33450682189746,,falling,-90464470.0,8.0,12.31687924234197,15.0,10.0,0.0,5.0,0.8393486788160868,67.21657399272715,107.94777538344523,0.0003724160676565739,0.0026946973256243333,0.08223390625,,27.33450682189746,,3.0,0.0,falling,-90464470.0,0.001258593749999995,1.5305046390156067,5.040000000000022,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.68}]}",True,50.0,58.0,0.001258593749999995,1.5305046390156067,False,,,0.27640660352849755,1.5305046390156067,True,,Buy,58,,,conditions_not_met
OPENUSDT,Buy,40,0.9632,0.97013504,0.934304,Bullish,2025-09-13T19:47:13.616576+00:00,2025-09-14T01:17:13.616576+05:30,Success,13,13.0,,5.04%,54.67499604115289,-0.0009121802530732692,-0.0012331785777155864,0.0003209983246423172,0.9684318200053953,0.9574,0.9463681799946048,0.7628759351205578,95.99381168045228,10.0,3.0,0.0,0.9571343973794512,0.008070609016887498,0.9511562499999999,-0.0012140625000000016,-0.12764070046325213,,-2.672152052600638,,falling,-771910.0,4.0,5.954569819364972,15.0,10.0,0.0,5.0,0.7628759351205578,54.67499604115289,95.99381168045228,0.0003209983246423172,0.008070609016887498,0.9511562499999999,,-2.672152052600638,,3.0,0.0,falling,-771910.0,-0.0012140625000000016,-0.12764070046325213,5.040000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.05}]}",False,,,,,,,,,,,,Buy,40,not_in_gap_or_already_strong,40.0,
