Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
BTCUSDT,Sell,46,115650.0,114817.32,119119.5,Bearish,2025-09-14T03:13:02.722084+00:00,2025-09-14T08:43:02.722084+05:30,Inconclusive,600,,,5.04%,33.00728565300301,-43.55503211324685,-14.496467179275822,-29.05856493397103,116086.32365634067,115859.10499999998,115631.8863436593,0.03985952701336752,-145.21461924621187,-10.0,0.0,3.0,115834.6805849369,75.48367912764809,115715.053125,-50.10000000000582,-0.04329600915957391,,-15.100656827398637,,falling,-410.18699999999984,8.0,13.239156947238145,15.0,5.0,0.0,5.0,0.03985952701336752,33.00728565300301,-145.21461924621187,-29.05856493397103,75.48367912764809,115715.053125,,-15.100656827398637,,0.0,3.0,falling,-410.18699999999984,-50.10000000000582,-0.04329600915957391,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.76}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,
1000PEPEUSDT,Sell,41,0.0118003,0.01171534,0.01215431,Bearish,2025-09-14T03:13:07.468131+00:00,2025-09-14T08:43:07.468131+05:30,Success,44,44.0,,5.04%,41.6291929985275,-1.2723642660236734e-06,5.140233618848207e-06,-6.41259788487188e-06,0.01196147689896042,0.01185196,0.01174244310103958,0.2641459880147345,-73.42309261525949,-10.0,0.0,3.0,0.011859785637016304,4.435383025371612e-05,0.011860460937500001,-2.6368750000000177e-05,-0.222324833233322,,-0.45949338582693783,,rising,399266021.0,4.0,12.469877310630476,15.0,5.0,0.0,5.0,0.2641459880147345,41.6291929985275,-73.42309261525949,-6.41259788487188e-06,4.435383025371612e-05,0.011860460937500001,,-0.45949338582693783,,0.0,3.0,rising,399266021.0,-2.6368750000000177e-05,-0.222324833233322,5.040000000000017,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.53}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
SOMIUSDT,Sell,42,1.2533,1.24427624,1.290899,Bearish,2025-09-14T03:13:10.378757+00:00,2025-09-14T08:43:10.378757+05:30,Success,14,14.0,,5.04%,30.373417241783102,-0.01624316672893178,-0.016774718657774256,0.0005315519288424768,1.310479392054339,1.279215,1.247950607945661,0.08555087277951147,-130.25852161503497,-10.0,0.0,3.0,1.3121860593240877,0.014433737096433998,1.257646875,-0.001709375000000124,-0.1359185184633106,,-34.55972090459253,,falling,-2873833.0,8.0,9.0,15.0,5.0,0.0,5.0,0.08555087277951147,30.373417241783102,-130.25852161503497,0.0005315519288424768,0.014433737096433998,1.257646875,,-34.55972090459253,,0.0,3.0,falling,-2873833.0,-0.001709375000000124,-0.1359185184633106,5.040000000000026,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
WLFIUSDT,Sell,41,0.2188,0.21722464,0.225364,Bearish,2025-09-14T03:13:13.227497+00:00,2025-09-14T08:43:13.227497+05:30,Success,44,44.0,,5.04%,39.709676151655856,-0.000707417248045239,-0.000444410083079504,-0.00026300716496573497,0.22357765070934682,0.22114499999999998,0.21871234929065314,0.018015473616922933,-149.23162377337556,-10.0,3.0,0.0,0.2206370760168929,0.0016156662209826026,0.219640625,-0.00035624999999997464,-0.16219677029236948,,-10.680053486891572,,falling,-35498109.0,8.0,12.906853951145154,15.0,0.0,0.0,5.0,0.018015473616922933,39.709676151655856,-149.23162377337556,-0.00026300716496573497,0.0016156662209826026,0.219640625,,-10.680053486891572,,3.0,0.0,falling,-35498109.0,-0.00035624999999997464,-0.16219677029236948,5.039999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,
UBUSDT,Sell,42,0.04245,0.04214436,0.0437235,Bearish,2025-09-14T03:13:14.185596+00:00,2025-09-14T08:43:14.185596+05:30,Success,40,40.0,,5.04%,37.117205663979554,-0.00021522494883648852,2.136426841033051e-05,-0.00023658921724681903,0.04573842150688172,0.0442906,0.04284277849311828,-0.13564465345049162,-225.53064348452486,-10.0,3.0,0.0,0.04391751697888844,0.0011087280038250419,0.044081296874999995,-0.0002122031250000045,-0.481390385590838,,-6.081318883570041,,falling,-91621558.0,8.0,14.121311263298507,15.0,0.0,0.0,5.0,-0.13564465345049162,37.117205663979554,-225.53064348452486,-0.00023658921724681903,0.0011087280038250419,0.044081296874999995,,-6.081318883570041,,3.0,0.0,falling,-91621558.0,-0.0002122031250000045,-0.481390385590838,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,
FUSDT,Buy,59,0.020444,0.0205912,0.01983068,Bearish,2025-09-14T03:13:18.056317+00:00,2025-09-14T08:43:18.056317+05:30,Success,1,1.0,,5.04%,27.092352504210993,-0.0005341058758286527,-0.0002689713648720387,-0.000265134510956614,0.024751768906603223,0.02301345,0.02127513109339678,-0.23906174242241257,-307.82797494049123,-10.0,3.0,0.0,0.0231754428180175,0.0007879934993750681,0.022565265624999997,-0.0003179843750000001,-1.409176299027059,,-22.078723979966124,,falling,-315132606.0,32.0,0.0,0.0,10.0,12.0,5.0,-0.23906174242241257,27.092352504210993,-307.82797494049123,-0.000265134510956614,0.0007879934993750681,0.022565265624999997,,-22.078723979966124,,3.0,0.0,falling,-315132606.0,-0.0003179843750000001,-1.409176299027059,5.039999999999967,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,hma_not_aligned,,Buy,59,1.0,-0.0003179843750000001,-1.409176299027059,,
AVNTUSDT,Sell,48,0.71679,0.71162911,0.7382937,Bearish,2025-09-14T03:13:19.954030+00:00,2025-09-14T08:43:19.954030+05:30,Success,2,2.0,,5.04%,38.151084823668924,-0.012388462212018836,-0.006438315758833493,-0.005950146453185343,0.8215176893591498,0.7645615,0.7076053106408502,0.08062942291691742,-144.3406175655459,-10.0,0.0,3.0,0.750521274511823,0.025902742452167178,0.73222,-0.0028457812500000124,-0.3886511226134239,,-13.218692818706817,,falling,-16271679.0,8.0,14.513065465564264,15.0,5.0,0.0,5.0,0.08062942291691742,38.151084823668924,-144.3406175655459,-0.005950146453185343,0.025902742452167178,0.73222,,-13.218692818706817,,0.0,3.0,falling,-16271679.0,-0.0028457812500000124,-0.3886511226134239,5.040000000000029,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.49}]}",False,not_in_gap_or_already_strong,48.0,Sell,48,,,,,
ENAUSDT,Sell,47,0.7495,0.7441036,0.771985,Bearish,2025-09-14T03:13:20.901848+00:00,2025-09-14T08:43:20.901848+05:30,Success,44,44.0,,5.04%,33.44314237242949,-0.0015609158507184917,-0.001156729150569045,-0.0004041867001494466,0.759933118874809,0.75441,0.7488868811251911,0.05550476901786588,-133.1610804086217,-10.0,0.0,3.0,0.7562571251153386,0.0021232876489429464,0.7505171875,-0.0010000000000000009,-0.13324145224855374,,-18.73331212399287,,falling,-6302319.0,8.0,13.56861358771431,15.0,5.0,0.0,5.0,0.05550476901786588,33.44314237242949,-133.1610804086217,-0.0004041867001494466,0.0021232876489429464,0.7505171875,,-18.73331212399287,,0.0,3.0,falling,-6302319.0,-0.0010000000000000009,-0.13324145224855374,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.43}]}",False,not_in_gap_or_already_strong,47.0,Sell,47,,,,,
MOODENGUSDT,Sell,40,0.21644,0.21488163,0.2229332,Bearish,2025-09-14T03:13:22.872175+00:00,2025-09-14T08:43:22.872175+05:30,Success,8,8.0,,5.04%,45.45518855639853,0.00019534920071170858,0.00041595631308556923,-0.00022060711237386065,0.2215454426913317,0.218587,0.2156285573086683,0.1371401740701668,-112.27022780832995,-10.0,0.0,3.0,0.2179782747408656,0.002417376331085657,0.21814109375000001,-0.0005098437500000164,-0.2337220104820421,,2.3173861070131183,,rising,10261357.0,8.0,7.19021367458944,15.0,5.0,0.0,5.0,0.1371401740701668,45.45518855639853,-112.27022780832995,-0.00022060711237386065,0.002417376331085657,0.21814109375000001,,2.3173861070131183,,0.0,3.0,rising,10261357.0,-0.0005098437500000164,-0.2337220104820421,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.81}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,
WLDUSDT,Sell,45,1.6549,1.64298472,1.704547,Bearish,2025-09-14T03:13:24.752366+00:00,2025-09-14T08:43:24.752366+05:30,Success,3,3.0,,5.04%,74.8762398899084,0.003530576625762727,-0.0007554825815721007,0.004286059207334827,1.6433778307863869,1.621585,1.5997921692136132,1.2643568732890502,370.4899135446766,-10.0,3.0,0.0,1.625216366116028,0.009038111657516813,1.6211921875000002,0.0033484375000001343,0.20654167505973958,,13.287441901968943,,rising,8330869.0,32.0,0.0,8.0,0.0,0.0,5.0,1.2643568732890502,74.8762398899084,370.4899135446766,0.004286059207334827,0.009038111657516813,1.6211921875000002,,13.287441901968943,,3.0,0.0,rising,8330869.0,0.0033484375000001343,0.20654167505973958,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,
