Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ETHUSDT,Strong Sell,72,4652.05,4618.55524,4791.6115,Bearish,2025-09-14T04:11:51.647460+00:00,2025-09-14T09:41:51.647460+05:30,Success,520,520.0,,5.04%,29.747417794067474,-3.8678602979571224,-1.1430779749569089,-2.7247823230002135,4687.307325271739,4670.761,4654.214674728262,-0.06541255211389528,-209.28723459482413,-10.0,0.0,3.0,4667.943246677742,6.647017472673173,4662.11609375,-2.3984375000009095,-0.05144525472491425,,-17.957072042591644,,falling,-43082.563,8.0,18.83821330707378,15.0,5.0,12.0,5.0,-0.06541255211389528,29.747417794067474,-209.28723459482413,-2.7247823230002135,6.647017472673173,4662.11609375,,-17.957072042591644,,0.0,3.0,falling,-43082.563,-2.3984375000009095,-0.05144525472491425,5.039999999999938,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-2.3984375000009095,-0.05144525472491425,Sell,72,,,,,,,
BTCUSDT,Sell,41,115580.0,114747.824,119047.4,Bearish,2025-09-14T04:11:52.856306+00:00,2025-09-14T09:41:52.856306+05:30,Inconclusive,600,,,5.04%,31.12406721245749,-63.62399407904013,-53.59941241419159,-10.02458166484854,115834.35550919778,115695.1,115555.84449080224,0.08673089250443503,-140.12456233768148,-10.0,0.0,3.0,115765.50718737439,55.82039519877066,115629.42656250001,-11.5390625,-0.009979347682540747,,-27.625888838423414,,falling,-1552.444,8.0,8.310072673252293,15.0,5.0,0.0,5.0,0.08673089250443503,31.12406721245749,-140.12456233768148,-10.02458166484854,55.82039519877066,115629.42656250001,,-27.625888838423414,,0.0,3.0,falling,-1552.444,-11.5390625,-0.009979347682540747,5.040000000000041,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.69}]}",False,,,,,Sell,41,not_in_gap_or_already_strong,41.0,,,,,
DOGEUSDT,Sell,45,0.28611,0.28405001,0.2946933,Bearish,2025-09-14T04:11:55.240237+00:00,2025-09-14T09:41:55.240237+05:30,Success,7,7.0,,5.04%,37.757127305577676,-0.0007092518171813444,-0.00022151688110738643,-0.000487734936073958,0.29303519756117374,0.289177,0.2853188024388263,0.1025346095720652,-117.04834605598086,-10.0,0.0,3.0,0.28862805642956313,0.0015261904862575314,0.28684218750000007,-0.000307343750000022,-0.10714733166648366,,-11.960829415439596,,falling,-481128235.0,8.0,11.669841065828638,15.0,5.0,0.0,5.0,0.1025346095720652,37.757127305577676,-117.04834605598086,-0.000487734936073958,0.0015261904862575314,0.28684218750000007,,-11.960829415439596,,0.0,3.0,falling,-481128235.0,-0.000307343750000022,-0.10714733166648366,5.040000000000026,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.33}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0,,,,,
XRPUSDT,Sell,60,3.0871,3.06487288,3.179713,Bearish,2025-09-14T04:11:57.576089+00:00,2025-09-14T09:41:57.576089+05:30,Success,441,441.0,,5.04%,31.63177831380858,-0.005407814542766065,-0.0026778013706178676,-0.0027300131721481975,3.127188773672752,3.10749,3.087791226327248,-0.017544907584880618,-188.63441145068245,-10.0,0.0,3.0,3.108772444885318,0.0068828685556487695,3.0956359375,-0.0032343749999999005,-0.1044817628849452,,-19.36111664764355,,falling,-13411691.700000001,8.0,18.519332761016365,15.0,5.0,0.0,5.0,-0.017544907584880618,31.63177831380858,-188.63441145068245,-0.0027300131721481975,0.0068828685556487695,3.0956359375,,-19.36111664764355,,0.0,3.0,falling,-13411691.700000001,-0.0032343749999999005,-0.1044817628849452,5.040000000000035,,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,52.0,60.0,-0.0032343749999999005,-0.1044817628849452,Sell,60,,,False,0.7932777300846973,-0.1044817628849452,False,conditions_not_met
1000PEPEUSDT,Strong Sell,66,0.0116475,0.01156364,0.01199693,Bearish,2025-09-14T04:11:58.743480+00:00,2025-09-14T09:41:58.743480+05:30,Success,7,7.0,,5.04%,28.499311726219005,-4.213165083424321e-05,-2.4266989659196384e-05,-1.7864661175046825e-05,0.011927509107068591,0.011792535,0.011657560892931408,-0.037269714724972564,-199.42254499997733,-10.0,0.0,3.0,0.01181759804629107,4.6606140857775504e-05,0.011725993749999998,-1.8571874999999752e-05,-0.1583820987453601,,-24.705561616133,,falling,-1888955357.0,8.0,13.19947157842384,15.0,5.0,12.0,5.0,-0.037269714724972564,28.499311726219005,-199.42254499997733,-1.7864661175046825e-05,4.6606140857775504e-05,0.011725993749999998,,-24.705561616133,,0.0,3.0,falling,-1888955357.0,-1.8571874999999752e-05,-0.1583820987453601,5.040000000000031,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,58.0,66.0,-1.8571874999999752e-05,-0.1583820987453601,Sell,66,,,,,,,
SOMIUSDT,Sell,46,1.2136,1.20486208,1.250008,Bearish,2025-09-14T04:12:02.408641+00:00,2025-09-14T09:42:02.408641+05:30,Fail,20,,20.0,5.04%,29.26062522824033,-0.021419808272846952,-0.02056761282817885,-0.000852195444668101,1.2872608091264313,1.2415150000000001,1.195769190873569,0.19489008356099505,-98.20639079751129,-10.0,0.0,3.0,1.2788546711361748,0.014308179244631526,1.203040625,-0.004868749999999977,-0.40470370649370024,,-44.99550998380335,,falling,-13207718.0,4.0,5.4294404845192545,15.0,5.0,12.0,5.0,0.19489008356099505,29.26062522824033,-98.20639079751129,-0.000852195444668101,0.014308179244631526,1.203040625,,-44.99550998380335,,0.0,3.0,falling,-13207718.0,-0.004868749999999977,-0.40470370649370024,5.039999999999973,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 14.57}]}",False,,,,,Sell,46,not_in_gap_or_already_strong,46.0,,,,,
UBUSDT,Sell,40,0.042026,0.04172341,0.04328678,Bearish,2025-09-14T04:12:05.941223+00:00,2025-09-14T09:42:05.941223+05:30,Success,5,5.0,,5.04%,41.366698426772366,-0.0004894266660054811,-0.00041718832020737546,-7.223834579810561e-05,0.04495079391610547,0.043117699999999995,0.04128460608389452,0.20222474953182457,-97.1801055371166,-10.0,0.0,3.0,0.04339831856562611,0.0010432221743725293,0.04209709375,4.9999999999980616e-06,0.011877304475437955,,-15.562088630712829,,falling,-39500696.0,4.0,10.661889808081698,15.0,5.0,0.0,5.0,0.20222474953182457,41.366698426772366,-97.1801055371166,-7.223834579810561e-05,0.0010432221743725293,0.04209709375,,-15.562088630712829,,0.0,3.0,falling,-39500696.0,4.9999999999980616e-06,0.011877304475437955,5.0400000000000444,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.34}]}",False,,,,,Sell,40,not_in_gap_or_already_strong,40.0,,,,,
SUIUSDT,Strong Sell,65,3.7465,3.7195252,3.858895,Bearish,2025-09-14T04:12:07.137176+00:00,2025-09-14T09:42:07.137176+05:30,Success,465,465.0,,5.04%,26.4323700844664,-0.009311788605110838,-0.004674744172128169,-0.004637044432982669,3.8163326454332376,3.781205,3.7460773545667623,0.006015852016628243,-184.73361212187095,-10.0,0.0,3.0,3.7846884976087694,0.010337774943488979,3.7601953125,-0.005779687500000463,-0.15370710879796787,,-24.805451351101322,,falling,-5036244.0,8.0,19.76528237458652,15.0,5.0,12.0,5.0,0.006015852016628243,26.4323700844664,-184.73361212187095,-0.004637044432982669,0.010337774943488979,3.7601953125,,-24.805451351101322,,0.0,3.0,falling,-5036244.0,-0.005779687500000463,-0.15370710879796787,5.040000000000014,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,,,,,Sell,65,not_in_gap_or_already_strong,65.0,,,,,
AVAXUSDT,Sell,41,29.763,29.5487064,30.65589,Bearish,2025-09-14T04:12:08.330776+00:00,2025-09-14T09:42:08.330776+05:30,Success,511,511.0,,5.04%,39.26329724702634,-0.050315899735750236,-0.037435057635334446,-0.01288084210041579,30.023180602255998,29.8635,29.703819397744,0.18530930313352856,-102.67393561786638,-10.0,0.0,3.0,29.88661216832735,0.07460067283018325,29.741125000000004,-0.008531249999997215,-0.028685027886460962,,-19.156215559680536,,falling,-338259.0,8.0,8.14393327408304,15.0,5.0,0.0,5.0,0.18530930313352856,39.26329724702634,-102.67393561786638,-0.01288084210041579,0.07460067283018325,29.741125000000004,,-19.156215559680536,,0.0,3.0,falling,-338259.0,-0.008531249999997215,-0.028685027886460962,5.04000000000003,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.86}]}",False,,,,,Sell,41,not_in_gap_or_already_strong,41.0,,,,,
BNBUSDT,Sell,47,931.4,924.69392,959.342,Bearish,2025-09-14T04:12:09.524278+00:00,2025-09-14T09:42:09.524278+05:30,Inconclusive,600,,,5.04%,36.77944747389902,-0.9616043096276599,-0.2911394978437408,-0.670464811783919,939.2585096231595,935.0334999999999,930.8084903768403,0.07000097939627363,-167.4766248898768,-10.0,0.0,3.0,934.4138884978406,1.5548791317736115,932.83890625,-0.8060937499998317,-0.08641296418910291,,-16.281524175696035,,rising,4375.580000000001,8.0,14.348814357331609,15.0,5.0,0.0,5.0,0.07000097939627363,36.77944747389902,-167.4766248898768,-0.670464811783919,1.5548791317736115,932.83890625,,-16.281524175696035,,0.0,3.0,rising,4375.580000000001,-0.8060937499998317,-0.08641296418910291,5.040000000000032,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.65}]}",False,,,,,Sell,47,not_in_gap_or_already_strong,47.0,,,,,
ADAUSDT,Strong Sell,72,0.9138,0.90722064,0.941214,Bearish,2025-09-14T04:12:11.890727+00:00,2025-09-14T09:42:11.890727+05:30,Success,434,434.0,,5.04%,28.096241892915486,-0.0021985293617906576,-0.001133638174015602,-0.0010648911877750556,0.92971177198312,0.9221350000000001,0.9145582280168802,-0.050036349158291915,-200.9007892235808,-10.0,0.0,3.0,0.9230473149882251,0.002498167164010872,0.9180484375,-0.0012562499999999588,-0.13683918502393386,,-24.696763101837696,,falling,-10307765.0,8.0,19.23045570159856,15.0,5.0,12.0,5.0,-0.050036349158291915,28.096241892915486,-200.9007892235808,-0.0010648911877750556,0.002498167164010872,0.9180484375,,-24.696763101837696,,0.0,3.0,falling,-10307765.0,-0.0012562499999999588,-0.13683918502393386,5.040000000000027,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-0.0012562499999999588,-0.13683918502393386,Sell,72,,,,,,,
ENAUSDT,Strong Sell,69,0.7405,0.7351684,0.762715,Bearish,2025-09-14T04:12:15.446978+00:00,2025-09-14T09:42:15.446978+05:30,Success,9,9.0,,5.04%,23.825209889633427,-0.00306178182104766,-0.002317133554316876,-0.0007446482667307838,0.7560834862129914,0.7490349999999999,0.7419865137870084,-0.10544915192346474,-192.39146524562108,-10.0,0.0,3.0,0.752645084498685,0.002587282880133932,0.7448984375000001,-0.0012046875000000234,-0.16172506738544787,,-38.080884735082996,,falling,-38987935.0,8.0,15.907462086485758,15.0,5.0,12.0,5.0,-0.10544915192346474,23.825209889633427,-192.39146524562108,-0.0007446482667307838,0.002587282880133932,0.7448984375000001,,-38.080884735082996,,0.0,3.0,falling,-38987935.0,-0.0012046875000000234,-0.16172506738544787,5.039999999999992,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-0.0012046875000000234,-0.16172506738544787,Sell,69,,,,,,,
