Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,CONFL_FLAG__RSI__30___CVD_falling
BTCUSDT,Sell,58,115652.1,114819.40488,119121.663,Bearish,2025-09-14T06:37:14.968013+00:00,2025-09-14T12:07:14.968013+05:30,Inconclusive,600,,,5.04%,38.51452544157592,-4.254665249871323,11.416931586977372,-15.671596836848694,115867.36214520741,115756.40999999999,115645.45785479256,0.029932477623687514,-130.61303798693822,-10.0,0.0,3.0,115745.7002227359,46.931355499709824,115757.365625,-27.80624999999418,-0.02402114962608383,,-1.550378625675717,,rising,147.01499999999996,8.0,17.014222476201315,15.0,5.0,0.0,5.0,0.029932477623687514,38.51452544157592,-130.61303798693822,-15.671596836848694,46.931355499709824,115757.365625,,-1.550378625675717,,0.0,3.0,rising,147.01499999999996,-27.80624999999418,-0.02402114962608383,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,50.0,58.0,-27.80624999999418,-0.02402114962608383,False,0.6678518730167763,-0.02402114962608383,False,conditions_not_met,Sell,58,,,
XRPUSDT,Sell,42,3.0927,3.07043256,3.185481,Bearish,2025-09-14T06:37:18.395022+00:00,2025-09-14T12:07:18.395022+05:30,Success,289,289.0,,5.04%,37.96926665233243,-0.0020692045282690863,-0.001150879640413713,-0.0009183248878553733,3.108495123216583,3.09984,3.0911848767834167,0.08752753592693585,-146.3594175068012,-10.0,0.0,3.0,3.10184035653448,0.004585635264115056,3.095675,-0.002451562500000115,-0.07919314850558005,,-11.975222776531082,,falling,-3142022.6999999993,8.0,8.80626915119082,15.0,5.0,0.0,5.0,0.08752753592693585,37.96926665233243,-146.3594175068012,-0.0009183248878553733,0.004585635264115056,3.095675,,-11.975222776531082,,0.0,3.0,falling,-3142022.6999999993,-0.002451562500000115,-0.07919314850558005,5.0399999999999565,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.19}]}",False,,,,,,,,,,Sell,42,not_in_gap_or_already_strong,42.0,
SUIUSDT,Sell,44,3.7544,3.72736832,3.867032,Bearish,2025-09-14T06:37:27.732928+00:00,2025-09-14T12:07:27.732928+05:30,Success,303,303.0,,5.04%,35.081982267506106,-0.002901101792341265,-0.0004775677921393243,-0.0024235340002019407,3.7900891252582407,3.7720849999999997,3.7540808747417587,0.008862559376363476,-154.36507936508622,-10.0,0.0,3.0,3.7735229781086472,0.007999538385480289,3.767359375,-0.005212500000000286,-0.1383595107647591,,-9.436103943809263,,falling,-602935.3,8.0,11.271021551746,15.0,5.0,0.0,5.0,0.008862559376363476,35.081982267506106,-154.36507936508622,-0.0024235340002019407,0.007999538385480289,3.767359375,,-9.436103943809263,,0.0,3.0,falling,-602935.3,-0.005212500000000286,-0.1383595107647591,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.73}]}",False,,,,,,,,,,Sell,44,not_in_gap_or_already_strong,44.0,
FUSDT,Sell,63,0.01837,0.01823774,0.0189211,Bearish,2025-09-14T06:37:30.062730+00:00,2025-09-14T12:07:30.062730+05:30,Fail,25,,25.0,5.04%,29.133025336740488,-0.00047571178409863343,-0.00044583103862909606,-2.988074546953737e-05,0.020232942784389744,0.019419250000000002,0.01860555721561026,-0.14474579357793138,-267.16262409698624,-10.0,0.0,3.0,0.020415223435341898,0.0005391418077205982,0.019235000000000002,-7.179687500000198e-05,-0.3732616324408733,,-28.109200732812216,,falling,-455109657.0,8.0,10.330147061495447,15.0,5.0,12.0,5.0,-0.14474579357793138,29.133025336740488,-267.16262409698624,-2.988074546953737e-05,0.0005391418077205982,0.019235000000000002,,-28.109200732812216,,0.0,3.0,falling,-455109657.0,-7.179687500000198e-05,-0.3732616324408733,5.039999999999999,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 9.67}]}",True,55.0,63.0,-7.179687500000198e-05,-0.3732616324408733,False,0.11084558845795389,-0.3732616324408733,False,conditions_not_met,Sell,63,,,1.0
ADAUSDT,Sell,48,0.9168,0.91019904,0.944304,Bearish,2025-09-14T06:37:31.204158+00:00,2025-09-14T12:07:31.204158+05:30,Success,281,281.0,,5.04%,36.14834207915102,-0.0006194633640699276,-0.0001488349984973031,-0.00047062836557262453,0.9239940387936727,0.9205099999999999,0.9170259612063272,-0.032428055442090646,-156.34948708878335,-10.0,0.0,3.0,0.9206947269516325,0.0018449373447570014,0.9188265624999998,-0.0008718750000002995,-0.09489005167939947,,-8.791221809034202,,falling,-3543816.0,8.0,15.1222029061538,15.0,5.0,0.0,5.0,-0.032428055442090646,36.14834207915102,-156.34948708878335,-0.00047062836557262453,0.0018449373447570014,0.9188265624999998,,-8.791221809034202,,0.0,3.0,falling,-3543816.0,-0.0008718750000002995,-0.09489005167939947,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Sell,48,not_in_gap_or_already_strong,48.0,
ENAUSDT,Sell,45,0.7473,0.74191944,0.769719,Bearish,2025-09-14T06:37:35.870684+00:00,2025-09-14T12:07:35.870684+05:30,Success,95,95.0,,5.04%,38.77060619471193,-0.0007855774103699975,9.488483000377632e-05,-0.0008804622403737739,0.7583501766627098,0.75263,0.7469098233372903,0.03410529829028494,-154.52865064694993,-10.0,0.0,3.0,0.751785871470959,0.002676795743188779,0.7488046875000001,-0.001076562499999989,-0.14377080138136675,,-7.263079127895315,,falling,-7752673.0,8.0,11.894174900247636,15.0,5.0,0.0,5.0,0.03410529829028494,38.77060619471193,-154.52865064694993,-0.0008804622403737739,0.002676795743188779,0.7488046875000001,,-7.263079127895315,,0.0,3.0,falling,-7752673.0,-0.001076562499999989,-0.14377080138136675,5.0399999999999805,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.11}]}",False,,,,,,,,,,Sell,45,not_in_gap_or_already_strong,45.0,
LINKUSDT,Sell,44,24.701,24.5231528,25.44203,Bearish,2025-09-14T06:37:38.172938+00:00,2025-09-14T12:07:38.172938+05:30,Success,75,75.0,,5.04%,40.20183456991343,-0.0006844174096052313,0.009841016692348955,-0.010525434101954187,24.870615122148347,24.77825,24.685884877851652,0.08182267178768908,-111.01793411895471,-10.0,0.0,3.0,24.767067826913735,0.045347804407363,24.77215625,-0.022640624999997527,-0.09139545533101313,,0.030120753623777342,,rising,105673.46999999997,8.0,10.570510452450588,15.0,5.0,0.0,5.0,0.08182267178768908,40.20183456991343,-111.01793411895471,-0.010525434101954187,0.045347804407363,24.77215625,,0.030120753623777342,,0.0,3.0,rising,105673.46999999997,-0.022640624999997527,-0.09139545533101313,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.43}]}",False,,,,,,,,,,Sell,44,not_in_gap_or_already_strong,44.0,
LTCUSDT,Sell,46,116.86,116.018608,120.3658,Bearish,2025-09-14T06:37:42.814612+00:00,2025-09-14T12:07:42.814612+05:30,Success,289,289.0,,5.04%,38.793870534607954,-0.03191779145076623,0.002626827351378055,-0.03454461880214429,117.46274133919194,117.172,116.88125866080806,-0.03655940511786687,-155.2380952380862,-10.0,0.0,3.0,117.29720864840012,0.18818671426286895,117.10734374999998,-0.07890625000001705,-0.06737942085721424,,-4.092981915367188,,rising,15983.244,8.0,13.405575890407299,15.0,5.0,0.0,5.0,-0.03655940511786687,38.793870534607954,-155.2380952380862,-0.03454461880214429,0.18818671426286895,117.10734374999998,,-4.092981915367188,,0.0,3.0,rising,15983.244,-0.07890625000001705,-0.06737942085721424,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.59}]}",False,,,,,,,,,,Sell,46,not_in_gap_or_already_strong,46.0,
TRUMPUSDT,Strong Sell,65,8.919,8.8547832,9.18657,Bearish,2025-09-14T06:37:47.435789+00:00,2025-09-14T12:07:47.435789+05:30,Success,280,280.0,,5.04%,26.910689954142143,-0.018630712715104636,-0.016191434047410937,-0.0024392786676936985,9.014330088174498,8.9681,8.921869911825501,-0.031039437072542787,-155.19809353589483,-10.0,0.0,3.0,9.013420156430357,0.02067543131162905,8.962515625,-0.013249999999999318,-0.14783795704678973,,-27.022650688825983,,falling,-57007.28000000003,8.0,11.831509879637721,15.0,5.0,12.0,5.0,-0.031039437072542787,26.910689954142143,-155.19809353589483,-0.0024392786676936985,0.02067543131162905,8.962515625,,-27.022650688825983,,0.0,3.0,falling,-57007.28000000003,-0.013249999999999318,-0.14783795704678973,5.04000000000004,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,57.0,65.0,-0.013249999999999318,-0.14783795704678973,,,,,,Sell,65,,,1.0
PENGUUSDT,Sell,41,0.035493,0.03523745,0.03655779,Bearish,2025-09-14T06:37:50.931434+00:00,2025-09-14T12:07:50.931434+05:30,Success,289,289.0,,5.04%,38.94756465228012,-2.3318016834861233e-05,-5.214541517366145e-06,-1.8103475317495086e-05,0.03583051141084755,0.03564515,0.03545978858915245,0.0895855580071704,-128.3088660270544,-10.0,0.0,3.0,0.03570437153528197,0.00010739477296212563,0.035635203124999994,-5.3828125000002225e-05,-0.15105322905326427,,-5.921138097206083,,rising,53681700.0,8.0,8.045666242742644,15.0,5.0,0.0,5.0,0.0895855580071704,38.94756465228012,-128.3088660270544,-1.8103475317495086e-05,0.00010739477296212563,0.035635203124999994,,-5.921138097206083,,0.0,3.0,rising,53681700.0,-5.3828125000002225e-05,-0.15105322905326427,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.95}]}",False,,,,,,,,,,Sell,41,not_in_gap_or_already_strong,41.0,
