Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
PUMPUSDT,Buy,43,0.008232,0.00829127,0.00798504,Bullish,2025-09-14T11:07:29.292630+00:00,2025-09-14T16:37:29.292630+05:30,Success,17,17.0,,5.04%,61.9525855422105,4.416932153193144e-05,2.766886801941405e-05,1.650045351251739e-05,0.008275569662696856,0.00812565,0.007975730337303144,0.8546899655685734,140.98972922502222,10.0,3.0,0.0,0.008103219201776247,6.556146971888333e-05,0.008217,1.4703124999999526e-05,0.17893543872458956,,17.929153127385614,,rising,3783481189.0,8.0,10.040299065875828,15.0,5.0,0.0,5.0,0.8546899655685734,61.9525855422105,140.98972922502222,1.650045351251739e-05,6.556146971888333e-05,0.008217,,17.929153127385614,,3.0,0.0,rising,3783481189.0,1.4703124999999526e-05,0.17893543872458956,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.96}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
SOMIUSDT,Buy,44,1.313,1.3224536,1.27361,Bullish,2025-09-14T11:07:30.374506+00:00,2025-09-14T16:37:30.374506+05:30,Success,13,13.0,,5.04%,36.983002367786135,-0.004112492162821502,0.009294420704354402,-0.013406912867175904,1.4472004278875505,1.386515,1.3258295721124493,-0.10570554216262958,-334.265106808852,10.0,0.0,3.0,1.3523882302791956,0.03084114263765358,1.3822750000000001,-0.012882812499999785,-0.9320006872727774,,-3.505323140262224,,falling,-8010242.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.10570554216262958,36.983002367786135,-334.265106808852,-0.013406912867175904,0.03084114263765358,1.3822750000000001,,-3.505323140262224,,0.0,3.0,falling,-8010242.0,-0.012882812499999785,-0.9320006872727774,5.040000000000033,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
1000PEPEUSDT,Buy,40,0.0117385,0.01182302,0.01138635,Bullish,2025-09-14T11:07:31.468282+00:00,2025-09-14T16:37:31.468282+05:30,Fail,104,,104.0,5.04%,49.85646028520134,7.566002649115819e-06,1.0112853351522633e-05,-2.546850702406814e-06,0.011779567671545069,0.011751275,0.011722982328454932,0.2742348229708587,-65.22928252346082,10.0,3.0,0.0,0.011731101001635904,2.8836235856879335e-05,0.011748078124999999,2.6515624999990522e-06,0.022570181026941822,,6.942531121067484,,falling,-58898818.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2742348229708587,49.85646028520134,-65.22928252346082,-2.546850702406814e-06,2.8836235856879335e-05,0.011748078124999999,,6.942531121067484,,3.0,0.0,falling,-58898818.0,2.6515624999990522e-06,0.022570181026941822,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
WLDUSDT,Strong Buy,65,1.6715,1.6835348,1.621355,Bullish,2025-09-14T11:07:40.308685+00:00,2025-09-14T16:37:40.308685+05:30,Fail,32,,32.0,5.04%,56.24218171763363,-0.0027016663637606797,-0.005818625465153082,0.003116959101392402,1.6713874984977537,1.657045,1.6427025015022465,1.003921963187373,170.63830718396304,10.0,3.0,0.0,1.6685789702828715,0.010074457890629506,1.6598968749999998,0.0028781249999998426,0.17339179580055797,,-7.603591037503013,,falling,-4275789.0,8.0,12.425413778640877,15.0,10.0,0.0,5.0,1.003921963187373,56.24218171763363,170.63830718396304,0.003116959101392402,0.010074457890629506,1.6598968749999998,,-7.603591037503013,,3.0,0.0,falling,-4275789.0,0.0028781249999998426,0.17339179580055797,5.039999999999958,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,65,50.0,58.0,0.0028781249999998426,0.17339179580055797,True,58.0,65.0,0.6187844815534065,0.17339179580055797,True,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
ENAUSDT,Buy,46,0.7499,0.75529928,0.727403,Bullish,2025-09-14T11:07:43.559684+00:00,2025-09-14T16:37:43.559684+05:30,Inconclusive,600,,,5.04%,60.843913204050416,0.0006311256148013866,0.000333122357134752,0.00029800325766663464,0.7499337549174948,0.74735,0.7447662450825051,0.9934678561681215,146.4004839685324,10.0,3.0,0.0,0.7474506118647144,0.00185617942655566,0.7484765625,0.0004953124999999003,0.06617608684305333,,9.424865699886402,,rising,7593724.0,8.0,12.85311790534748,15.0,5.0,0.0,5.0,0.9934678561681215,60.843913204050416,146.4004839685324,0.00029800325766663464,0.00185617942655566,0.7484765625,,9.424865699886402,,3.0,0.0,rising,7593724.0,0.0004953124999999003,0.06617608684305333,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.15}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
OPENUSDT,Buy,62,1.0134,1.02069648,0.982998,Bullish,2025-09-14T11:07:47.887092+00:00,2025-09-14T16:37:47.887092+05:30,Success,4,4.0,,5.04%,29.252781113821257,-0.010879997520919948,-0.007915145328133531,-0.0029648521927864175,1.0807555323483724,1.051115,1.0214744676516276,-0.13620652214890033,-312.7557184143956,10.0,0.0,3.0,1.0616647983520269,0.014990558755024749,1.04960625,-0.003985937499999981,-0.37975550355192533,,-23.58672508367518,,falling,-8596818.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.13620652214890033,29.252781113821257,-312.7557184143956,-0.0029648521927864175,0.014990558755024749,1.04960625,,-23.58672508367518,,0.0,3.0,falling,-8596818.0,-0.003985937499999981,-0.37975550355192533,5.039999999999957,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,,,-0.003985937499999981,-0.37975550355192533,,,,,,,,1.0
UNIUSDT,Buy,41,9.616,9.6852352,9.32752,Bullish,2025-09-14T11:07:56.826005+00:00,2025-09-14T16:37:56.826005+05:30,Inconclusive,600,,,5.04%,33.36180493384629,-0.019530693160628942,-0.015595703472650952,-0.00393498968797799,9.73292679037178,9.66365,9.594373209628221,0.1560897254023779,-121.06516930406224,10.0,3.0,0.0,9.685223090239313,0.023550317071367993,9.631749999999998,-0.00024999999999941735,-0.002595582318887195,,-23.612391409301495,,falling,-494160.0,18.0,0.0,8.0,10.0,0.0,5.0,0.1560897254023779,33.36180493384629,-121.06516930406224,-0.00393498968797799,0.023550317071367993,9.631749999999998,,-23.612391409301495,,3.0,0.0,falling,-494160.0,-0.00024999999999941735,-0.002595582318887195,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
QUSDT,Buy,49,0.033792,0.0340353,0.03277824,Bullish,2025-09-14T11:08:00.073968+00:00,2025-09-14T16:38:00.073968+05:30,Fail,2,,2.0,5.04%,69.56950764734557,0.000978220633358378,0.0005999186806586801,0.00037830195269969794,0.03328222223006637,0.029879550000000005,0.02647687776993364,1.0749084448142234,196.94468358062855,10.0,3.0,0.0,0.02907336170687759,0.0012844322108471436,0.031936046875,0.000342609374999997,1.072798322037148,,20.58901288445087,,rising,567170137.0,8.0,16.068685126484453,15.0,5.0,0.0,5.0,1.0749084448142234,69.56950764734557,196.94468358062855,0.00037830195269969794,0.0012844322108471436,0.031936046875,,20.58901288445087,,3.0,0.0,rising,567170137.0,0.000342609374999997,1.072798322037148,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
HOLOUSDT,Buy,44,0.4322,0.43531184,0.419234,Bullish,2025-09-14T11:08:02.243553+00:00,2025-09-14T16:38:02.243553+05:30,Success,6,6.0,,5.04%,37.644715719076196,-0.0013557201710073241,-0.0010488238794196215,-0.00030689629158770263,0.44063409524874286,0.436705,0.43277590475125716,-0.07328719651699066,-230.4668304668345,10.0,0.0,3.0,0.43787811284877903,0.003048092862912247,0.43531718750000004,-0.0006171874999999494,-0.14177880353046002,,-12.434598848901171,,falling,-7310226.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.07328719651699066,37.644715719076196,-230.4668304668345,-0.00030689629158770263,0.003048092862912247,0.43531718750000004,,-12.434598848901171,,0.0,3.0,falling,-7310226.0,-0.0006171874999999494,-0.14177880353046002,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
BAKEUSDT,Buy,44,0.1098,0.11059056,0.106506,Bullish,2025-09-14T11:08:08.750673+00:00,2025-09-14T16:38:08.750673+05:30,Fail,23,,23.0,5.04%,32.614978593561304,-0.0012918628928606235,-0.0011656011852003742,-0.00012626170766024932,0.11512209558098964,0.11251499999999999,0.10990790441901034,-0.02069437342404337,-161.2837700589059,10.0,0.0,3.0,0.11499030592359528,0.0018278919800074841,0.11251875,-0.0005609374999999972,-0.4985280231072574,,-20.91996180075345,,falling,-24300011.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.02069437342404337,32.614978593561304,-161.2837700589059,-0.00012626170766024932,0.0018278919800074841,0.11251875,,-20.91996180075345,,0.0,3.0,falling,-24300011.0,-0.0005609374999999972,-0.4985280231072574,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
