Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence
ETHUSDT,Buy,62,4634.93,4668.301496,4495.8821,Bullish,2025-09-14T11:32:31.170539+00:00,2025-09-14T17:02:31.170539+05:30,Inconclusive,600,,,5.04%,28.062599163679053,-4.911581802190085,-2.180810200858606,-2.730771601331479,4673.915854633286,4656.4565,4638.997145366715,-0.11647467653130822,-231.66944666940802,5.0,0.0,3.0,4658.071349775516,6.595341241790993,4652.3525,-2.9671874999994543,-0.06377821757915923,,-21.280668733625593,,falling,-60158.782999999996,32.0,0.0,8.0,5.0,12.0,5.0,-0.11647467653130822,28.062599163679053,-231.66944666940802,-2.730771601331479,6.595341241790993,4652.3525,,-21.280668733625593,,0.0,3.0,falling,-60158.782999999996,-2.9671874999994543,-0.06377821757915923,5.039999999999963,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-2.9671874999994543,-0.06377821757915923,Buy,62,
SOLUSDT,Buy,44,246.25,248.023,238.8625,Bullish,2025-09-14T11:32:32.132173+00:00,2025-09-14T17:02:32.132173+05:30,Success,379,379.0,,5.04%,36.60999161305423,-0.1228276178223382,0.04374120899592464,-0.16656882681826285,248.2129787096543,247.26,246.3070212903457,-0.02991739992091345,-207.26043176160186,5.0,0.0,3.0,246.96924686159034,0.475085700576355,247.04703125000003,-0.20218749999997954,-0.08184170397715698,,-6.94655688961613,,falling,-141154.87000000002,26.0,0.0,8.0,5.0,0.0,5.0,-0.02991739992091345,36.60999161305423,-207.26043176160186,-0.16656882681826285,0.475085700576355,247.04703125000003,,-6.94655688961613,,0.0,3.0,falling,-141154.87000000002,-0.20218749999997954,-0.08184170397715698,5.0399999999999885,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0
BTCUSDT,Sell,45,115750.0,114916.6,119222.5,Bullish,2025-09-14T11:32:33.085844+00:00,2025-09-14T17:02:33.085844+05:30,Inconclusive,600,,,5.04%,32.60753196613325,-20.13612957582518,8.844940315024864,-28.981069890850044,116112.77275046812,115954.34,115795.90724953187,-0.14487929230611943,-225.6512838080411,5.0,0.0,3.0,115901.08700402174,56.316333609114594,115950.41250000003,-19.476562499970896,-0.016797320578717984,,-7.508072893020428,,falling,-773.3209999999999,8.0,20.0,7.0,5.0,0.0,5.0,-0.14487929230611943,32.60753196613325,-225.6512838080411,-28.981069890850044,56.316333609114594,115950.41250000003,,-7.508072893020428,,0.0,3.0,falling,-773.3209999999999,-19.476562499970896,-0.016797320578717984,5.0399999999999645,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,,,Sell,45,45.0
DOGEUSDT,Buy,62,0.28587,0.28792826,0.2772939,Bullish,2025-09-14T11:32:34.036655+00:00,2025-09-14T17:02:34.036655+05:30,Fail,185,,185.0,5.04%,27.287593128242705,-0.0010035861361799014,-0.0006079767716851605,-0.0003956093644947409,0.29222013579232475,0.2892695,0.28631886420767527,-0.07606228610844733,-220.38741402796688,5.0,0.0,3.0,0.28965146142565823,0.0010561209020464755,0.288031875,-0.0005467187500000081,-0.1898118914790275,,-25.23739782639482,,falling,-161439179.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.07606228610844733,27.287593128242705,-220.38741402796688,-0.0003956093644947409,0.0010561209020464755,0.288031875,,-25.23739782639482,,0.0,3.0,falling,-161439179.0,-0.0005467187500000081,-0.1898118914790275,5.039999999999941,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.0005467187500000081,-0.1898118914790275,Buy,62,
XRPUSDT,Buy,62,3.0642,3.08626224,2.972274,Bullish,2025-09-14T11:32:35.941869+00:00,2025-09-14T17:02:35.941869+05:30,Inconclusive,600,,,5.04%,25.698578857526925,-0.0039329265566618865,-0.0020367162080766003,-0.0018962103485852862,3.0941718344559788,3.081135,3.0680981655440216,-0.14950583123474012,-279.4953126101382,5.0,0.0,3.0,3.0840252201456093,0.00486489858909969,3.0782421875,-0.0022593749999999524,-0.0733982208799142,,-24.7185522537381,,falling,-12927253.4,32.0,0.0,8.0,5.0,12.0,5.0,-0.14950583123474012,25.698578857526925,-279.4953126101382,-0.0018962103485852862,0.00486489858909969,3.0782421875,,-24.7185522537381,,0.0,3.0,falling,-12927253.4,-0.0022593749999999524,-0.0733982208799142,5.039999999999976,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.0022593749999999524,-0.0733982208799142,Buy,62,
1000PEPEUSDT,Buy,62,0.0115179,0.01160083,0.01117236,Bullish,2025-09-14T11:32:38.800459+00:00,2025-09-14T17:02:38.800459+05:30,Fail,197,,197.0,5.04%,20.505454475177856,-3.059550522109718e-05,-6.521721305451497e-06,-2.407378391564568e-05,0.011847274490946573,0.01171858,0.011589885509053426,-0.27967595397424727,-325.3782047112055,5.0,0.0,3.0,0.011711736600684624,3.935712805781315e-05,0.011688660937500001,-2.564374999999841e-05,-0.21938997235968377,,-23.504648458980647,,falling,-2149530939.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.27967595397424727,20.505454475177856,-325.3782047112055,-2.407378391564568e-05,3.935712805781315e-05,0.011688660937500001,,-23.504648458980647,,0.0,3.0,falling,-2149530939.0,-2.564374999999841e-05,-0.21938997235968377,5.039999999999965,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-2.564374999999841e-05,-0.21938997235968377,Buy,62,
WLFIUSDT,Buy,49,0.2297,0.23135384,0.222809,Bullish,2025-09-14T11:32:39.748816+00:00,2025-09-14T17:02:39.748816+05:30,Success,2,2.0,,5.04%,37.29027794378318,-0.00011578972060743986,0.0007435782313550967,-0.0008593679519625366,0.2387162867078562,0.234705,0.2306937132921438,-0.12386465547296918,-214.17123262141632,5.0,3.0,0.0,0.2321492501104346,0.0023493757896365687,0.2350171875,-0.0009171874999999996,-0.3902640099460809,,-0.9449800361310884,,falling,-230331286.0,26.0,0.0,8.0,10.0,0.0,5.0,-0.12386465547296918,37.29027794378318,-214.17123262141632,-0.0008593679519625366,0.0023493757896365687,0.2350171875,,-0.9449800361310884,,3.0,0.0,falling,-230331286.0,-0.0009171874999999996,-0.3902640099460809,5.039999999999969,,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,49,49.0
AVNTUSDT,Buy,41,0.8382,0.84423504,0.813054,Bullish,2025-09-14T11:32:41.646794+00:00,2025-09-14T17:02:41.646794+05:30,Success,1,1.0,,5.04%,56.70375578015367,0.0011242871781613761,-0.002527217597188572,0.003651504775349948,0.8435403533016957,0.8115035,0.7794666466983043,0.9166529675776064,134.25984123658603,5.0,3.0,0.0,0.8172557473439606,0.01986219136254767,0.814744375,-0.0008926562500000124,-0.10956273861970664,,1.213600859939186,,rising,20655516.0,8.0,8.412207747310612,15.0,5.0,0.0,5.0,0.9166529675776064,56.70375578015367,134.25984123658603,0.003651504775349948,0.01986219136254767,0.814744375,,1.213600859939186,,3.0,0.0,rising,20655516.0,-0.0008926562500000124,-0.10956273861970664,5.039999999999993,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.59}]}",False,not_in_gap_or_already_strong,,,Buy,41,41.0
WLDUSDT,Buy,44,1.6396,1.65140512,1.590412,Bullish,2025-09-14T11:32:45.439462+00:00,2025-09-14T17:02:45.439462+05:30,Fail,195,,195.0,5.04%,35.29323440353299,-0.004187416874186667,-0.003901252009262506,-0.0002861648649241607,1.6701426452468362,1.655715,1.641287354753164,-0.05847644311652212,-186.14268770140197,5.0,0.0,3.0,1.6658713452321872,0.01049968277607499,1.6641031249999998,-0.0008125000000001048,-0.048825099105568044,,-11.774673447434255,,falling,-2617749.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.05847644311652212,35.29323440353299,-186.14268770140197,-0.0002861648649241607,0.01049968277607499,1.6641031249999998,,-11.774673447434255,,0.0,3.0,falling,-2617749.0,-0.0008125000000001048,-0.048825099105568044,5.040000000000002,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0
SUIUSDT,Buy,62,3.7394,3.76632368,3.627218,Bullish,2025-09-14T11:32:46.388964+00:00,2025-09-14T17:02:46.388964+05:30,Inconclusive,600,,,5.04%,29.058433462678124,-0.00667859779949298,-0.0016090088157592894,-0.005069588983733691,3.806387256012231,3.77618,3.7459727439877692,-0.10879412524441356,-230.4462205017785,5.0,0.0,3.0,3.77302011998492,0.009719662058453815,3.76819375,-0.005604687499999983,-0.14873671238375105,,-16.2170192895569,,falling,-4163094.0999999996,32.0,0.0,8.0,5.0,12.0,5.0,-0.10879412524441356,29.058433462678124,-230.4462205017785,-0.005069588983733691,0.009719662058453815,3.76819375,,-16.2170192895569,,0.0,3.0,falling,-4163094.0999999996,-0.005604687499999983,-0.14873671238375105,5.0399999999999805,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.005604687499999983,-0.14873671238375105,Buy,62,
