Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
ETHUSDT,Sell,60,4612.71,4579.498488,4751.0913,Bearish,2025-09-14T13:28:01.275526+00:00,2025-09-14T18:58:01.275526+05:30,Success,72,72.0,,5.04%,28.816067573086258,-7.986251506536064,-6.983573247648197,-1.002678258887867,4644.741699503653,4628.278499999999,4611.815300496346,0.027172710367005633,-144.54379064349683,-10.0,0.0,3.0,4639.609597633287,7.822022139560257,4617.1271875,-2.5624999999990905,-0.055499878949329694,,-33.1755829554536,,falling,-9070.131000000001,8.0,7.076477895863086,15.0,5.0,12.0,5.0,0.027172710367005633,28.816067573086258,-144.54379064349683,-1.002678258887867,7.822022139560257,4617.1271875,,-33.1755829554536,,0.0,3.0,falling,-9070.131000000001,-2.5624999999990905,-0.055499878949329694,5.039999999999978,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 12.92}]}",True,52.0,60.0,-2.5624999999990905,-0.055499878949329694,False,0.25637315798859045,-0.055499878949329694,False,conditions_not_met,Sell,60,,
BTCUSDT,Strong Sell,69,115441.9,114610.71832,118905.157,Bearish,2025-09-14T13:28:03.678723+00:00,2025-09-14T18:58:03.678723+05:30,Inconclusive,600,,,5.04%,25.693808079758256,-79.46945778791269,-58.550746423182005,-20.918711364730683,115872.23567920746,115689.99500000002,115507.75432079259,-0.18067953071454504,-284.94986336766294,-10.0,0.0,3.0,115767.35284052599,70.54793941602898,115625.20156250002,-26.90156249998836,-0.023266175657602632,,-30.56141754876026,,falling,-1620.5249999999999,8.0,16.116424333712963,15.0,5.0,12.0,5.0,-0.18067953071454504,25.693808079758256,-284.94986336766294,-20.918711364730683,70.54793941602898,115625.20156250002,,-30.56141754876026,,0.0,3.0,falling,-1620.5249999999999,-26.90156249998836,-0.023266175657602632,5.039999999999965,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-26.90156249998836,-0.023266175657602632,,,,,,Sell,69,,
DOGEUSDT,Sell,42,0.28369,0.28164743,0.2922007,Bearish,2025-09-14T13:28:04.875790+00:00,2025-09-14T18:58:04.875790+05:30,Success,27,27.0,,5.04%,35.89820824058749,-0.00096634761409925,-0.0009815746543243259,1.522704022507591e-05,0.28733980240230683,0.28536100000000003,0.28338219759769323,0.0777749213231055,-104.50350609856791,-10.0,0.0,3.0,0.2870470325999245,0.001208622112525281,0.28396125,-6.67187500000277e-05,-0.0234957234481915,,-23.4885258778818,,falling,-126854016.0,8.0,9.0,15.0,5.0,0.0,5.0,0.0777749213231055,35.89820824058749,-104.50350609856791,1.522704022507591e-05,0.001208622112525281,0.28396125,,-23.4885258778818,,0.0,3.0,falling,-126854016.0,-6.67187500000277e-05,-0.0234957234481915,5.040000000000055,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,,,,,,,,,,Sell,42,not_in_gap_or_already_strong,42.0
PUMPUSDT,Sell,42,0.007752,0.00769619,0.00798456,Bearish,2025-09-14T13:28:07.215050+00:00,2025-09-14T18:58:07.215050+05:30,Fail,34,,34.0,5.04%,31.169493937247083,-9.015991144794427e-05,-6.863606516452166e-05,-2.1523846283422616e-05,0.008244862286767128,0.00796805,0.007691237713232874,0.10975359417164102,-110.14640789921702,-10.0,0.0,3.0,0.008025762499754766,9.90145865250482e-05,0.007742578125000002,-4.237499999999901e-05,-0.547298319963662,,-26.9825808710998,,falling,-9023046197.0,8.0,9.21713344398467,15.0,5.0,0.0,5.0,0.10975359417164102,31.169493937247083,-110.14640789921702,-2.1523846283422616e-05,9.90145865250482e-05,0.007742578125000002,,-26.9825808710998,,0.0,3.0,falling,-9023046197.0,-4.237499999999901e-05,-0.547298319963662,5.039999999999968,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.78}]}",False,,,,,,,,,,Sell,42,not_in_gap_or_already_strong,42.0
WLFIUSDT,Strong Sell,69,0.2215,0.2199052,0.228145,Bearish,2025-09-14T13:28:09.642443+00:00,2025-09-14T18:58:09.642443+05:30,Success,4,4.0,,5.04%,25.665868941055592,-0.0022076639867570913,-0.0015148159893495325,-0.0006928479974075588,0.23637881492929216,0.22944500000000004,0.2225111850707079,-0.07291693541142304,-213.24200913242046,-10.0,5.0,5.0,0.23029331369801517,0.002519939324062675,0.22598125,-0.00040000000000001146,-0.17700583566114952,,-28.678468969453547,,falling,-169296576.0,8.0,15.598711238401167,15.0,5.0,12.0,5.0,-0.07291693541142304,25.665868941055592,-213.24200913242046,-0.0006928479974075588,0.002519939324062675,0.22598125,,-28.678468969453547,,5.0,5.0,falling,-169296576.0,-0.00040000000000001146,-0.17700583566114952,5.040000000000023,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-0.00040000000000001146,-0.17700583566114952,,,,,,Sell,69,,
1000PEPEUSDT,Sell,42,0.0114365,0.01135416,0.0117796,Bearish,2025-09-14T13:28:10.847318+00:00,2025-09-14T18:58:10.847318+05:30,Success,27,27.0,,5.04%,36.244029244451525,-4.1234387060658934e-05,-4.544082882703729e-05,4.2064417663783545e-06,0.01156682866103188,0.011491035,0.01141524133896812,0.14024036273256643,-102.2976587206985,-10.0,0.0,3.0,0.011576078496611507,4.6372071980342845e-05,0.0114460390625,1.456250000000242e-06,0.012722741832773141,,-24.583398790174183,,falling,-738448334.0,8.0,9.0,15.0,5.0,0.0,5.0,0.14024036273256643,36.244029244451525,-102.2976587206985,4.2064417663783545e-06,4.6372071980342845e-05,0.0114460390625,,-24.583398790174183,,0.0,3.0,falling,-738448334.0,1.456250000000242e-06,0.012722741832773141,5.039999999999964,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,,,,,,,,,,Sell,42,not_in_gap_or_already_strong,42.0
SUIUSDT,Sell,63,3.6874,3.66085072,3.798022,Bearish,2025-09-14T13:28:19.231955+00:00,2025-09-14T18:58:19.231955+05:30,Success,74,74.0,,5.04%,28.870629788119572,-0.015806818301837833,-0.015514275229356903,-0.00029254307248093026,3.744497273604675,3.7119950000000004,3.679492726395326,0.12164185344154946,-101.40017549883507,-10.0,0.0,3.0,3.735501056658486,0.011482149939723449,3.6848875,-0.0024828124999998202,-0.06737824424761463,,-40.193909574213,,falling,-6695418.100000001,8.0,9.611473789873834,15.0,5.0,12.0,5.0,0.12164185344154946,28.870629788119572,-101.40017549883507,-0.00029254307248093026,0.011482149939723449,3.6848875,,-40.193909574213,,0.0,3.0,falling,-6695418.100000001,-0.0024828124999998202,-0.06737824424761463,5.03999999999996,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.39}]}",True,55.0,63.0,-0.0024828124999998202,-0.06737824424761463,False,0.05095614915615294,-0.06737824424761463,False,conditions_not_met,Sell,63,,
AVAXUSDT,Sell,61,29.353,29.1416584,30.23359,Bearish,2025-09-14T13:28:21.597490+00:00,2025-09-14T18:58:21.597490+05:30,Success,27,27.0,,5.04%,28.21772245952549,-0.1304369477958609,-0.11380924528618355,-0.01662770250967735,29.91144831778348,29.59545,29.279451682216518,0.11637454005985899,-108.57366158655825,-10.0,0.0,3.0,29.759539917489747,0.10067101991989727,29.3408125,-0.03968749999999943,-0.13526380702647356,,-36.74790422562238,,falling,-259510.0,8.0,7.964049043605474,15.0,5.0,12.0,5.0,0.11637454005985899,28.21772245952549,-108.57366158655825,-0.01662770250967735,0.10067101991989727,29.3408125,,-36.74790422562238,,0.0,3.0,falling,-259510.0,-0.03968749999999943,-0.13526380702647356,5.040000000000019,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 12.04}]}",True,53.0,61.0,-0.03968749999999943,-0.13526380702647356,False,0.33033742030045615,-0.13526380702647356,False,conditions_not_met,Sell,61,,
BNBUSDT,Sell,43,932.32,925.607296,960.2896,Bearish,2025-09-14T13:28:22.826626+00:00,2025-09-14T18:58:22.826626+05:30,Success,71,71.0,,5.04%,37.371634377425686,-0.6221721495192014,-0.5853409961591294,-0.03683115336007203,936.7838504142494,934.2254999999999,931.6671495857504,0.1275920629585003,-112.43372785747157,-10.0,0.0,3.0,935.6780922191485,1.2781680555730097,933.92578125,-0.2209374999999909,-0.02365685843946616,,-12.588299958830271,,rising,4646.35,8.0,9.691573910635288,15.0,5.0,0.0,5.0,0.1275920629585003,37.371634377425686,-112.43372785747157,-0.03683115336007203,1.2781680555730097,933.92578125,,-12.588299958830271,,0.0,3.0,rising,4646.35,-0.2209374999999909,-0.02365685843946616,5.040000000000023,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.31}]}",False,,,,,,,,,,Sell,43,not_in_gap_or_already_strong,43.0
ADAUSDT,Sell,64,0.8913,0.88488264,0.918039,Bearish,2025-09-14T13:28:24.025305+00:00,2025-09-14T18:58:24.025305+05:30,Success,27,27.0,,5.04%,21.65965437951337,-0.004226087105350218,-0.003980891032439673,-0.00024519607291054527,0.9074139212564627,0.89865,0.8898860787435372,0.08066715885997476,-111.31271477662891,-10.0,0.0,3.0,0.9049121061076182,0.002550201559677466,0.8915109375,-0.0007062500000000194,-0.07921944311535935,,-52.45981135668423,,falling,-42523298.0,8.0,11.307545349708494,15.0,5.0,12.0,5.0,0.08066715885997476,21.65965437951337,-111.31271477662891,-0.00024519607291054527,0.002550201559677466,0.8915109375,,-52.45981135668423,,0.0,3.0,falling,-42523298.0,-0.0007062500000000194,-0.07921944311535935,5.04000000000003,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 1, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 8.69}]}",True,56.0,64.0,-0.0007062500000000194,-0.07921944311535935,False,0.1922954458090412,-0.07921944311535935,False,conditions_not_met,Sell,64,,
