Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
BTCUSDT,Strong Sell,69,115279.8,114449.78544,118738.194,Bearish,2025-09-14T13:35:11.515285+00:00,2025-09-14T19:05:11.515285+05:30,Inconclusive,600,,,5.04%,20.924817472817438,-114.78268875174399,-75.7092928579545,-39.073395893789495,115946.14034491353,115646.925,115347.70965508648,-0.11347956620691498,-232.32597073244452,-10.0,0.0,3.0,115731.72790864707,80.72902751110013,115532.559375,-55.92343749999418,-0.04840491529186655,,-39.66236191177024,,falling,-1575.237,8.0,15.61616249275401,15.0,5.0,12.0,5.0,-0.11347956620691498,20.924817472817438,-232.32597073244452,-39.073395893789495,80.72902751110013,115532.559375,,-39.66236191177024,,0.0,3.0,falling,-1575.237,-55.92343749999418,-0.04840491529186655,5.039999999999976,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,61.0,69.0,-55.92343749999418,-0.04840491529186655,Sell,69,,,,,,,
XRPUSDT,Sell,58,3.0395,3.0176156,3.130685,Bearish,2025-09-14T13:35:16.538798+00:00,2025-09-14T19:05:16.538798+05:30,Success,62,62.0,,5.04%,29.41614731295597,-0.007459954647742961,-0.007264301026324485,-0.0001956536214184762,3.0670100507271347,3.05098,3.0349499492728653,0.14192253052052092,-112.77579728297792,-10.0,0.0,3.0,3.06299078151869,0.005881161066779989,3.0412156249999995,-0.00032343750000052296,-0.010635138703804437,,-36.89425693499525,,falling,-2686788.6999999997,8.0,4.798428551900616,15.0,5.0,12.0,5.0,0.14192253052052092,29.41614731295597,-112.77579728297792,-0.0001956536214184762,0.005881161066779989,3.0412156249999995,,-36.89425693499525,,0.0,3.0,falling,-2686788.6999999997,-0.00032343750000052296,-0.010635138703804437,5.039999999999955,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 15.2}]}",True,50.0,58.0,-0.00032343750000052296,-0.010635138703804437,Sell,58,False,0.06653571265838468,-0.010635138703804437,False,conditions_not_met,,
WLFIUSDT,Strong Sell,66,0.2203,0.21871384,0.226909,Bearish,2025-09-14T13:35:17.526268+00:00,2025-09-14T19:05:17.526268+05:30,Success,10,10.0,,5.04%,23.834031661435034,-0.00281899245831313,-0.0019363378461833098,-0.00088265461212982,0.23668337599528141,0.22826,0.21983662400471857,0.02750536100614534,-185.12985520569907,-10.0,0.0,3.0,0.22955088971597842,0.0024069884935855987,0.2245265625,-0.0008937499999999987,-0.3980598063981845,,-35.73735538884579,,falling,-217171278.0,8.0,12.80091896889757,15.0,5.0,12.0,5.0,0.02750536100614534,23.834031661435034,-185.12985520569907,-0.00088265461212982,0.0024069884935855987,0.2245265625,,-35.73735538884579,,0.0,3.0,falling,-217171278.0,-0.0008937499999999987,-0.3980598063981845,5.040000000000011,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,58.0,66.0,-0.0008937499999999987,-0.3980598063981845,Sell,66,,,,,,,
SUIUSDT,Sell,58,3.6842,3.65767376,3.794726,Bearish,2025-09-14T13:35:25.505980+00:00,2025-09-14T19:05:25.505980+05:30,Success,67,67.0,,5.04%,27.587460095476274,-0.015928550723826707,-0.015615277276533926,-0.00031327344729278027,3.743031588605215,3.708215,3.673398411394785,0.15512129473243635,-105.62205295611422,-10.0,0.0,3.0,3.7317174122999788,0.010915293501109773,3.6838828125000003,-0.00019999999999997797,-0.005429054347802437,,-41.17208848902313,,falling,-6230020.0,8.0,4.688809946728624,15.0,5.0,12.0,5.0,0.15512129473243635,27.587460095476274,-105.62205295611422,-0.00031327344729278027,0.010915293501109773,3.6838828125000003,,-41.17208848902313,,0.0,3.0,falling,-6230020.0,-0.00019999999999997797,-0.005429054347802437,5.039999999999986,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 15.31}]}",True,50.0,58.0,-0.00019999999999997797,-0.005429054347802437,Sell,58,False,0.05740082889405206,-0.005429054347802437,False,conditions_not_met,,
BNBUSDT,Sell,41,931.49,924.783272,959.4347,Bearish,2025-09-14T13:35:27.478749+00:00,2025-09-14T19:05:27.478749+05:30,Success,65,65.0,,5.04%,34.45510705626492,-0.91087982649492,-0.6908469214188468,-0.2200329050760732,937.0341542060822,934.1199999999999,931.2058457939175,0.04875414717062385,-154.1529798216763,-10.0,0.0,3.0,935.3413997133314,1.4267877958951078,933.3357812499999,-0.32000000000005,-0.03428562436248611,,-18.17208192425646,,falling,-3089.3800000000006,8.0,7.701173879548645,15.0,5.0,0.0,5.0,0.04875414717062385,34.45510705626492,-154.1529798216763,-0.2200329050760732,1.4267877958951078,933.3357812499999,,-18.17208192425646,,0.0,3.0,falling,-3089.3800000000006,-0.32000000000005,-0.03428562436248611,5.039999999999998,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.3}]}",False,,,,,Sell,41,,,,,,not_in_gap_or_already_strong,41.0
AVAXUSDT,Sell,48,29.33,29.118824,30.2099,Bearish,2025-09-14T13:35:28.528467+00:00,2025-09-14T19:05:28.528467+05:30,Success,20,20.0,,5.04%,27.078115293941863,-0.1319061164393709,-0.1198314106609715,-0.012074705778399392,29.91000908523853,29.565199999999997,29.220390914761463,0.15894170126449705,-98.83200508200571,-10.0,0.0,3.0,29.72836641311372,0.09748675376721604,29.30140625,-0.0159531250000029,-0.05444491252020677,,-38.67336117283176,,falling,-395268.0,4.0,6.972639127707218,15.0,5.0,12.0,5.0,0.15894170126449705,27.078115293941863,-98.83200508200571,-0.012074705778399392,0.09748675376721604,29.30140625,,-38.67336117283176,,0.0,3.0,falling,-395268.0,-0.0159531250000029,-0.05444491252020677,5.039999999999958,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 13.03}]}",False,,,,,Sell,48,,,,,,not_in_gap_or_already_strong,48.0
ADAUSDT,Sell,60,0.8898,0.88339344,0.916494,Bearish,2025-09-14T13:35:29.530891+00:00,2025-09-14T19:05:29.530891+05:30,Success,62,62.0,,5.04%,19.765109073146405,-0.004458367248280526,-0.00413632705775498,-0.00032204019052554586,0.9072393364552325,0.89742,0.8876006635447675,0.11199007515729559,-118.67324392374526,-10.0,0.0,3.0,0.9037646776021816,0.002504765625314682,0.8907015625,-0.00040781249999999325,-0.0457855377344747,,-54.76050076245076,,falling,-46501151.0,8.0,7.085703705967334,15.0,5.0,12.0,5.0,0.11199007515729559,19.765109073146405,-118.67324392374526,-0.00032204019052554586,0.002504765625314682,0.8907015625,,-54.76050076245076,,0.0,3.0,falling,-46501151.0,-0.00040781249999999325,-0.0457855377344747,5.03999999999996,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 12.91}]}",True,52.0,60.0,-0.00040781249999999325,-0.0457855377344747,Sell,60,False,0.25714197549727785,-0.0457855377344747,False,conditions_not_met,,
FARTCOINUSDT,Sell,45,0.8785,0.8721748,0.904855,Bearish,2025-09-14T13:35:40.553835+00:00,2025-09-14T19:05:40.553835+05:30,Success,20,20.0,,5.04%,27.316341212920562,-0.006506594029289214,-0.006660645697848613,0.00015405166855939848,0.9027534479463173,0.8875350000000001,0.8723165520536829,0.20315632606324519,-85.01140678147678,-10.0,0.0,3.0,0.898458673477511,0.004616081764641106,0.8787328125,0.00043124999999999414,0.04907635106660981,,-41.201929163676425,,falling,-11618930.099999998,4.0,4.0,15.0,5.0,12.0,5.0,0.20315632606324519,27.316341212920562,-85.01140678147678,0.00015405166855939848,0.004616081764641106,0.8787328125,,-41.201929163676425,,0.0,3.0,falling,-11618930.099999998,0.00043124999999999414,0.04907635106660981,5.040000000000025,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,Sell,45,,,,,,not_in_gap_or_already_strong,45.0
AAVEUSDT,Sell,40,305.01,302.813928,314.1603,Bearish,2025-09-14T13:35:51.634088+00:00,2025-09-14T19:05:51.634088+05:30,Success,65,65.0,,5.04%,24.104280512448,-1.0544321620492951,-0.9565285544274195,-0.09790360762187567,309.3090330180428,306.83250000000004,304.3559669819573,0.1320460929205766,-118.98693851545178,-10.0,0.0,3.0,308.2313768982159,0.8375532341235119,305.18953125,-0.15984375000005002,-0.05237524018119478,,-43.35246798819655,,rising,5188.100000000001,8.0,6.805417598779773,15.0,5.0,0.0,5.0,0.1320460929205766,24.104280512448,-118.98693851545178,-0.09790360762187567,0.8375532341235119,305.18953125,,-43.35246798819655,,0.0,3.0,rising,5188.100000000001,-0.15984375000005002,-0.05237524018119478,5.040000000000035,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.19}]}",False,,,,,Sell,40,,,,,,not_in_gap_or_already_strong,40.0
ARBUSDT,Buy,46,0.5138,0.51749936,0.498386,Bearish,2025-09-14T13:35:52.619894+00:00,2025-09-14T19:05:52.619894+05:30,Success,232,232.0,,5.04%,23.175334043396774,-0.002912078129557849,-0.002840781394311657,-7.129673524619226e-05,0.5244334455349096,0.518035,0.5116365544650905,0.16906024464113337,-99.47603636924234,-10.0,0.0,3.0,0.522607345783167,0.0018749872448283339,0.51375,-7.65624999999881e-05,-0.014902676399024446,,-49.93786788249015,,falling,-14249806.599999998,24.0,0.0,0.0,5.0,12.0,5.0,0.16906024464113337,23.175334043396774,-99.47603636924234,-7.129673524619226e-05,0.0018749872448283339,0.51375,,-49.93786788249015,,0.0,3.0,falling,-14249806.599999998,-7.65624999999881e-05,-0.014902676399024446,5.040000000000054,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,,,,,Buy,46,,,,,,not_in_gap_or_already_strong,46.0
