Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
BTCUSDT,Strong Sell,65,115180.0,114350.704,118635.4,Bearish,2025-09-14T13:47:12.303968+00:00,2025-09-14T19:17:12.303968+05:30,Inconclusive,600,,,5.04%,20.798891314136313,-146.49410811155394,-99.45557473150973,-47.038533380044214,115989.61418785303,115590.80500000001,115191.99581214698,-0.015039538346096878,-165.18690639763273,-10.0,0.0,3.0,115690.1104299309,89.52956873847998,115377.93125000001,-81.81406249997963,-0.07090962856900732,,-46.063596913313944,,falling,-1943.5510000000004,8.0,20.0,15.0,5.0,12.0,5.0,-0.015039538346096878,20.798891314136313,-165.18690639763273,-47.038533380044214,89.52956873847998,115377.93125000001,,-46.063596913313944,,0.0,3.0,falling,-1943.5510000000004,-81.81406249997963,-0.07090962856900732,5.0400000000000125,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,not_in_gap_or_already_strong,65.0,Sell,65,,,,,,,,,
DOGEUSDT,Sell,42,0.28322,0.28118082,0.2917166,Bearish,2025-09-14T13:47:14.642164+00:00,2025-09-14T19:17:14.642164+05:30,Success,8,8.0,,5.04%,36.312870638976,-0.000896960239979594,-0.0009277596062528208,3.079936627322689e-05,0.28708566209648256,0.28499050000000004,0.2828953379035175,0.07747899244349164,-101.37525603170847,-10.0,0.0,3.0,0.28661609576043695,0.0012644989413430196,0.28417812499999995,-1.2812500000014548e-05,-0.004508615854937656,,-22.18157656004752,,falling,-104052875.0,8.0,9.0,15.0,5.0,0.0,5.0,0.07747899244349164,36.312870638976,-101.37525603170847,3.079936627322689e-05,0.0012644989413430196,0.28417812499999995,,-22.18157656004752,,0.0,3.0,falling,-104052875.0,-1.2812500000014548e-05,-0.004508615854937656,5.040000000000067,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,
WLFIUSDT,Strong Sell,72,0.2163,0.21474264,0.222789,Bearish,2025-09-14T13:47:19.219605+00:00,2025-09-14T19:17:19.219605+05:30,Success,6,6.0,,5.04%,19.851863138620274,-0.003479106214545391,-0.0024307608262869092,-0.0010483453882584818,0.23650256431122427,0.22671000000000002,0.21691743568877578,-0.03152574081479764,-170.9310589907611,-10.0,0.0,3.0,0.2286536981423628,0.002591958946486788,0.22193281250000002,-0.0014624999999999777,-0.658983222681404,,-42.467083094881055,,falling,-312362736.0,8.0,18.707055488786388,15.0,5.0,12.0,5.0,-0.03152574081479764,19.851863138620274,-170.9310589907611,-0.0010483453882584818,0.002591958946486788,0.22193281250000002,,-42.467083094881055,,0.0,3.0,falling,-312362736.0,-0.0014624999999999777,-0.658983222681404,5.040000000000025,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,72,64.0,72.0,-0.0014624999999999777,-0.658983222681404,,,,,
1000PEPEUSDT,Sell,42,0.0113963,0.01131425,0.01173819,Bearish,2025-09-14T13:47:20.371989+00:00,2025-09-14T19:17:20.371989+05:30,Success,8,8.0,,5.04%,33.745111833066076,-4.189560576841819e-05,-4.2794392959285144e-05,8.987871908669519e-07,0.011564309826819988,0.011476255000000001,0.011388200173180015,0.04599308812760355,-121.64254459777825,-10.0,0.0,3.0,0.011554508126800313,4.768917661553021e-05,0.0114506375,-3.815625000000433e-06,-0.033322380522485616,,-25.666279543294106,,rising,34532279.0,8.0,9.0,15.0,5.0,0.0,5.0,0.04599308812760355,33.745111833066076,-121.64254459777825,8.987871908669519e-07,4.768917661553021e-05,0.0114506375,,-25.666279543294106,,0.0,3.0,rising,34532279.0,-3.815625000000433e-06,-0.033322380522485616,5.040000000000039,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,
AVNTUSDT,Sell,42,0.81356,0.80770237,0.8379668,Bearish,2025-09-14T13:47:22.725032+00:00,2025-09-14T19:17:22.725032+05:30,Success,7,7.0,,5.04%,41.92401319526695,-0.0026676633839533004,0.0009086700887544706,-0.003576333472707771,0.8612323092947249,0.8371080000000001,0.8129836907052752,0.011944576064002798,-195.34297817048184,-10.0,3.0,0.0,0.8296874481333844,0.018195072941632348,0.8286615625,-0.0015651562499999772,-0.1888776215561437,,-3.684328639041834,,falling,-8691379.0,8.0,13.717321201202406,15.0,0.0,0.0,5.0,0.011944576064002798,41.92401319526695,-195.34297817048184,-0.003576333472707771,0.018195072941632348,0.8286615625,,-3.684328639041834,,3.0,0.0,falling,-8691379.0,-0.0015651562499999772,-0.1888776215561437,5.040000000000002,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,
MYXUSDT,Sell,42,10.531,10.4551768,10.84693,Bearish,2025-09-14T13:47:25.006671+00:00,2025-09-14T19:17:25.006671+05:30,Success,8,8.0,,5.04%,38.796932677691146,-0.07850640344737414,-0.08025838695261997,0.00175198350524583,10.850084585070766,10.6572,10.464315414929233,0.17286136433946192,-103.76988022776376,-10.0,0.0,3.0,10.794104571443489,0.1440724093751595,10.606,-0.01056249999999892,-0.09958985479916009,,-18.37688919681626,,falling,-761501.0,8.0,9.0,15.0,5.0,0.0,5.0,0.17286136433946192,38.796932677691146,-103.76988022776376,0.00175198350524583,0.1440724093751595,10.606,,-18.37688919681626,,0.0,3.0,falling,-761501.0,-0.01056249999999892,-0.09958985479916009,5.0400000000000205,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,
WLDUSDT,Sell,41,1.6369,1.62511432,1.686007,Bearish,2025-09-14T13:47:27.297834+00:00,2025-09-14T19:17:27.297834+05:30,Success,8,8.0,,5.04%,54.180040665339064,-0.0018051154687557247,-0.004175251138240023,0.0023701356694842985,1.6376813140953945,1.62785,1.6180186859046055,0.9602640050041473,128.06646288894248,-10.0,0.0,3.0,1.6397340216988496,0.00951584250228319,1.6293609375000002,0.0016500000000001513,0.10126669677817479,,-5.848714804337394,,rising,3681020.0,12.0,4.0,15.0,5.0,0.0,5.0,0.9602640050041473,54.180040665339064,128.06646288894248,0.0023701356694842985,0.00951584250228319,1.6293609375000002,,-5.848714804337394,,0.0,3.0,rising,3681020.0,0.0016500000000001513,0.10126669677817479,5.040000000000009,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,
BNBUSDT,Sell,46,930.28,923.581984,958.1884,Bearish,2025-09-14T13:47:31.932463+00:00,2025-09-14T19:17:31.932463+05:30,Success,63,63.0,,5.04%,32.31949617130303,-1.056363205012076,-0.7920934589852948,-0.2642697460267811,937.3020032350341,933.918,930.5339967649659,-0.037529036960767426,-160.25312125877687,-10.0,0.0,3.0,935.0462580243308,1.566447235299198,932.520625,-0.4921875,-0.052780333947037364,,-20.84029313087255,,falling,-5545.18,8.0,13.048954705730198,15.0,5.0,0.0,5.0,-0.037529036960767426,32.31949617130303,-160.25312125877687,-0.2642697460267811,1.566447235299198,932.520625,,-20.84029313087255,,0.0,3.0,falling,-5545.18,-0.4921875,-0.052780333947037364,5.04000000000004,,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.95}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,,,,,
ADAUSDT,Sell,63,0.8896,0.88319488,0.916288,Bearish,2025-09-14T13:47:33.075737+00:00,2025-09-14T19:17:33.075737+05:30,Success,50,50.0,,5.04%,26.52183148747399,-0.004202135893975889,-0.0041323233484582104,-6.98125455176786e-05,0.906060773615273,0.8963749999999999,0.8866892263847268,0.15026025441495236,-102.02397437510997,-10.0,0.0,3.0,0.9028542110361497,0.002676886046584206,0.89035625,-0.00022656249999997158,-0.025446275016317525,,-49.4689390229133,,falling,-45883194.0,8.0,9.625914238883004,15.0,5.0,12.0,5.0,0.15026025441495236,26.52183148747399,-102.02397437510997,-6.98125455176786e-05,0.002676886046584206,0.89035625,,-49.4689390229133,,0.0,3.0,falling,-45883194.0,-0.00022656249999997158,-0.025446275016317525,5.040000000000033,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.37}]}",True,,,Sell,63,55.0,63.0,-0.00022656249999997158,-0.025446275016317525,False,0.05215951990691699,-0.025446275016317525,False,conditions_not_met
LINKUSDT,Sell,43,24.155,23.981084,24.87965,Bearish,2025-09-14T13:47:37.701025+00:00,2025-09-14T19:17:37.701025+05:30,Success,50,50.0,,5.04%,31.05553552098803,-0.07664708459365244,-0.07505776886980836,-0.0015893157238440758,24.48278261469514,24.28915,24.09551738530486,0.1535965797621253,-109.41043083900395,-10.0,0.0,3.0,24.40672111270387,0.0640754216987573,24.18453125,-0.002625000000001876,-0.010854045393176168,,-32.69363799461239,,falling,-200037.5,8.0,9.595291866381858,15.0,5.0,0.0,5.0,0.1535965797621253,31.05553552098803,-109.41043083900395,-0.0015893157238440758,0.0640754216987573,24.18453125,,-32.69363799461239,,0.0,3.0,falling,-200037.5,-0.002625000000001876,-0.010854045393176168,5.039999999999954,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.4}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,
