Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
SOLUSDT,Sell,46,243.06,241.309968,250.3518,Bearish,2025-09-14T14:26:15.355920+00:00,2025-09-14T19:56:15.355920+05:30,Success,371,371.0,,5.04%,31.10102471159196,-0.6232782791819318,-0.4986241718112123,-0.12465410737071947,246.15343659261896,244.67400000000004,243.1945634073811,-0.04547792316766409,-188.8554401916856,-10.0,0.0,3.0,245.40795919953098,0.7438381234808896,243.83468749999997,-0.2476562500000341,-0.10156727598489618,,-26.4279306021617,,falling,-1205676.6199999999,8.0,13.021975322933457,15.0,5.0,0.0,5.0,-0.04547792316766409,31.10102471159196,-188.8554401916856,-0.12465410737071947,0.7438381234808896,243.83468749999997,,-26.4279306021617,,0.0,3.0,falling,-1205676.6199999999,-0.2476562500000341,-0.10156727598489618,5.0400000000000125,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.98}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,,,,,,,
DOGEUSDT,Sell,45,0.28051,0.27849033,0.2889253,Bearish,2025-09-14T14:26:16.671747+00:00,2025-09-14T19:56:16.671747+05:30,Success,9,9.0,,5.04%,30.01565243235524,-0.0012793021675463478,-0.0011017495936074622,-0.00017755257393888566,0.28636705541933716,0.2834955,0.28062394458066287,-0.01984021967599461,-179.6543681085659,-10.0,0.0,3.0,0.28535328774414614,0.001428501476477494,0.28172203125000006,-0.0003735937499999564,-0.13261076826058713,,-29.34582637106361,,falling,-190799008.0,8.0,11.983029310575859,15.0,5.0,0.0,5.0,-0.01984021967599461,30.01565243235524,-179.6543681085659,-0.00017755257393888566,0.001428501476477494,0.28172203125000006,,-29.34582637106361,,0.0,3.0,falling,-190799008.0,-0.0003735937499999564,-0.13261076826058713,5.039999999999932,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.02}]}",False,not_in_gap_or_already_strong,45.0,Sell,45,,,,,,,,,,
XRPUSDT,Buy,54,3.022,3.0437584,2.93134,Bearish,2025-09-14T14:26:19.507983+00:00,2025-09-14T19:56:19.507983+05:30,Success,138,138.0,,5.04%,28.56242516261223,-0.007677753833852385,-0.006825553258528471,-0.0008522005753239144,3.0559699303041112,3.041065,3.026160069695889,-0.1395534769706969,-228.0158600836421,-10.0,0.0,3.0,3.0541643227261046,0.008283711799660467,3.0346796874999997,-0.0018593749999999964,-0.06127088165709405,,-31.695479009121396,,falling,-19049704.699999996,32.0,0.0,0.0,5.0,12.0,5.0,-0.1395534769706969,28.56242516261223,-228.0158600836421,-0.0008522005753239144,0.008283711799660467,3.0346796874999997,,-31.695479009121396,,0.0,3.0,falling,-19049704.699999996,-0.0018593749999999964,-0.06127088165709405,5.03999999999999,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0018593749999999964,-0.06127088165709405,,,,,,,
WLFIUSDT,Sell,49,0.2124,0.21087072,0.218772,Bearish,2025-09-14T14:26:20.456514+00:00,2025-09-14T19:56:20.456514+05:30,Success,48,48.0,,5.04%,22.062422261482226,-0.0047457992179070485,-0.004342334613985236,-0.0004034646039218128,0.23316148240039047,0.219745,0.20632851759960952,0.22626953247498693,-84.3633064973351,-10.0,0.0,3.0,0.2243540830329156,0.002741852899214941,0.2088203125,-0.0006812500000000221,-0.3262374200306889,,-54.03301215537684,,falling,-655511923.0,4.0,7.531608313814366,15.0,5.0,12.0,5.0,0.22626953247498693,22.062422261482226,-84.3633064973351,-0.0004034646039218128,0.002741852899214941,0.2088203125,,-54.03301215537684,,0.0,3.0,falling,-655511923.0,-0.0006812500000000221,-0.3262374200306889,5.03999999999998,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 12.47}]}",False,not_in_gap_or_already_strong,49.0,Sell,49,1.0,,,,,,,,,
SOMIUSDT,Sell,42,1.3514,1.34166992,1.391942,Bearish,2025-09-14T14:26:21.409430+00:00,2025-09-14T19:56:21.409430+05:30,Success,31,31.0,,5.04%,44.4608793491474,-0.00043775729655437523,0.0030431990312975786,-0.003480956327851954,1.3937936677774267,1.36952,1.3452463322225734,0.12675603526116377,-112.06678472046495,-10.0,0.0,3.0,1.3569674849552156,0.018425607076578265,1.35475,-0.0048828125,-0.36042166451374796,,-0.4534822597289152,,falling,-2585890.0,8.0,8.53406780689699,15.0,5.0,0.0,5.0,0.12675603526116377,44.4608793491474,-112.06678472046495,-0.003480956327851954,0.018425607076578265,1.35475,,-0.4534822597289152,,0.0,3.0,falling,-2585890.0,-0.0048828125,-0.36042166451374796,5.039999999999987,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.47}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
AVNTUSDT,Sell,40,0.80058,0.79481582,0.8245974,Bearish,2025-09-14T14:26:22.512986+00:00,2025-09-14T19:56:22.512986+05:30,Fail,12,,12.0,5.04%,40.6282069034706,-0.008120391888304379,-0.005471138888462277,-0.002649252999842102,0.8540663332450872,0.8224985,0.7909306667549129,0.15283489953477888,-103.88528164846822,-10.0,0.0,3.0,0.8236762579400151,0.018839906357288425,0.7996909375,-0.0024729687499999153,-0.30924056207651035,,-12.663871247689364,,falling,-7588597.0,8.0,7.374861360264299,15.0,5.0,0.0,5.0,0.15283489953477888,40.6282069034706,-103.88528164846822,-0.002649252999842102,0.018839906357288425,0.7996909375,,-12.663871247689364,,0.0,3.0,falling,-7588597.0,-0.0024729687499999153,-0.30924056207651035,5.040000000000009,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.63}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,
1000PEPEUSDT,Sell,43,0.011327,0.01124545,0.01166681,Bearish,2025-09-14T14:26:23.467546+00:00,2025-09-14T19:56:23.467546+05:30,Success,16,16.0,,5.04%,31.4820863700278,-4.724570235188283e-05,-4.4094126743730835e-05,-3.151575608151994e-06,0.011527411781253315,0.011426135,0.011324858218746686,0.010573900684883404,-167.3646907216496,-10.0,0.0,3.0,0.011506036485803863,5.31435036741926e-05,0.0113611140625,-8.615624999999683e-06,-0.07583433237799765,,-28.454504616079944,,rising,1796805627.0,8.0,10.423274894695716,15.0,5.0,0.0,5.0,0.010573900684883404,31.4820863700278,-167.3646907216496,-3.151575608151994e-06,5.31435036741926e-05,0.0113611140625,,-28.454504616079944,,0.0,3.0,rising,1796805627.0,-8.615624999999683e-06,-0.07583433237799765,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.58}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
MYXUSDT,Strong Sell,65,10.296,10.2218688,10.60488,Bearish,2025-09-14T14:26:26.324283+00:00,2025-09-14T19:56:26.324283+05:30,Fail,8,,8.0,5.04%,29.190411431763266,-0.1122276541110594,-0.09256016856025473,-0.019667485550804664,10.812250984645223,10.55,10.287749015354779,0.015731084206190616,-178.1797943844074,-10.0,0.0,3.0,10.694176302208675,0.13534137091660456,10.418140625,-0.04449999999999932,-0.4271395597522885,,-28.814947577153077,,falling,-859137.0,8.0,12.487622816456941,15.0,5.0,12.0,5.0,0.015731084206190616,29.190411431763266,-178.1797943844074,-0.019667485550804664,0.13534137091660456,10.418140625,,-28.814947577153077,,0.0,3.0,falling,-859137.0,-0.04449999999999932,-0.4271395597522885,5.0400000000000045,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,65,1.0,-0.04449999999999932,-0.4271395597522885,57.0,65.0,,,,,
WLDUSDT,Sell,43,1.6159,1.60426552,1.664377,Bearish,2025-09-14T14:26:27.272300+00:00,2025-09-14T19:56:27.272300+05:30,Success,21,21.0,,5.04%,39.222080109789246,-0.0016564288495171109,-0.001265353251478272,-0.000391075598038839,1.640982174039227,1.6291049999999998,1.6172278259607726,-0.055898227827060776,-155.49232752121748,-10.0,0.0,3.0,1.63710343926937,0.010491338068031328,1.6356109374999999,-0.0010593750000000846,-0.06476937612188624,,-4.705537445009813,,falling,-1426021.0,8.0,9.8946250985403,15.0,5.0,0.0,5.0,-0.055898227827060776,39.222080109789246,-155.49232752121748,-0.000391075598038839,0.010491338068031328,1.6356109374999999,,-4.705537445009813,,0.0,3.0,falling,-1426021.0,-0.0010593750000000846,-0.06476937612188624,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.11}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,,,,,,,
SUIUSDT,Sell,42,3.6744,3.64794432,3.784632,Bearish,2025-09-14T14:26:29.207311+00:00,2025-09-14T19:56:29.207311+05:30,Success,17,17.0,,5.04%,33.605836713835984,-0.011339807172155325,-0.012488531979067375,0.0011487248069120496,3.706361156553899,3.69016,3.6739588434461012,0.013614971018611675,-168.49838377901943,-10.0,0.0,3.0,3.71670918322142,0.012852682631894222,3.6837359375,-2.9687500000097344e-05,-0.0008059073859741703,,-29.075296184516652,,falling,-8997817.9,8.0,9.0,15.0,5.0,0.0,5.0,0.013614971018611675,33.605836713835984,-168.49838377901943,0.0011487248069120496,0.012852682631894222,3.6837359375,,-29.075296184516652,,0.0,3.0,falling,-8997817.9,-2.9687500000097344e-05,-0.0008059073859741703,5.040000000000039,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
