Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
DOGEUSDT,Sell,52,0.27378,0.27180878,0.2819934,Bearish,2025-09-14T15:32:07.467127+00:00,2025-09-14T21:02:07.467127+05:30,Fail,136,,136.0,5.04%,29.318185253690785,-0.002663779772412056,-0.0025308595880902773,-0.00013292018432177867,0.28506485655334857,0.2778015,0.2705381434466514,0.22316518055650564,-80.96007575211816,-10.0,0.0,3.0,0.2812676578981989,0.0017810331243642394,0.2723009375,5.828125000001405e-05,0.021403249851100512,,-44.40933202683641,,falling,-1050987621.0,4.0,10.791142668871712,15.0,5.0,12.0,5.0,0.22316518055650564,29.318185253690785,-80.96007575211816,-0.00013292018432177867,0.0017810331243642394,0.2723009375,,-44.40933202683641,,0.0,3.0,falling,-1050987621.0,5.828125000001405e-05,0.021403249851100512,5.039999999999995,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 13, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 9.21}]}",False,hma_not_aligned,5.828125000001405e-05,0.021403249851100512,Sell,52,,,
FUSDT,Sell,41,0.019718,0.01957603,0.02030954,Bearish,2025-09-14T15:32:18.638536+00:00,2025-09-14T21:02:18.638536+05:30,Success,1,1.0,,5.04%,36.582530559319366,-0.00018099189173513205,-1.1576226045151403e-05,-0.00016941566568998064,0.02179359381121291,0.020609250000000003,0.019424906188787096,0.12373679350455727,-126.39554546558638,-10.0,3.0,0.0,0.0204187123698279,0.0004745443920240109,0.020117828125000004,-0.0003043281249999995,-1.5127285267032244,,-12.786960554555113,,falling,-65804509.0,8.0,12.56816779399177,15.0,0.0,0.0,5.0,0.12373679350455727,36.582530559319366,-126.39554546558638,-0.00016941566568998064,0.0004745443920240109,0.020117828125000004,,-12.786960554555113,,3.0,0.0,falling,-65804509.0,-0.0003043281249999995,-1.5127285267032244,5.039999999999993,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,,,Sell,41,41.0,,
BIOUSDT,Sell,48,0.175,0.17374,0.18025,Bearish,2025-09-14T15:32:28.193947+00:00,2025-09-14T21:02:28.193947+05:30,Success,5,5.0,,5.04%,32.380333885355356,-0.0010008437234251821,-0.0004028910173406662,-0.000597952706084516,0.18467830033946803,0.18016349999999998,0.17564869966053193,-0.0718414560729356,-227.55361686659413,-10.0,0.0,3.0,0.1799774750855782,0.0022345584526808205,0.17891812499999998,-0.0002850000000000352,-0.1592907370340681,,-14.590779331216613,,falling,-38158573.0,8.0,15.422237435235367,15.0,5.0,0.0,5.0,-0.0718414560729356,32.380333885355356,-227.55361686659413,-0.000597952706084516,0.0022345584526808205,0.17891812499999998,,-14.590779331216613,,0.0,3.0,falling,-38158573.0,-0.0002850000000000352,-0.1592907370340681,5.0400000000000444,,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,,,Sell,48,48.0,,
UBUSDT,Sell,41,0.038906,0.03862588,0.04007318,Bearish,2025-09-14T15:32:30.387584+00:00,2025-09-14T21:02:30.387584+05:30,Success,2,2.0,,5.04%,53.131856368008464,-0.00014501666511369804,-0.0003309071312153549,0.00018589046610165686,0.039035787170097154,0.038228899999999996,0.03742201282990284,0.9195753911407941,141.77991296922812,-10.0,0.0,3.0,0.03941994200041327,0.0007206857353748597,0.03855815625,0.000172421875000002,0.44717354710133994,,-7.412649426027601,,rising,7616592.0,12.0,4.0,15.0,5.0,0.0,5.0,0.9195753911407941,53.131856368008464,141.77991296922812,0.00018589046610165686,0.0007206857353748597,0.03855815625,,-7.412649426027601,,0.0,3.0,rising,7616592.0,0.000172421875000002,0.44717354710133994,5.040000000000051,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,,,Sell,41,41.0,,
HUSDT,Strong Sell,71,0.05557,0.0551699,0.0572371,Bearish,2025-09-14T15:32:32.256765+00:00,2025-09-14T21:02:32.256765+05:30,Success,2,2.0,,5.04%,27.43188633695533,-0.001105991775757667,-0.0006906642105517256,-0.00041532756520594146,0.06244569544816345,0.059078,0.055710304551836544,-0.020830944186633102,-174.90545995326062,-10.0,0.0,3.0,0.05980142426513821,0.0010520267416393554,0.057302187500000004,-0.0005106250000000007,-0.8911090872403443,,-33.74155209614293,,falling,-92077164.0,8.0,18.474912728368338,15.0,5.0,12.0,5.0,-0.020830944186633102,27.43188633695533,-174.90545995326062,-0.00041532756520594146,0.0010520267416393554,0.057302187500000004,,-33.74155209614293,,0.0,3.0,falling,-92077164.0,-0.0005106250000000007,-0.8911090872403443,5.03999999999998,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,-0.0005106250000000007,-0.8911090872403443,Sell,71,,63.0,71.0
XPINUSDT,Buy,41,0.0025503,0.00256866,0.00247379,Bearish,2025-09-14T15:32:37.522248+00:00,2025-09-14T21:02:37.522248+05:30,Success,2,2.0,,5.04%,69.28562152229236,0.0001939517801645865,0.00015014597201141945,4.380580815316706e-05,0.002751518862258619,0.002102235,0.0014529511377413809,0.8450455386657441,103.6157674356791,-10.0,3.0,0.0,0.0019781586029941753,0.00015636151275919504,0.0026326140625,6.369531250000017e-05,2.4194701915218597,,34.55864095084445,,rising,10691986417.0,8.0,15.723773498502329,7.0,5.0,0.0,5.0,0.8450455386657441,69.28562152229236,103.6157674356791,4.380580815316706e-05,0.00015636151275919504,0.0026326140625,,34.55864095084445,,3.0,0.0,rising,10691986417.0,6.369531250000017e-05,2.4194701915218597,5.039999999999962,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,,,Buy,41,41.0,,
BTRUSDT,Sell,44,0.1391,0.13809848,0.143273,Bearish,2025-09-14T15:32:39.731701+00:00,2025-09-14T21:02:39.731701+05:30,Success,1,1.0,,5.04%,40.63114246867793,-0.0011081159364130788,0.003046736289962545,-0.004154852226375624,0.18539226511477974,0.1573545,0.12931673488522027,0.17446585123189096,-94.9447090038737,-10.0,0.0,3.0,0.14081309222734026,0.00888129720519261,0.13503546874999997,-0.004955156250000037,-3.6695220121565564,,-3.418483279655219,,falling,-317506610.0,4.0,15.2276901818705,15.0,5.0,0.0,5.0,0.17446585123189096,40.63114246867793,-94.9447090038737,-0.004154852226375624,0.00888129720519261,0.13503546874999997,,-3.418483279655219,,0.0,3.0,falling,-317506610.0,-0.004955156250000037,-3.6695220121565564,5.040000000000029,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,,,Sell,44,44.0,,
ETHFIUSDT,Strong Sell,65,1.4464,1.43598592,1.489792,Bearish,2025-09-14T15:32:52.754607+00:00,2025-09-14T21:02:52.754607+05:30,Fail,429,,429.0,5.04%,29.216000066416086,-0.009941311370683437,-0.008962309672375858,-0.0009790016983075786,1.4915648750274335,1.465475,1.4393851249725667,0.13443673110846896,-110.66616610353266,-10.0,0.0,3.0,1.4796749842251014,0.008294418453517438,1.44691875,-0.0014281250000001133,-0.09870111918862848,,-37.69362074225634,,falling,-1972803.7999999998,8.0,11.832753241358091,15.0,5.0,12.0,5.0,0.13443673110846896,29.216000066416086,-110.66616610353266,-0.0009790016983075786,0.008294418453517438,1.44691875,,-37.69362074225634,,0.0,3.0,falling,-1972803.7999999998,-0.0014281250000001133,-0.09870111918862848,5.04000000000005,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,-0.0014281250000001133,-0.09870111918862848,Sell,65,,57.0,65.0
BCHUSDT,Sell,40,591.22,586.963216,608.9566,Bearish,2025-09-14T15:32:55.652467+00:00,2025-09-14T21:02:55.652467+05:30,Inconclusive,600,,,5.04%,39.425864436826885,-0.6970424975474998,-0.48778593783043617,-0.20925655971706364,595.4491301845031,592.8905,590.3318698154968,0.17355579362002851,-120.14571948998466,-10.0,0.0,3.0,593.136780575292,1.6659665351415522,591.0878125,-0.10624999999993179,-0.017975332556857918,,-18.01162793129687,,falling,-9131.651,8.0,7.0145608133616015,15.0,5.0,0.0,5.0,0.17355579362002851,39.425864436826885,-120.14571948998466,-0.20925655971706364,1.6659665351415522,591.0878125,,-18.01162793129687,,0.0,3.0,falling,-9131.651,-0.10624999999993179,-0.017975332556857918,5.040000000000045,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.99}]}",False,not_in_gap_or_already_strong,,,Sell,40,40.0,,
LDOUSDT,Sell,42,1.2174,1.20863472,1.253922,Bearish,2025-09-14T15:33:10.591050+00:00,2025-09-14T21:03:10.591050+05:30,Inconclusive,600,,,5.04%,34.53604265187538,-0.0052964276201981075,-0.0056147321712920265,0.0003183045510939189,1.237204871689394,1.2251299999999998,1.2130551283106057,0.17991378298498312,-102.81814178775744,-10.0,0.0,3.0,1.2359654804767581,0.005674537473374101,1.2177328125,0.0007968750000002522,0.06543923197439933,,-29.89002557582618,,falling,-4357412.0,8.0,9.0,15.0,5.0,0.0,5.0,0.17991378298498312,34.53604265187538,-102.81814178775744,0.0003183045510939189,0.005674537473374101,1.2177328125,,-29.89002557582618,,0.0,3.0,falling,-4357412.0,0.0007968750000002522,0.06543923197439933,5.039999999999992,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,,,Sell,42,42.0,,
