Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
HIFIUSDT,Strong Sell,65,0.46949,0.46610967,0.4835747,Bearish,2025-09-14T17:24:12.027214+00:00,2025-09-14T22:54:12.027214+05:30,Fail,3,,3.0,5.04%,25.782534629630163,-0.018776973429476262,-0.012965258120003703,-0.005811715309472559,0.5685838498760329,0.522556,0.4765281501239671,-0.07645534326416474,-210.3810433179263,-5.0,0.0,3.0,0.5411917804775512,0.01706773491703221,0.5022009375,-0.008734218750000022,-1.739188061551562,,-32.362129462700864,,falling,-41304667.0,8.0,12.172213132285677,15.0,5.0,12.0,5.0,-0.07645534326416474,25.782534629630163,-210.3810433179263,-0.005811715309472559,0.01706773491703221,0.5022009375,,-32.362129462700864,,0.0,3.0,falling,-41304667.0,-0.008734218750000022,-1.739188061551562,5.039999999999982,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,57.0,65.0,-0.008734218750000022,-1.739188061551562,Sell,65,,
SOMIUSDT,Sell,43,1.2876,1.27832928,1.326228,Bearish,2025-09-14T17:24:17.556498+00:00,2025-09-14T22:54:17.556498+05:30,Fail,24,,24.0,5.04%,34.07917112002943,-0.013517162754872025,-0.00917960794556542,-0.004337554809306605,1.3614718445101752,1.3197750000000001,1.278078155489825,0.1141794375813192,-144.77726574500704,-5.0,0.0,3.0,1.3308390753803163,0.017265518909010288,1.3022062500000002,-0.011553125000000053,-0.887196248674129,,-25.038383013041727,,falling,-8351077.0,8.0,10.029434503067936,15.0,5.0,0.0,5.0,0.1141794375813192,34.07917112002943,-144.77726574500704,-0.004337554809306605,0.017265518909010288,1.3022062500000002,,-25.038383013041727,,0.0,3.0,falling,-8351077.0,-0.011553125000000053,-0.887196248674129,5.039999999999975,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.97}]}",False,,,,,Sell,43,not_in_gap_or_already_strong,43.0
OPENUSDT,Sell,42,1.0101,1.00282728,1.040403,Bearish,2025-09-14T17:24:26.136550+00:00,2025-09-14T22:54:26.136550+05:30,Success,8,8.0,,5.04%,71.0637448110638,0.006390687864570088,0.004476742129526004,0.001913945735044084,1.0130827699849188,0.9934049999999999,0.973727230015081,0.924209654162927,134.0663169508919,-5.0,0.0,3.0,0.9940528209193777,0.007799306719665658,1.007978125,0.0020374999999999144,0.20213732316858704,,29.220234554034114,,rising,10706700.0,24.0,0.0,8.0,5.0,0.0,5.0,0.924209654162927,71.0637448110638,134.0663169508919,0.001913945735044084,0.007799306719665658,1.007978125,,29.220234554034114,,0.0,3.0,rising,10706700.0,0.0020374999999999144,0.20213732316858704,5.040000000000007,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,,,,,Sell,42,not_in_gap_or_already_strong,42.0
QUSDT,Strong Sell,70,0.024867,0.02468796,0.02561301,Bearish,2025-09-14T17:24:27.023695+00:00,2025-09-14T22:54:27.023695+05:30,Success,1,1.0,,5.04%,25.971501963051097,-0.0011026037837336203,-0.0007856047339022924,-0.00031699904983132786,0.03150395371919531,0.027923999999999997,0.024344046280804686,0.07303917315904039,-142.12363583614564,-5.0,0.0,3.0,0.028579662252268486,0.0009698078388144651,0.0257428125,-0.00038946875000000006,-1.512922296272018,,-34.03532646797665,,falling,-409093586.0,8.0,16.844829554329223,15.0,5.0,12.0,5.0,0.07303917315904039,25.971501963051097,-142.12363583614564,-0.00031699904983132786,0.0009698078388144651,0.0257428125,,-34.03532646797665,,0.0,3.0,falling,-409093586.0,-0.00038946875000000006,-1.512922296272018,5.039999999999976,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,62.0,70.0,-0.00038946875000000006,-1.512922296272018,Sell,70,,
XPINUSDT,Sell,45,0.0017334,0.00172092,0.0017854,Bearish,2025-09-14T17:24:30.158995+00:00,2025-09-14T22:54:30.158995+05:30,Success,1,1.0,,5.04%,35.54778719275069,-0.00010737503190350333,-6.414677729337961e-05,-4.3228254610123715e-05,0.0024060485944831706,0.00201022,0.0016143914055168297,0.15032844536984324,-114.90129593749019,-5.0,0.0,3.0,0.001983512387043102,0.00013191078821368643,0.0017188218750000003,-4.8343749999999776e-05,-2.8126096545053434,,-21.121234429550718,,falling,-11619934829.0,8.0,11.864998190764547,15.0,5.0,0.0,5.0,0.15032844536984324,35.54778719275069,-114.90129593749019,-4.3228254610123715e-05,0.00013191078821368643,0.0017188218750000003,,-21.121234429550718,,0.0,3.0,falling,-11619934829.0,-4.8343749999999776e-05,-2.8126096545053434,5.04000000000003,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.14}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0
UBUSDT,Sell,49,0.037477,0.03720717,0.03860131,Bearish,2025-09-14T17:24:31.106183+00:00,2025-09-14T22:54:31.106183+05:30,Success,1,1.0,,5.04%,36.417991186307574,-0.0003026137877463059,-0.00013354125318561715,-0.00016907253456068872,0.039912945731028264,0.038546000000000004,0.037179054268971744,0.1089822822754402,-127.63709789780803,-5.0,0.0,3.0,0.03884079943191763,0.0005936187398694383,0.037888953125,-0.00039260937499999843,-1.0362106699140912,,-16.946853755860076,,falling,-42891145.0,8.0,15.835600962242191,15.0,5.0,0.0,5.0,0.1089822822754402,36.417991186307574,-127.63709789780803,-0.00016907253456068872,0.0005936187398694383,0.037888953125,,-16.946853755860076,,0.0,3.0,falling,-42891145.0,-0.00039260937499999843,-1.0362106699140912,5.040000000000035,,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,Sell,49,not_in_gap_or_already_strong,49.0
ARBUSDT,Sell,44,0.5162,0.51248336,0.531686,Bearish,2025-09-14T17:24:45.659225+00:00,2025-09-14T22:54:45.659225+05:30,Success,100,100.0,,5.04%,63.64367148136485,0.0007876429629776194,0.0003952198031562911,0.0003924231598213283,0.5160106637205913,0.51266,0.5093093362794087,1.0282535484305826,162.6083367725893,-5.0,0.0,3.0,0.5138570300051563,0.0017674244115326422,0.5139453125000001,3.750000000013465e-05,0.007296496161765196,,11.159061998976748,,rising,12380847.600000001,26.0,0.0,8.0,5.0,0.0,5.0,1.0282535484305826,63.64367148136485,162.6083367725893,0.0003924231598213283,0.0017674244115326422,0.5139453125000001,,11.159061998976748,,0.0,3.0,rising,12380847.600000001,3.750000000013465e-05,0.007296496161765196,5.040000000000066,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,,,,,Sell,44,not_in_gap_or_already_strong,44.0
BAKEUSDT,Sell,40,0.1091,0.10831448,0.112373,Bearish,2025-09-14T17:24:49.601763+00:00,2025-09-14T22:54:49.601763+05:30,Fail,33,,33.0,5.04%,38.35800494422954,-0.000871264509717834,-0.0006898168483309714,-0.00018144766138686254,0.11296902299521604,0.110845,0.10872097700478396,0.08922290296991116,-163.74018558172926,-5.0,0.0,3.0,0.11190691470096185,0.001397388471752534,0.1102421875,-0.0005749999999999922,-0.5215789100701509,,-18.35900248874061,,falling,-9745456.0,8.0,7.116344496404211,15.0,5.0,0.0,5.0,0.08922290296991116,38.35800494422954,-163.74018558172926,-0.00018144766138686254,0.001397388471752534,0.1102421875,,-18.35900248874061,,0.0,3.0,falling,-9745456.0,-0.0005749999999999922,-0.5215789100701509,5.039999999999986,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.88}]}",False,,,,,Sell,40,not_in_gap_or_already_strong,40.0
ETHFIUSDT,Sell,44,1.4717,1.46110376,1.515851,Bearish,2025-09-14T17:24:50.813455+00:00,2025-09-14T22:54:50.813455+05:30,Success,57,57.0,,5.04%,60.647467065645785,0.0008163787134256584,-0.001427875674168854,0.0022442543875945123,1.4698814500154136,1.45785,1.4458185499845866,1.0755748468495763,177.86936430623598,-5.0,0.0,3.0,1.467323280485179,0.007038577274774377,1.461340625,0.0006374999999998465,0.04362432612176552,,2.8299129077811025,,rising,1992268.7999999998,26.0,0.0,8.0,5.0,0.0,5.0,1.0755748468495763,60.647467065645785,177.86936430623598,0.0022442543875945123,0.007038577274774377,1.461340625,,2.8299129077811025,,0.0,3.0,rising,1992268.7999999998,0.0006374999999998465,0.04362432612176552,5.039999999999964,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,,,,,Sell,44,not_in_gap_or_already_strong,44.0
FILUSDT,Buy,40,2.524,2.5421728,2.44828,Bearish,2025-09-14T17:24:51.720491+00:00,2025-09-14T22:54:51.720491+05:30,Success,326,326.0,,5.04%,67.00856574516447,0.005353489966489988,0.0032186628868530465,0.0021348270796369417,2.524648376189734,2.50585,2.4870516238102662,0.9827544628538687,138.56675587273372,-5.0,3.0,0.0,2.510239856981213,0.008703956421856483,2.51746875,0.0012343749999996767,0.04903238620140476,,18.738430576150275,,rising,1341403.6999999997,8.0,14.886501198768457,7.0,5.0,0.0,5.0,0.9827544628538687,67.00856574516447,138.56675587273372,0.0021348270796369417,0.008703956421856483,2.51746875,,18.738430576150275,,3.0,0.0,rising,1341403.6999999997,0.0012343749999996767,0.04903238620140476,5.039999999999966,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,,,,,Buy,40,not_in_gap_or_already_strong,40.0
