Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling
BTCUSDT,Buy,40,115648.3,116480.96776,112178.851,Bullish,2025-09-14T20:27:27.007472+00:00,2025-09-15T01:57:27.007472+05:30,Success,569,569.0,,5.04%,62.797464862497336,65.14346211400698,51.12023190750922,14.023230206497757,115779.49967111682,115524.45,115269.40032888317,0.7427958433698143,77.25644226573971,10.0,3.0,0.0,115498.507429225,45.79410829304503,115710.584375,6.907812500008731,0.005969905464846315,,28.083669102270942,,rising,563.445,4.0,11.349362996703679,15.0,5.0,0.0,5.0,0.7427958433698143,62.797464862497336,77.25644226573971,14.023230206497757,45.79410829304503,115710.584375,,28.083669102270942,,3.0,0.0,rising,563.445,6.907812500008731,0.005969905464846315,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.65}]}",False,not_in_gap_or_already_strong,40,Buy,40,
PUMPUSDT,Strong Buy,67,0.008102,0.00816033,0.00785894,Bullish,2025-09-14T20:27:29.835135+00:00,2025-09-15T01:57:29.835135+05:30,Fail,10,,10.0,5.04%,25.566676061968366,-9.763936985019567e-05,-7.009272365635072e-05,-2.7546646193844944e-05,0.008590530641133194,0.00835015,0.008109769358866807,-0.016160533623217864,-187.52962209703486,10.0,3.0,0.0,0.008392444390997874,9.140471837883218e-05,0.008214390624999998,-4.1765625000002304e-05,-0.5084445932348428,,-33.840933009991474,,falling,-3279193328.0,32.0,0.0,8.0,10.0,12.0,5.0,-0.016160533623217864,25.566676061968366,-187.52962209703486,-2.7546646193844944e-05,9.140471837883218e-05,0.008214390624999998,,-33.840933009991474,,3.0,0.0,falling,-3279193328.0,-4.1765625000002304e-05,-0.5084445932348428,5.040000000000026,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",False,not_in_gap_or_already_strong,67,Buy,67,1.0
MYXUSDT,Buy,45,11.179,11.2594888,10.84363,Bullish,2025-09-14T20:27:36.784653+00:00,2025-09-15T01:57:36.784653+05:30,Fail,21,,21.0,5.04%,58.5239762007586,0.018299249356308778,0.00042621388107873595,0.017873035475230042,11.216334616425632,10.99945,10.782565383574367,0.913929772795957,125.54001297255016,10.0,3.0,0.0,10.98312101741771,0.16430468787831262,10.936078125,-0.000718749999998991,-0.0065722829682052135,,3.3952169240049788,,rising,435354.0,8.0,11.61071584106725,15.0,5.0,0.0,5.0,0.913929772795957,58.5239762007586,125.54001297255016,0.017873035475230042,0.16430468787831262,10.936078125,,3.3952169240049788,,3.0,0.0,rising,435354.0,-0.000718749999998991,-0.0065722829682052135,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.39}]}",False,not_in_gap_or_already_strong,45,Buy,45,
BNBUSDT,Buy,41,929.96,936.655712,902.0612,Bullish,2025-09-14T20:27:42.948076+00:00,2025-09-15T01:57:42.948076+05:30,Inconclusive,600,,,5.04%,61.67730284134039,0.5156965964432629,0.384495879710388,0.13120071673287492,930.5126505863782,928.445,926.3773494136219,0.8663578386940569,122.16086035793757,10.0,3.0,0.0,928.2382169202747,0.863605539454297,928.7031249999999,-0.03875000000005002,-0.004172485152351568,,13.93049131315858,,rising,2476.02,8.0,7.646128999564665,15.0,5.0,0.0,5.0,0.8663578386940569,61.67730284134039,122.16086035793757,0.13120071673287492,0.863605539454297,928.7031249999999,,13.93049131315858,,3.0,0.0,rising,2476.02,-0.03875000000005002,-0.004172485152351568,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.35}]}",False,not_in_gap_or_already_strong,41,Buy,41,
ENAUSDT,Buy,41,0.7492,0.75459424,0.726724,Bullish,2025-09-14T20:27:43.892755+00:00,2025-09-15T01:57:43.892755+05:30,Success,66,66.0,,5.04%,56.98813728998376,0.0005132928405954251,0.00010720697568793129,0.00040608586490749386,0.7506272923603102,0.7464299999999999,0.7422327076396896,0.8299746315259378,102.43866281225084,10.0,3.0,0.0,0.7457053578968917,0.0022686667952851514,0.7462359375,0.000765624999999992,0.1025982482919475,,5.872333425698598,,rising,5396027.0,8.0,8.29594190651292,15.0,5.0,0.0,5.0,0.8299746315259378,56.98813728998376,102.43866281225084,0.00040608586490749386,0.0022686667952851514,0.7462359375,,5.872333425698598,,3.0,0.0,rising,5396027.0,0.000765624999999992,0.1025982482919475,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.7}]}",False,not_in_gap_or_already_strong,41,Buy,41,
MOODENGUSDT,Buy,40,0.21896,0.22053651,0.2123912,Bullish,2025-09-14T20:27:54.891194+00:00,2025-09-15T01:57:54.891194+05:30,Fail,163,,163.0,5.04%,48.280802900276,0.00033437130359972866,0.0005904514857554236,-0.00025608018215569493,0.2249862022431986,0.2206985,0.2164107977568014,0.2972690381243578,-60.46277963296759,10.0,3.0,0.0,0.218286253675387,0.0028592969049305653,0.2191959375,0.0005417187499999754,0.24713904654367758,,2.974739343760273,,falling,-8349101.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2972690381243578,48.280802900276,-60.46277963296759,-0.00025608018215569493,0.0028592969049305653,0.2191959375,,2.974739343760273,,3.0,0.0,falling,-8349101.0,0.0005417187499999754,0.24713904654367758,5.040000000000007,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40,
UBUSDT,Buy,45,0.039405,0.03968872,0.03822285,Bullish,2025-09-14T20:27:56.795594+00:00,2025-09-15T01:57:56.795594+05:30,Fail,29,,29.0,5.04%,63.53135185737975,0.00024055046796640084,0.00018469468137752865,5.585578658887219e-05,0.03965550845069117,0.03878615,0.037916791549308826,0.855923382068694,168.50311397587333,10.0,3.0,0.0,0.038677545528985106,0.0004966359217565351,0.03897453125000001,-1.4203124999993821e-05,-0.03644206753607542,,15.415423262506062,,rising,82282500.0,8.0,11.699238656341299,15.0,5.0,0.0,5.0,0.855923382068694,63.53135185737975,168.50311397587333,5.585578658887219e-05,0.0004966359217565351,0.03897453125000001,,15.415423262506062,,3.0,0.0,rising,82282500.0,-1.4203124999993821e-05,-0.03644206753607542,5.040000000000059,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.3}]}",False,not_in_gap_or_already_strong,45,Buy,45,
AAVEUSDT,Buy,41,309.01,311.234872,299.7397,Bullish,2025-09-14T20:28:09.492765+00:00,2025-09-15T01:58:09.492765+05:30,Inconclusive,600,,,5.04%,65.38143464179757,0.5963830827533343,0.4836143991897936,0.1127686835635407,309.32077989613634,307.527,305.73322010386363,0.91337290132258,137.48276541263638,10.0,3.0,0.0,306.9274621882314,0.6099490239874833,308.39890625,0.12093749999996817,0.039214633239305845,,23.993887829444486,,rising,15092.7,8.0,8.437171466939695,15.0,5.0,0.0,5.0,0.91337290132258,65.38143464179757,137.48276541263638,0.1127686835635407,0.6099490239874833,308.39890625,,23.993887829444486,,3.0,0.0,rising,15092.7,0.12093749999996817,0.039214633239305845,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.56}]}",False,not_in_gap_or_already_strong,41,Buy,41,
ETHFIUSDT,Buy,42,1.4793,1.48995096,1.434921,Bullish,2025-09-14T20:28:15.733156+00:00,2025-09-15T01:58:15.733156+05:30,Success,133,133.0,,5.04%,61.27006359059152,0.0029599861815778894,0.0018188843627853402,0.0011411018187925492,1.4811940448283274,1.470075,1.4589559551716726,0.9148287979061843,134.64620434119712,10.0,3.0,0.0,1.469444292144397,0.00510665639958615,1.4721781250000001,0.0012578125000002327,0.08543887989099366,,15.740274575387799,,rising,624321.3,8.0,9.362891392739996,15.0,5.0,0.0,5.0,0.9148287979061843,61.27006359059152,134.64620434119712,0.0011411018187925492,0.00510665639958615,1.4721781250000001,,15.740274575387799,,3.0,0.0,rising,624321.3,0.0012578125000002327,0.08543887989099366,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.64}]}",False,not_in_gap_or_already_strong,42,Buy,42,
EIGENUSDT,Buy,45,1.6318,1.64354896,1.582846,Bullish,2025-09-14T20:28:20.466832+00:00,2025-09-15T01:58:20.466832+05:30,Fail,281,,281.0,5.04%,68.68013705168669,0.00767842020011944,0.004773750758034744,0.0029046694420846965,1.6331872906984781,1.607825,1.582462709301522,0.9726505244543733,167.21495148871114,10.0,3.0,0.0,1.6029590256591237,0.008571149098737364,1.6167984375,0.003031249999999819,0.1874847185458032,,28.03899398372634,,rising,722299.1000000001,8.0,12.133339626573777,15.0,5.0,0.0,5.0,0.9726505244543733,68.68013705168669,167.21495148871114,0.0029046694420846965,0.008571149098737364,1.6167984375,,28.03899398372634,,3.0,0.0,rising,722299.1000000001,0.003031249999999819,0.1874847185458032,5.040000000000013,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.87}]}",False,not_in_gap_or_already_strong,45,Buy,45,
