===== BACKTEST REPORT FOR: signals_2025-08-15_01-11-28.json =====
Signal Generation Time (UTC): 2025-08-14 19:41:28

--- BUY SIGNALS ---
    Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
BERAUSDT    Buy   58              False Success             71           2.264             2.114               No         55          40           True          False           False            False             None              False              N/A

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
     ETHUSDT   Sell   60              False Success             26     4451.000000       4565.420000               No        -10          15          False          False            True             True            False               True              N/A
     BTCUSDT   Sell   60              False    Fail              8   117255.000000     118500.000000              Yes        -10          15          False          False           False             True            False               True              N/A
     XRPUSDT   Sell   67              False Success             13        3.027800          3.096500               No         15          30           True          False           False             True            False               True              N/A
    DOGEUSDT   Sell   60              False Success             15        0.217300          0.224750               No        -10          15          False          False            True             True            False               True              N/A
     ENAUSDT   Sell   60              False Success             20        0.702600          0.741200               No        -10          15          False          False           False             True            False              False              N/A
1000PEPEUSDT   Sell   60              False Success             26        0.010806          0.011126               No        -10          15          False          False            True             True            False               True              N/A
     SUIUSDT   Sell   60              False Success             14        3.650000          3.764000               No        -10          15          False          False           False             True            False               True              N/A
     SKLUSDT   Sell   67              False Success             25        0.047120          0.052310               No         15          30           True          False           False             True            False              False              N/A
     BNBUSDT   Sell   60              False Success             19      825.180000        844.000000               No        -10          15          False          False           False             True            False               True              N/A
     ARBUSDT   Sell   60              False Success             26        0.501300          0.524100               No        -10          15          False          False           False             True             True               True              N/A
     LTCUSDT   Sell   60              False Success             27      119.420000        121.980000               No        -10          15          False          False            True             True            False               True              N/A
     MYXUSDT   Sell   67              False    Fail             27        1.578900          1.629900               No         15          30           True          False           False             True            False              False              N/A
1000BONKUSDT   Sell   60              False Success             26        0.023217          0.024053               No        -10          15          False          False            True             True            False               True              N/A
    HYPEUSDT   Sell   67              False Success             12       44.146000         46.386000               No         15          30           True          False           False             True            False               True              N/A
   PROVEUSDT   Sell   60              False    Fail             39        1.271600          1.321500              Yes        -10          15          False          False            True             True            False              False              N/A
   PENGUUSDT   Sell   60              False Success             24        0.031949          0.033088               No        -10          15          False          False            True             True            False               True              N/A
     UNIUSDT   Sell   60              False Success             19       10.706000         10.937000               No        -10          15          False          False            True             True            False               True              N/A
    AAVEUSDT   Sell   60              False Success             25      303.510000        311.940000               No        -10          15          False          False            True             True            False               True              N/A
    PUMPUSDT   Sell   67              False    Fail              5        0.003563          0.003705              Yes         15          30           True          False           False             True            False              False              N/A
     GTCUSDT   Sell   60              False Success             43        0.373000          0.389000               No        -10          15          False          False            True             True            False              False              N/A
     XLMUSDT   Sell   75              False Success             15        0.415250          0.426890               No        -10          30           True          False           False             True            False               True              N/A
