===== BACKTEST REPORT FOR: signals_2025-08-16_01-23-26.json =====
Signal Generation Time (UTC): 2025-08-15 19:53:26

--- SELL SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK  MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
     ETHUSDT   Sell   89              False         Fail           34.0     4364.000000       4459.680000               No          5          40           True          False            True             True              True               True              N/A
     SOLUSDT   Sell   60              False         Fail          126.0      183.260000        187.360000               No        -10          15          False          False            True             True             False               True              N/A
     XRPUSDT   Sell   60              False         Fail           37.0        3.052800          3.095700               No        -10          15          False          False           False             True              True               True              N/A
    DOGEUSDT   Sell   60              False         Fail           38.0        0.220630          0.229850               No        -10          15          False          False            True             True              True               True              N/A
     ADAUSDT   Sell   60              False         Fail           67.0        0.925700          0.958100               No        -10          15          False          False            True             True              True               True              N/A
     ENAUSDT   Sell   60              False         Fail           11.0        0.697600          0.723400               No        -10          15          False          False           False             True             False               True              N/A
     SUIUSDT   Sell   80              False         Fail           39.0        3.640000          3.737600               No        -10          40           True          False            True             True              True               True              N/A
1000PEPEUSDT   Sell   60              False         Fail           35.0        0.010596          0.010870               No        -10          15          False          False            True             True              True               True              N/A
     SKLUSDT   Sell   67              False         Fail            6.0        0.036410          0.038800              Yes         20          40           True          False            True             True              True              False              N/A
     XNYUSDT   Sell   75              False Inconclusive            NaN        0.025502          0.029351               No         15          45           True           True           False             True             False              False              N/A
     BNBUSDT   Sell   60              False         Fail           21.0      819.400000        830.760000               No        -10          15          False          False            True             True              True               True              N/A
    AVAXUSDT   Sell   75              False         Fail           38.0       23.453000         24.014000               No          5          15          False          False            True             True              True               True              N/A
    LINKUSDT   Sell   80              False         Fail           69.0       21.356000         21.831000               No        -10          40           True          False            True             True              True               True              N/A
    HYPEUSDT   Sell   60              False         Fail           19.0       45.974000         48.350000               No        -10          15          False          False            True             True             False               True              N/A
FARTCOINUSDT   Sell   89              False         Fail           18.0        0.913200          0.954500               No          5          40           True          False            True             True              True              False              N/A
     ARBUSDT   Sell   89              False         Fail           64.0        0.471500          0.486500               No          5          40           True          False            True             True              True               True              N/A
     MYXUSDT   Sell   60              False         Fail           13.0        1.920600          2.120900               No        -10          15          False          False           False             True              True              False              N/A
   PENGUUSDT   Sell   60              False         Fail           38.0        0.031502          0.032520               No        -10          15          False          False           False             True              True               True              N/A
     LTCUSDT   Sell   60              False         Fail           35.0      117.160000        119.580000               No        -10          15          False          False           False             True              True               True              N/A
     WIFUSDT   Sell   60              False         Fail           69.0        0.862600          0.883800               No        -10          15          False          False            True             True              True               True              N/A
   TRUMPUSDT   Sell   60              False         Fail          127.0        9.109000          9.536000               No        -10          15          False          False           False             True              True               True              N/A
    PUMPUSDT   Sell   89              False         Fail           43.0        0.003326          0.003518               No          5          40           True          False            True             True              True              False              N/A
1000BONKUSDT   Sell   60              False         Fail           19.0        0.022849          0.023739               No        -10          15          False          False            True             True              True               True              N/A
