===== BACKTEST REPORT FOR: signals_2025-08-16_11-11-25.json =====
Signal Generation Time (UTC): 2025-08-16 05:41:25

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK      Downgrade_Reason
     ETHUSDT    Buy   81              False Success             95     4462.240000       4407.000000               No         65          15           True           True           False             True             None               True                   N/A
     BTCUSDT    Buy   60              False    Fail             33   117632.800000     117226.800000               No         15         -10          False          False           False             True             None               True                   N/A
     SOLUSDT    Buy   67              False Success             75      189.530000        186.010000               No         30          15           True          False           False             True             None               True                   N/A
    DOGEUSDT    Buy   81              False    Fail             57        0.233600          0.229570              Yes         65          15           True           True           False             True             None               True                   N/A
     XRPUSDT    Buy   81              False Success             61        3.139800          3.087100               No         65          15           True           True            True             True             None               True Min Profit Veto (<2%)
     ADAUSDT    Buy   81              False Success             37        0.969700          0.942200               No         65          15           True           True           False             True             None               True                   N/A
     ENAUSDT    Buy   60              False    Fail             19        0.737200          0.723200              Yes         15         -10          False          False            True             True             None               True                   N/A
     XNYUSDT    Buy   60              False Success             11        0.028061          0.025506               No         15         -10          False          False           False             True             None              False                   N/A
     SUIUSDT    Buy   84              False Success            109        3.730500          3.692800               No         80          15           True           True           False             True             None               True                   N/A
1000PEPEUSDT    Buy   67              False    Fail             55        0.010875          0.010777               No         30          15           True          False           False             True             None               True                   N/A
     MYXUSDT    Buy   60              False    Fail             55        1.980900          1.780200              Yes         15         -10          False          False           False             True             None              False                   N/A
     BNBUSDT    Buy   60              False    Fail             18      836.800000        830.490000              Yes         15         -10          False          False            True             True             None               True                   N/A
    AVAXUSDT    Buy   67              False    Fail             57       24.079000         23.615000              Yes         30          15           True          False           False             True             None               True                   N/A
    LINKUSDT    Buy   67              False    Fail             53       22.165000         21.501000              Yes         30          15           True          False           False             True             None               True                   N/A
  ALPINEUSDT    Buy   67              False Success             21        2.244000          1.945100               No         30          15           True          False           False             True             None              False                   N/A
