===== BACKTEST REPORT FOR: signals_2025-08-16_21-04-06.json =====
Signal Generation Time (UTC): 2025-08-16 15:34:06

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK          Downgrade_Reason
     ETHUSDT    Buy   60              False         Fail            7.0     4420.500000       4384.840000               No         15         -10          False          False            True             True             None               True                       N/A
     BTCUSDT    Buy   60              False         Fail            7.0   117774.500000     117557.300000               No         15         -10          False          False            True             True             None               True                       N/A
     SOLUSDT    Buy   60              False         Fail           88.0      189.310000        187.000000               No         15         -10          False          False            True             True             None               True                       N/A
    DOGEUSDT    Buy   80              False      Success           39.0        0.230990          0.227900               No         40         -10           True          False            True             True             None               True                       N/A
     XRPUSDT    Buy   60              False         Fail           68.0        3.111100          3.090600               No         15         -10          False          False           False             True             None               True                       N/A
     ADAUSDT    Buy   60              False      Success           41.0        0.923400          0.906800               No         15         -10          False          False           False             True             None               True                       N/A
     XNYUSDT    Buy   75              False      Success            8.0        0.025303          0.021506               No         30         -10           True          False           False             True             None              False                       N/A
     ENAUSDT    Buy   89              False         Fail          102.0        0.725000          0.710600               No         40           5           True          False           False             True             None               True                       N/A
1000PEPEUSDT    Buy   80              False         Fail            5.0        0.011093          0.010955               No         40         -10           True          False            True             True             None               True                       N/A
     MYXUSDT    Buy   77              False      Success           34.0        2.086700          2.019300               No         50          15           True           True            True             True             None              False Profit Ceiling Veto (>7%)
     SUIUSDT    Buy   75              False      Success           44.0        3.780000          3.738400               No         15           5          False          False            True             True             None               True                       N/A
    LINKUSDT    Buy   75              False      Success          160.0       22.349000         21.931000               No         15           5          False          False            True             True             None               True                       N/A
     BNBUSDT    Buy   60              False      Success          163.0      835.740000        831.610000               No         15         -10          False          False            True             True             None               True                       N/A
FARTCOINUSDT    Buy   60              False      Success           46.0        0.954100          0.925200               No         15         -10          False          False            True             True             None               True                       N/A
