===== BACKTEST REPORT FOR: signals_2025-08-16_22-14-28_STRONG.json =====
Signal Generation Time (UTC): 2025-08-16 16:44:28

--- STRONG BUY SIGNALS ---
   Coin     Signal  POP  EMA_Boost_Applied Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
ETCUSDT Strong Buy   77              False Success          166.0          22.355            22.121               No         50          15           True           True            True             True             None               True              N/A

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK Downgrade_Reason
     ETHUSDT    Buy   60              False      Success           91.0     4440.000000       4388.000000               No         15         -10          False          False           False             True             None               True              N/A
     BTCUSDT    Buy   60              False         Fail          121.0   117747.300000     117588.700000               No         15         -10          False          False            True             True             None               True              N/A
    DOGEUSDT    Buy   60              False Inconclusive            NaN        0.230450          0.227900               No         15         -10          False          False            True             True             None               True              N/A
     XRPUSDT    Buy   67              False      Success           14.0        3.109400          3.090600               No         30          15           True          False           False             True             None               True              N/A
     ADAUSDT    Buy   60              False      Success          153.0        0.921500          0.907700               No         15         -10          False          False            True             True             None               True              N/A
     XNYUSDT    Buy   80              False         Fail           61.0        0.024391          0.022137               No         40         -10           True          False           False             True             None              False              N/A
  ALPINEUSDT    Buy   60              False Inconclusive            NaN        2.247800          2.151100               No         15         -10          False          False            True             True             None              False              N/A
     MYXUSDT    Buy   60              False Inconclusive            NaN        2.098800          2.025600               No         15         -10          False          False            True             True             None              False              N/A
1000PEPEUSDT    Buy   60              False Inconclusive            NaN        0.011053          0.010955               No         15         -10          False          False           False             True             None               True              N/A
     SUIUSDT    Buy   60              False Inconclusive            NaN        3.771400          3.738400               No         15         -10          False          False            True             True             None               True              N/A
    CTSIUSDT    Buy   75              False         Fail           23.0        0.118300          0.105500               No         15           5          False          False            True             True             None              False              N/A
   TRUMPUSDT    Buy   60              False      Success            9.0        9.156000          9.093000               No         15         -10          False          False            True             True             None               True              N/A
     BNBUSDT    Buy   60              False      Success          158.0      836.810000        831.610000               No         15         -10          False          False            True             True             None               True              N/A
    AVAXUSDT    Buy   60              False      Success          168.0       24.218000         23.890000               No         15         -10          False          False            True             True             None               True              N/A
FARTCOINUSDT    Buy   67              False         Fail           57.0        0.948300          0.925200              Yes         30          15           True          False            True             True             None               True              N/A
     SKLUSDT    Buy   60              False         Fail           34.0        0.035480          0.034080               No         15         -10          False          False           False             True             None               True              N/A
     UNIUSDT    Buy   60              False      Success           92.0       11.009000         10.872000               No         15         -10          False          False           False             True             None               True              N/A
     LTCUSDT    Buy   60              False      Success           90.0      120.500000        118.760000               No         15         -10          False          False            True             True             None               True              N/A
   PENGUUSDT    Buy   60              False         Fail          121.0        0.033250          0.032800               No         15         -10          False          False           False             True             None               True              N/A
      LAUSDT    Buy   60              False      Success           54.0        0.379200          0.365800               No         15         -10          False          False           False             True             None               True              N/A
   PROVEUSDT    Buy   60              False      Success           91.0        1.367600          1.295200               No         15         -10          False          False           False             True             None               True              N/A
    PUMPUSDT    Buy   67              False         Fail            1.0        0.003485          0.003340              Yes         30          15           True          False           False             True             None               True              N/A
     AIOUSDT    Buy   80              False         Fail           76.0        0.079880          0.073570               No         40         -10           True          False           False             True             None              False              N/A
     TRXUSDT    Buy   60              False      Success           14.0        0.348600          0.345800               No         15         -10          False          False            True             True             None               True              N/A
 USELESSUSDT    Buy   75              False         Fail           30.0        0.372000          0.343500               No         15           5          False          False            True             True             None              False              N/A
1000BONKUSDT    Buy   60              False      Success            5.0        0.024400          0.024001               No         15         -10          False          False            True             True             None               True              N/A
    AAVEUSDT    Buy   60              False      Success          123.0      296.490000        292.490000               No         15         -10          False          False            True             True             None               True              N/A
     LDOUSDT    Buy   60              False      Success          178.0        1.411000          1.382200               No         15         -10          False          False            True             True             None               True              N/A
     XLMUSDT    Buy   60              False         Fail           33.0        0.428670          0.423590              Yes         15         -10          False          False           False             True             None               True              N/A
     BCHUSDT    Buy   75              False         Fail           84.0      584.430000        576.400000              Yes         30         -10           True          False            True             True             None               True              N/A
