===== BACKTEST REPORT FOR: signals_2025-08-17_12-24-10.json =====
Signal Generation Time (UTC): 2025-08-17 06:54:10

--- BUY SIGNALS ---
        Coin Signal  POP  EMA_Boost_Applied      Outcome  Duration(min)  MaxProfitPrice  MaxDrawdownPrice Did_TP_Hit_Later  Buy_Score  Sell_Score  Base_Score_OK  Confluence_OK  Vol_Profile_OK  Market_Trend_OK MACD_Conflict_OK  Profit_Ceiling_OK      Downgrade_Reason
     ETHUSDT    Buy   77              False      Success           47.0     4557.660000       4441.410000               No         50          15           True           True           False             True             None               True                   N/A
     SOLUSDT    Buy   77              False      Success          116.0      193.570000        191.220000               No         50          15           True           True            True             True             None               True Min Profit Veto (<2%)
    DOGEUSDT    Buy   67              False      Success           18.0        0.235510          0.232180               No         30          15           True          False           False             True             None               True                   N/A
     ADAUSDT    Buy   67              False      Success           18.0        0.979500          0.937100               No         30          15           True          False           False             True             None               True                   N/A
     XRPUSDT    Buy   67              False      Success          103.0        3.140600          3.110000               No         30          15           True          False           False             True             None               True                   N/A
    CTSIUSDT    Buy   75              False      Success            7.0        0.116200          0.105200               No         15           5          False          False            True             True             None              False                   N/A
     ENAUSDT    Buy   67              False         Fail           76.0        0.739800          0.716800              Yes         30          15           True          False           False             True             None               True                   N/A
     XNYUSDT    Buy   84              False         Fail           44.0        0.020738          0.018458               No         80          15           True           True           False             True             None              False                   N/A
1000PEPEUSDT    Buy   77              False      Success           14.0        0.011340          0.011160               No         50          15           True           True            True             True             None               True Min Profit Veto (<2%)
  ALPINEUSDT    Buy   60              False         Fail           40.0        2.235600          2.078600              Yes         15         -10          False          False           False             True             None              False                   N/A
     BNBUSDT    Buy   60              False      Success           15.0      864.480000        848.790000               No         15         -10          False          False            True             True             None               True                   N/A
     MYXUSDT    Buy   60              False         Fail            8.0        1.939300          1.850000               No         15         -10          False          False           False             True             None              False                   N/A
FARTCOINUSDT    Buy   77              False      Success           22.0        0.973500          0.939800               No         50          15           True           True           False             True             None               True                   N/A
     SKLUSDT    Buy   60              False         Fail           32.0        0.035750          0.034380               No         15         -10          False          False           False             True             None              False                   N/A
     ARBUSDT    Buy   60              False      Success           21.0        0.531900          0.508700               No         15         -10          False          False           False             True             None               True                   N/A
