===== BACKTEST REPORT FOR: signals_2025-08-18_23-12-52_STRONG.json =====
Signal Generation Time (UTC): 2025-08-18 17:42:52

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  SOLUSDT          Buy              48               57               Fail             17               185.310000       183.890000       No               20               15               True             2                True             True             False            True             10.000000        0.291126         71.558517        156.178609       0.948100         False            True             True             Buy              N/A            
  BNBUSDT          Buy              48               57               Fail             17               847.780000       844.010000       No               20               15               True             2                True             True             False            True             10.000000        0.705310         71.668135        175.881869       0.985400         False            True             True             Buy              N/A            
  UNIUSDT          Buy              48               57               Fail             6                10.607000        10.526000        No               20               15               True             2                True             True             False            True             10.000000        0.019329         73.349233        156.586263       0.988800         False            True             True             Buy              N/A            
  HBARUSDT         Buy              48               57               Fail             4                0.247700         0.245800         No               20               15               True             2                True             True             False            True             10.000000        0.000438         73.086832        161.574668       0.974200         False            True             True             Buy              N/A            
  ONDOUSDT         Buy              48               57               Fail             6                0.970600         0.963200         No               20               15               True             2                True             True             False            True             10.000000        0.001995         72.958024        165.218633       0.971400         False            True             True             Buy              N/A            

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  AIOTUSDT         Strong Sell      80               71               Fail             68               1.169030         1.240000         No               20               50               True             3                True             True             True             True             10.000000        0.005232         78.600772        240.868131       1.086000         True             True             True             Sell             N/A            

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  XRPUSDT          Sell             73               71               Success          15               3.066500         3.089400         No               20               50               True             3                True             True             False            True             10.000000        0.007577         81.979390        229.168210       1.136100         True             True             True             Sell             N/A            
  ADAUSDT          Sell             73               71               Success          10               0.925600         0.933800         No               20               50               True             3                True             True             False            True             10.000000        0.002685         79.422387        177.422810       1.011900         True             True             True             Sell             N/A            
  TRUMPUSDT        Sell             73               71               Success          4                9.085000         9.135000         No               20               50               True             3                True             True             False            True             10.000000        0.014229         75.526566        182.011376       1.008800         True             True             True             Sell             N/A            
  AAVEUSDT         Sell             73               71               Success          6                291.830000       294.390000       No               20               50               True             3                True             True             False            True             10.000000        0.646595         74.308098        176.263872       1.001400         True             True             True             Sell             N/A            
  NEARUSDT         Sell             73               71               Success          6                2.587000         2.610000         No               20               50               True             3                True             True             False            True             10.000000        0.006120         72.463367        177.666134       1.000400         True             True             True             Sell             N/A            
  XLMUSDT          Sell             73               71               Success          13               0.413350         0.416340         No               20               50               True             3                True             True             False            True             10.000000        0.000762         73.325257        198.924187       1.019800         True             True             True             Sell             N/A            
  MAGICUSDT        Sell             54               64               Success          143              0.240600         0.245400         No               20               35               True             2                True             True             False            True             10.000000        0.000699         66.402091        174.675128       1.049000         True             False            True             Sell             N/A            
  MEMEUSDT         Sell             54               64               Success          0                0.002095         0.002102         No               20               35               True             2                True             True             False            True             10.000000        0.000008         64.163605        237.841331       1.094700         True             False            True             Sell             N/A            
  TONUSDT          Sell             47               64               Success          16               3.340400         3.358700         No               20               35               True             2                True             False            False            True             10.000000        0.005070         64.732871        160.500447       1.044200         True             False            True             Sell             N/A            

