===== BACKTEST REPORT FOR: signals_2025-08-19_09-03-48_STRONG.json =====
Signal Generation Time (UTC): 2025-08-19 03:33:48

--- STRONG BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  LINKUSDT         Strong Buy       77               67               Fail             3                24.634000        24.297000        No               60               30               True             3                True             True             False            True             -10.000000       -0.011960        21.803186        -163.563395      -0.000400        True             True             True             Buy              N/A            
  DOGEUSDT         Strong Buy       77               67               Fail             9                0.218670         0.215570         No               60               30               True             3                True             True             False            True             -10.000000       -0.000197        29.988600        -187.964253      -0.077900        True             True             True             Buy              N/A            
  INJUSDT          Strong Buy       77               67               Fail             9                13.901000        13.746000        No               60               30               True             3                True             True             False            True             -10.000000       -0.008757        28.277102        -194.776678      -0.115700        True             True             True             Buy              N/A            
  HBARUSDT         Strong Buy       77               67               Fail             9                0.240480         0.238410         No               60               30               True             3                True             True             False            True             -10.000000       -0.000153        29.380857        -185.404339      -0.089400        True             True             True             Buy              N/A            

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  MarketTrend      MACD_Hist        RSI              CCI              %B               BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Downgrade_Reason
  ETHUSDT          Buy              51               60               Fail             4                4255.000000      4222.000000      No               45               30               True             2                True             False            False            True             -10.000000       -2.499038        31.512297        -181.218372      -0.049500        True             False            True             Buy              N/A            
  BTCUSDT          Buy              51               60               Fail             8                115280.700000    114967.000000    No               45               30               True             2                True             False            False            True             -10.000000       -32.978274       30.781653        -182.982003      -0.034000        True             False            True             Buy              N/A            
  XRPUSDT          Buy              51               60               Fail             9                3.018700         2.991200         No               45               30               True             2                True             False            False            True             -10.000000       -0.001470        31.139683        -176.119597      -0.041300        True             False            True             Buy              N/A            
  ADAUSDT          Buy              51               60               Fail             14               0.912600         0.901300         Yes              45               30               True             2                True             False            False            True             -10.000000       -0.000593        37.272411        -181.113120      -0.010200        True             False            True             Buy              N/A            
  SUIUSDT          Buy              51               60               Fail             9                3.558000         3.512500         No               45               30               True             2                True             False            False            True             -10.000000       -0.001665        32.508736        -159.020422      -0.018300        True             False            True             Buy              N/A            
  AVAXUSDT         Buy              51               60               Fail             9                23.377000        23.080000        No               45               30               True             2                True             False            False            True             -10.000000       -0.011226        33.675701        -176.386804      -0.053200        True             False            True             Buy              N/A            
  UNIUSDT          Buy              51               60               Fail             9                10.364000        10.257000        No               45               30               True             2                True             False            False            True             -10.000000       -0.002264        35.065496        -162.921348      -0.036800        True             False            True             Buy              N/A            
