===== BACKTEST REPORT FOR: signals_2025-08-20_01-08-51.json =====
Signal Generation Time (UTC): 2025-08-19 19:38:51

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             59               89               Success          31               4114.180000      4164.400000      Yes              -5               40               True             2                True             True             False            True             Bearish          -7               3.1186           52.1613          52.4799          27.8391          0.6037           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BTCUSDT          Sell             59               89               Success          21               112858.800000    113524.500000    Yes              -5               40               True             2                True             True             False            True             Bearish          -7               71.3069          52.1613          57.1223          93.5552          0.8033           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  SOLUSDT          Sell             59               89               Success          32               175.8400         179.2800         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.1335           52.1613          54.4753          37.1060          0.6426           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  XRPUSDT          Sell             59               89               Success          13               2.8700           2.9152           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0020           52.1613          52.4135          22.0809          0.5931           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             59               89               Success          29               0.2110           0.2142           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0002           52.1613          53.8801          48.1656          0.6487           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  LINKUSDT         Sell             59               89               Inconclusive     0                23.7330          24.0520          No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0385           52.1613          53.9733          42.9249          0.6607           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ADAUSDT          Sell             59               80               Inconclusive     0                0.8521           0.8636           No               -10              40               True             2                True             True             False            True             Bearish          -7               0.0014           52.1613          49.4069          89.3683          0.8525           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  API3USDT         Sell             66               89               Success          86               1.2919           1.3870           Yes              -5               40               True             2                True             True             True             True             Bearish          -7               0.0009           52.1613          50.4335          -18.7269         0.4986           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  SUIUSDT          Sell             59               89               Success          31               3.4230           3.4800           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0034           52.1613          51.8801          29.2325          0.6036           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  AIOTUSDT         Sell             59               89               Fail             42               1.7370           2.1320           Yes              -5               40               True             2                True             False            True             True             Bearish          -7               0.0033           52.1613          58.2065          80.1911          0.8161           False            False            False            False            Sell             True             base_ok,profit_window  N/A            
  ENAUSDT          Sell             59               89               Fail             95               0.6335           0.6474           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0005           52.1613          54.5366          42.2091          0.6561           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  1000PEPEUSDT     Sell             59               89               Inconclusive     0                0.0102           0.0104           No               -5               40               True             2                True             True             False            True             Bearish          -7               0.0000           52.1613          52.8228          29.1715          0.4696           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BNBUSDT          Sell             59               89               Success          35               829.7400         837.0000         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.5941           52.1613          59.9254          77.6926          0.7693           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  FARTCOINUSDT     Sell             59               89               Success          31               0.8561           0.8814           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0006           52.1613          50.1285          -5.2222          0.5003           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  AVAXUSDT         Sell             59               89               Success          29               22.3950          22.7360          Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0249           52.1613          54.1230          50.0717          0.6598           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  MYXUSDT          Sell             31               80               Success          40               1.1144           1.1744           Yes              5                20               False            1                False            False            True             True             Bearish          -7               -0.0012          52.1613          54.6022          39.4133          0.5861           False            False            False            False            Sell             True             profit_window    N/A            
  ARBUSDT          Sell             59               89               Success          32               0.4767           0.4840           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0006           52.1613          50.9920          25.1442          0.5824           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PENGUUSDT        Sell             59               89               Success          163              0.0301           0.0308           Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.0001           52.1613          57.3905          79.4579          0.7368           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  HYPEUSDT         Sell             56               91               Success          31               42.0310          43.3500          Yes              -5               50               True             2                True             False            False            True             Bearish          -7               0.0368           52.1613          60.6220          91.3468          0.7932           False            False            False            False            Sell             True             base_ok          N/A            
  LTCUSDT          Sell             59               89               Success          20               112.6900         114.6500         Yes              -5               40               True             2                True             True             False            True             Bearish          -7               0.1199           52.1613          56.8962          64.5644          0.7242           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
