===== BACKTEST REPORT FOR: signals_2025-08-20_20-12-50_STRONG.json =====
Signal Generation Time (UTC): 2025-08-20 14:42:50

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
(None)

--- STRONG SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  XNYUSDT          Strong Sell      100              95               Fail             9                0.0105           0.0112           No               -5               105              True             3                True             True             True             True             Bearish          -3               0.0001           17.1671          75.8492          228.3930         1.1140           True             True             True             True             Sell             True             base_ok,vol_ok,profit_window  N/A            

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             40               91               Fail             23               4197.210000      4328.800000      No               -5               50               True             1                False            False            False            True             Bearish          -3               7.8600           17.1671          60.3255          111.5995         0.8552           False            False            False            True             Sell             True             base_ok          N/A            
  BTCUSDT          Sell             32               86               Fail             34               113156.100000    114285.700000    No               -5               30               True             1                False            False            False            True             Bearish          -3               112.9159         17.1671          58.6607          97.7802          0.8083           False            False            False            False            Sell             True             base_ok          N/A            
  SOLUSDT          Sell             40               91               Fail             24               181.0900         185.0000         No               -5               50               True             1                False            False            False            True             Bearish          -3               0.3081           17.1671          61.7766          115.7774         0.8763           False            False            False            True             Sell             True             base_ok          N/A            
  XRPUSDT          Sell             39               86               Fail             23               2.8775           2.9396           No               -5               30               True             1                False            True             False            True             Bearish          -3               0.0053           17.1671          59.1074          85.9380          0.7989           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  DOGEUSDT         Sell             32               86               Fail             24               0.2131           0.2191           No               -5               30               True             1                False            False            False            True             Bearish          -3               0.0004           17.1671          57.9669          81.6360          0.8010           False            False            False            False            Sell             True             base_ok          N/A            
  LINKUSDT         Sell             70               94               Fail             24               25.3600          26.4590          No               -5               85               True             2                True             False            False            True             Bearish          -3               0.0682           17.1671          68.0578          177.3413         1.0461           True             True             False            True             Sell             True             base_ok          N/A            
  ADAUSDT          Sell             40               91               Fail             23               0.8575           0.8842           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0015           17.1671          61.6918          123.2681         0.8826           False            False            False            True             Sell             True             base_ok          N/A            
  API3USDT         Sell             43               89               Fail             37               1.3361           1.3979           No               -5               40               True             1                False            False            True             True             Bearish          -3               0.0057           17.1671          54.3170          159.7764         0.9580           False            False            False            True             Sell             True             base_ok,profit_window  N/A            
  SUIUSDT          Sell             47               91               Fail             24               3.4616           3.5593           No               -5               50               True             1                False            True             False            True             Bearish          -3               0.0070           17.1671          60.4395          102.2083         0.8447           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  AIOTUSDT         Sell             45               100              Fail             100              1.5604           1.6556           No               0                30               True             1                False            True             True             True             Bearish          -3               0.0018           17.1671          46.3741          -9.0754          0.5034           False            False            False            False            Sell             True             base_ok,vol_ok,profit_window  N/A            
  1000PEPEUSDT     Sell             39               86               Fail             23               0.0103           0.0106           No               -5               30               True             1                False            True             False            True             Bearish          -3               0.0000           17.1671          56.5849          79.2712          0.7798           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  ENAUSDT          Sell             47               91               Fail             21               0.6409           0.6593           No               -5               50               True             1                False            True             False            True             Bearish          -3               0.0021           17.1671          63.8109          179.7548         0.9978           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  BNBUSDT          Sell             39               86               Fail             25               827.2200         845.9200         No               -5               30               True             1                False            True             False            True             Bearish          -3               0.6308           17.1671          54.0188          60.2323          0.6949           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  BIOUSDT          Sell             17               67               Fail             18               0.1535           0.1749           Yes              5                10               False            0                False            True             True             True             Bearish          -3               -0.0008          17.1671          53.0433          -39.8188         0.4065           False            False            False            False            Sell             True             vol_ok,profit_window  N/A            
  FARTCOINUSDT     Sell             43               89               Fail             25               0.8798           0.9135           No               -5               40               True             1                False            False            True             True             Bearish          -3               0.0029           17.1671          59.6663          125.7256         0.8753           False            False            False            True             Sell             True             base_ok,profit_window  N/A            
  AVAXUSDT         Sell             32               86               Fail             23               22.8200          23.3820          No               -5               30               True             1                False            False            False            True             Bearish          -3               0.0333           17.1671          59.1322          83.8113          0.8163           False            False            False            False            Sell             True             base_ok          N/A            
  ARBUSDT          Sell             68               94               Fail             24               0.4886           0.5163           No               -5               85               True             2                True             False            False            True             Bearish          -3               0.0017           17.1671          64.7883          199.0240         1.0232           True             True             False            True             Sell             True             base_ok          N/A            
  HYPEUSDT         Sell             39               86               Fail             24               41.4800          42.8580          No               -5               30               True             1                False            True             False            True             Bearish          -3               0.0651           17.1671          52.5190          56.4619          0.6556           False            False            False            False            Sell             True             base_ok,vol_ok   N/A            
  PENGUUSDT        Sell             43               89               Fail             23               0.0296           0.0310           No               -5               40               True             1                False            True             False            True             Bearish          -3               0.0001           17.1671          58.3362          102.8532         0.8231           False            False            False            True             Sell             True             base_ok,vol_ok   N/A            
  LTCUSDT          Sell             32               86               Fail             24               113.8600         116.5300         No               -5               30               True             1                False            False            False            True             Bearish          -3               0.1289           17.1671          55.0690          51.6998          0.6758           False            False            False            False            Sell             True             base_ok          N/A            
  WIFUSDT          Sell             40               91               Fail             24               0.8357           0.8707           No               -5               50               True             1                False            False            False            True             Bearish          -3               0.0026           17.1671          61.0247          132.7910         0.8940           False            False            False            True             Sell             True             base_ok          N/A            
  MYXUSDT          Sell             39               86               Fail             42               1.0511           1.1688           Yes              -5               30               True             1                False            False            True             True             Bearish          -3               0.0016           17.1671          55.2941          85.8667          0.7934           False            False            False            False            Sell             True             base_ok,profit_window  N/A            
  OGNUSDT          Sell             47               91               Fail             50               0.0806           0.0864           Yes              -5               50               True             1                False            False            True             True             Bearish          -3               0.0002           17.1671          60.6041          129.3532         0.8257           False            False            False            True             Sell             True             base_ok,profit_window  N/A            
  PUMPUSDT         Sell             63               94               Success          15               0.0030           0.0031           Yes              -5               75               True             2                True             False            False            True             Bearish          -3               0.0000           17.1671          65.8854          187.9781         0.8387           False            True             False            True             Sell             True             base_ok          N/A            
  TRUMPUSDT        Sell             32               86               Fail             24               8.7660           8.9060           No               -5               30               True             1                False            False            False            True             Bearish          -3               0.0125           17.1671          56.2683          91.2072          0.7693           False            False            False            False            Sell             True             base_ok          N/A            
  TRXUSDT          Sell             32               100              Success          15               0.3468           0.3504           Yes              0                30               True             1                False            False            False            True             Bearish          -3               0.0001           17.1671          46.9717          -4.7288          0.4642           False            False            False            False            Sell             True             base_ok          N/A            
  CFXUSDT          Sell             77               94               Success          134              0.1783           0.1881           Yes              -5               75               True             2                True             True             True             True             Bearish          -3               0.0009           17.1671          65.7395          212.9450         1.0008           False            True             False            True             Sell             True             base_ok,vol_ok,profit_window  N/A            
