===== BACKTEST REPORT FOR: signals_2025-08-20_21-10-32.json =====
Signal Generation Time (UTC): 2025-08-20 15:40:32

--- STRONG BUY SIGNALS ---
(None)

--- BUY SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  BIOUSDT          Buy              13               100              Fail             3                0.164680         0.140400         No               5                0                False            0                False            True             True             True             Neutral          -1               -0.000051        15.862804        50.679539        23.383646        0.517100         False            False            False            False            Buy              False            vol_ok,profit_window  N/A            
  CFXUSDT          Buy              7                100              Inconclusive     0                0.183910         0.178330         No               5                0                False            0                False            False            True             True             Neutral          -1               -0.000336        15.862804        50.228498        2.321782         0.459900         False            False            False            False            Buy              False            profit_window    N/A            
  MUSDT            Buy              2                100              Fail             20               0.450500         0.435700         No               5                0                False            0                False            False            False            True             Neutral          -1               -0.000516        15.862804        44.038196        -74.373543       0.298500         False            False            False            False            Buy              False                             N/A            

--- STRONG SELL SIGNALS ---
(None)

--- SELL SIGNALS ---
  Coin             Signal           Confidence       POP              Outcome          Duration(min)    MaxProfitPrice   MaxDrawdownPrice  Did_TP_Hit_Later  Buy_Score        Sell_Score       Base_Score_OK    Num_Conf         Confluence_OK    Vol_Profile_OK   Min_Profit_OK    Profit_Ceiling_OK  Regime           RegimeScore      MACD_Hist        ADX15m           RSI              CCI              %B               Overshoot_OK     BB_Touch         RSI_Extreme      CCI_Extreme      Initial_Signal   Aligned          Vetoes_Passed    Downgrade_Reason
  ETHUSDT          Sell             47               92               Success          16               4246.650000      4350.000000      Yes              -5               55               True             2                True             False            False            True             Neutral          -1               10.112348        15.862804        71.840399        100.279354       0.807200         False            False            True             True             Sell             False            base_ok          N/A            
  BTCUSDT          Sell             27               86               Success          13               113156.100000    114411.000000    Yes              -5               30               True             1                False            False            False            True             Neutral          -1               86.438860        15.862804        62.828905        84.826015        0.758200         False            False            False            False            Sell             False            base_ok          N/A            
  SOLUSDT          Sell             27               86               Fail             125              182.620000       186.300000       No               -5               30               True             1                False            False            False            True             Neutral          -1               0.309960         15.862804        66.052854        90.727725        0.769700         False            False            False            False            Sell             False            base_ok          N/A            
  XRPUSDT          Sell             27               86               Success          13               2.897200         2.951000         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.005287         15.862804        67.105521        89.619213        0.769400         False            False            False            False            Sell             False            base_ok          N/A            
  DOGEUSDT         Sell             27               86               Success          13               0.214300         0.219710         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.000442         15.862804        66.514878        87.441541        0.770700         False            False            False            False            Sell             False            base_ok          N/A            
  LINKUSDT         Sell             47               92               Success          52               25.441000        26.459000        Yes              -5               55               True             2                True             False            False            True             Neutral          -1               0.078998         15.862804        76.814570        115.086830       0.877200         True             False            True             True             Sell             False            base_ok          N/A            
  ADAUSDT          Sell             27               86               Fail             125              0.867600         0.887000         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001577         15.862804        63.668867        76.510162        0.734800         False            False            False            False            Sell             False            base_ok          N/A            
  API3USDT         Sell             33               86               Success          30               1.336100         1.377500         Yes              -5               30               True             1                False            False            True             True             Neutral          -1               0.004725         15.862804        57.531938        100.005478       0.742000         False            False            False            True             Sell             False            base_ok,profit_window  N/A            
  SUIUSDT          Sell             27               86               Fail             125              3.491100         3.575300         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.007239         15.862804        67.400919        98.159969        0.790200         False            False            False            False            Sell             False            base_ok          N/A            
  1000PEPEUSDT     Sell             27               86               Fail             124              0.010371         0.010637         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.000022         15.862804        64.183976        85.351230        0.805600         False            False            False            False            Sell             False            base_ok          N/A            
  ENAUSDT          Sell             44               90               Success          13               0.646100         0.661300         Yes              -5               45               True             2                True             False            False            True             Neutral          -1               0.001623         15.862804        72.268712        92.994694        0.786200         True             False            True             False            Sell             False            base_ok          N/A            
  AIOTUSDT         Sell             29               100              Fail             42               1.560390         1.655610         No               0                20               False            1                False            True             True             True             Neutral          -1               0.004012         15.862804        47.316144        52.067267        0.595500         False            False            False            False            Sell             False            vol_ok,profit_window  N/A            
  BNBUSDT          Sell             27               86               Fail             64               832.860000       848.120000       No               -5               30               True             1                False            False            False            True             Neutral          -1               0.945547         15.862804        65.423652        95.546743        0.793000         False            False            False            False            Sell             False            base_ok          N/A            
  FARTCOINUSDT     Sell             27               86               Fail             124              0.889300         0.919800         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.002100         15.862804        63.068207        87.430228        0.760000         False            False            False            False            Sell             False            base_ok          N/A            
  AVAXUSDT         Sell             27               86               Inconclusive     0                23.020000        23.470000        No               -5               30               True             1                False            False            False            True             Neutral          -1               0.045991         15.862804        67.959721        93.502433        0.787300         False            False            False            False            Sell             False            base_ok          N/A            
  ARBUSDT          Sell             47               92               Fail             37               0.497900         0.519000         No               -5               55               True             2                True             False            False            True             Neutral          -1               0.001675         15.862804        73.162580        106.659107       0.811200         True             False            True             True             Sell             False            base_ok          N/A            
  HYPEUSDT         Sell             31               89               Success          15               41.769000        42.748000        Yes              -5               40               True             1                False            False            False            True             Neutral          -1               0.117107         15.862804        63.965584        100.216594       0.796700         False            False            False            True             Sell             False            base_ok          N/A            
  PENGUUSDT        Sell             27               86               Success          13               0.029983         0.031226         Yes              -5               30               True             1                False            False            False            True             Neutral          -1               0.000106         15.862804        69.664046        98.079292        0.794800         False            False            False            False            Sell             False            base_ok          N/A            
  LTCUSDT          Sell             27               86               Inconclusive     0                114.760000       116.580000       No               -5               30               True             1                False            False            False            True             Neutral          -1               0.213125         15.862804        66.924110        98.849003        0.804600         False            False            False            False            Sell             False            base_ok          N/A            
  WIFUSDT          Sell             27               86               Fail             42               0.849400         0.873800         No               -5               30               True             1                False            False            False            True             Neutral          -1               0.001956         15.862804        68.604192        94.500650        0.784700         False            False            False            False            Sell             False            base_ok          N/A            
  OGNUSDT          Sell             24               80               Success          79               0.080300         0.085500         Yes              -5               20               False            1                False            False            True             True             Neutral          -1               0.000090         15.862804        54.832894        68.581688        0.652700         False            False            False            False            Sell             False            profit_window    N/A            
  MYXUSDT          Sell             79               95               Success          12               0.986800         1.148100         Yes              -5               90               True             3                True             False            True             True             Neutral          -1               0.008669         15.862804        73.570782        249.560412       1.050200         True             True             True             True             Sell             False            base_ok,profit_window  N/A            
  PUMPUSDT         Sell             36               89               Inconclusive     0                0.003010         0.003096         No               -5               40               True             1                False            False            True             True             Neutral          -1               0.000011         15.862804        65.992028        105.643233       0.816100         False            False            False            True             Sell             False            base_ok,profit_window  N/A            
