===== BACKTEST REPORT FOR: signals_2025-08-25_19-17-40.json =====
Signal Generation Time (UTC): 2025-08-25 13:47:40

--- BUY SIGNALS ---
  (none)

--- SELL SIGNALS ---
        Coin Signal  Confidence  Deserving_Strong Outcome  Duration(min)  Estimated_Profit(%)            TP            SL       RSI   %B  Num_Conf  Vol_Profile_OK  Overshoot_OK  Min_Profit_OK Did_TP_Hit_Later
     ETHUSDT   Sell          47             False    Fail            0.0                  5.0   4559.626929   4625.233071 41.805621 None       1.0            True         False           True               No
     BTCUSDT   Sell          47             False    Fail            6.0                  5.0 109781.306429 111360.893571 32.002005 None       1.0            True         False           True               No
     SOLUSDT   Sell          47             False    Fail            0.0                  5.0    194.341857    197.138143 39.120455 None       1.0            True         False           True               No
     XRPUSDT   Sell          47             False    Fail            1.0                  5.0      2.907582      2.949418 35.466086 None       1.0            True         False           True               No
    DOGEUSDT   Sell          47             False    Fail            1.0                  5.0      0.216095      0.219205 38.231984 None       1.0            True         False           True               No
     ADAUSDT   Sell          47             False    Fail            0.0                  5.0      0.848893      0.861107 32.972087 None       1.0            True         False           True               No
    LINKUSDT   Sell          47             False    Fail            0.0                  5.0     24.101607     24.448393 38.455358 None       1.0            True         False           True               No
1000PEPEUSDT   Sell          41             False    Fail            0.0                  5.0      0.010092      0.010237 42.956447 None       1.0           False         False           True              Yes
     SUIUSDT   Sell          47             False    Fail            0.0                  5.0      3.420591      3.469809 39.895360 None       1.0            True         False           True               No
     ENAUSDT   Sell          47             False    Fail            1.0                  5.0      0.636620      0.645780 45.072584 None       1.0            True         False           True               No
     BNBUSDT   Sell          47             False    Fail           17.0                  5.0    850.163714    862.396286 40.962234 None       1.0            True         False           True               No
    AVAXUSDT   Sell          47             False    Fail            1.0                  5.0     23.913957     24.258043 41.450869 None       1.0            True         False           True              Yes
     ONTUSDT   Sell          47             False Success            2.0                  5.0      0.201749      0.204651 41.255966 None       1.0            True         False           True              N/A
FARTCOINUSDT   Sell          47             False    Fail            0.0                  5.0      0.868949      0.881451 38.150727 None       1.0            True         False           True              Yes
     LTCUSDT   Sell          47             False    Fail            1.0                  5.0    110.048286    111.631714 38.304576 None       1.0            True         False           True               No
    HYPEUSDT   Sell          47             False    Fail            0.0                  5.0     44.868207     45.513793 41.504694 None       1.0            True         False           True               No
     ARBUSDT   Sell          47             False    Fail            0.0                  5.0      0.538029      0.545771 41.210505 None       1.0            True         False           True              Yes
     WIFUSDT   Sell          47             False    Fail            0.0                  5.0      0.808682      0.820318 39.098614 None       1.0            True         False           True              Yes
    AAVEUSDT   Sell          47             False    Fail           16.0                  5.0    322.112643    326.747357 33.213354 None       1.0            True         False           True              Yes
   PENGUUSDT   Sell          41             False    Fail            0.0                  5.0      0.031130      0.031578 37.727820 None       1.0           False         False           True              Yes
     DOTUSDT   Sell          47             False    Fail            1.0                  5.0      3.833421      3.888579 39.012517 None       1.0            True         False           True              Yes
   TRUMPUSDT   Sell          47             False    Fail            1.0                  5.0      8.279436      8.398564 39.278003 None       1.0            True         False           True               No
1000BONKUSDT   Sell          41             False    Fail            1.0                  5.0      0.020688      0.020986 34.067748 None       1.0           False         False           True              Yes
     ETCUSDT   Sell          47             False    Fail            1.0                  5.0     21.607550     21.918450 36.770009 None       1.0            True         False           True               No
    PUMPUSDT   Sell          41             False    Fail            0.0                  5.0      0.002773      0.002813 44.740116 None       1.0           False         False           True               No
     FILUSDT   Sell          47             False    Fail            0.0                  5.0      2.263714      2.296286 40.521840 None       1.0            True         False           True              Yes
     NEOUSDT   Sell          47             False    Fail            1.0                  5.0      7.720457      7.831543 36.692721 None       1.0            True         False           True              Yes
     WLDUSDT   Sell          47             False    Fail            0.0                  5.0      0.901713      0.914687 37.732522 None       1.0            True         False           True               No
1000SHIBUSDT   Sell          47             False    Fail            1.0                  5.0      0.012229      0.012405 37.989294 None       1.0            True         False           True               No
     CRVUSDT   Sell          47             False    Fail            0.0                  5.0      0.818114      0.829886 40.591455 None       1.0            True         False           True               No
    HBARUSDT   Sell          47             False    Fail            1.0                  5.0      0.234294      0.237666 42.862547 None       1.0            True         False           True               No
    NEARUSDT   Sell          47             False    Fail            1.0                  5.0      2.469236      2.504764 39.570885 None       1.0            True         False           True              Yes
     LDOUSDT   Sell          47             False    Fail            0.0                  5.0      1.332514      1.351686 40.867031 None       1.0            True         False           True              Yes
      OPUSDT   Sell          47             False    Fail            1.0                  5.0      0.718431      0.728769 41.453626 None       1.0            True         False           True              Yes
     BCHUSDT   Sell          47             False Success          124.0                  5.0    559.306214    567.353786 43.366090 None       1.0            True         False           True              N/A
    ONDOUSDT   Sell          47             False    Fail            1.0                  5.0      0.910549      0.923651 37.605051 None       1.0            True         False           True               No
   ETHFIUSDT   Sell          47             False    Fail            0.0                  5.0      1.147842      1.164358 34.163191 None       1.0            True         False           True              Yes
     XLMUSDT   Sell          47             False    Fail            1.0                  5.0      0.389001      0.394599 42.095019 None       1.0            True         False           True               No
     TIAUSDT   Sell          47             False    Fail            1.0                  5.0      1.680808      1.704992 42.196590 None       1.0            True         False           True              Yes
     TAOUSDT   Sell          47             False    Fail            1.0                  5.0    335.933214    340.766786 39.512115 None       1.0            True         False           True              Yes
     INJUSDT   Sell          47             False    Fail            1.0                  5.0     13.203014     13.392986 42.169054 None       1.0            True         False           True               No
